Question,Answer,TCM Acupuncture Points,Herbal Pharmacopeia
How does TCM address substance abuse in depressed teens?,"Substance abuse indicates severe Kidney essence depletion, Liver-Heart Fire, and Shen disturbance. Treatment detoxifies, nourishes essence, stabilizes emotions, and addresses underlying pain driving use.","HT7 (Shenmen), LR3 (Taichong), LI4 (Hegu), PC6 (Neiguan), CV6 (Qihai), ST36 (Zusanli), KI3 (Taixi), GV20 (Baihui), Ear Shenmen","Detox support: Long Dan Xie Gan Tang (Gentian Drain Liver) - Chinese Pharmacopoeia 2020; Recovery phase: Gui Pi Tang, Liu Wei Di Huang Wan"
How can TCM prevent depression relapse in teenagers?,"Prevention focuses on maintaining Liver Qi flow, nourishing Heart Blood, tonifying Spleen Qi, and strengthening Kidney essence through regular maintenance treatment and lifestyle adjustments.","Maintenance points: HT7 (Shenmen), LR3 (Taichong), ST36 (Zusanli), SP6 (Sanyinjiao), GV20 (Baihui), CV6 (Qihai) - monthly or seasonal treatments",Preventive formulas: Xiao Yao San long-term (Chinese Pharmacopoeia 2020); Seasonal adjustments; Stress-adapted modifications; Tonic herbs during exam periods
What lifestyle changes support TCM mental health treatment?,"Regular sleep schedule (10pm-11pm bedtime), balanced warm diet, moderate exercise (not excessive), stress management, limited screen time (especially before bed), social connection, and emotional expression all support Qi-Blood harmony.","Regular acupuncture: HT7, PC6, ST36, LR3, GV20, SP6 - weekly to monthly depending on stability",Herbal support: Xiao Yao San for stress management (Chinese Pharmacopoeia 2020); Adaptogenic herbs; Seasonal tonic formulas
Can TCM help build emotional resilience in at-risk teens?,"Yes, TCM strengthens constitutional foundations through tonifying Kidney essence (willpower), nourishing Heart Blood (emotional capacity), and regulating Liver Qi (stress response) - building capacity to handle stress.","KI3 (Taixi), ST36 (Zusanli), HT7 (Shenmen), LR3 (Taichong), CV6 (Qihai), BL23 (Shenshu), GV20 (Baihui), SP6 (Sanyinjiao)",Constitutional formulas: Liu Wei Di Huang Wan (Chinese Pharmacopoeia 2020); Gui Pi Tang; Bu Zhong Yi Qi Tang - selected based on individual constitution
What seasonal adjustments help teenage mental health?,Spring supports Liver (Wood element) - move Qi; Summer nourishes Heart (Fire) - calm spirit; Fall tonifies Lung (Metal) - strengthen boundaries; Winter strengthens Kidney (Water) - build reserves. Seasonal treatments prevent imbalances.,"Spring: LR3, GB34; Summer: HT7, PC6; Fall: LU7, LI4; Winter: KI3, BL23; Year-round: ST36, GV20",Spring: Xiao Yao San; Summer: cooling formulas with Lian Qiao; Fall: nourishing formulas with Bai He; Winter: warming tonics with Rou Gui (Chinese Pharmacopoeia 2020)
How does meditation complement TCM treatment?,"Meditation calms Shen, regulates breath (Lung Qi), cultivates inner stillness, and enhances mind-body awareness. Combined with acupuncture, it enhances healing and emotional stability through neuroplastic changes.","Meditate with awareness of CV17 (Shanzhong - chest center), GV20 (Baihui - crown), LR3 (Taichong - feet grounding), Yintang (third eye)","Calming formulas to support practice: Gan Mai Da Zao Tang, Suan Zao Ren Tang (Chinese Pharmacopoeia 2020); Take 30-60 min before meditation"
How can parents support their teen's TCM treatment?,"Parents should maintain consistent appointment schedules, ensure herbal compliance (proper timing and dosage), provide emotional support without pressure, avoid criticism of symptoms, and collaborate with practitioners.","Family acupuncture sessions possible - shared calming points: Yintang, PC6, HT7 for parent stress reduction","Parent education about formulas (Chinese Pharmacopoeia 2020) - proper storage (cool, dry place), preparation methods (decoction vs granules), timing with meals"
Should siblings be treated preventively if one teen is depressed?,"Preventive TCM for siblings can be beneficial, especially if family stress, trauma, or genetic predisposition exists. Focus on strengthening constitution and stress resilience before problems develop.","Preventive points: ST36 (Zusanli), LR3 (Taichong), HT7 (Shenmen), GV20 (Baihui), SP6 (Sanyinjiao) - monthly treatments",Mild preventive formulas: Xiao Yao San at reduced dosage (Chinese Pharmacopoeia 2020); Adaptogenic herbs; Constitutional support based on family pattern
How to communicate TCM treatment to schools?,"Provide schools with general information about treatment for stress management and wellness. Emphasize improved focus, emotional regulation, attendance benefits, and academic performance - avoid stigmatizing mental health labels.",Treatment continues with standard mental wellness protocols - no need to specify all points to school,Continue prescribed herbal formulas (Chinese Pharmacopoeia 2020) - coordinate timing around school schedule (morning and evening doses); thermos for midday if needed
What role does peer support play with TCM treatment?,Peer support enhances treatment by reducing isolation and providing understanding. TCM addresses the physiological aspects while peers offer emotional connection and validation - both essential for recovery.,"Continue individual treatment: HT7, PC6, LR3, ST36, GV20, SP6 - TCM addresses root causes",Maintain herbal formula compliance (Chinese Pharmacopoeia 2020); Possibly group education about TCM wellness approaches to destigmatize treatment
How long should maintenance TCM treatment continue?,"After acute symptoms resolve, continue maintenance treatment for 6-12 months minimum to prevent relapse. Gradually reduce frequency (weekly → biweekly → monthly) while monitoring for early relapse signs.","Maintenance frequency: Monthly or seasonal tune-ups with core points: HT7, LR3, ST36, GV20","Reduced herbal dosages or formulas taken cyclically (2 weeks on, 1 week off) rather than daily (Chinese Pharmacopoeia 2020); Keep emergency supply for stressful periods"
What is the role of Shen in teenage mental health?,"Shen (Spirit/Mind) resides in the Heart and governs consciousness, emotions, mental clarity, and sense of self. Disturbed Shen causes all mental-emotional disorders in TCM theory - from anxiety to psychosis.","Primary Shen-calming points: HT7 (Shenmen - Spirit Gate), GV20 (Baihui - Hundred Convergences), Yintang, PC6 (Neiguan), CV17 (Shanzhong)","Shen-calming formulas: Gan Mai Da Zao Tang, Tian Wang Bu Xin Dan, An Shen Ding Zhi Wan (Calm Spirit Settle Emotions Pill) - Chinese Pharmacopoeia 2020"
How does Blood deficiency cause mental symptoms?,"Blood anchors and nourishes Shen. When deficient, Shen becomes unrooted like a boat without anchor, causing anxiety, insomnia, poor memory, emotional instability, and feeling 'floaty' or disconnected.","Blood-nourishing points: BL17 (Geshu - Diaphragm Shu), BL20 (Pishu - Spleen Shu), SP6 (Sanyinjiao), ST36 (Zusanli), HT7 (Shenmen)",Blood-tonifying formulas: Gui Pi Tang (Chinese Pharmacopoeia 2020); Si Wu Tang (Four Substances); Dang Gui Bu Xue Tang (Angelica Blood-Tonifying)
What is the Heart-Liver relationship in emotions?,"Heart governs Shen (consciousness) while Liver regulates emotional flow and smooth Qi movement. Their coordination ensures emotional stability; disharmony causes mood swings, anxiety, depression, and irritability.","Harmonizing points: HT7 (Shenmen), LR3 (Taichong), PC6 (Neiguan), LR14 (Qimen - Liver Alarm), CV17 (Shanzhong), BL15 (Xinshu), BL18 (Ganshu)",Harmonizing formulas: Xiao Yao San (frees both Liver and Heart) - Chinese Pharmacopoeia 2020; Chaihu Shugan San; Combined modifications
Why is Spleen important in treating depression?,"Spleen produces Qi and Blood from food, governs thinking/concentration, and is damaged by overthinking. Spleen deficiency causes fatigue, overthinking, worry, poor concentration, and rumination - all common in depression.","Spleen-tonifying points: ST36 (Zusanli), SP6 (Sanyinjiao), BL20 (Pishu), CV12 (Zhongwan), SP3 (Taibai), BL21 (Weishu)",Spleen-strengthening formulas: Gui Pi Tang (Restore the Spleen) - Chinese Pharmacopoeia 2020; Bu Zhong Yi Qi Tang (Tonify Middle Augment Qi); Si Jun Zi Tang
How does Kidney deficiency relate to fear and anxiety?,"Kidneys govern willpower, house original Qi/Essence, and control Water element (fear). Deficiency causes fear, low confidence, poor motivation, chronic anxiety, and feeling 'weak at the knees' - especially chronic or existential anxiety.","Kidney-tonifying points: KI3 (Taixi), BL23 (Shenshu), CV4 (Guanyuan), KI7 (Fuliu), KI6 (Zhaohai), GV4 (Mingmen - Life Gate)",Kidney-tonifying formulas: Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) - Chinese Pharmacopoeia 2020; You Gui Wan (warming); Zuo Gui Wan (nourishing)
How to select the right herbal formula for a teenager?,"Formula selection requires pattern diagnosis through pulse, tongue, symptoms, and emotional state assessment. Formulas are often modified to match individual constitutions and combined for complex presentations.","Points selected by pattern - Common: HT7, PC6, LR3, ST36, GV20, SP6; Add specific points based on pattern differentiation","Base formulas modified per individual (Chinese Pharmacopoeia 2020): Xiao Yao San (Liver Qi stagnation), Gui Pi Tang (Heart-Spleen deficiency), Gan Mai Da Zao Tang (anxiety), Chaihu Shugan San (Liver Qi + pain)"
Are there contraindications for teenage acupuncture?,"Generally safe when properly performed. Avoid during acute psychosis without supervision, severe bleeding disorders, extreme needle phobia, or unwilling patients. Note pregnancy-forbidden points in sexually active females (SP6, LI4, BL67).","Safe points for most situations: HT7, PC6, ST36, LR3, GV20, Yintang, Ear Shenmen - minimal risk areas",Most formulas safe for teens (Chinese Pharmacopoeia 2020); Avoid strong blood-moving herbs during menstruation; Reduce cold herbs if Spleen deficient; Monitor liver function with long-term use
What needle techniques work best for anxious teenagers?,"Use thin needles (0.16-0.20mm gauge, 30-32 gauge), gentle insertion with guide tubes, minimal stimulation, calming Bu (tonification) technique, and allow patient control over session length initially. Build trust gradually.","Gentle needling protocol: Yintang first (painless), then HT7, PC6, Ear Shenmen, GV20 - avoid sensitive areas initially; 3-5 points maximum first session","Start with pleasant-tasting formulas (Chinese Pharmacopoeia 2020): Pills (Xiao Yao Wan), pleasant decoctions (Gan Mai Da Zao Tang), avoid bitter tastes initially"
How to measure treatment progress objectively?,"Track sleep hours/quality (sleep diary), mood ratings (1-10 scale daily), anxiety frequency/intensity, social engagement, school performance, and standardized scales like PHQ-A (Patient Health Questionnaire - Adolescent) or GAD-7 (Generalized Anxiety Disorder).",Maintain consistent point protocols to assess response accurately - avoid changing too many variables at once,Monitor herbal compliance and responses (Chinese Pharmacopoeia 2020) - adjust formulas based on symptom changes; keep treatment log
What if acupuncture alone isn't sufficient?,"Combine acupuncture with herbal medicine for synergistic effects (acupuncture regulates Qi flow, herbs nourish substances). Add lifestyle counseling, dietary therapy, Qi Gong, meditation, and coordinate with mental health professionals as needed.","Intensify treatment: Increase frequency (2-3x weekly), add more points (8-10), use stronger techniques (electroacupuncture at HT7-PC6), ear seeds for home stimulation",Add or modify herbal formulas (Chinese Pharmacopoeia 2020) - combine multiple formulas for complex patterns; increase dosages appropriately; consider patent medicines for compliance
