id,tcm_pattern,short_description
64,Liver Blood stasis,Liver Blood stasis
65,Blood stasis in the Uterus,Blood stasis in the Uterus
66,Cold in the Uterus,Cold in the Uterus
67,Damp-Heat in the Lower Burner,Damp-Heat in the Lower Burner
68,Damp-Heat in the Intestines,Damp-Heat in the Intestines
69,Phlegm in the channels and collaterals,Phlegm in the channels and collaterals
70,Phlegm obstructing the orifices,Phlegm obstructing the orifices
71,Lung and Spleen Qi deficiency,Lung and Spleen Qi deficiency
72,Spleen and Kidney Yang deficiency,Spleen and Kidney Yang deficiency
73,Spleen and Lung Qi deficiency,Spleen and Lung Qi deficiency
74,Heart and Spleen Blood deficiency,Heart and Spleen Blood deficiency
75,Heart and Kidney Yin deficiency,Heart and Kidney Yin deficiency
76,Heart and Gallbladder Qi deficiency,Heart and Gallbladder Qi deficiency
77,Liver and Kidney Yin deficiency,Liver and Kidney Yin deficiency
78,Liver Blood and Kidney Yin deficiency,Liver Blood and Kidney Yin deficiency
79,Qi and Blood deficiency,Qi and Blood deficiency
80,Qi and Yin deficiency,Qi and Yin deficiency
81,Yang deficiency with Cold,Yang deficiency with Cold
82,Yin deficiency with Heat,Yin deficiency with Heat
83,Qi stagnation with Blood stasis,Qi stagnation with Blood stasis
84,Qi deficiency with Dampness,Qi deficiency with Dampness
85,Damp-Heat in the Middle Burner,Damp-Heat in the Middle Burner
86,Damp-Cold in the Middle Burner,Damp-Cold in the Middle Burner
87,Exterior Wind-Cold,Exterior Wind-Cold
88,Exterior Wind-Heat,Exterior Wind-Heat
89,Exterior Wind-Damp,Exterior Wind-Damp
90,Interior Cold (full Cold),Interior Cold (full Cold)
91,Interior Heat (full Heat),Interior Heat (full Heat)
92,Empty Heat (Yin deficiency Heat),Empty Heat (Yin deficiency Heat)
93,True Cold false Heat,True Cold false Heat
94,True Heat false Cold,True Heat false Cold
95,Blood Heat,Blood Heat
96,Blood Dryness,Blood Dryness
97,Blood stasis (general),Blood stasis (general)
98,Interior Dampness,Interior Dampness
99,Interior Phlegm,Interior Phlegm
100,Phlegm-Heat (general),Phlegm-Heat (general)
101,Phlegm-Cold (general),Phlegm-Cold (general)
102,Collapse of Qi,Collapse of Qi
103,Collapse of Yin,Collapse of Yin
104,Collapse of Yang,Collapse of Yang
