Diagnostic_Category,Finding,Description,TCM_Pattern_Indication,Clinical_Significance,Associated_Symptoms,Treatment_Principle
Tongue Shape - Size,Thin/Emaciated (Shou Shou),"Tongue appears small, thin, or shrunken","Qi-Blood deficiency, Yin deficiency, Fluid depletion",Severe depletion of body substances,"Emaciation, dry symptoms, fatigue, malnourishment","Tonify qi-blood, nourish yin, generate fluids"
Tongue Shape - Size,Short Tongue (Duan Suo),"Tongue appears shortened, cannot extend normally","Interior cold, extreme heat consuming fluids, tendon contraction","Severe pathology, tendons unable to extend tongue","Severe cold or heat, stiffness, contractures",Warm yang and dispel cold OR clear heat and nourish yin
Tongue Shape - Size,Long Tongue (Chang Da),Tongue can extend beyond normal length,"Heart fire, Spleen heat",Heat causing expansion and extension,"Restlessness, insomnia, mouth sores, irritability","Clear heart fire, drain spleen heat"
Tongue Shape - Features,Teeth Marks (Chi Hen),Indentations from teeth along sides of tongue,"Spleen Qi deficiency, Dampness, Yang deficiency","Weak spleen unable to transform fluids, tongue swells against teeth","Fatigue, loose stools, edema, poor appetite, heavy limbs","Tonify spleen qi, resolve dampness"
Tongue Shape - Features,Cracks/Fissures (Lie Wen),Cracks or fissures on tongue surface,"Yin deficiency, Blood deficiency, Heat damaging fluids, congenital","Depletion of yin and fluids, or constitutional (if lifelong)","Dry mouth, night sweats, thirst, dry skin","Nourish yin, generate fluids (if pathological)"
Tongue Shape - Features,Central Crack,Single crack running down center of tongue,"Heart-Kidney yin deficiency if deep, or constitutional","Disconnect between heart and kidney, or normal variant if shallow","Insomnia, anxiety, palpitations, lower back weakness","Connect heart and kidney, nourish yin if symptomatic"
Tongue Shape - Features,Multiple Cracks,Many small cracks across tongue surface,"Severe Yin-Fluid deficiency, chronic Heat",Severe depletion of body fluids,"Severe dryness, chronic disease, emaciation",Strongly nourish yin and generate fluids
Tongue Shape - Features,Hammer/Mallet Shape,"Tongue enlarged at tip, narrower at root","Heart involvement, yin deficiency with empty heat",Heat and fluid deficiency affecting heart,"Palpitations, anxiety, insomnia, heart issues","Nourish heart yin, clear deficiency heat"
Tongue Shape - Features,Pointed Tip,Tip of tongue comes to a point,"Heart fire rising, emotional agitation",Heat and disturbance in heart/shen,"Anxiety, agitation, insomnia, mouth ulcers","Clear heart fire, calm shen"
Tongue Shape - Features,Deviated Tongue,Tongue deviates to one side when extended,"Wind-stroke, channel obstruction, internal wind","Post-stroke, nerve damage, or channel blockage","Stroke symptoms, paralysis, deviation of face/mouth","Extinguish wind, open channels, invigorate blood"
Tongue Shape - Features,Curved/Curled Tongue,Tongue curves or curls abnormally,"Internal wind, tendon contraction, extreme heat or cold",Severe pathology affecting tendons and channels,"Seizures, spasms, severe illness","Extinguish wind, nourish blood-yin, relax tendons"
Tongue Texture,Smooth/Delicate (Xi Nen),"Tongue appears smooth, soft, tender","Yin-Qi deficiency, Fluid deficiency","Depletion of qi and yin, sensitive and fragile state","Fatigue, tendency to illness, sensitivity",Tonify qi and yin gently
Tongue Texture,Rough/Coarse (Cang Cu),"Tongue surface appears rough, papillae prominent","Excess heat, Blood stasis, Fluid depletion",Heat or stagnation creating rough texture,"Dryness, heat signs, pain, stagnation symptoms","Clear heat, invigorate blood, generate fluids"
Tongue Texture,Flaccid/Flabby (Chi Ruan),"Tongue limp, weak, hard to extend","Severe Qi-Blood deficiency, Fluid depletion, extreme heat consuming fluids","Extreme deficiency, lack of qi and fluids to support tongue","Severe weakness, dehydration, extreme fatigue","Strongly tonify qi-blood, generate fluids"
Tongue Texture,Stiff/Rigid (Qiang Ying),"Tongue stiff, difficult to move or protrude","Internal wind, Phlegm obstructing channels, extreme heat or cold","Serious obstruction or wind, stroke risk or present","Speech difficulty, stroke signs, high fever, seizures","Extinguish wind, resolve phlegm, clear heat/warm cold"
Tongue Texture,Trembling Tongue (Chan Dong),Tongue trembles or quivers when extended,"Qi deficiency, Blood deficiency, internal Wind, fear/anxiety",Deficiency unable to nourish tendons or internal wind stirring,"Tremors, weakness, anxiety, fear, chronic deficiency","Tonify qi-blood, calm liver wind, settle shen"
Special Findings,Red Prickles/Raised Papillae (Hong Ci),"Raised red bumps or prominent papillae, strawberry-like",Extreme Heat in nutritive or blood level,"Deep heat, often with toxins or severe inflammation","High fever, severe infection, toxic heat conditions","Clear heat from nutritive/blood level, cool blood"
Special Findings,Black Spots,Dark or black spots on tongue,Critical stagnation or temperature extreme,,"Severe pain, critical illness, circulatory crisis",Invigorate blood strongly OR address temperature extreme urgently
Special Findings,Purple Spots/Petechiae,"Purple or red-purple spots, often under tongue","Blood stasis, poor circulation",Stagnant blood in vessels,"Pain, masses, varicose veins, menstrual issues with clots","Invigorate blood, remove stasis"
Special Findings,Sublingual Veins - Normal,"Thin, pale purple veins under tongue, not prominent",Normal circulation,Healthy state,None,Maintain balance
Special Findings,Sublingual Veins - Distended/Dark,"Thick, dark purple, engorged veins under tongue","Blood stasis, poor circulation, cardiovascular issues","Stagnant blood flow, potential heart/circulation problems","Chest pain, fixed pain, cardiovascular disease, varicose veins","Invigorate blood, remove stasis, improve circulation"
Special Findings,Mirror Tongue (Jing Mian She),"Completely smooth, shiny surface with no coating or papillae",Severe Stomach-Kidney yin deficiency,"Critical depletion of yin and fluids, stomach qi severely damaged","Severe malnutrition, chronic illness, emaciation, dry mouth","Strongly nourish yin, generate fluids, restore stomach qi"
Special Findings,Strawberry Tongue,Red tongue with prominent red papillae resembling strawberry,"Extreme heat in blood level, toxic heat","Severe infection, scarlet fever, toxic syndrome","High fever, rash, severe infection, delirium","Clear heat-toxin from blood level, cool blood"
Special Findings,Geographic Tongue (Map Tongue),Irregular patches of coating loss creating map-like pattern,"Stomach-Kidney yin deficiency, possible parasites (traditional view)","Yin deficiency with unstable stomach qi, or benign condition",May be asymptomatic or digestive weakness,Nourish stomach-kidney yin if symptomatic
Special Findings,Ulcers/Sores on Tongue,"Painful ulcers or sores, usually on tip or sides","Heart fire, Spleen heat, Yin deficiency fire","Heat or deficiency fire, often with stress or illness","Pain, difficulty eating, often with stress or immune compromise",Clear heart-spleen fire OR nourish yin and clear deficiency heat
Tongue Moisture,Normal Moisture (Zheng Chang Shi Run),"Tongue has appropriate moisture, neither too dry nor too wet","Normal fluid metabolism, healthy state",Proper fluid balance and transformation,None specific,Maintain balance
Tongue Moisture,Dry Tongue (Gan Zao),"Tongue appears dry, may have cracks, rough texture","Yin-Fluid deficiency, Heat damaging fluids, Fluid depletion","Depletion of body fluids, dryness","Thirst, dry mouth, dry skin, constipation, dry cough","Generate fluids, nourish yin, clear heat if present"
Tongue Moisture,Wet/Moist Tongue (Shi Run),"Tongue appears appropriately moist, healthy shine","Normal, adequate fluids",Good fluid metabolism,Generally healthy,Maintain balance
Tongue Moisture,Excessively Wet/Slippery (Hua Li),"Tongue very wet, may drip saliva, slippery coating","Yang deficiency, Dampness, Phlegm-fluids, Cold","Impaired fluid transformation, excess dampness","Loose stools, edema, profuse thin discharge, cold limbs","Warm yang, transform dampness, resolve phlegm-fluids"
Tongue Movement,Normal Movement,"Tongue extends, retracts, and moves freely and normally","Healthy state, channels clear",Normal function,None,Maintain balance
Tongue Movement,Lolling/Protruding Tongue,Tongue habitually sticks out or protrudes,"Heart-Spleen heat, congenital condition, or neurological issue",Heat pushing tongue out or structural/neurological problem,Varies: may have heat signs or be developmental,Clear heart-spleen heat if acquired; support if congenital
Tongue Movement,Difficulty Extending Tongue,Cannot fully protrude tongue,"Spleen qi deficiency, Phlegm obstruction, or Wind-Cold constraining",Weakness or obstruction preventing extension,"Weakness, heavy sensation, or cold symptoms","Tonify spleen, resolve phlegm, or release exterior depending on cause"
