Question,Answer,Acupuncture_Points,Pharmacopeia
What is KID YIN XU?,"אם זה לא המקור HT YIN XU או KID YIN XU עיקרון טיפולי - נרצה לחזק ST YIN וגם YIN כללי * לא נעשה שימוש במוקסה, במילא יש לנו חום מדומה נקודות הדיקור: ST 44 - נקודת מעיין, מים, שער הנוזלים, מחזקת KID YIN לפזר את ST 1 PC 6 - מסטר של YIN WEI, היא אמפירית נגד בחילות ונגד ריח רע מהפה CV 12 SP 12 - מחזקת יין אצל נשים ST 36 KID 27 - מחזקת יין אצל גברים KID 10 KID 7 KID 6 - אם יש צרבת ויובש הנקודה תהיה טובה ותעלה יין למעלה 4 ST FIRE BLAZING","BL23, CV4, SP6, BL22, BL28, LIV8, LIV14, SP12, LIV3, KID7, KID3, KID10, GB25, LU2, PC6",
What is LIV QI STG?,"קריסה והתמוטטות של הרקטום, תחושה של משיכות למטה והחוצה במצב פחות חמור אנו נפגוש טחורים, רעשים בבטן, כאשר טחורים לרוב זה על רקע LIV QI STG ","SP10, BL11, ST37, SP4, CV4, LIV3, CV12, SP6, LIV9, LIV14, ST40, SP16, LU3",
What is LIV FIRE?,"1 חום שמקורו בLIV FIRE BLAZING 2 יאנג שהLIV YANG עולה למעלה, עקב חולשה של LIV YIN חוסר דם בתוך הLIV שיוצר עודף יאנג בLIV - שיוצר רוח בLIV","ST40, BL2",
What is LIV YIN XU?,החמרה של LIV YIN XU  על רקע חסר דם כללי בגוף על רקע דימומים ממושכים על רקע מחלות כרוניות חמות ,"KID3, KID6, ST37, SI4, SP4, BL11, CV14, PC6, CV4, SP10, SP1, LIV2, LIV3, GB34, KID1",
What is LIV BLOOD XU?,"HT YIN XU - החמרה של HT BLOOD XU יכול לבוא על רקע LIV BLOOD XU, יכול להופיע על רקע KID YIN XU, LIV YIN XU, גורם נוסף הוא מחלה כרונית ממושכת, כגון דלקת פרקים * גורם נוסף הנו מצב אמוציונלי כמו חרדות, כעס, תסכול, עצבות שיוצר סטגנציה, היוצרת חום ומעיבה על כל מערך הYIN בגוף כאשר יש לנו HT YIN XU התסמין העיקרי הנו שינה לא טובה, אנשים קמים הרבה פעמים במהלך הלילה וכן הם חולמים הרבה חלומות שהינם מאוד אמיתיים יש לנו פלפיטציות, אין את הכוח הייני שממתן, מרגיע, יש דפיקות לב מואצות, לא מוסדרות, ללא קשר למאמץ","GB39, SP10, BL11, SP1, TH4, CV4, ST37, SI4, SP4, CV14, PC6",
What is LIV WIND?,"3 LIV BL XU שגורם לLIV WIND מדברים על מצב של חסר עם עודף עקב החסר, המצב הוא הרבה פחות דרמטי אטיולוגיה","CO11, LIV2, LIV3, LIV8, GV12, KID3, GB34, LIV9, CO4, ST31, ST36, ST40, HT5, GV15",
What is ST QI XU?,1 ST QI XU  2 אכילה לא מווסתת 3 חסר יאנג או התקפה חיצונית של קור סימפטומים כלליים לשניהם: תחושת כאב באזור הST וגם תחושה קרה באזור הST - אנו נוגעים בקיבה ומרגישים תחושה קרה,"ST37, ST39, BL21, ST36, ST42, ST25, CV12, ST30, CV4, BL39, TH6, CV9, ST41, ST22",
What is ST YANG XU?,2 ST YANG XU - נקרא גם ST COLD הסינדרום מתחלק ל2: א קור פולש ומתקיף את הST והמעיים ב,,
What is QI XU?,"א סטגנצייה של צ'י או QI XU כללי בגוף ב חום בתוך הדם שנגרם על רקע LIV חלש ולא מווסת, שגורם לדם להתנוענע במהירות ובפראיות וגורם לפצעים בST הLIV פולש לST , העץ הלא מווסת, אלים, פולש לST וחובט בה ופוצע אותה, נוצר כיב היכול לדמם, הוא חם, אחת הבעיות הן שלוקח זמן עד להחלמתן (רקמת הקיבה מגורה כל הזמן)","SP8, SI4, LU2, TH8, TH9, LU1, LU9, TH4, BL13, CV4, GV4, BL23, ST36, CV12, GV20",
What is YANG XU?,2 ST YANG XU - נקרא גם ST COLD הסינדרום מתחלק ל2: א קור פולש ומתקיף את הST והמעיים ב,"BL23, BL20, KID9, KID7, GV4, LU7, CO4, BL13, KID2, ST37, ST39, CV4, CV6, BL39, CO10",
What is YIN XU?,"* ST YIN XU עיקרון טיפולי - לפזר את החום, קירור ופיזור החום נקודות לדיקור: ST 41 - נפזר ST 42 - בחיזוק CV 9 - נקודת משק הנוזלים CO 11 CV 12 אם זה בא מהLIV, נוריד את האש על ידי LIV 2 פיזור, נחזק על ידי LIV 2,LIV 8 TH 11 - היא יכולה להרגיע קצת 5 סטגנציה של אוכל בST אטיולוגיה: א חסר צ'י כללי בגוף - לאנשים אין אנרגיה בגוף אך הם אוכלים אוכל רב הדורש הרבה אנרגיה לפירוק והתמרה","KID10, SP12, CO11, SP6, ST36, LU1, GB25, ST25, LU10, LU6, CV17, LU5, KID6, LU7, LU4",
What is BLOOD XU?,"3 אם יש ברקע BLOOD XU או YIN XU יכולות להיות סחרחורות 4 אם זה נובע מחום בCO או בST תהיה הרגשה של חום שכאילו מוקרן לפי הטבעת * בסינדרום הקודם הייתה תחושה של צריבה בפי הטבעת, כאן אין תחושה אלא סתם יובש","KID10, SP12, CO11, ST37, ST39, SP6, LU1, GB25, CV4, CV6, KID3, KID6, KID7, LIV9, HT6",
What is XUE XU?,א הלב יפגע כי הכבד לא מזין אותו בדם - HT XUE XU ב רוח יכולה להתחיל ולתפוס את החלל שמותיר אחריו חסר הדם בכבד חסר הדם מייצר ריק שיכולה לתפוס אותו רוח (יש סינדרום של רוח משתוללת בכבד) עיקרון טיפולי:,"SP4, LU1",
