Question,Answer,Climate_Type,Acupuncture_Points,Pharmacopeia
How do you treat hypothermia using TCM methods?,"Emergency warming of yang qi, rescue ming men fire, restore core temperature, tonify kidney yang urgently.",Arctic/Extreme Cold,"DU-4 (Mingmen), REN-6 (Qihai), REN-4 (Guanyuan), ST-36 (Zusanli), heavy moxa","Si Ni Tang (Frigid Extremities Decoction) - Fu Zi, Gan Jiang, Gan Cao for yang collapse"
What points treat Raynaud's phenomenon in cold climates?,"Warm yang, invigorate blood, open channels to extremities, regulate autonomic function.",Arctic/Extreme Cold,"HT-7 (Shenmen), PC-6 (Neiguan), LI-4 (Hegu), ST-36 (Zusanli), Baxie/Bafeng (Extra)",Huang Qi Gui Zhi Wu Wu Tang (Astragalus and Cinnamon Twig Five Herb Decoction)
How to address chronic cold-induced arthritis?,"Expel wind-cold-damp from joints, warm channels, invigorate blood, strengthen liver-kidney.",Arctic/Cold-Damp,"GB-34 (Yanglingquan), ST-36 (Zusanli), BL-23 (Shenshu), local Ashi points, moxa",Du Huo Ji Sheng Tang (Angelica Pubescens and Loranthus Decoction) for cold - damp bi
What is the treatment for cold-induced asthma?,"Warm lung, dispel cold, descend rebellious qi, tonify kidney yang to grasp qi.",Arctic/Extreme Cold,"DU-14 (Dazhui), BL-13 (Feishu), LU-7 (Lieque), REN-17 (Danzhong), BL-23 (Shenshu)",She Gan Ma Huang Tang (Belamcanda and Ephedra Decoction) + kidney yang tonification
How do you treat cold-induced urinary frequency?,"Warm kidney yang, consolidate kidney qi, warm lower jiao, stop frequent urination.",Arctic/Extreme Cold,"REN-4 (Guanyuan), REN-3 (Zhongji), BL-23 (Shenshu), BL-28 (Pangguangshu), SP-6 (Sanyinjiao)","Suo Quan Wan (Shut the Sluice Pill) - Yi Zhi Ren, Wu Yao, Shan Yao to warm kidney"
What points address cold-induced immune weakness and frequent colds?,"Tonify wei qi, warm lung and spleen yang, strengthen defensive qi against exterior cold.",Arctic/Extreme Cold,"LI-4 (Hegu), LU-7 (Lieque), ST-36 (Zusanli), BL-13 (Feishu), DU-14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder) - Huang Qi, Bai Zhu, Fang Feng"
How to treat chilblains from prolonged cold exposure?,"Warm channels, invigorate blood, dispel cold-stasis, reduce swelling, relieve itching.",Arctic/Extreme Cold,"Local surrounding affected area, LI-4 (Hegu), SP-6 (Sanyinjiao), ST-36 (Zusanli), moxa",Dang Gui Si Ni Tang (Tangkuei Decoction for Frigid Extremities) + blood - moving herbs
What is the treatment for cold-induced depression (SAD)?,"Tonify kidney yang, warm heart yang, move liver qi, raise clear yang, lift mood.",Arctic/Extreme Cold/Low Light,"DU-20 (Baihui), DU-4 (Mingmen), HT-7 (Shenmen), LV-3 (Taichong), ST-36 (Zusanli)",You Gui Wan (Restore the Right [Kidney] Pill) to warm kidney yang + mood regulation
How do you address chronic fatigue from long cold winters?,"Tonify kidney yang and qi, warm ming men fire, strengthen spleen, boost vital energy.",Arctic/Extreme Cold,"DU-4 (Mingmen), REN-6 (Qihai), ST-36 (Zusanli), BL-23 (Shenshu), KI-3 (Taixi)",Jin Gui Shen Qi Wan (Kidney Qi Pill from the Golden Cabinet) for kidney yang deficiency
What points treat cold-induced back pain?,"Warm kidney yang, expel cold from channels, invigorate blood, strengthen lower back.",Arctic/Extreme Cold,"BL-23 (Shenshu), DU-4 (Mingmen), BL-40 (Weizhong), BL-60 (Kunlun), Yaoyan (Extra)","Shen Zhuo Tang (Kidney착 착Tang) - warm kidney, dispel cold - damp from lower back"
How to prevent cold wind invasion of face and head?,"Release exterior wind-cold, warm channels on face, strengthen wei qi, open facial channels.",Arctic/Extreme Cold/Wind,"GB-20 (Fengchi), LI-4 (Hegu), LI-20 (Yingxiang), ST-7 (Xiaguan), Taiyang (Extra)",Chuan Xiong Cha Tiao San (Ligusticum and Green Tea Regulating Powder) for wind - cold headache
What is the treatment for cold-induced menstrual pain?,"Warm channels, expel cold from uterus, move blood and qi, regulate ren and chong mai.",Arctic/Extreme Cold,"REN-4 (Guanyuan), SP-6 (Sanyinjiao), SP-8 (Diji), REN-3 (Zhongji), ST-29 (Guilai)",Wen Jing Tang (Warm the Menses Decoction) - dispels cold from uterus
How do you treat cold-induced digestive weakness?,"Warm spleen and stomach yang, dispel interior cold, tonify middle jiao, improve digestion.",Arctic/Extreme Cold,"REN-12 (Zhongwan), ST-36 (Zusanli), REN-6 (Qihai), BL-20 (Pishu), BL-21 (Weishu)","Li Zhong Wan (Regulate the Middle Pill) - Ren Shen, Gan Jiang, Bai Zhu, Gan Cao"
What points address cold-induced joint stiffness in morning?,"Warm yang qi, invigorate blood and channels, expel cold-damp, relax sinews.",Arctic/Cold-Damp,"GB-34 (Yanglingquan), LV-3 (Taichong), ST-36 (Zusanli), DU-4 (Mingmen), local joints",Gui Zhi Tang (Cinnamon Twig Decoction) modified + warming herbs for channels
What is the TCM treatment for acute mountain sickness (altitude sickness)?,"Descend rebellious qi, regulate lung qi, tonify kidney to grasp qi, harmonize middle jiao.",High Altitude/Mountains,"ST-36 (Zusanli), PC-6 (Neiguan), LU-7 (Lieque), REN-17 (Danzhong), BL-23 (Shenshu)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment Qi) + descending herbs
How do you address chronic hypoxia at high altitude?,"Tonify lung and kidney qi, improve qi grasping, enhance oxygen utilization, nourish blood.",High Altitude/Mountains,"BL-13 (Feishu), BL-23 (Shenshu), LU-9 (Taiyuan), KI-3 (Taixi), REN-17 (Danzhong)",Ren Shen Ge Jie San (Ginseng and Gecko Powder) to support lung - kidney qi grasping
What points treat high-altitude headaches?,"Descend yang, clear head, regulate qi and blood to head, calm liver, open orifices.",High Altitude/Mountains,"DU-20 (Baihui), GB-20 (Fengchi), LI-4 (Hegu), LV-3 (Taichong), Taiyang (Extra)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria) + qi - regulating herbs
How to treat altitude-induced insomnia?,"Calm shen, tonify heart and kidney, descend floating yang, harmonize yin and yang.",High Altitude/Mountains,"HT-7 (Shenmen), KI-3 (Taixi), Yintang, Anmian (Extra), SP-6 (Sanyinjiao)",Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill) to connect heart - kidney
What is the treatment for altitude-induced nausea and vomiting?,"Descend rebellious stomach qi, harmonize middle jiao, regulate qi flow, calm shen.",High Altitude/Mountains,"PC-6 (Neiguan), ST-36 (Zusanli), REN-12 (Zhongwan), SP-4 (Gongsun), LV-3 (Taichong)",Xiao Ban Xia Tang (Minor Pinellia Decoction) to descend rebellious qi
How do you address high-altitude pulmonary edema (HAPE)?,"Emergency descend altitude. Drain lung fluids, tonify kidney yang, restore lung qi descent, move water.",High Altitude/Mountains,"LU-5 (Chize), LU-7 (Lieque), SP-9 (Yinlingquan), REN-9 (Shuifen), BL-13 (Feishu)",Ting Li Da Zao Xie Fei Tang (Lepidium and Jujube Drain Lung Decoction) - emergency drainage
What points treat high-altitude cerebral edema (HACE)?,"Emergency descend! Open orifices, drain phlegm-fluids from head, restore consciousness, regulate qi.",High Altitude/Mountains,"DU-26 (Renzhong), DU-20 (Baihui), PC-6 (Neiguan), GB-20 (Fengchi), Shixuan (Extra)",An Gong Niu Huang Wan (Calm Palace Pill) to open orifices + phlegm resolution
How to prevent altitude sickness before ascending?,"Tonify lung and kidney qi preventively, strengthen wei qi, improve oxygen capacity.",High Altitude/Mountains,"ST-36 (Zusanli), LU-9 (Taiyuan), KI-3 (Taixi), BL-13 (Feishu), REN-17 (Danzhong)","Sheng Mai San (Generate Pulse Powder) - Ren Shen, Mai Men Dong, Wu Wei Zi preventively"
What is the treatment for UV-induced skin damage at altitude?,"Cool blood-heat, nourish yin, clear heat-toxin, promote tissue healing, moisten skin.",High Altitude/Mountains,"LI-11 (Quchi), SP-10 (Xuehai), SP-6 (Sanyinjiao), LU-7 (Lieque), distal points",Qing Ying Tang (Clear Nutritive Level) + topical Zi Cao (Lithospermum) preparations
How do you address altitude-induced epistaxis (nosebleeds)?,"Cool blood, descend rising qi, nourish yin, stop bleeding, clear lung heat.",High Altitude/Mountains,"LI-4 (Hegu), LI-20 (Yingxiang), DU-23 (Shangxing), LU-6 (Kongzui), LV-3 (Taichong)",Si Sheng Wan (Four Fresh Decoction) to cool blood and stop bleeding
What is the TCM approach to chronic dampness in tropical climates?,"Transform dampness, strengthen spleen, resolve phlegm, dry dampness without injuring yin.",Tropical/Humid,"SP-9 (Yinlingquan), ST-36 (Zusanli), REN-12 (Zhongwan), ST-40 (Fenglong), SP-6 (Sanyinjiao)","Ping Wei San (Calm the Stomach Powder) - Cang Zhu, Hou Po, Chen Pi to dry dampness"
How do you treat tropical fungal infections (dampness-heat in skin)?,"Clear damp-heat, resolve toxins, dry dampness from skin, cool blood, kill parasites.",Tropical/Humid,"SP-9 (Yinlingquan), LI-11 (Quchi), SP-10 (Xuehai), SP-6 (Sanyinjiao), local surrounding",Long Dan Xie Gan Tang (Gentian Drain Liver Decoction) + topical She Chuang Zi wash
What points address tropical damp-heat diarrhea?,"Clear damp-heat from intestines, regulate spleen-stomach, stop diarrhea, resolve toxins.",Tropical/Humid-Heat,"ST-25 (Tianshu), ST-37 (Shangjuxu), SP-9 (Yinlingquan), ST-36 (Zusanli), REN-6 (Qihai)","Ge Gen Huang Qin Huang Lian Tang (Kudzu, Scutellaria, Coptis Decoction) for damp - heat dysentery"
How to treat monsoon-induced rheumatism (wind-damp-heat)?,"Expel wind-damp, clear heat from joints, open channels, invigorate blood, relieve pain.",Tropical/Monsoon/Humid,"GB-34 (Yanglingquan), SP-9 (Yinlingquan), LI-11 (Quchi), ST-36 (Zusanli), local Ashi",Bai Hu Jia Gui Zhi Tang (White Tiger plus Cinnamon Twig) for heat bi syndrome
What is the treatment for tropical sprue/malabsorption (spleen dampness)?,"Strengthen spleen, transform dampness, regulate middle jiao, improve transformation function.",Tropical/Humid,"ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), BL-20 (Pishu), ST-25 (Tianshu)","Shen Ling Bai Zhu San (Ginseng, Poria, Atractylodes Powder) to tonify spleen and drain damp"
How do you address tropical lethargy and heavy sensation?,"Transform dampness, lift clear yang, tonify spleen qi, resolve turbidity, lighten body.",Tropical/Humid,"DU-20 (Baihui), ST-36 (Zusanli), SP-9 (Yinlingquan), REN-6 (Qihai), BL-20 (Pishu)",Huo Xiang Zheng Qi San (Agastache Rectify Qi) to transform dampness and raise qi
What points treat chronic sinusitis in humid climates?,"Transform phlegm-dampness, clear nasal passages, dispel turbidity, drain damp-heat.",Tropical/Humid,"LI-20 (Yingxiang), Yintang, LI-4 (Hegu), ST-40 (Fenglong), BL-2 (Zanzhu)",Cang Er Zi San (Xanthium Powder) to open nasal passages and drain dampness
How to treat tropical ulcers (damp-heat toxin)?,"Clear heat-toxin, resolve dampness, invigorate blood, promote tissue regeneration.",Tropical/Humid-Heat,"SP-10 (Xuehai), LI-11 (Quchi), SP-9 (Yinlingquan), ST-36 (Zusanli), surrounding needling",Xian Fang Huo Ming Yin (Immortal Formula for Sustaining Life) to clear toxins
What is the treatment for dampness-induced obesity?,"Transform phlegm-dampness, strengthen spleen, promote metabolism, resolve turbid fat.",Tropical/Humid,"ST-40 (Fenglong), ST-36 (Zusanli), SP-9 (Yinlingquan), REN-12 (Zhongwan), ST-25 (Tianshu)",Er Chen Tang (Two - Cured Decoction) + Cang Zhu to transform phlegm - damp
How do you address vaginal infections from tropical humidity?,"Clear damp-heat from lower jiao, resolve toxins, dry dampness, regulate ren mai.",Tropical/Humid-Heat,"SP-9 (Yinlingquan), SP-6 (Sanyinjiao), REN-3 (Zhongji), ST-28 (Shuidao), LV-5 (Ligou)",Long Dan Xie Gan Tang (Gentian Drain Liver) + topical She Chuang Zi Fu Yan wash
What points treat tropical intestinal parasites?,"Expel parasites, clear damp-heat, regulate intestines, kill worms, restore spleen function.",Tropical/Humid,"ST-25 (Tianshu), REN-12 (Zhongwan), ST-36 (Zusanli), LI-4 (Hegu), ST-37 (Shangjuxu)",Wu Mei Wan (Mume Pill) or Fei Zi Li Zhong Wan for parasites with damp - cold
How to treat athlete's foot in humid tropical conditions?,"Clear damp-heat from lower body, kill fungus, dry dampness from feet, open channels.",Tropical/Humid-Heat,"SP-9 (Yinlingquan), SP-6 (Sanyinjiao), LV-3 (Taichong), KI-1 (Yongquan), Bafeng (Extra)","Four Huang Wash (Huang Bai, Huang Qin, Huang Lian, Da Huang) - topical foot soak"
What is the treatment for tropical ear infections (damp-heat)?,"Clear damp-heat from gallbladder channel, drain pus, resolve toxins, open ear orifice.",Tropical/Humid-Heat,"TE-17 (Yifeng), TE-21 (Ermen), GB-2 (Tinghui), TE-5 (Waiguan), LI-4 (Hegu)",Long Dan Xie Gan Tang (Gentian Drain Liver) for gallbladder damp - heat
How do you address dampness-induced edema in tropical climates?,"Transform dampness, promote urination, strengthen spleen and kidney, move water.",Tropical/Humid,"SP-9 (Yinlingquan), REN-9 (Shuifen), ST-28 (Shuidao), BL-22 (Sanjiaoshu), KI-7 (Fuliu)",Wu Ling San (Five - Ingredient Powder with Poria) to promote urination and drain damp
What points treat tropical malarial patterns (alternating fever/chills)?,"Harmonize shaoyang, resolve dampness, clear heat, stop alternating patterns, expel pathogen.",Tropical/Humid,"TE-5 (Waiguan), GB-34 (Yanglingquan), DU-14 (Dazhui), ST-36 (Zusanli), PC-5 (Jianshi)",Xiao Chai Hu Tang (Minor Bupleurum Decoction) for shaoyang patterns
How to treat chronic dry cough in arid climates?,"Nourish lung yin, moisten dryness, descend lung qi, generate fluids, stop cough.",Desert/Arid/Dry,"LU-7 (Lieque), LU-5 (Chize), LU-9 (Taiyuan), KI-6 (Zhaohai), REN-17 (Danzhong)",Sang Xing Tang (Mulberry Leaf and Apricot Kernel Decoction) for dry cough
What is the treatment for dry eyes in desert environments?,"Nourish liver and kidney yin, moisten eyes, generate fluids, benefit essence to eyes.",Desert/Arid/Dry,"BL-1 (Jingming), BL-2 (Zanzhu), GB-37 (Guangming), LV-3 (Taichong), KI-3 (Taixi)","Qi Ju Di Huang Wan (Lycium, Chrysanthemum, Rehmannia Pill) for liver - kidney yin"
How do you address constipation from dryness and heat?,"Nourish yin, moisten intestines, gently move stool, generate fluids, clear heat if present.",Desert/Arid/Dry,"ST-25 (Tianshu), ST-37 (Shangjuxu), TE-6 (Zhigou), KI-6 (Zhaohai), REN-12 (Zhongwan)",Ma Zi Ren Wan (Hemp Seed Pill) to moisten intestines and move stool
What points treat brittle hair and nails from chronic dryness?,"Nourish blood and kidney essence, moisten dryness, benefit liver blood to extremities.",Desert/Arid/Dry,"BL-18 (Ganshu), BL-23 (Shenshu), SP-6 (Sanyinjiao), KI-3 (Taixi), LV-8 (Ququan)",Zuo Gui Wan (Restore Left [Kidney] Pill) to nourish kidney essence and blood
How to treat throat dryness and hoarseness in dry climates?,"Nourish lung and kidney yin, moisten throat, generate fluids, benefit vocal cords.",Desert/Arid/Dry,"LU-10 (Yuji), LU-11 (Shaoshang), KI-6 (Zhaohai), REN-23 (Lianquan), REN-22 (Tiantu)",Yang Yin Qing Fei Tang (Nourish Yin and Clear Lung Decoction) for throat dryness
What is the treatment for yin-deficiency night sweats in hot dry climates?,"Nourish yin, secure essence, stop sweating, cool deficiency heat, tonify kidney.",Desert/Arid/Dry-Heat,"KI-7 (Fuliu), HT-6 (Yinxi), KI-3 (Taixi), SP-6 (Sanyinjiao), DU-14 (Dazhui)",Dang Gui Liu Huang Tang (Tangkuei and Six - Yellow Decoction) for yin deficiency night sweats
How do you address premature aging from extreme dryness?,"Tonify kidney essence deeply, nourish yin and blood, moisten dryness, protect jing.",Desert/Arid/Dry,"KI-3 (Taixi), BL-23 (Shenshu), REN-4 (Guanyuan), DU-4 (Mingmen), SP-6 (Sanyinjiao)",Zuo Gui Wan (Restore Left Kidney Pill) + He Shou Wu for anti - aging
What points treat dry eczema and dermatitis?,"Nourish blood and yin, moisten skin, cool blood if heat, stop itching, benefit lung.",Desert/Arid/Dry,"SP-10 (Xuehai), LI-11 (Quchi), SP-6 (Sanyinjiao), LU-7 (Lieque), BL-17 (Geshu)","Si Wu Tang (Four - Substance) + Run Zao herbs - Dang Gui, Di Huang, Bai Shao + moistening"
How to treat yin-deficiency tinnitus in dry environments?,"Nourish kidney and liver yin, anchor rising yang, benefit essence to ears, calm shen.",Desert/Arid/Dry,"KI-3 (Taixi), TE-17 (Yifeng), GB-2 (Tinghui), TE-3 (Zhongzhu), SI-19 (Tinggong)",Er Long Zuo Ci Wan (Deafness Left Support Pill) for kidney - liver yin deficiency tinnitus
What is the treatment for dust-induced respiratory irritation?,"Clear lung, moisten dryness, resolve phlegm, protect lung from dryness and dust.",Desert/Arid/Dusty,"LU-7 (Lieque), LU-5 (Chize), ST-40 (Fenglong), REN-17 (Danzhong), BL-13 (Feishu)",Qing Zao Jiu Fei Tang (Eliminate Dryness and Rescue Lung Decoction) + phlegm resolution
What is the TCM treatment for wind-cold invasion in windy climates?,"Release exterior, expel wind-cold, warm channels, open pores to release pathogen.",Windy/Cold,"LI-4 (Hegu), LU-7 (Lieque), GB-20 (Fengchi), DU-16 (Fengfu), BL-12 (Fengmen)",Gui Zhi Tang (Cinnamon Twig Decoction) or Jing Fang Bai Du San for stronger wind - cold
How do you treat chronic wind-damp arthritis from coastal winds?,"Expel wind-damp, warm channels, invigorate blood, strengthen liver-kidney to resist wind.",Coastal/Windy/Damp,"GB-34 (Yanglingquan), GB-31 (Fengshi), ST-36 (Zusanli), BL-23 (Shenshu), local Ashi",Du Huo Ji Sheng Tang (Angelica Pubescens and Loranthus) for wind - cold - damp bi
What points address wind-heat headaches from hot dry winds?,"Release wind-heat from exterior, clear head, cool blood, descend rising yang.",Desert/Hot Winds,"GB-20 (Fengchi), LI-4 (Hegu), TE-5 (Waiguan), Taiyang (Extra), DU-14 (Dazhui)",Sang Ju Yin (Mulberry Leaf and Chrysanthemum Beverage) for wind - heat
How to treat wind-strike (facial paralysis/Bell's palsy)?,"Expel wind from channels, invigorate blood, open facial channels, restore motor function.",Windy/Cold exposure,"LI-4 (Hegu), ST-4 (Dicang), ST-6 (Jiache), GB-14 (Yangbai), ST-7 (Xiaguan), local points","Qian Zheng San (Lead to Symmetry Powder) - Bai Fu Zi, Jiang Can, Quan Xie"
What is the treatment for wind-cold allergic rhinitis?,"Expel wind-cold, open nasal passages, tonify lung and kidney, strengthen wei qi.",Windy/Cold,"LI-20 (Yingxiang), Yintang, LI-4 (Hegu), LU-7 (Lieque), ST-36 (Zusanli)",Xiao Qing Long Tang (Minor Blue - Green Dragon Decoction) for wind - cold with fluids
How do you address wind-induced vertigo and dizziness?,"Extinguish internal wind, calm liver, anchor yang, tonify kidney, descend rebellious qi.",Windy/Variable,"GB-20 (Fengchi), DU-20 (Baihui), LV-3 (Taichong), KI-3 (Taixi), PC-6 (Neiguan)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria) to extinguish wind and calm liver
What points treat wind-aggravated asthma?,"Release wind from lung, descend rebellious qi, stop wheezing, strengthen kidney to grasp qi.",Windy/Variable,"LU-7 (Lieque), REN-17 (Danzhong), REN-22 (Tiantu), BL-13 (Feishu), Dingchuan (Extra)","Xiao Qing Long Tang (Minor Blue Dragon) if cold, or Ding Chuan Tang for wind - cold asthma"
How to treat wind-induced skin rashes (urticaria)?,"Dispel wind from skin, clear heat if present, cool blood, stop itching, strengthen wei qi.",Windy/Variable,"LI-11 (Quchi), SP-10 (Xuehai), LI-4 (Hegu), SP-6 (Sanyinjiao), surrounding needling","Xiao Feng San (Eliminate Wind Powder) - Jing Jie, Fang Feng, Chan Tui, etc."
What is the treatment for wind-cold neck stiffness?,"Release wind-cold from tai yang, relax sinews, open channels, invigorate blood locally.",Windy/Cold,"GB-20 (Fengchi), GB-21 (Jianjing), SI-3 (Houxi), BL-60 (Kunlun), local Huatuojiaji",Ge Gen Tang (Kudzu Decoction) for tai yang with neck stiffness
How do you address wind-induced tremors?,"Extinguish internal wind, nourish liver blood and kidney yin, anchor yang, calm liver.",Windy/Chronic exposure,"LV-3 (Taichong), GB-34 (Yanglingquan), DU-20 (Baihui), KI-3 (Taixi), LI-4 (Hegu)",Zhen Gan Xi Feng Tang (Sedate Liver and Extinguish Wind Decoction)
How to treat spring allergy patterns (wind attacking wei qi)?,"Expel wind, tonify wei qi, regulate lung and spleen, stabilize exterior defense.",Spring/Windy/Pollen,"LI-20 (Yingxiang), LI-4 (Hegu), LU-7 (Lieque), ST-36 (Zusanli), Yintang",Yu Ping Feng San (Jade Windscreen) + Cang Er Zi San for nasal symptoms
What is the treatment for summer-damp disorders (spleen taxation)?,"Clear summer-heat, transform dampness, tonify spleen, harmonize middle jiao.",Summer/Humid-Heat,"ST-36 (Zusanli), SP-9 (Yinlingquan), REN-12 (Zhongwan), PC-6 (Neiguan), ST-40 (Fenglong)",Huo Xiang Zheng Qi San (Agastache Rectify Qi) for summer - damp patterns
How do you address autumn dryness injuring lungs?,"Moisten lung, nourish yin, generate fluids, clear any residual summer heat, protect lung.",Autumn/Dry,"LU-7 (Lieque), LU-9 (Taiyuan), KI-6 (Zhaohai), REN-17 (Danzhong), BL-13 (Feishu)",Sang Xing Tang (Mulberry and Apricot Kernel) or Qing Zao Jiu Fei Tang for severe dryness
What points treat winter cold penetrating bones?,"Warm kidney yang deeply, expel cold from bones and marrow, strengthen ming men fire.",Winter/Extreme Cold,"DU-4 (Mingmen), BL-23 (Shenshu), REN-4 (Guanyuan), ST-36 (Zusanli), heavy moxa","You Gui Wan (Restore Right Kidney Pill) - Fu Zi, Rou Gui, Lu Jiao Jiao"
