id,segment,topic,patient_question,clinic_answer,tcm_focus_area,modality
11,condition_specific_global_burden,type2_diabetes_support,I have type 2 diabetes. How can TCM support me?,"TCM can assist bloodï¿½ï¿½ï¿½sugar control by improving digestion, stress, sleep, and weight, but medication and glucose monitoring remain esse",Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
12,condition_specific_global_burden,hypoglycemia_risk,Can acupuncture cause low blood sugar?,"Acupuncture itself rarely lowers sugar dangerously, but diet and exercise advice must be coordinated with your medication plan to avoid hypoglycemia.",Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
13,condition_specific_global_burden,obesity_weight_loss,Can TCM help with weight loss?,"TCM addresses Spleen Qi, Dampness, cravings, and emotional eating, combined with realistic nutrition and activity plans over months, not quick fixes.",Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
14,condition_specific_global_burden,metabolic_syndrome,I was told I have metabolic syndrome. What does TCM focus on?,"TCM focuses on transforming Dampï¿½ï¿½ï¿½Phlegm, moving Qi, and supporting Spleen and Liver while you manage blood pressure, sugar, and lipids with your d",Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
15,condition_specific_global_burden,diabetes_complications,Can acupuncture help my diabetic neuropathy or circulation?,"Some people find symptom relief in neuropathy and circulation, but strict foot care, glucose control, and medical checks remain critical.",Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
16,condition_specific_global_burden,metformin_herbs,Is it safe to take herbs with metformin or other diabetes drugs?,Some herbs can change glucose response; the therapist adjusts formulas cautiously and asks you to monitor sugar and liaise with your doctor.,Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
17,condition_specific_global_burden,bmi_limits,Is there any weight limit for safe acupuncture?,Very high BMI can change needling depth and positioning; treatment is adapted and may focus more on distal points and lifestyle coaching.,Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
18,condition_specific_global_burden,emotional_eating,I eat when stressed. Can TCM address this pattern?,"TCM combines Shenï¿½ï¿½ï¿½calming points, Liver Qi regulation, and counseling on routines to break stressï¿½ï¿½ï¿½ea",Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
19,condition_specific_global_burden,metabolic_labs,Do I still need regular blood tests if I use TCM?,"Yes, periodic lab tests for glucose, HbA1c, and lipids are essential regardless of complementary care.",Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
20,condition_specific_global_burden,global_diet_culture,My traditional food is very carbï¿½ï¿½ï¿½heavy. Can TCM work with,"TCM adapts advice to your culture, suggesting small adjustments in cooking methods, portion timing, and ingredient balance rather than rejecting your cuisine.",Metabolic syndrome; Dampï¿½ï¿½ï¿½Phlegm; Spleen fu,mixed
21,condition_specific_global_burden,asthma_support,I have asthma. Is acupuncture safe for me?,"With stable asthma and inhaler use, acupuncture may help reduce triggers and stress; acute attacks still require inhalers and emergency care.",Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
22,condition_specific_global_burden,copd_support,Can TCM help my chronic obstructive lung disease (COPD)?,"TCM can support breath capacity, fatigue, and mucus management, but cannot replace inhalers, oxygen, or pulmonary rehab.",Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
23,condition_specific_global_burden,allergic_rhinitis,I have chronic allergies and sinus issues. What is your approach?,"Treatment focuses on strengthening Lung and Spleen, clearing Dampï¿½ï¿½ï¿½Phlegm, and advising on environment and diet to reduce flareï",Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
24,condition_specific_global_burden,recurrent_infections,I get frequent colds or infections. Can you improve my immunity?,"TCM aims to strengthen defensive Qi (Wei Qi) through acupuncture, herbs, and lifestyle, while vaccines and medical care remain important.",Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
25,condition_specific_global_burden,long_covid,I have ongoing fatigue and breathlessness after COVID. Can TCM help?,"Many clinics use TCM to support postï¿½ï¿½ï¿½viral fatigue, breathing, and mood; complex symptoms are also followed by doctors to rule out organ d",Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
26,condition_specific_global_burden,resp_red_flags,When is breathing trouble too serious for TCM?,"Sudden or rapidly worsening breathlessness, chest pain, or blue lips require urgent emergency care, not a clinic visit.",Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
27,condition_specific_global_burden,tb_history,I had tuberculosis in the past. Is acupuncture OK now?,"Once cleared and stable, gentle TCM care can support residual weakness, but infection control and medical followï¿½ï¿½ï¿½up are esse",Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
28,condition_specific_global_burden,sleep_apnea,I have sleep apnea. Can TCM replace my CPAP?,"No, CPAP remains the main treatment; TCM may help weight, nasal congestion, and stress but does not replace airway support.",Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
29,condition_specific_global_burden,smoking_cessation,Can acupuncture help me quit smoking?,Acupuncture can reduce cravings and irritability and is most effective combined with a clear quit plan and behavioral support.,Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
30,condition_specific_global_burden,air_pollution,My city has heavy pollution. How do you adapt treatment?,"Protocols emphasize Lung protection, nasal rinses, antioxidantï¿½ï¿½ï¿½rich diet, and realistic activity timing while you follow local health advis",Lung Qi; Phlegm; postï¿½ï¿½ï¿½viral re,mixed
31,condition_specific_global_burden,cancer_scope,I have cancer. Can TCM treat it instead of chemotherapy or surgery?,TCM cannot replace standard oncology treatments; in this clinic it is used only as supportive care alongside your oncology team.,Supportive oncology; Qi and Blood; Shen,supportive
32,condition_specific_global_burden,chemo_side_effects,Can acupuncture help with nausea and fatigue from chemotherapy?,"Many patients use acupuncture to reduce nausea, fatigue, and neuropathy; all treatment is coordinated with the oncology schedule.",Supportive oncology; Qi and Blood; Shen,supportive
33,condition_specific_global_burden,radiation_skin,Can TCM help my skin after radiation?,"Herbal topicals and gentle care may soothe skin, but oncologist guidance comes first to avoid interfering with healing.",Supportive oncology; Qi and Blood; Shen,supportive
34,condition_specific_global_burden,immune_strength_cancer,Can herbs boost my immunity during cancer treatment?,"Some formulas may support strength, but herbs must be carefully selected and approved by your oncology team to avoid interactions.",Supportive oncology; Qi and Blood; Shen,supportive
35,condition_specific_global_burden,integrative_board,Do you talk to my oncologist about your plan?,"With your consent, the clinic shares summaries so your oncology and TCM treatments are aligned and safe.",Supportive oncology; Qi and Blood; Shen,supportive
36,condition_specific_global_burden,cancer_pain,Can acupuncture reduce my cancerï¿½ï¿½ï¿½related,"Acupuncture is often used to help pain, sleep, and anxiety, reducing reliance on some medications when appropriate.",Supportive oncology; Qi and Blood; Shen,supportive
37,condition_specific_global_burden,herbs_contra_cancer,Are any herbs unsafe with my cancer drugs?,"Yes, some can change drug metabolism; the therapist avoids unknown combinations and may work without herbs if safety is unclear.",Supportive oncology; Qi and Blood; Shen,supportive
38,condition_specific_global_burden,nutrition_cancer,What diet advice do you give during cancer treatment?,"Focus is on digestible, nutrientï¿½ï¿½ï¿½dense foods, managing nausea and diarrhea, and respecting the diet guidance from your oncology",Supportive oncology; Qi and Blood; Shen,supportive
39,condition_specific_global_burden,fatigue_cancer,Can TCM help my extreme fatigue from treatment?,"Gentle tonifying and calming methods, plus pacing and sleep strategies, are used to support energy without pushing too hard.",Supportive oncology; Qi and Blood; Shen,supportive
40,condition_specific_global_burden,cancer_expectations,What realistic results should I expect from TCM with cancer?,"Goals are symptom relief, quality of life, and emotional support, not cure; benefits vary between individuals.",Supportive oncology; Qi and Blood; Shen,supportive
41,condition_specific_global_burden,anxiety_support,I have anxiety. Can acupuncture replace my medication?,"TCM may ease anxiety and improve sleep, but psychiatric medications are not stopped without your prescriberï¿½ï¿½ï¿½s gui",Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
42,condition_specific_global_burden,depression_support,I feel depressed. How can TCM help?,"Treatment focuses on moving Liver Qi, supporting Heart and Spleen, and improving sleep and routines; psychotherapy and medical care remain central.",Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
43,condition_specific_global_burden,panic_attacks,Can I come to you during a panic attack?,"The clinic can offer calming support, but sudden severe symptoms may need emergency or urgent mental health care.",Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
44,condition_specific_global_burden,insomnia_chronic,I have chronic insomnia. What is your strategy?,"TCM assesses patterns (e.g., Heartï¿½ï¿½ï¿½Spleen deficiency, Liver Fire) and combines acupuncture, lifestyle, and sometimes herbs, with gradual change over ",Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
45,condition_specific_global_burden,burnout,I feel burned out from work. Is there a TCM way to approach this?,"Treatment aims to rebuild Qi and Yin, reduce sympathetic overdrive, and reï¿½ï¿½ï¿½establish balanced routines and bound",Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
46,condition_specific_global_burden,ptsd_support,I have PTSD. Is acupuncture appropriate?,"Some traumaï¿½ï¿½ï¿½informed protocols may help, but TCM is used as an adjunct to professional trauma therapy, not a replac",Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
47,condition_specific_global_burden,meditation_contra,Is meditation always recommended?,Some individuals may feel worse with certain practices; techniques are chosen gently and adapted to your response.,Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
48,condition_specific_global_burden,sleep_medications,Can I reduce sleeping pills with TCM?,Any reduction is coordinated with your doctor; TCM aims to improve natural sleep while tapering medications safely if appropriate.,Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
49,condition_specific_global_burden,add_adhd_support,Can TCM help with attention or focus problems?,"Focus is on sleep, diet, and calming or activating patterns; medications and educational support still play a key role.",Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
50,condition_specific_global_burden,suicide_risk_policy,What is your policy if I mention suicidal thoughts?,The clinic takes this extremely seriously and will help connect you immediately to emergency or mental health services; TCM alone is not sufficient.,Shen; Liver Qi; Heartï¿½ï¿½ï¿½Spleen; ,mixed
51,condition_specific_global_burden,chronic_back_pain,I have chronic low back pain. What can I expect?,"TCM commonly treats back pain with acupuncture, cupping, and exercise advice; several sessions are usually needed and results vary.",Bi syndrome; Qi/Blood stagnation; deficiency,mixed
52,condition_specific_global_burden,sciatica,Can acupuncture help my sciatica?,Many people experience relief as channels along the leg are treated; severe or progressive weakness still requires medical imaging.,Bi syndrome; Qi/Blood stagnation; deficiency,mixed
53,condition_specific_global_burden,arthritis_knee,I have knee arthritis. Can you regenerate cartilage?,"TCM cannot regrow cartilage but may reduce pain, stiffness, and reliance on painkillers.",Bi syndrome; Qi/Blood stagnation; deficiency,mixed
54,condition_specific_global_burden,fibromyalgia,I have widespread pain and fatigue diagnosed as fibromyalgia. Can TCM help?,"Treatment aims to improve sleep, calm the nervous system, move Qi and Blood, and support digestion, often over a longer time frame.",Bi syndrome; Qi/Blood stagnation; deficiency,mixed
55,condition_specific_global_burden,migraine,Can acupuncture reduce my migraines?,Clinical experience and research suggest many patients have fewer and less intense attacks; triggers and lifestyle are also addressed.,Bi syndrome; Qi/Blood stagnation; deficiency,mixed
56,condition_specific_global_burden,post_surgery_pain,Is acupuncture useful after surgery for pain?,"Once cleared by the surgeon, acupuncture can support pain control, mobility, and scar healing while not interfering with recovery.",Bi syndrome; Qi/Blood stagnation; deficiency,mixed
57,condition_specific_global_burden,opioid_reduction,Can acupuncture help me reduce pain medication?,Some people can gradually lower doses under medical supervision when pain is better managed; TCM is part of a wider plan.,Bi syndrome; Qi/Blood stagnation; deficiency,mixed
58,condition_specific_global_burden,sports_injury,I am an athlete with a sports injury. How do you work with that?,"Treatment combines local and distal points, softï¿½ï¿½ï¿½tissue work, and staged returnï¿½ï¿½ï¿½toï¿½ï¿½ï¿½sport advice while respecting imaging",Bi syndrome; Qi/Blood stagnation; deficiency,mixed
59,condition_specific_global_burden,chronic_widespread_pain_redflag,How do you decide whether chronic pain needs more tests?,"Red flags such as weight loss, night pain, fever, or neurological signs always lead to medical referral before or during TCM care.",Bi syndrome; Qi/Blood stagnation; deficiency,mixed
60,condition_specific_global_burden,ergonomics,Do you discuss posture and ergonomics for pain?,"Yes, desk setup, lifting technique, and movement breaks are part of an integrated pain plan.",Bi syndrome; Qi/Blood stagnation; deficiency,mixed
61,condition_specific_global_burden,pms_support,I have PMS with mood swings and breast tenderness. Can TCM help?,"Treatment smooths Liver Qi, supports Spleen, and adjusts diet and stress patterns before the period.",Gynecology; Blood; Liver; Kidney,mixed
62,condition_specific_global_burden,dysmenorrhea,My periods are very painful. Can acupuncture replace painkillers?,Many women can reduce painkiller use but are advised not to stop abruptly until they see stable improvement.,Gynecology; Blood; Liver; Kidney,mixed
63,condition_specific_global_burden,pcos_support,I was diagnosed with PCOS. Can TCM improve my cycles?,"TCM works on cycle regulation, insulin resistance patterns, and weight with herbs, acupuncture, and lifestyle, alongside medical monitoring.",Gynecology; Blood; Liver; Kidney,mixed
64,condition_specific_global_burden,endometriosis_support,Can acupuncture help with endometriosis pain?,TCM often targets Blood stasis and inflammation to reduce pain; surgical and gynecological care remain important.,Gynecology; Blood; Liver; Kidney,mixed
65,condition_specific_global_burden,fertility_support,We are trying to conceive. What can TCM do?,"TCM can support cycle regularity, stress, sleep, and uterine blood flow; it complements, not replaces, fertility medicine.",Gynecology; Blood; Liver; Kidney,mixed
66,condition_specific_global_burden,ivf_integration,Can I use acupuncture during IVF?,Many clinics integrate acupuncture around retrieval and transfer; timing is coordinated with your fertility specialist.,Gynecology; Blood; Liver; Kidney,mixed
67,condition_specific_global_burden,pregnancy_nausea,Can acupuncture help pregnancy nausea?,Gentle techniques are commonly used for nausea and fatigue; only pregnancyï¿½ï¿½ï¿½safe points are c,Gynecology; Blood; Liver; Kidney,mixed
68,condition_specific_global_burden,pregnancy_contraindications,Are there acupuncture points you avoid in pregnancy?,"Yes, certain points that strongly move Qi or Blood are avoided to protect pregnancy.",Gynecology; Blood; Liver; Kidney,mixed
69,condition_specific_global_burden,postpartum_recovery,What can TCM offer after birth?,"Support focuses on rebuilding Blood and Qi, lactation, mood, and sleep while respecting medical checks.",Gynecology; Blood; Liver; Kidney,mixed
70,condition_specific_global_burden,menopause,I have hot flushes and night sweats from menopause. Can TCM help?,"TCM nourishes Yin, clears deficiency Heat, and advises on cooling, soothing lifestyle measures.",Gynecology; Blood; Liver; Kidney,mixed
71,condition_specific_global_burden,child_immunity,My child is always sick. Can acupuncture boost immunity?,"Pediatric TCM uses very gentle techniques, diet, and sleep routines to support resilience, always alongside pediatric care and vaccinations.",Pediatrics; Spleen; Shen; lifestyle,mixed
72,condition_specific_global_burden,child_needle_fear,My child is afraid of needles. Are there alternatives?,"Nonï¿½ï¿½ï¿½needle methods such as acupressure, shonishin tools, or laser may be used, depending on clinic equi",Pediatrics; Spleen; Shen; lifestyle,mixed
73,condition_specific_global_burden,adhd_child,Can TCM help my childï¿½ï¿½ï¿½s,"Focus is on sleep, digestion, and calming or regulating patterns; it complements educational and medical supports, not replaces them.",Pediatrics; Spleen; Shen; lifestyle,mixed
74,condition_specific_global_burden,growth_appetite,My child has poor appetite and is small for age. What do you check?,"Questions explore digestion, stools, infections, and family build; TCM supports Spleen and Stomach while pediatricians track growth.",Pediatrics; Spleen; Shen; lifestyle,mixed
75,condition_specific_global_burden,bedwetting,Can acupuncture help bedwetting?,Some protocols support Kidney and Bladder control; medical causes are checked first and parents are involved in routines.,Pediatrics; Spleen; Shen; lifestyle,mixed
76,condition_specific_global_burden,teen_anxiety,My teenager is very anxious. Is TCM suitable?,"Acupuncture or acupressure plus coaching in lifestyle and screens can help, alongside counseling or therapy.",Pediatrics; Spleen; Shen; lifestyle,mixed
77,condition_specific_global_burden,vaccines_children,Do you treat children who are vaccinated?,"Yes, vaccination status does not change access to care; the clinic supports health regardless of those decisions, within legal guidelines.",Pediatrics; Spleen; Shen; lifestyle,mixed
78,condition_specific_global_burden,school_stress,My child is stressed by school pressure. What can you offer?,"TCM approaches stress, sleep, and eye strain while helping family create more balanced routines.",Pediatrics; Spleen; Shen; lifestyle,mixed
79,condition_specific_global_burden,screen_overuse,My child spends many hours on screens. Do you address that?,"Eye, neck, and sleep issues are discussed and simple screenï¿½ï¿½ï¿½time and posture strategies are sugg",Pediatrics; Spleen; Shen; lifestyle,mixed
80,condition_specific_global_burden,parent_role,What role do parents play in TCM treatment?,"Parents help implement diet, sleep, and exercise advice and observe changes, making them key partners in care.",Pediatrics; Spleen; Shen; lifestyle,mixed
81,condition_specific_global_burden,travel_vaccines,Can I use TCM instead of travel vaccines or malaria pills?,"No, recommended vaccines and malaria prophylaxis remain essential; TCM can only support general resilience and digestion while you travel.",External pathogens; Wei Qi; environment,safety
82,condition_specific_global_burden,traveler_diarrhea,Can acupuncture or herbs help travelerï¿½ï¿½ï¿½s dia,"Mild cases may be supported with diet and herbs, but severe dehydration, blood, or fever require immediate medical care.",External pathogens; Wei Qi; environment,safety
83,condition_specific_global_burden,tropical_diseases,Do you treat tropical diseases like malaria or dengue?,These are medical emergencies and must be treated in hospitals; TCM may only play a recovery role afterwards.,External pathogens; Wei Qi; environment,safety
84,condition_specific_global_burden,climate_heatwave,How can TCM support me during heatwaves?,"Advice focuses on cooling foods and drinks, rest, and avoiding heat stroke, while following official health guidelines.",External pathogens; Wei Qi; environment,safety
85,condition_specific_global_burden,cold_exposure,I work in very cold environments. What patterns do you look for?,Chronic Cold exposure can lead to Coldï¿½ï¿½ï¿½Damp pain and Yang deficiency; treatment and lifestyle aim to protect,External pathogens; Wei Qi; environment,safety
86,condition_specific_global_burden,air_quality,My cityï¿½ï¿½ï¿½s air quality is poor. How is that included in your,"Lung protection, nasal care, antioxidant foods, and timing outdoor activity are emphasized, together with mask use when advised.",External pathogens; Wei Qi; environment,safety
87,condition_specific_global_burden,water_quality,Our water is sometimes unsafe. Does that matter to TCM?,"Yes, contaminated water is a biomedical risk; TCM adds digestive support but safe water sources are nonï¿½ï¿½ï¿½negot",External pathogens; Wei Qi; environment,safety
88,condition_specific_global_burden,vector_control,Does TCM replace mosquito nets or repellents?,"No, physical protection and repellents remain primary; herbs may be used only as additional support.",External pathogens; Wei Qi; environment,safety
89,condition_specific_global_burden,pandemic_policy,What is your policy during pandemics?,"The clinic follows public health rules on masks, distancing, testing, and may increase telehealth use.",External pathogens; Wei Qi; environment,safety
90,condition_specific_global_burden,infection_prevention_clinic,How do you prevent infections in the clinic?,"Singleï¿½ï¿½ï¿½use needles, disinfection, hand hygiene, and screening questions protect patients and ",External pathogens; Wei Qi; environment,safety
91,condition_specific_global_burden,co_treatment_physio,Can I do physiotherapy and acupuncture together?,"Yes, many patients combine them; practitioners may coordinate timing to avoid overload and track outcomes.",Integrative care; expectations; ethics,education
92,condition_specific_global_burden,co_treatment_chiro,Is it OK to see a chiropractor and TCM therapist at the same time?,"Usually yes, but you should inform each practitioner so techniques and timing are coordinated.",Integrative care; expectations; ethics,education
93,condition_specific_global_burden,lab_tests,Do you order blood tests or imaging?,Some clinics collaborate with doctors for tests; TCM therapists interpret them in parallel with pattern diagnosis but do not replace medical interpretation.,Integrative care; expectations; ethics,education
94,condition_specific_global_burden,evidence_limits,Is there strong scientific proof for every condition you treat?,Evidence is stronger for some conditions (like pain) and weaker for others; the clinic is transparent about this when setting expectations.,Integrative care; expectations; ethics,education
95,condition_specific_global_burden,goal_setting,How do we set treatment goals for chronic disease?,"Goals focus on measurable changes in pain, function, sleep, and quality of life rather than cure alone.",Integrative care; expectations; ethics,education
96,condition_specific_global_burden,trial_period,Do you recommend a trial number of sessions?,"Often a short trial (for example 4ï¿½ï¿½ï¿½6 sessions) is proposed, then progress is reviewed before conti",Integrative care; expectations; ethics,education
97,condition_specific_global_burden,self_care_role,How important is my own selfï¿½ï¿½ï¿½care in out,"Lifestyle, diet, movement, and stress work are crucial; acupuncture alone has limited effect without your participation.",Integrative care; expectations; ethics,education
98,condition_specific_global_burden,stopping_ineffective,What if TCM does not seem to help my condition?,"After a reasonable trial, the plan is reï¿½ï¿½ï¿½evaluated; sometimes another approach or specialist is recommended in",Integrative care; expectations; ethics,education
99,condition_specific_global_burden,global_access,Can international patients use your services online?,"Telehealth is available for consultation, education, and lifestyle planning, but handsï¿½ï¿½ï¿½on treatment requires a local practit",Integrative care; expectations; ethics,education
100,condition_specific_global_burden,ethical_promises,What promises will you not make?,"The clinic does not guarantee cures, does not advise stopping essential medications, and does not treat emergencies.",Integrative care; expectations; ethics,education
