Question,Answer,TCM Acupuncture Points,Chinese Pharmacopeia Formula
"What TCM pattern causes dry, itchy eczema?",Blood Deficiency with Wind-Dryness causes chronic dry eczema with severe itching requiring nourishing blood and moistening,"SP10 (Xuehai), SP6 (Sanyinjiao), BL17 (Geshu), LI11 (Quchi), local lesions",Si Wu Tang (Four Substances) plus Xiao Feng San (Eliminate Wind Powder)
"How does TCM treat weeping, oozing eczema?",Damp-Heat in Spleen causes acute weeping eczema with yellow discharge requiring clearing heat and resolving dampness,"SP9 (Yinlingquan), ST36 (Zusanli), LI11 (Quchi), SP6 (Sanyinjiao), local points",Long Dan Xie Gan Tang (Gentiana Drain the Liver)
What causes infant eczema (atopic dermatitis) in TCM?,Spleen Deficiency with Damp-Heat Accumulation in infants causes atopic dermatitis requiring gentle clearing and strengthening,"ST36 (Zusanli), SP6 (Sanyinjiao), LI11 (Quchi), GV14 (Dazhui), avoid strong techniques",Xiao Er Hua Shi Tang (Pediatric Transform Dampness Decoction)
How does TCM address hand eczema and dyshidrosis?,Spleen and Stomach Damp-Heat Sinking Downward causes hand eczema and vesicles requiring lifting clear qi and draining damp-heat,"LI4 (Hegu), LI11 (Quchi), SP9 (Yinlingquan), ST36 (Zusanli), local hand points",Chu Shi Wei Ling Tang (Eliminate Dampness Poria Decoction)
What TCM pattern causes contact dermatitis?,"External Wind-Heat or Damp-Heat Toxin invades skin upon contact, causing acute inflammatory reaction requiring clearing and expelling","LI11 (Quchi), LI4 (Hegu), SP10 (Xuehai), GV14 (Dazhui), local affected areas",Xiao Feng San (Eliminate Wind Powder)
How does TCM treat seborrheic dermatitis?,"Damp-Heat in Spleen and Stomach Rising to Head causes oily, scaly scalp dermatitis requiring clearing damp-heat","GB20 (Fengchi), GV20 (Baihui), ST40 (Fenglong), SP9 (Yinlingquan), scalp points",Wen Qing Yin (Warm and Clear Decoction)
What causes chronic lichenified eczema?,Blood Deficiency with Wind and Blood Stasis causes chronic thickened eczema patches requiring nourishing blood and moving stasis,"SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), LV3 (Taichong), local thickened areas",Dang Gui Yin Zi (Tangkuei Decoction for Moistening)
How does TCM address scalp eczema?,Wind-Heat or Damp-Heat in Liver Channel Rising causes scalp eczema with itching and scaling,"GB20 (Fengchi), GV20 (Baihui), LV3 (Taichong), LI11 (Quchi), local scalp ashi points",Qing Shang Juan Tong Tang (Clear Upper Burner and Eliminate Pain)
What TCM pattern causes ear eczema?,"Liver and Gallbladder Damp-Heat affects ears causing eczema, discharge, and itching in and around ears","SJ5 (Waiguan), GB2 (Tinghui), SJ17 (Yifeng), LI4 (Hegu), SP9 (Yinlingquan)",Long Dan Xie Gan Tang (Gentiana Drain the Liver)
How does TCM treat genital eczema?,Liver Channel Damp-Heat Pouring Downward causes genital eczema requiring clearing lower burner damp-heat,"LV5 (Ligou), SP9 (Yinlingquan), SP6 (Sanyinjiao), CV3 (Zhongji), LV8 (Ququan)",Long Dan Xie Gan Tang (Gentiana Drain the Liver) plus Bi Xie Fen Qing Yin
What TCM pattern causes plaque psoriasis?,"Blood Heat with Toxins causes red, scaly plaques in psoriasis requiring cooling blood and clearing heat-toxins","SP10 (Xuehai), LI11 (Quchi), BL17 (Geshu), GV14 (Dazhui), local plaques",Qing Ying Tang (Clear the Nutritive Level) plus Xiao Feng San
How does TCM treat chronic stable psoriasis?,Blood Stasis with Blood Deficiency and Dryness causes chronic psoriasis plaques requiring nourishing blood and moving stasis,"SP10 (Xuehai), BL17 (Geshu), SP6 (Sanyinjiao), LI11 (Quchi), LV3 (Taichong)",Tao Hong Si Wu Tang plus Run Zao Zhi Yang Tang (Moisten Dryness and Stop Itching)
What causes guttate psoriasis flare-ups?,Wind-Heat with Blood Heat triggered by infection causes sudden guttate psoriasis eruption requiring expelling wind and cooling blood,"LI11 (Quchi), LI4 (Hegu), SP10 (Xuehai), GV14 (Dazhui), LU7 (Lieque)",Yin Qiao San (Honeysuckle and Forsythia Powder) plus Qing Ying Tang
How does TCM address scalp psoriasis?,Blood Heat Rising with Wind-Heat causes scalp psoriasis with thick scales requiring cooling blood and expelling wind from head,"GB20 (Fengchi), GV20 (Baihui), LI11 (Quchi), SP10 (Xuehai), local scalp points",Qing Shang Fang Feng Tang (Clear Upper and Guard Against Wind)
What TCM pattern causes nail psoriasis?,Liver Blood Deficiency with Blood Heat affects nails causing pitting and dystrophy requiring nourishing liver blood,"LV8 (Ququan), SP10 (Xuehai), BL17 (Geshu), BL18 (Ganshu), local nail points",Si Wu Tang plus Dang Gui Yin Zi
How does TCM treat inverse/flexural psoriasis?,Damp-Heat in skin folds causes inverse psoriasis requiring resolving dampness and clearing heat without over-drying,"SP9 (Yinlingquan), LI11 (Quchi), SP6 (Sanyinjiao), local affected folds",San Miao San (Three Marvels Powder) plus modifications
What causes vitiligo in TCM?,Liver and Kidney Deficiency with Qi and Blood Stagnation causes depigmentation requiring tonifying and moving qi-blood,"KI3 (Taixi), LV8 (Ququan), SP6 (Sanyinjiao), ST36 (Zusanli), local white patches",Bu Gu Zhi Wan (Psoralea Corylifolia Pill)
How does TCM address alopecia areata?,Liver and Kidney Deficiency with Blood Deficiency and Wind causes patchy hair loss requiring nourishing organs and blood,"GB20 (Fengchi), GV20 (Baihui), KI3 (Taixi), BL23 (Shenshu), local bald patches",Shen Ying Yang Zhen Dan (Nourish the Nutritive Qi and Supplement the Genuine)
What TCM pattern causes lichen planus?,Liver Fire with Blood Heat and Toxins causes lichen planus lesions requiring draining liver fire and cooling blood,"LV2 (Xingjian), SP10 (Xuehai), LI11 (Quchi), GB34 (Yanglingquan), local lesions",Long Dan Xie Gan Tang plus Qing Ying Tang
How does TCM treat chronic urticaria?,Wind-Heat or Wind-Cold in Blood with Qi-Blood Deficiency causes chronic hives requiring expelling wind and tonifying,"SP10 (Xuehai), LI11 (Quchi), LI4 (Hegu), SP6 (Sanyinjiao), ST36 (Zusanli)",Xiao Feng San (Eliminate Wind Powder) or Dang Gui Yin Zi
What TCM approach promotes wound healing?,Qi and Blood Deficiency impairs healing; tonifying qi-blood and moving stasis promotes tissue regeneration and wound closure,"ST36 (Zusanli), SP6 (Sanyinjiao), LI4 (Hegu), BL17 (Geshu), surrounding wound",Dang Gui Bu Xue Tang (Tangkuei Tonify Blood) plus Tao Hong Si Wu Tang
How does TCM treat keloid scars?,Qi Stagnation and Blood Stasis with Phlegm Accumulation causes keloid formation requiring moving qi-blood and softening hardness,"SP10 (Xuehai), LI4 (Hegu), LV3 (Taichong), surrounding scar tissue",Hai Zao Yu Hu Tang (Sargassum Jade Flask Decoction)
What causes hypertrophic scars in TCM?,Blood Stasis with Qi Stagnation and Accumulation of Turbid Phlegm creates raised scars requiring resolving stasis and phlegm,"LV3 (Taichong), SP10 (Xuehai), ST40 (Fenglong), local scar points",Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion) plus Er Chen Tang
How does TCM address surgical scar healing?,Trauma causes Qi and Blood Stagnation; early intervention moves stasis and promotes smooth healing without excess scar formation,"LI4 (Hegu), SP6 (Sanyinjiao), local area around incision, BL17 (Geshu)",Tao Hong Si Wu Tang (Four Substances with Peach and Safflower)
What TCM pattern causes chronic non-healing wounds?,"Qi and Blood Deficiency with Damp-Heat Toxins prevents wound closure requiring tonifying, clearing toxins, and generating flesh","ST36 (Zusanli), SP6 (Sanyinjiao), SP10 (Xuehai), LI11 (Quchi), wound periphery",Tuo Li Xiao Du San (Support the Interior and Eliminate Toxin Powder)
How does TCM treat burn scars?,"Fire Toxin damages fluids and blood causing scarring; clearing heat, nourishing yin, and moving blood reduces scar formation","LI11 (Quchi), SP10 (Xuehai), KI6 (Zhaohai), SP6 (Sanyinjiao), scar area",Qing Ying Tang plus Si Wu Tang modified
What causes stretch marks in TCM?,Rapid expansion with Spleen Qi Deficiency and Blood Deficiency causes tissue breakdown and striae requiring strengthening and nourishing,"CV4 (Guanyuan), ST36 (Zusanli), SP6 (Sanyinjiao), local striae areas",Bu Zhong Yi Qi Tang plus Si Wu Tang
How does TCM address diabetic ulcers?,Qi and Yin Deficiency with Blood Stasis and Damp-Heat Toxins causes diabetic wounds requiring comprehensive treatment,"ST36 (Zusanli), SP6 (Sanyinjiao), KI3 (Taixi), LI4 (Hegu), ulcer periphery",Yu Quan Wan (Jade Spring Pill) plus Huang Qi Wu Wu Tang
What TCM pattern promotes collagen regeneration?,Kidney Essence with Qi and Blood Tonification promotes collagen synthesis and tissue regeneration for scar improvement,"KI3 (Taixi), BL23 (Shenshu), ST36 (Zusanli), SP6 (Sanyinjiao), GV4 (Mingmen)",Zuo Gui Wan (Restore the Left Pill) plus Ba Zhen Tang
How does TCM fade old scars?,"Long-standing Blood Stasis requires persistent treatment to move stasis, soften hardness, and promote tissue remodeling","SP10 (Xuehai), LV3 (Taichong), BL17 (Geshu), LI4 (Hegu), scar tissue",Xue Fu Zhu Yu Tang plus Dan Shen Yin (Salvia Decoction)
What TCM pattern causes melasma?,Liver Qi Stagnation with Blood Stasis and Kidney Deficiency causes facial hyperpigmentation requiring regulating liver and nourishing kidney,"LV3 (Taichong), SP10 (Xuehai), KI3 (Taixi), SP6 (Sanyinjiao), local dark areas",Xiao Yao San plus Liu Wei Di Huang Wan
How does TCM treat post-inflammatory hyperpigmentation?,Blood Stasis and Heat Toxins remaining after inflammation cause dark marks requiring cooling blood and moving stasis,"SP10 (Xuehai), LI11 (Quchi), LI4 (Hegu), BL17 (Geshu), local marks",Tao Hong Si Wu Tang plus Qing Ying Tang
What causes freckles in TCM?,Lung and Spleen Deficiency with Heat allows sun damage and pigment accumulation requiring tonifying and clearing mild heat,"LU7 (Lieque), SP6 (Sanyinjiao), LI4 (Hegu), ST36 (Zusanli), local freckles",Yu Ping Feng San (Jade Windscreen Powder) plus Qing Hao Bie Jia Tang
How does TCM address sun damage and solar lentigos?,Accumulated Heat with Kidney Yin Deficiency and Blood Stasis causes sun-induced pigmentation requiring clearing heat and nourishing yin,"KI6 (Zhaohai), SP6 (Sanyinjiao), LI11 (Quchi), SP10 (Xuehai), local spots",Zhi Bai Di Huang Wan plus Tao Hong Si Wu Tang
What TCM pattern causes uneven skin tone?,Qi and Blood Stagnation with Spleen Deficiency causes poor circulation and uneven pigmentation requiring moving qi-blood and strengthening spleen,"SP6 (Sanyinjiao), ST36 (Zusanli), LV3 (Taichong), LI4 (Hegu), facial points",Xiao Yao San plus Si Jun Zi Tang
How does TCM treat dark underarms or groin?,Liver and Spleen Damp-Heat with local Qi Stagnation causes darkening in folds requiring clearing damp-heat and moving qi,"SP9 (Yinlingquan), LV5 (Ligou), SP6 (Sanyinjiao), local darkened areas",Long Dan Xie Gan Tang modified
What causes hypopigmentation after injury?,Qi and Blood Deficiency with Channel Obstruction prevents proper pigment formation requiring nourishing and unblocking channels,"ST36 (Zusanli), SP6 (Sanyinjiao), BL17 (Geshu), local white areas",Ba Zhen Tang (Eight Treasures Decoction)
How does TCM address periorbital hyperpigmentation?,Kidney Deficiency with Blood Stasis causes dark circles and periorbital darkening requiring tonifying kidney and moving blood,"KI3 (Taixi), SP6 (Sanyinjiao), BL1 (Jingming), ST1 (Chengqi), SP10 (Xuehai)",Liu Wei Di Huang Wan plus Tao Hong Si Wu Tang
What TCM pattern promotes even melanin distribution?,Harmonizing Liver and Spleen with smooth Qi-Blood flow promotes even melanin distribution and balanced skin tone,"LV3 (Taichong), SP6 (Sanyinjiao), LI4 (Hegu), ST36 (Zusanli), GB34 (Yanglingquan)",Xiao Yao San (Rambling Powder)
How does TCM prevent pigmentation worsening?,Protecting Qi and nourishing Blood with clearing Heat prevents further pigment accumulation and sun damage,"LI4 (Hegu), ST36 (Zusanli), SP6 (Sanyinjiao), LU7 (Lieque)",Yu Ping Feng San plus Si Wu Tang
What TCM pattern causes cellulite?,Spleen Qi Deficiency with Damp-Phlegm Accumulation causes tissue stagnation and cellulite formation requiring strengthening spleen and resolving dampness,"ST36 (Zusanli), SP9 (Yinlingquan), SP6 (Sanyinjiao), ST40 (Fenglong), local cellulite areas",Shen Ling Bai Zhu San plus Er Chen Tang
How does TCM address localized fat deposits?,Spleen and Kidney Yang Deficiency with Phlegm-Damp Stagnation causes fat accumulation requiring warming yang and transforming phlegm,"CV6 (Qihai), ST25 (Tianshu), ST36 (Zusanli), SP9 (Yinlingquan), local fat areas",Fu Ling Yin (Poria Decoction) plus Jin Gui Shen Qi Wan
What causes water retention and tissue swelling?,Spleen Yang Deficiency with Dampness Accumulation causes edema and swelling requiring warming spleen and promoting water metabolism,"SP9 (Yinlingquan), ST36 (Zusanli), CV9 (Shuifen), BL20 (Pishu), KI7 (Fuliu)",Wu Ling San (Five-Ingredient Powder with Poria)
How does TCM promote lymphatic drainage?,Moving Qi and resolving Dampness with strengthening Spleen promotes lymphatic flow and reduces fluid stagnation,"SP9 (Yinlingquan), ST36 (Zusanli), SP6 (Sanyinjiao), LI4 (Hegu), along lymph pathways",Wu Pi Yin (Five-Peel Decoction)
What TCM approach improves skin texture and firmness?,"Tonifying Kidney Essence and Qi-Blood while moving circulation improves tissue quality, firmness, and elasticity","KI3 (Taixi), ST36 (Zusanli), SP6 (Sanyinjiao), CV4 (Guanyuan), local areas",Bu Zhong Yi Qi Tang plus Liu Wei Di Huang Wan
How does TCM promote hair growth?,Kidney Essence and Liver Blood nourishment with moving local stagnation promotes hair follicle health and growth,"GV20 (Baihui), GB20 (Fengchi), KI3 (Taixi), BL23 (Shenshu), local scalp",Qi Bao Mei Ran Dan plus Si Wu Tang
What causes dandruff in TCM?,Wind-Heat or Wind-Dryness with Blood Deficiency causes scalp flaking requiring expelling wind and nourishing blood,"GB20 (Fengchi), GV20 (Baihui), LI11 (Quchi), BL17 (Geshu), scalp points",Xiao Feng San (Eliminate Wind Powder)
How does TCM treat scalp itching?,Wind invasion with Blood Heat or Blood Deficiency causes scalp itching requiring expelling wind and regulating blood,"GB20 (Fengchi), LI11 (Quchi), SP10 (Xuehai), GV20 (Baihui), local itch points",Xiao Feng San or Dang Gui Yin Zi
What TCM pattern causes oily scalp?,Damp-Heat in Spleen and Stomach Rising causes excess sebum production requiring clearing damp-heat,"ST40 (Fenglong), SP9 (Yinlingquan), GB20 (Fengchi), GV20 (Baihui)",Wen Dan Tang (Warm the Gallbladder) modified
How does TCM address hair thinning?,Kidney Essence and Blood Deficiency with poor circulation causes hair thinning requiring comprehensive tonification,"KI3 (Taixi), LV8 (Ququan), BL23 (Shenshu), SP6 (Sanyinjiao), GV20 (Baihui)",Qi Bao Mei Ran Dan plus Ba Zhen Tang
What causes brittle nails in TCM?,"Liver Blood and Kidney Essence Deficiency causes weak, brittle nails requiring nourishing liver blood and kidney essence","LV8 (Ququan), KI3 (Taixi), BL18 (Ganshu), BL23 (Shenshu), nail areas",Si Wu Tang plus Liu Wei Di Huang Wan
How does TCM treat nail fungus?,Damp-Heat with Toxic Heat invades nails causing fungal infection requiring clearing damp-heat and eliminating toxins,"SP9 (Yinlingquan), LI11 (Quchi), SP6 (Sanyinjiao), local nail points",Tu Fu Ling Qu Shi Tang (Smilax Eliminate Dampness)
What TCM pattern causes nail ridges?,Qi and Blood Deficiency with Liver-Kidney Insufficiency causes nail ridges requiring tonifying organs and nourishing blood,"ST36 (Zusanli), SP6 (Sanyinjiao), LV8 (Ququan), KI3 (Taixi)",Ba Zhen Tang plus Liu Wei Di Huang Wan
How does TCM address nail discoloration?,Blood Stasis or Heat in Blood causes nail color changes requiring moving blood and clearing heat depending on presentation,"SP10 (Xuehai), LI4 (Hegu), BL17 (Geshu), local nails",Tao Hong Si Wu Tang or Qing Ying Tang
What causes slow nail growth?,Kidney Essence and Qi-Blood Deficiency causes poor nourishment and slow nail growth requiring comprehensive tonification,"KI3 (Taixi), ST36 (Zusanli), SP6 (Sanyinjiao), BL23 (Shenshu)",Zuo Gui Wan plus Ba Zhen Tang
How does TCM address collagen loss?,Kidney Essence Deficiency and Spleen Qi Weakness cause collagen degradation requiring tonifying kidney essence and spleen qi,"KI3 (Taixi), BL23 (Shenshu), ST36 (Zusanli), CV4 (Guanyuan), GV4 (Mingmen)",He Che Da Zao Wan (Placenta Great Creation) plus Bu Zhong Yi Qi Tang
What TCM approach prevents skin aging?,"Tonifying Kidney Essence, nourishing Qi-Blood, and protecting against external pathogenic factors prevents premature aging","KI3 (Taixi), ST36 (Zusanli), SP6 (Sanyinjiao), LI4 (Hegu), LU7 (Lieque)",Liu Wei Di Huang Wan plus Yu Ping Feng San
How does TCM improve skin elasticity?,Nourishing Liver and Kidney with Qi-Blood Tonification improves elastin and collagen for better skin elasticity,"LV8 (Ququan), KI3 (Taixi), SP6 (Sanyinjiao), ST36 (Zusanli), BL23 (Shenshu)",Zuo Gui Wan plus Ba Zhen Tang
What causes facial volume loss?,Kidney Essence Deficiency with Qi and Blood Depletion causes tissue atrophy and volume loss requiring deep tonification,"CV4 (Guanyuan), GV4 (Mingmen), ST36 (Zusanli), KI3 (Taixi), facial points",You Gui Wan (Restore the Right Pill) plus Ba Zhen Tang
How does TCM treat nasolabial fold deepening?,Spleen Qi Sinking with Kidney Deficiency causes tissue descent and fold deepening requiring lifting qi and tonifying kidney,"GV20 (Baihui), ST36 (Zusanli), CV4 (Guanyuan), ST4 (Dicang), LI20 (Yingxiang)",Bu Zhong Yi Qi Tang plus Liu Wei Di Huang Wan
What TCM pattern causes marionette lines?,Kidney Essence Deficiency with Qi-Blood Insufficiency causes perioral lines requiring comprehensive anti-aging treatment,"CV24 (Chengjiang), ST6 (Jiache), KI3 (Taixi), ST36 (Zusanli)",He Che Da Zao Wan plus Ren Shen Yang Rong Tang
How does TCM address crow's feet?,Liver and Kidney Yin Deficiency with local Qi-Blood Stagnation causes periorbital wrinkles requiring nourishing and moving,"GB1 (Tongziliao), SJ23 (Sizhukong), LV8 (Ququan), KI3 (Taixi), SP6 (Sanyinjiao)",Qi Ju Di Huang Wan plus local cosmetic acupuncture
What causes eyelid drooping in TCM?,Spleen Qi Deficiency with Kidney Essence Decline causes ptosis requiring lifting spleen qi and tonifying kidney,"GV20 (Baihui), ST36 (Zusanli), CV4 (Guanyuan), BL1 (Jingming), ST2 (Sibai)",Bu Zhong Yi Qi Tang plus Liu Wei Di Huang Wan
How does TCM enhance facial radiance?,Strengthening Spleen to generate Qi-Blood and clearing mild stagnation promotes facial glow and vitality,"ST36 (Zusanli), SP6 (Sanyinjiao), LI4 (Hegu), Yintang, GV20 (Baihui)",Ren Shen Yang Rong Tang (Ginseng Nourish Nutritive Qi)
What TCM approach tightens loose neck skin?,Tonifying Kidney and Spleen with local channel activation tightens and lifts neck tissue,"CV22 (Tiantu), LI18 (Futu), ST9 (Renying), ST36 (Zusanli), KI3 (Taixi)",Bu Zhong Yi Qi Tang plus Zuo Gui Wan
How does TCM treat keratosis pilaris?,Lung and Spleen Deficiency with Phlegm-Damp Accumulation causes follicular keratosis requiring resolving dampness and smoothing,"LU9 (Taiyuan), SP9 (Yinlingquan), ST36 (Zusanli), ST40 (Fenglong), local bumps",Shen Ling Bai Zhu San plus Er Chen Tang
What causes skin tags in TCM?,Spleen Deficiency with Phlegm-Damp and local Qi Stagnation causes skin tag formation requiring resolving phlegm and moving qi,"ST40 (Fenglong), SP9 (Yinlingquan), LI4 (Hegu), local tags",Er Chen Tang plus Xiao Yao San
How does TCM address cherry angiomas?,Blood Heat with local Blood Stagnation causes vascular proliferation requiring cooling blood and dispersing stasis,"SP10 (Xuehai), LI11 (Quchi), BL17 (Geshu), local angiomas",Liang Ge San plus Tao Hong Si Wu Tang
What TCM pattern causes milia?,Spleen Deficiency with Phlegm Accumulation in superficial channels causes milia requiring resolving phlegm,"ST40 (Fenglong), SP6 (Sanyinjiao), LI4 (Hegu), local milia",Er Chen Tang (Two-Cured Decoction)
