Allergen_Category,Allergen_Name,Western_Medical_View,TCM_Perspective,Common_Symptoms,Severity
Insect Allergy,Fire ant venom,"Unique venom, pustules characteristic, anaphylaxis possible","Fire toxin with dampness, creates damp-heat in skin","Pustules, severe itching, possible anaphylaxis",Moderate to severe
Insect Allergy,Mosquito saliva,"Usually mild, skeeter syndrome in severe cases","Wind-heat or wind-damp invasion, blood-level involvement","Itching, swelling, large welts in sensitive individuals",Mild to moderate
Medication Allergy,Penicillin/Beta-lactam antibiotics,"Most common drug allergy, IgE and non-IgE reactions, can cross-react","Bitter-cold herbs damage spleen yang, create toxic heat reaction","Rash, hives, anaphylaxis, serum sickness",Mild to life-threatening
Medication Allergy,Sulfa drugs (sulfonamides),"Common drug allergy, cross-reactivity concerns, Stevens-Johnson syndrome risk",Strong bitter-cold property creates heat toxin reaction,"Rash, fever, Stevens-Johnson syndrome",Moderate to severe
Medication Allergy,"NSAIDs (aspirin, ibuprofen)","Pseudo-allergic reactions common, respiratory reactions, cross-reactivity","Cold property damages spleen yang, creates blood-level heat","Asthma exacerbation, hives, angioedema",Mild to severe
Medication Allergy,Codeine/opioids,"Histamine release, true allergy rare, cross-reactivity variable","Constrictive property blocks qi flow, creates heat and constraint","Itching, hives, nausea, respiratory depression",Mild to moderate
Medication Allergy,"Local anesthetics (lidocaine, novocaine)","True allergy rare, often anxiety or vasovagal response, cross-reactivity","Blocks qi and blood flow locally, creates stagnation","Swelling, rash, rarely anaphylaxis",Mild to moderate
Medication Allergy,Chemotherapy agents,"Hypersensitivity reactions common, can be immediate or delayed","Toxic heat substances severely damage qi, blood, yin, yang","Infusion reactions, rash, anaphylaxis",Moderate to severe
Medication Allergy,ACE inhibitors,"Angioedema risk, cough common, not true allergic reaction","Descends qi too strongly, affects lung and kidney","Chronic cough, angioedema",Mild to serious
Medication Allergy,Contrast dye (iodinated),"Not true allergy, hyperosmolar reaction, premedication helps",Extreme cold and toxic nature shocks kidney yang,"Nausea, hives, anaphylactoid reactions",Mild to severe
Medication Allergy,"Anticonvulsants (phenytoin, carbamazepine)","DRESS syndrome risk, delayed hypersensitivity, genetic factors","Sedating property damages heart-spleen, creates internal heat","Rash, fever, organ involvement, DRESS",Moderate to severe
Medication Allergy,Chemotherapy agents (platinum-based),Hypersensitivity increases with repeated exposure,Heavy metal toxin depletes kidney essence and blood,"Infusion reactions, anaphylaxis",Moderate to severe
Contact Allergy,Latex (natural rubber),"IgE-mediated, occupational hazard, cross-reactivity with fruits","External pathogen creating heat and wind in skin, wei qi deficiency","Hives, itching, anaphylaxis, contact dermatitis",Mild to life-threatening
Contact Allergy,Nickel,"Most common contact allergen, jewelry, coins, delayed hypersensitivity","Metal toxin creates damp-heat in skin, affects lung and spleen","Contact dermatitis, itching, blisters",Mild to moderate
Contact Allergy,Poison ivy/oak/sumac (urushiol),"Delayed hypersensitivity, T-cell mediated, can be severe",Toxic plant creates intense damp-heat and wind in skin,"Severe itching, blisters, rash, swelling",Moderate to severe
Contact Allergy,Fragrances/perfumes,"Multiple potential allergens, contact dermatitis, respiratory irritation","Aromatic dispersing nature affects lung and spleen, creates heat","Skin rash, headaches, respiratory irritation",Mild to moderate
Contact Allergy,"Preservatives (formaldehyde, parabens)","Contact dermatitis, in cosmetics and household products",Chemical toxins create heat and dampness in skin,"Eczema, contact dermatitis, itching",Mild to moderate
Contact Allergy,Hair dye (PPD - paraphenylenediamine),"Severe contact dermatitis possible, cross-reactivity with textiles","Chemical toxin creates heat and wind at scalp, liver-blood involvement","Scalp dermatitis, facial swelling, severe itching",Moderate to severe
Contact Allergy,"Adhesives (in bandages, medical tape)","Contact dermatitis, rosin and rubber components","External pathogen blocks skin pores, creates local qi stagnation","Skin irritation, rash at contact site",Mild
Contact Allergy,"Sunscreen ingredients (oxybenzone, PABA)","Contact and photoallergic reactions, chemical vs mineral","Chemical blocks skin qi flow, interacts with sun (yang) creating heat","Rash, itching, sun sensitivity",Mild to moderate
Contact Allergy,Rubber accelerators,"In gloves, shoes, delayed hypersensitivity, Type IV reaction",Chemical toxin creates damp-heat in skin where contact occurs,"Contact dermatitis, blisters, itching",Mild to moderate
Contact Allergy,Neomycin (topical antibiotic),"Common in over-the-counter ointments, cross-reactivity with other aminoglycosides",Bitter-cold property creates heat toxin reaction in skin,"Worsening rash, contact dermatitis",Mild to moderate
TCM Herb Allergy,Dang Gui (Angelica sinensis),"Phototoxicity, hormonal effects, bleeding risk","Over-tonification of blood, excess can cause heat and move blood too strongly","Skin sensitivity, rash, diarrhea",Mild to moderate
TCM Herb Allergy,Huang Qin (Scutellaria baicalensis),"Hepatotoxicity concerns, allergic reactions rare","Bitter-cold, excessive clearing creates spleen-stomach cold","Digestive upset, possible liver enzyme elevation",Mild to moderate
TCM Herb Allergy,Gan Cao (Glycyrrhiza - licorice),"Hypertension, hypokalemia, pseudo-aldosteronism with excess use","Over-harmonizing creates dampness, affects kidney function","Edema, high blood pressure, muscle weakness",Moderate
TCM Herb Allergy,Ren Shen (Panax ginseng),"Stimulant effects, interaction with medications, bleeding risk","Over-tonification creates heat and dryness, not for heat or yin deficiency patterns","Insomnia, anxiety, headache, high blood pressure",Mild to moderate
TCM Herb Allergy,Ma Huang (Ephedra),"Cardiovascular risks, banned in many countries, stimulant","Strongly disperses and warms, depletes qi and yin, raises yang","Palpitations, anxiety, high blood pressure, insomnia",Moderate to severe
TCM Herb Allergy,Fu Zi (Aconitum - aconite),"Highly toxic if not properly processed, cardiac effects","Hot toxin if improperly prepared, excessive yang warming","Numbness, palpitations, arrhythmia, toxicity",Severe to life-threatening
TCM Herb Allergy,Chai Hu (Bupleurum),"Generally safe, rare allergic reactions, possible liver effects","Raises and scatters qi, inappropriate use depletes qi and yin","Dizziness, headache, digestive upset",Mild
TCM Herb Allergy,Da Huang (Rheum - rhubarb),"Laxative effects, oxalate content, kidney concerns with overuse","Bitter-cold, strongly purging, damages spleen yang with overuse","Diarrhea, abdominal cramping, electrolyte imbalance",Mild to moderate
TCM Herb Allergy,Huang Lian (Coptis),"Berberine content, generally safe, GI upset possible","Extremely bitter-cold, excessive use damages spleen-stomach yang","Nausea, diarrhea, cold sensations",Mild
TCM Herb Allergy,Wu Tou (Aconitum - wild aconite),"Highly cardiotoxic, neurotoxic, requires expert processing","Intense fire toxin if unprocessed, disperses wind-damp with extreme caution","Severe toxicity, cardiac arrhythmia, respiratory failure",Life-threatening
Other Allergy,Pollen-food syndrome (oral allergy),Cross-reactivity between pollen and raw fruits/vegetables,"External wind combines with food properties, weak spleen-lung qi","Oral itching, throat irritation, resolved with cooking",Mild
Other Allergy,Beef,"Alpha-gal syndrome from tick bite, delayed reaction",Warm-sweet nature; allergy indicates spleen-dampness or heat,"Delayed hives, anaphylaxis (3-6 hours post-consumption)",Moderate to severe
Other Allergy,Pork,"Cat-pork syndrome, cross-reactivity with cat albumin",Neutral-sweet; allergy reflects spleen qi deficiency with dampness,"GI upset, hives",Mild to moderate
Other Allergy,Chicken/poultry,"Bird-egg syndrome, cross-reactivity with feathers",Warm nature; allergy indicates heat or spleen-stomach imbalance,"Digestive issues, skin reactions",Mild to moderate
Other Allergy,Lamb/mutton,"Less common, possible cross-reactivity with beef",Very warm nature; allergy suggests heat or yin deficiency,"Hives, digestive upset",Mild to moderate
Other Allergy,Rice,"Rare but increasing, can be severe in some populations","Neutral-sweet, tonifies spleen; allergy indicates severe spleen disruption","Digestive issues, eczema, anaphylaxis (rare)",Mild to moderate
Other Allergy,Buckwheat,"Common in Asia, can cause severe reactions, cross-reactivity","Cool, descends qi; allergy indicates spleen-stomach cold or damp","Hives, anaphylaxis, asthma",Moderate to severe
Other Allergy,Garlic,"Contact dermatitis and GI reactions, allicin compound",Hot-pungent; allergy indicates heat or yin deficiency with heat,"Skin burns, GI upset, headache",Mild to moderate
Other Allergy,Onion,"Rare, similar mechanisms to garlic, sulfur compounds",Warm-pungent; allergy suggests heat or qi stagnation,"GI upset, skin reactions",Mild
Other Allergy,Ginger,"Rare, possible cross-reactivity with turmeric",Warm-pungent; allergy indicates heat or excess yang,"Rash, GI upset",Mild
Other Allergy,Cinnamon,"Contact dermatitis common, oral allergy possible",Hot-sweet-pungent; allergy indicates yin deficiency with heat,"Oral irritation, contact dermatitis",Mild
Other Allergy,Sunflower seeds,"Increasing recognition, cross-reactivity with other seeds",Neutral; allergy reflects spleen-lung qi deficiency,"Oral allergy, anaphylaxis",Mild to severe
Other Allergy,Poppy seeds,"Rare, can contain opioid compounds, allergic reactions documented",Neutral-sweet; allergy indicates qi constraint or stagnation,"Anaphylaxis, hives",Moderate to severe
Other Allergy,Caraway seeds,Cross-reactivity with celery and mugwort pollen,Warm-pungent; allergy indicates heat or wind-heat,Oral allergy syndrome,Mild
Other Allergy,Peaches,"Lipid transfer protein allergy, severe in Mediterranean regions",Warm-sweet; allergy indicates damp-heat or heat in blood,"Oral allergy, systemic reactions, anaphylaxis",Mild to severe
Other Allergy,Apples,"Birch pollen cross-reactivity, cooking destroys allergen",Cool-sweet; allergy indicates spleen yang deficiency or dampness,Oral itching and swelling,Mild
Other Allergy,Carrots,"Pollen-food syndrome, birch and mugwort cross-reactivity",Neutral-sweet; allergy indicates spleen qi deficiency with wind,Oral allergy syndrome,Mild
Other Allergy,"Melons (cantaloupe, honeydew)","Ragweed cross-reactivity, oral allergy syndrome",Cool-sweet; allergy indicates spleen dampness or cold,"Oral itching, GI upset",Mild
Occupational Allergy,Flour/wheat dust (baker's asthma),"Inhalation allergy, occupational asthma, rhinitis","Dust creates phlegm-dampness in lung, spleen-lung deficiency","Asthma, rhinitis, occupational respiratory disease",Moderate to severe
Occupational Allergy,Latex gloves (healthcare workers),"Type I hypersensitivity, protein allergen, occupational hazard","External pathogen via skin, wei qi deficiency, repeated exposure weakens defense","Contact dermatitis, respiratory symptoms, anaphylaxis",Mild to life-threatening
Occupational Allergy,Isocyanates (spray painters),"Occupational asthma, can cause severe sensitization","Chemical toxin invades lung, damages lung qi and wei qi","Asthma, rhinitis, skin sensitization",Moderate to severe
Occupational Allergy,Wood dust (carpenters),"Respiratory sensitization, nasal cancer risk with hardwoods","Dust-dryness damages lung yin, creates phlegm and heat","Rhinitis, asthma, sinusitis",Mild to moderate
Occupational Allergy,Formaldehyde,"Respiratory irritant, sensitization, carcinogen classification","Toxic vapor invades lung, creates heat and dryness","Respiratory irritation, asthma, contact dermatitis",Moderate to severe
Occupational Allergy,Chlorine/bleach,"Irritant-induced asthma, not true allergy, respiratory damage","Caustic vapor damages lung qi, creates dryness and heat-toxin","Respiratory irritation, coughing, asthma",Moderate to severe
Occupational Allergy,"Laboratory animals (mice, rats)","Urine proteins major allergen, occupational asthma common","Animal essence (jing) creates wind invasion, wei qi deficiency","Rhinitis, asthma, conjunctivitis",Mild to severe
Other Allergy,Tattoo ink (various metals and dyes),"Delayed hypersensitivity, granulomas, various pigments","Foreign substance (toxin) under skin, blood stagnation, damp-heat","Granulomas, itching, swelling at tattoo site",Mild to moderate
Other Allergy,Henna (PPD-containing),"Black henna contains PPD, severe contact dermatitis",Chemical toxin creates heat and wind in skin,"Severe blistering, permanent scarring possible",Moderate to severe
Other Allergy,Propolis (bee glue),"Contact dermatitis, cross-reactivity with balsam of Peru","Resinous nature, warming, creates heat in sensitive individuals","Contact dermatitis, oral reactions",Mild to moderate
Other Allergy,Royal jelly,"Rare but can cause severe reactions, especially in atopic individuals","Tonifies essence strongly, excess creates heat or phlegm","Asthma, anaphylaxis, dermatitis",Moderate to severe
Other Allergy,Lanolin (wool alcohol),"Contact dermatitis, in cosmetics and ointments","Greasy-dampening nature blocks skin pores, creates local stagnation","Contact dermatitis, eczema exacerbation",Mild
Other Allergy,Colophony/rosin,"In adhesives, cosmetics, violin bows, contact allergen",Resinous nature creates heat and stagnation where applied,Contact dermatitis,Mild
Environmental Allergy,"Feather/down (pillows, comforters)","Protein allergens, often confused with dust mite allergy","Bird essence, lung qi deficiency, wei qi weakness","Rhinitis, asthma, nighttime symptoms",Mild to moderate
Environmental Allergy,Wool,"Usually irritant rather than allergy, lanolin component possible","Warming nature, lanolin creates dampness, irritates sensitive skin","Skin irritation, itching",Mild
Food Allergy,Gelatin,"In vaccines, marshmallows, gummy candies, pork or beef source","Tonifies yin and moistens dryness, allergy indicates spleen-damp or heat","Hives, anaphylaxis (rare)",Mild to moderate
Food Allergy,MSG (monosodium glutamate),"Not true allergy, sensitivity syndrome, controversial","Artificial flavor enhancer disrupts natural food qi, affects heart and stomach","Headache, flushing, sweating ('Chinese restaurant syndrome')",Mild
Food Allergy,Sulfites (preservatives),"Sensitivity reaction, asthma trigger, in wine and dried fruits",Chemical creates heat and constraint in lung and spleen,"Asthma exacerbation, hives",Mild to moderate
Food Allergy,"Food dyes (tartrazine, carmine)","Pseudo-allergic reactions, asthma and urticaria","Artificial substances create heat-toxin, disrupt spleen transformation","Hives, asthma, hyperactivity",Mild to moderate
Other Allergy,Seminal fluid allergy,"Rare, protein allergy, can affect fertility and intimacy","Kidney essence incompatibility, yin-yang disharmony between partners","Localized burning, swelling, systemic reactions possible",Mild to moderate
