Question,Answer,Trigger Points,Pharmacopeia
Starting weightlifting at 45 - mobility work needed?,Daily joint rotations (ankles to neck). Couch stretch for hip flexors. Thoracic spine mobility on foam roller.,"BL25 (Dachangshu), GV3 (Yaoyangguan)","Glucosamine Sulfate, Turmeric"
Dancer with plantar fasciitis?,Roll foot on frozen water bottle. Stretch calves and toes. Wear supportive footwear outside of dance.,"ST41 (Jiexi), GB40 (Qiuxu)","Magnesium Oil, Du Zhong (Eucommia Bark)"
Kayaker experiencing lower back fatigue?,Strengthen core anti-rotation muscles. Adjust seat position for better posture. Hip flexor stretching daily.,"GB30 (Huantiao), BL60 (Kunlun)","B-Complex, Yan Hu Suo (Corydalis)"
Volleyball player wanting to increase vertical jump?,"Plyometric training: box jumps, depth jumps. Strengthen posterior chain (glutes, hamstrings). Rest 48-72h between sessions.","SP9 (Yinlingquan), SP10 (Xuehai)","Creatine, Beta-Alanine"
Senior with balance issues starting exercise?,Begin with chair exercises. Tai Chi or Qi Gong for balance training. Progress to standing with support.,"SP9 (Yinlingquan), SP10 (Xuehai)","Vitamin B12, Ginkgo Biloba"
Surfer with chronic shoulder impingement?,Scapular stabilization exercises. Avoid overhead pressing temporarily. Improve thoracic spine extension.,"LI15 (Jianyu), SI9 (Jianzhen)","Turmeric, Willow Bark"
Fencer dealing with quad dominance issues?,Single-leg Romanian deadlifts. Glute bridges. Reduce quad-focused training volume.,"GB34 (Yanglingquan), LV8 (Ququan)","Magnesium Threonate, Cordyceps"
Ice hockey player with groin strain?,Active rest with gentle adductor stretching. Copenhagen plank progressions. Gradual return to skating.,"GB30 (Huantiao), BL60 (Kunlun)","Arnica Montana, Yan Hu Suo (Corydalis)"
Martial artist wanting faster reaction time?,Plyometric drills. Reaction ball training. Ensure adequate sleep (7-9h) for CNS recovery.,"BL23 (Shenshu), GV20 (Baihui)","Lion's Mane Mushroom, Green Tea Extract"
Gymnast (teenage) with wrist pain from tumbling?,Wrist strengthening in all planes. Tape support during training. Ice after sessions.,"SI4 (Wangu), LU7 (Lieque)","Calcium, Vitamin D3, Silica"
Distance runner with chronic fatigue?,Evaluate iron levels (ferritin). Reduce training volume by 20%. Prioritize sleep hygiene.,"BL23 (Shenshu), GV20 (Baihui)","Iron Bisglycinate, Huang Qi (Astragalus)"
Skier preparing for season - knee preparation?,"Wall sits, Bulgarian split squats. Agility ladder drills. Simulate skiing movements with resistance bands.","ST35 (Dubi), ST36 (Zusanli)","Collagen Type II, Hyaluronic Acid"
Wheelchair athlete preventing shoulder overuse?,Rotator cuff exercises 3x/week. Modify pushing technique. Massage pectorals regularly.,"LI15 (Jianyu), SI9 (Jianzhen)","Fish Oil, Frankincense"
Softball pitcher with elbow soreness?,Monitor pitch count strictly. Long-toss program for arm care. Strengthen shoulder stabilizers.,"SI4 (Wangu), LU7 (Lieque)","Bromelain, Jiang Huang (Turmeric)"
Equestrian rider with hip flexor tightness?,Couch stretch daily. Strengthen hip extensors. Dynamic stretching before riding.,"GB30 (Huantiao), BL60 (Kunlun)","Magnesium Oil, Bai Shao (White Peony)"
CrossFit athlete experiencing burnout?,Deload week (50% volume). Active recovery activities. Evaluate life stressors and sleep quality.,"BL23 (Shenshu), GV20 (Baihui)","Rhodiola Rosea, Ashwagandha"
Lacrosse player with recurring ankle sprains?,Balance training on unstable surfaces. Ankle dorsiflexion strengthening. Consider ankle bracing.,"ST41 (Jiexi), GB40 (Qiuxu)","Bromelain, San Qi (Notoginseng)"
Archer with upper back tension?,Rhomboid strengthening. Doorway pec stretch. Massage between scapulae.,"GB30 (Huantiao), BL60 (Kunlun)","Magnesium Glycinate, Ge Gen (Kudzu Root)"
Rower with rib stress pain?,Reduce training intensity. Core stability work. Check rowing technique (avoid over-rotation).,"BL23 (Shenshu), BL40 (Weizhong)","Calcium, Vitamin D3, Gu Sui Bu (Drynaria)"
Parkour athlete wanting injury prevention?,Progressive skill development. Ankle and wrist conditioning. Learn proper landing mechanics (land soft).,"BL60 (Kunlun), KI3 (Taixi)","Collagen Peptides, Glucosamine"
Elderly with arthritis starting water aerobics?,Warm water (84-88°F ideal). Start with 20-30 minutes. Gentle range of motion exercises.,"ST35 (Dubi), ST36 (Zusanli)","Glucosamine Chondroitin, Turmeric"
Basketball player with jumper's knee (patellar tendinopathy)?,Eccentric decline squats on slant board. Reduce jumping volume. Ice after activity.,"SP9 (Yinlingquan), SP10 (Xuehai)","Collagen Type I, Vitamin C"
Yoga teacher with SI joint dysfunction?,Avoid deep twists temporarily. Strengthen gluteus medius. Use SI belt during practice.,"GB30 (Huantiao), BL60 (Kunlun)","Turmeric, Du Zhong (Eucommia Bark)"
Sprinter wanting explosive power?,"Hill sprints, sled pushes. Olympic lift variations. Ensure full recovery between max efforts (72h+).","SP9 (Yinlingquan), SP10 (Xuehai)","Creatine Monohydrate, Beta-Alanine"
Figure skater with hip impingement?,Hip flexor stretching. Strengthen deep hip rotators. Consider off-ice hip mobility work.,"GB30 (Huantiao), BL60 (Kunlun)","Fish Oil, Boswellia"
Wrestler preventing cauliflower ear?,Wear protective headgear. Drain hematomas immediately with medical help. Ice after trauma.,"GB20 (Fengchi), LI4 (Hegu)","Arnica Gel, Bromelain"
Mountain biker with hand numbness?,Check bike fit (handlebar angle). Padded gloves. Vary hand positions frequently.,"SI4 (Wangu), LU7 (Lieque)","B-Complex Vitamins, Alpha-Lipoic Acid"
Cheerleader with ankle instability?,Proprioceptive training (single-leg balance). Strengthen peroneals. Tape for additional support.,"SP5 (Shangqiu), LV4 (Zhongfeng)","Calcium, Magnesium, Vitamin D3"
Rugby player with chronic neck pain?,Strengthen neck flexors and extensors. Proper tackle technique. Massage trapezius regularly.,"GV20 (Baihui), Taiyang (EX-HN5)","Magnesium Glycinate, Ge Gen (Kudzu Root)"
Trail runner dealing with IT band issues?,Foam roll TFL and lateral thigh. Hip abductor strengthening. Reduce downhill running temporarily.,"SP9 (Yinlingquan), SP10 (Xuehai)","Omega-3 Fatty Acids, Turmeric"
Judo athlete with finger joint pain?,Contrast baths (hot/cold). Buddy taping during training. Strengthen grip with therapy putty.,"PC7 (Daling), HT7 (Shenmen)","Glucosamine, MSM"
Pole vaulter with shoulder instability?,Rotator cuff strengthening (external rotation focus). Scapular control drills. Reduce vaulting volume if acute.,"LI15 (Jianyu), SI9 (Jianzhen)","Collagen Peptides, Vitamin C"
Swimmer with chronic sinusitis affecting training?,Use nose clip. Rinse with saline post-swim. Consider goggle fit (avoid pressure on sinuses).,"GB20 (Fengchi), LI4 (Hegu)","Xin Yi Hua (Magnolia Flower), NAC"
BMX rider wanting to prevent wrist fractures?,Wrist guards mandatory. Strengthen wrist extensors. Learn proper falling technique.,"LI4 (Hegu), TE5 (Waiguan)","Calcium Citrate, Vitamin K2"
Field hockey player with shin splints?,Reduce running volume. Strengthen tibialis anterior. Ice shins post-training.,"BL60 (Kunlun), KI3 (Taixi)","Magnesium, Calcium, Gu Sui Bu (Drynaria)"
Powerlifter with hip pain during squats?,Check squat stance width. Hip flexor stretching. Strengthen glutes and external rotators.,"GB30 (Huantiao), BL60 (Kunlun)","Turmeric, Boswellia"
Synchronized swimmer preventing ear infections?,Dry ears thoroughly after practice. Use swimmer's ear drops. Avoid cotton swabs.,"GV20 (Baihui), Taiyang (EX-HN5)","Garlic Oil, Mullein Oil"
Cyclist with saddle sores?,Chamois cream before rides. High-quality padded shorts. Proper bike fit reduces pressure.,"BL25 (Dachangshu), GV3 (Yaoyangguan)","Calendula Cream, Tea Tree Oil"
Kiteboarder with lower back strain?,"Core strengthening (planks, dead bugs). Harness adjustment. Hip mobility work.","BL23 (Shenshu), BL40 (Weizhong)","Magnesium Glycinate, Yan Hu Suo (Corydalis)"
Squash player with calf strains?,Eccentric calf raises. Proper warm-up. Ensure adequate footwear support.,"BL60 (Kunlun), KI3 (Taixi)","Magnesium Glycinate, Bai Shao (White Peony)"
Track cyclist wanting quad strength?,Heavy back squats 2x/week. Single-leg press. Adequate protein intake (1.6-2.2g/kg).,"GB34 (Yanglingquan), LV8 (Ququan)","Creatine, Leucine"
Aerial silk artist with shoulder fatigue?,Rotator cuff endurance training. Grip strength work. Schedule rest days between intense sessions.,"GB21 (Jianjing), TE14 (Jianliao)","Magnesium, Cordyceps Sinensis"
Baseball catcher with knee pain?,Strengthen vastus medialis oblique (VMO). Use knee pads. Ice after games.,"GB34 (Yanglingquan), LV8 (Ququan)","Glucosamine Sulfate, MSM"
Kickboxer with shin conditioning?,Progressive shin rolling on hard foam. Gradual heavy bag work. Nutrition for bone density.,"ST41 (Jiexi), GB40 (Qiuxu)","Calcium, Vitamin D3, Gu Sui Bu (Drynaria)"
Snowboarder preparing for season - preventing wrist injury?,Wrist guards under gloves. Practice falling technique on trampolines. Wrist strengthening exercises.,"PC7 (Daling), HT7 (Shenmen)","Collagen, Calcium, Silica"
Water polo player with shoulder pain?,Reduce throwing volume. Strengthen scapular stabilizers. Thoracic spine mobility.,"GB21 (Jianjing), TE14 (Jianliao)","Fish Oil, Turmeric"
Skateboarder with chronic ankle rolls?,Proprioception training. High-top shoes. Ankle strengthening in all planes.,"ST41 (Jiexi), GB40 (Qiuxu)","Bromelain, San Qi (Notoginseng)"
Racquetball player with back spasms?,Core stability exercises. Avoid excessive twisting when fatigued. Magnesium supplementation.,"BL23 (Shenshu), BL40 (Weizhong)","Magnesium Glycinate, Shao Yao Gan Cao Tang"
Obstacle course racer with grip fatigue?,Dead hangs from bar. Farmer's carries. Grip training 2x/week separate from race training.,"PC7 (Daling), HT7 (Shenmen)","Creatine, B-Complex Vitamins"
Long-distance swimmer with shoulder overuse?,Reduce yardage by 20%. Technique analysis (high elbow catch). Dry-land rotator cuff work.,"GB21 (Jianjing), TE14 (Jianliao)","Omega-3 Fatty Acids, Boswellia"
Flag football player wanting agility improvement?,"Cone drills, ladder drills. Strengthen ankle stabilizers. Plyometric training for change of direction.","BL60 (Kunlun), KI3 (Taixi)","Creatine, Cordyceps Sinensis"
Diving athlete with lower back hyperextension pain?,"Core anti-extension exercises (dead bug, Pallof press). Reduce excessive arching. Hip flexor stretching.","BL23 (Shenshu), BL40 (Weizhong)","Magnesium, Turmeric"
Ultimate frisbee player with hip flexor strain?,Active rest with gentle stretching. Strengthen hip extensors. Gradual return to cutting movements.,"BL25 (Dachangshu), GV3 (Yaoyangguan)","Arnica Montana, Yan Hu Suo (Corydalis)"
Adaptive athlete (amputee) with phantom limb pain?,"Mirror therapy. Gradual desensitization. Mind-body practices (meditation, breathing).","SP6 (Sanyinjiao), KI3 (Taixi)","CBD Oil, Yan Hu Suo (Corydalis)"
Ninja warrior training - preventing finger pulley injuries?,Progressive hangboard protocol. Open-hand training. Rest 48-72h between max hangs.,"LI4 (Hegu), TE5 (Waiguan)","Collagen Type I, Vitamin C"
Handball player with thumb sprain?,Buddy tape to index finger. Ice therapy. Gentle range of motion when pain-free.,"PC7 (Daling), HT7 (Shenmen)","Arnica Gel, Bromelain"
Capoeira practitioner with wrist pain from handstands?,Wrist warm-up circles. Build wrist extension strength. Use parallettes to reduce wrist angle.,"SI4 (Wangu), LU7 (Lieque)","Glucosamine, Turmeric"
Open water swimmer with shoulder fatigue in cold water?,Proper wetsuit fit. Warm-up thoroughly on land. Shorten stroke if fatigued to maintain form.,"SI11 (Tianzong), LI11 (Quchi)","Cordyceps, Rhodiola Rosea"
Strongman competitor with bicep tendon strain?,Avoid supinated pulling temporarily. Ice after training. Gradual eccentric loading when healing.,"GB21 (Jianjing), TE14 (Jianliao)","Collagen Peptides, Bromelain"
Bouldering athlete preventing elbow tendonitis?,"Antagonist training (push-ups, shoulder press). Limit crimping. Rest days between intense sessions.","LI4 (Hegu), TE5 (Waiguan)","Turmeric, Boswellia"
Pentathlete balancing multiple disciplines without overtraining?,Periodize focus (emphasis phases). Monitor HRV (Heart Rate Variability). Prioritize sleep 8-9h.,"CV6 (Qihai), ST36 (Zusanli)","Ashwagandha, Rhodiola Rosea"
Competitive eater (serious) - digestive health?,Gradual stomach capacity training. Hydration protocols. Probiotics for gut health.,"ST36 (Zusanli), CV12 (Zhongwan)","Probiotics, Digestive Enzymes, Ginger"
Spearfishing athlete improving breath hold?,CO2 tolerance tables. Diaphragmatic breathing training. Never train alone.,"KI3 (Taixi), SP6 (Sanyinjiao)","Cordyceps, CoQ10"
Javelin thrower with shoulder impingement?,Scapular dyskinesis correction. Reduce throwing volume. Posterior shoulder strengthening.,"LI15 (Jianyu), SI9 (Jianzhen)","Fish Oil, Turmeric, Boswellia"
Breakdancer with wrist injuries from windmills?,Wrist conditioning drills. Build up freeze holds gradually. Use wrist wraps for support.,"SI4 (Wangu), LU7 (Lieque)","Collagen, Glucosamine, Calcium"
Motocross rider with forearm pump?,Grip strength endurance training. Proper bar grip (not too tight). Arm stretching between motos.,"LI4 (Hegu), TE5 (Waiguan)","Magnesium Oil, Cordyceps"
Beach volleyball player with sand toe (turf toe)?,Buddy tape big toe. Supportive sandals off court. Ice after play.,"SP5 (Shangqiu), LV4 (Zhongfeng)","Arnica Gel, Bromelain"
Taekwondo athlete with hip flexor tendinopathy?,Reduce high kick volume. Isometric hip flexor holds. Progress to eccentric training.,"GB30 (Huantiao), BL60 (Kunlun)","Collagen Peptides, Turmeric"
Freediver with equalization difficulties?,Practice Frenzel technique on land. Nasal irrigation. Avoid diving with congestion.,"GB20 (Fengchi), LI4 (Hegu)","Xin Yi Hua (Magnolia), NAC"
Stand-up paddleboarder with rotator cuff strain?,Reduce paddle intensity. External rotation strengthening. Check paddle length for proper mechanics.,"SI11 (Tianzong), LI11 (Quchi)","Fish Oil, Turmeric"
Sumo wrestler maintaining joint health at high body weight?,"Low-impact conditioning (swimming, cycling). Anti-inflammatory diet. Regular mobility work.","SP9 (Yinlingquan), SP10 (Xuehai)","Glucosamine Chondroitin, Omega-3"
Urban cyclist avoiding repetitive strain?,Bike fit optimization. Vary hand positions. Strengthen core to reduce upper body load.,"LI4 (Hegu), TE5 (Waiguan)","Magnesium, B-Complex Vitamins"
Salsa dancer with metatarsalgia (ball of foot pain)?,Metatarsal pads in shoes. Strengthen foot intrinsics. Ice after dancing.,"ST41 (Jiexi), GB40 (Qiuxu)","Arnica Montana, Magnesium Oil"
Adventure racer with sleep deprivation strategies?,Power naps (20 mins) during transitions. Caffeine timing (avoid late in race). Train occasionally fatigued.,"KI6 (Zhaohai), PC6 (Neiguan)","Melatonin, Magnesium Glycinate"
Parkour coach preventing burnout?,Schedule teaching-free training days. Cross-train in different movements. Mental health check-ins.,"GV20 (Baihui), Yintang (EX-HN3)","Ashwagandha, Rhodiola Rosea, L-Theanine"
