Question,Answer,TCM Acupuncture Points,Pharmacopeia
What is the function of GB21 (Jianjing) for stress?,"GB21 Jianjing ('Shoulder Well') releases shoulder and neck tension from stress, promotes Qi circulation, treats emotional holding patterns, and relieves the physical burden of stress.","GB21 (Jianjing), GB20 (Fengchi), LI4 (Hegu)",Xiao Yao Wan (Free and Easy Wanderer)
How does Ear Shenmen help with stress and addiction?,"Ear Shenmen is a powerful auricular point that calms the mind, reduces cravings, alleviates anxiety and withdrawal symptoms, and is widely used in addiction treatment protocols like NADA.","Ear Shenmen, Ear Heart, Ear Kidney - auricular points",Suan Zao Ren Tang (Sour Jujube Decoction)
What is the significance of GV24 (Shenting) for mental clarity?,"GV24 Shenting ('Spirit Court') calms the Shen, clears the mind, treats anxiety, insomnia, mental restlessness, and improves focus and mental clarity during stressful periods.","GV24 (Shenting), GV20 (Baihui), Yintang (Extra point)","An Shen Bu Xin Wan (Calm the Spirit, Tonify the Heart Pill)"
How does Qigong function as biofeedback therapy?,"Qigong combines awareness, posture, movement, and breath to enhance physiological proprioception and regulate the autonomic nervous system. It conditions positive vegetative pathways that remain stable during stress.","CV6 (Qihai), CV17 (Shanzhong), GV20 (Baihui)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
What is the relationship between breathing and Kidney Qi?,"Deep abdominal breathing draws Qi down to the Lower Dan Tian (below navel), strengthening Kidney Qi's ability to 'grasp' Lung Qi. This anchors energy, calms anxiety, and builds stress resilience.","CV4 (Guanyuan), CV6 (Qihai), KD3 (Taixi)",Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill)
How does heart rate variability relate to TCM?,"Heart rate variability (HRV) reflects autonomic balance between sympathetic and parasympathetic systems. In TCM, this correlates with Yin-Yang balance and smooth Qi flow, particularly of Heart and Kidney.","HT7 (Shenmen), PC6 (Neiguan), KD3 (Taixi)",Zhi Gan Cao Tang (Honey-Fried Licorice Decoction)
What is the Dan Tian breathing technique?,"Dan Tian breathing focuses attention on the lower abdomen (CV4-CV6 area), using deep, slow breaths to gather and cultivate Qi. This practice grounds energy, tonifies Kidney Qi, and induces deep relaxation.","CV4 (Guanyuan), CV6 (Qihai), ST25 (Tianshu)",You Gui Wan (Restore the Right Kidney Pill)
How does acupressure work as self-administered biofeedback?,"Acupressure allows individuals to regulate their own Qi flow and nervous system response. By pressing specific points, practitioners develop proprioceptive awareness and actively participate in their healing process.","LI4 (Hegu), LV3 (Taichong), PC6 (Neiguan)",Xiao Yao Wan (Free and Easy Wanderer)
What is the Inner Smile meditation in TCM?,"Inner Smile meditation involves visualizing and directing warm, positive energy to internal organs, particularly the Zang-Fu organs. This practice tonifies organ Qi, harmonizes emotions, and promotes self-compassion.","CV17 (Shanzhong), CV12 (Zhongwan), CV4 (Guanyuan)",Gui Pi Tang (Restore the Spleen Decoction)
How does the Microcosmic Orbit meditation work?,"Microcosmic Orbit meditation circulates Qi through the Conception (Ren) and Governing (Du) vessels, connecting Yin and Yang meridians. This practice balances energy, strengthens the energetic core, and calms the mind.","CV4 (Guanyuan), GV4 (Mingmen), GV20 (Baihui)",Zuo Gui Wan (Restore the Left Kidney Pill)
What is the role of mindfulness in TCM practice?,"Mindfulness cultivates present-moment awareness (Shen regulation), allowing observation of thoughts and emotions without attachment. This prevents Qi stagnation and emotional accumulation that leads to disease.","Yintang (Extra point), HT7 (Shenmen), GV20 (Baihui)","An Shen Bu Xin Wan (Calm the Spirit, Tonify the Heart Pill)"
How does progressive muscle relaxation relate to Qi flow?,"Progressive muscle relaxation releases tension and Qi stagnation held in muscles and fascia. In TCM, this clears the channels, promotes Blood circulation, and allows smooth Qi flow throughout the body.","GB21 (Jianjing), LV3 (Taichong), LI4 (Hegu)",Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver)
What is the Six Healing Sounds practice?,"Six Healing Sounds (Liu Zi Jue) uses specific vocalizations and breath patterns to purge stagnant Qi from each Zang organ (Liver, Heart, Spleen, Lung, Kidney, Triple Burner), releasing emotional toxins.","LV13 (Zhangmen), CV17 (Shanzhong), CV12 (Zhongwan), CV4 (Guanyuan)",Xiao Yao Wan (Free and Easy Wanderer) - organ-specific modifications
How does Tai Chi regulate the autonomic nervous system?,"Tai Chi's slow, flowing movements coordinate breath, posture, and mental focus to shift from sympathetic to parasympathetic dominance. This lowers cortisol, reduces blood pressure, and promotes Yin nourishment.","CV6 (Qihai), KD3 (Taixi), ST36 (Zusanli)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill)
What is body scanning meditation in TCM context?,"Body scanning involves systematically directing awareness through the body, identifying areas of tension (Qi stagnation) or numbness (Qi deficiency). This develops proprioception and guides self-treatment.","Yintang (Extra point), GV20 (Baihui), KD1 (Yongquan)",Suan Zao Ren Tang (Sour Jujube Decoction)
How does temperature biofeedback relate to TCM diagnosis?,"Temperature variations in hands and feet indicate Qi and Blood circulation patterns. Cold extremities suggest Yang deficiency or Qi stagnation, while excessive heat indicates Yang excess or Yin deficiency.","LI4 (Hegu), PC8 (Laogong), KD1 (Yongquan)",Dang Gui Si Ni Tang (Tangkuei Decoction for Frigid Extremities)
What is the Standing Meditation (Zhan Zhuang) practice?,"Standing Meditation involves holding static postures to cultivate Qi, strengthen the legs (foundation), and train mental focus. This practice builds internal power, patience, and stress resilience.","ST36 (Zusanli), SP6 (Sanyinjiao), CV6 (Qihai)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
How does guided imagery support Shen regulation?,"Guided imagery uses visualization to direct Qi and calm the Shen. Imagining peaceful scenes, healing light, or energy flow activates the mind-body connection and promotes parasympathetic relaxation.","Yintang (Extra point), HT7 (Shenmen), CV17 (Shanzhong)","Gan Mai Da Zao Wan (Licorice, Wheat, and Jujube Pill)"
What is Xiao Yao Wan used for in stress management?,"Xiao Yao Wan (Free and Easy Wanderer) is the primary formula for Liver Qi stagnation with Blood deficiency, treating stress, irritability, PMS, depression, fatigue, and digestive issues from emotional tension.","LV3 (Taichong), LV14 (Qimen), SP6 (Sanyinjiao)","Xiao Yao Wan (Free and Easy Wanderer) - contains Chai Hu, Dang Gui, Bai Shao, Bai Zhu, Fu Ling, Gan Cao, Sheng Jiang, Bo He"
How does Chai Hu Shu Gan San differ from Xiao Yao Wan?,"Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver) focuses more strongly on moving stagnant Liver Qi with less emphasis on Blood tonification. It treats acute stress, anger, irritability, and chest/epigastric distention.","LV3 (Taichong), LV14 (Qimen), GB34 (Yanglingquan)","Chai Hu Shu Gan San - contains Chai Hu, Chen Pi, Chuan Xiong, Xiang Fu, Zhi Ke, Bai Shao, Gan Cao"
What is Ban Xia Hou Po Tang indicated for?,"Ban Xia Hou Po Tang (Pinellia and Magnolia Formula) treats Plum-Pit Qi syndrome - the sensation of a lump in the throat from emotional stagnation. It's used for anxiety, grief, globus sensation, and chest oppression.","CV17 (Shanzhong), PC6 (Neiguan), ST40 (Fenglong)","Ban Xia Hou Po Tang - contains Ban Xia, Hou Po, Fu Ling, Sheng Jiang, Zi Su Ye"
How does Gan Mai Da Zao Wan calm the spirit?,"Gan Mai Da Zao Wan (Licorice, Wheat, and Jujube Pill) nourishes Heart Qi and calms the Shen. Its simple three-herb formula treats emotional instability, inappropriate crying or laughing, anxiety, and restless organ disorder.","HT7 (Shenmen), CV17 (Shanzhong), PC6 (Neiguan)","Gan Mai Da Zao Wan - contains Gan Cao, Fu Xiao Mai, Da Zao"
What is Suan Zao Ren Tang used for?,"Suan Zao Ren Tang (Sour Jujube Decoction) nourishes Liver Blood and clears Heat to calm the Shen. It treats insomnia, palpitations, night sweats, and anxiety from Blood deficiency with underlying irritability.","HT7 (Shenmen), SP6 (Sanyinjiao), LV8 (Ququan)","Suan Zao Ren Tang - contains Suan Zao Ren, Fu Ling, Chuan Xiong, Zhi Mu, Gan Cao"
How does Gui Pi Tang address stress and fatigue?,"Gui Pi Tang (Restore the Spleen Decoction) tonifies Spleen and Heart Qi and Blood. It treats stress-related fatigue, overthinking, poor memory, insomnia, palpitations, and anxiety from Qi and Blood deficiency.","HT7 (Shenmen), SP6 (Sanyinjiao), ST36 (Zusanli)","Gui Pi Tang - contains Ren Shen, Huang Qi, Bai Zhu, Fu Ling, Suan Zao Ren, Long Yan Rou, Mu Xiang, Dang Gui, Yuan Zhi, Gan Cao, Sheng Jiang, Da Zao"
What is Tian Wang Bu Xin Dan indicated for?,"Tian Wang Bu Xin Dan (Emperor's Teapill to Tonify the Heart) nourishes Heart Yin and Blood while calming the Shen. It treats severe anxiety, insomnia, palpitations, poor memory, and restlessness from Yin deficiency.","HT7 (Shenmen), HT6 (Yinxi), KD3 (Taixi)","Tian Wang Bu Xin Dan - contains Sheng Di, Xuan Shen, Tian Men Dong, Mai Men Dong, Dang Gui, Dan Shen, Ren Shen, Fu Ling, Wu Wei Zi, Yuan Zhi, Jie Geng, Suan Zao Ren, Bai Zi Ren"
How does An Shen Bu Xin Wan work?,"An Shen Bu Xin Wan (Calm the Spirit, Tonify the Heart Pill) tonifies Heart and Kidney while anchoring the Shen. It treats anxiety, insomnia, restlessness, poor concentration, and emotional instability.","HT7 (Shenmen), KD3 (Taixi), Yintang (Extra point)","An Shen Bu Xin Wan - contains Shou Wu Teng, Dan Shen, Wu Wei Zi, He Huan Pi, Zhu Sha (cinnabar - often substituted)"
What is Liu Wei Di Huang Wan's role in stress?,"Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill) nourishes Kidney and Liver Yin. It treats stress-related Yin deficiency with night sweats, hot flashes, irritability, insomnia, and burnout symptoms.","KD3 (Taixi), KD6 (Zhaohai), SP6 (Sanyinjiao)","Liu Wei Di Huang Wan - contains Shu Di Huang, Shan Zhu Yu, Shan Yao, Fu Ling, Mu Dan Pi, Ze Xie"
How does Tian Ma Gou Teng Yin calm Liver Yang?,"Tian Ma Gou Teng Yin (Gastrodia and Uncaria Decoction) subdues Liver Yang rising and extinguishes Wind. It treats stress headaches, dizziness, irritability, insomnia, and hypertension from excess Yang.","LV3 (Taichong), GB20 (Fengchi), GV20 (Baihui)","Tian Ma Gou Teng Yin - contains Tian Ma, Gou Teng, Shi Jue Ming, Zhi Zi, Huang Qin, Chuan Niu Xi, Du Zhong, Sang Ji Sheng, Ye Jiao Teng, Fu Shen"
What is Bu Zhong Yi Qi Tang used for?,"Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction) raises Spleen and Stomach Qi. It treats stress-related fatigue, weak digestion, prolapse, mental fog, and chronic exhaustion from Qi deficiency.","ST36 (Zusanli), CV6 (Qihai), GV20 (Baihui)","Bu Zhong Yi Qi Tang - contains Huang Qi, Ren Shen, Bai Zhu, Gan Cao, Dang Gui, Chen Pi, Sheng Ma, Chai Hu, Sheng Jiang, Da Zao"
How does Zhi Gan Cao Tang regulate heart rhythm?,"Zhi Gan Cao Tang (Honey-Fried Licorice Decoction) tonifies Qi and nourishes Blood and Yin to regulate heart rhythm. It treats palpitations, anxiety, insomnia, and irregular heartbeat from deficiency.","HT7 (Shenmen), PC6 (Neiguan), ST36 (Zusanli)","Zhi Gan Cao Tang - contains Zhi Gan Cao, Sheng Di, Gui Zhi, Ren Shen, Mai Men Dong, E Jiao, Ma Ren, Sheng Jiang, Da Zao"
What is the function of Wen Dan Tang?,"Wen Dan Tang (Warm the Gallbladder Decoction) transforms Phlegm and harmonizes Stomach and Gallbladder. It treats anxiety, insomnia, palpitations, nausea, and restlessness from Phlegm-Heat disturbing the Heart.","ST40 (Fenglong), PC5 (Jianshi), CV12 (Zhongwan)","Wen Dan Tang - contains Ban Xia, Zhu Ru, Zhi Shi, Chen Pi, Fu Ling, Gan Cao, Sheng Jiang, Da Zao"
How does Bai He Di Huang Tang address emotional issues?,"Bai He Di Huang Tang (Lily and Rehmannia Decoction) nourishes Yin and clears residual Heat. It treats emotional lability, depression, anxiety, insomnia, and lingering emotional disturbances after acute stress.","HT7 (Shenmen), LU7 (Lieque), KD6 (Zhaohai)","Bai He Di Huang Tang - contains Bai He, Sheng Di Huang"
What is Zuo Gui Wan indicated for?,"Zuo Gui Wan (Restore the Left Kidney Pill) strongly tonifies Kidney Yin and Essence. It treats chronic stress burnout, anxiety, insomnia, night sweats, hot flashes, and deep exhaustion from Yin depletion.","KD3 (Taixi), KD6 (Zhaohai), CV4 (Guanyuan)","Zuo Gui Wan - contains Shu Di Huang, Shan Zhu Yu, Shan Yao, Gou Qi Zi, Chuan Niu Xi, Lu Jiao Jiao, Gui Ban Jiao, Tu Si Zi"
How do you treat acute stress response with TCM?,"Acute stress response involves Liver Qi stagnation and rising Yang. Treatment focuses on moving Qi, calming the Shen, and grounding energy using points and formulas that regulate the Liver and Heart.","LI4 (Hegu), LV3 (Taichong), HT7 (Shenmen), Yintang (Extra point)",Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver)
What is the TCM approach to chronic stress and burnout?,"Chronic stress depletes Qi, Blood, Yin, and Essence. Treatment tonifies deficiencies, nourishes Yin, strengthens Kidney and Spleen, and provides deep restoration using supplementing formulas and points.","ST36 (Zusanli), SP6 (Sanyinjiao), KD3 (Taixi), BL23 (Shenshu)",Gui Pi Tang (Restore the Spleen Decoction) or Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill)
How do you differentiate between Heart and Liver patterns in anxiety?,"Heart anxiety presents with palpitations, insomnia, mental restlessness, and pale complexion (Blood/Yin deficiency). Liver anxiety shows irritability, anger, chest tightness, and mood swings (Qi stagnation).","Heart pattern: HT7, PC6, SP6; Liver pattern: LV3, LV14, GB34",Heart: Tian Wang Bu Xin Dan; Liver: Xiao Yao Wan or Chai Hu Shu Gan San
What is the treatment for stress-induced insomnia?,"Stress insomnia stems from Shen disturbance, often from Heart-Kidney disharmony, Liver Fire, or Blood deficiency. Treatment calms the Shen, nourishes Yin-Blood, and clears Heat if present.","HT7 (Shenmen), Yintang (Extra point), Anmian (Extra point), KD3 (Taixi)",Suan Zao Ren Tang (Sour Jujube Decoction) or Tian Wang Bu Xin Dan
How do you treat stress-related digestive issues?,"Stress affects Spleen and Liver, causing disharmony between Liver and Spleen (Wood overacting on Earth). Treatment soothes Liver Qi, strengthens Spleen, and harmonizes the Middle Burner.","LV3 (Taichong), LV13 (Zhangmen), ST36 (Zusanli), CV12 (Zhongwan)",Xiao Yao Wan (Free and Easy Wanderer) or Si Jun Zi Tang with modifications
What is the TCM protocol for panic attacks?,"Panic attacks involve sudden Liver Yang rising, Phlegm-Fire, or Heart-Gallbladder deficiency with timidity. Treatment subdues Yang, transforms Phlegm, calms the Shen, and strengthens courage.","HT7 (Shenmen), PC6 (Neiguan), GB40 (Qiuxu), GV20 (Baihui)",Wen Dan Tang (Warm the Gallbladder Decoction) or An Shen Ding Zhi Wan
How do you address stress-related muscle tension?,"Muscle tension indicates Qi and Blood stagnation in the channels, often from Liver Qi stagnation. Treatment moves Qi and Blood, relaxes sinews, and releases emotional holding patterns.","GB21 (Jianjing), GB20 (Fengchi), LI4 (Hegu), LV3 (Taichong)","Xiao Yao Wan (Free and Easy Wanderer) or modifications with Chuan Xiong, Bai Shao"
What is the treatment for stress-induced hypertension?,"Stress hypertension often involves Liver Yang rising or Liver Fire. Treatment subdues Yang, clears Fire, nourishes Yin, calms the Shen, and regulates Liver function.","LV3 (Taichong), GB20 (Fengchi), LI11 (Quchi), KD3 (Taixi)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria Decoction)
How do you treat emotional eating and stress?,"Emotional eating relates to Spleen-Liver disharmony and Stomach Heat or Phlegm accumulation. Treatment harmonizes Liver and Spleen, clears Heat, transforms Phlegm, and regulates appetite.","ST36 (Zusanli), ST44 (Neiting), CV12 (Zhongwan), LV3 (Taichong)",Xiao Yao Wan (Free and Easy Wanderer) or Bao He Wan with modifications
What is the TCM approach to stress-related headaches?,"Stress headaches typically stem from Liver Yang rising, Liver Qi stagnation, or Blood deficiency. Treatment patterns vary: subdue Yang, move Qi, or nourish Blood based on presentation.","GB20 (Fengchi), Taiyang (Extra point), LV3 (Taichong), LI4 (Hegu)",Tian Ma Gou Teng Yin for Yang rising; Xiao Yao Wan for Qi stagnation
How do you combine acupuncture and herbs for optimal results?,"Acupuncture provides immediate regulation of Qi flow and nervous system response, while herbs offer sustained systemic support. Combined therapy treats both symptoms and root causes more comprehensively.",Pattern-specific points based on diagnosis,Pattern-specific formulas based on diagnosis
What is the treatment frequency for stress management?,"Acute stress: 2-3 treatments weekly for 2-4 weeks. Chronic stress: weekly treatments for 6-12 weeks, then maintenance every 2-4 weeks. Herbal therapy continues daily throughout treatment course.",Varies based on condition and pattern,Herbs taken daily; formulas adjusted every 2-4 weeks based on response
How do you treat PTSD with TCM?,"PTSD involves deep Shen disturbance, Kidney Essence depletion, Heart-Kidney disharmony, and often Phlegm or Blood stasis. Treatment anchors the Shen, tonifies Essence, and transforms pathological factors.","HT7 (Shenmen), KD3 (Taixi), Yintang (Extra point), GV20 (Baihui), GV24 (Shenting)",Gui Pi Tang combined with Suan Zao Ren Tang; or An Shen Bu Xin Wan
What lifestyle recommendations support TCM stress treatment?,"Regular sleep schedule (nourishes Yin), moderate exercise (moves Qi), balanced diet (supports Spleen), reduced stimulants (protects Shen), meditation/Qigong (regulates autonomic function), and nature exposure (harmonizes with environment).","Practice points: PC6, HT7, LV3, ST36 for self-acupressure",Continue prescribed formula; consider adaptogens like Ginseng or Reishi for additional support
How do you prevent stress-related illness in TCM?,"Prevention focuses on maintaining smooth Qi flow, tonifying constitutional Qi (especially Spleen and Kidney), regular cultivation practices, seasonal adaptation, balanced emotions, and addressing patterns before disease manifests.","Preventive points: ST36, SP6, LI4, LV3, CV6","Seasonal tonics: Bu Zhong Yi Qi Tang (Spring/Summer), Liu Wei Di Huang Wan (Fall/Winter)"
