Question,Answer,Acupuncture_Points,Herbal_Formula,Pharmacopeia_If_Needed
Can dietary factors contribute to severe mental disturbance?,"Yes. Irregular eating, excessive cold/raw foods, or alcohol can damage Spleen/Stomach, leading to Phlegm and Dampness that cloud the mind.","ST-36 (Zusanli), ST-40 (Fenglong), SP-6 (Sanyinjiao), CV-12 (Zhongwan)",Liu Jun Zi Tang with Phlegm-resolving herbs,"Dang Shen 12g, Bai Zhu 9-12g, Fu Ling 12g, Ban Xia 9g, Chen Pi 6-9g"
What is the connection between sleep disturbance and suicidal crisis?,"Severe insomnia depletes Heart Blood and Yin, preventing the Shen from resting. This exhaustion intensifies despair and mental chaos.","HT-7 (Shenmen), AN-MIan, BL-15 (Xinshu), GV-20 (Baihui)",Suan Zao Ren Tang or Tian Wang Bu Xin Dan,"Suan Zao Ren 15-30g, Fu Ling 12g, Chuan Xiong 6g, Zhi Mu 9g, Bai Zi Ren 12g, Ye Jiao Teng 15-30g"
How does constitutional weakness predispose to severe depression?,"Individuals with weak Kidney essence, deficient Heart Blood, or weak Spleen Qi from birth are more vulnerable to Shen disturbance under stress.","KI-3 (Taixi), BL-23 (Shenshu), ST-36 (Zusanli), CV-6 (Qihai)",Ba Zhen Tang or You Gui Wan for Kidney Yang,"Ren Shen 9g, Huang Qi 15g, Dang Gui 12g, Shu Di 15g, Bai Zhu 9g, Fu Ling 12g, Bai Shao 12g"
What is the TCM view on hereditary depression?,"TCM sees this as inherited Jing (essence) deficiency, particularly of Kidney and Heart, making the person susceptible to Shen disorders.","KI-3 (Taixi), KI-7 (Fuliu), BL-23 (Shenshu), GV-4 (Mingmen)",Zuo Gui Wan or You Gui Wan,"Shu Di 24-30g, Shan Zhu Yu 12g, Gou Qi Zi 12g, Lu Jiao Jiao 9g, Gui Ban Jiao 9g, Niu Xi 9-12g"
Can external pathogens trigger mental health crisis?,"Yes. Wind, Heat, or Damp-Heat can invade and disturb the Heart and Pericardium, causing acute mental agitation and disturbed thoughts.","GV-14 (Dazhui), PC-6 (Neiguan), LI-4 (Hegu), LI-11 (Quchi)",Huang Lian Jie Du Tang,"Huang Lian 6-9g, Huang Qin 9g, Huang Bai 6-9g, Zhi Zi 9-12g; add An Gong Niu Huang Wan if severe"
What is the most important point for calming the Shen?,"HT-7 (Shenmen - Spirit Gate) is the primary point for anchoring the spirit, calming the mind, and treating all emotional disturbances.","HT-7 (Shenmen)bilateral, even technique or tonification",N/A - acupuncture primary,"Support with Suan Zao Ren 15-30g, Long Gu 30g, Mu Li 30g as herbal tea if needed"
How is GV-20 (Baihui) used for severe depression?,"GV-20 lifts the spirit, clarifies the mind, and treats descending Qi. It's especially useful when there's mental confusion or clouded consciousness.","GV-20 (Baihui), GV-24 (Shenting), EX-HN-3 (Yintang)",Often combined with Kai Xin San,"Ren Shen 6-9g, Fu Ling 12g, Shi Chang Pu 6-9g, Yuan Zhi 6-9g"
Which points address both anxiety and suicidal thoughts?,"PC-6 (Neiguan) calms the Heart, opens the chest, and relieves anxiety. Combined with HT-7 for severe cases.","PC-6 (Neiguan), HT-7 (Shenmen), CV-17 (Shanzhong), EX-HN-3 (Yintang)",Chai Hu Jia Long Gu Mu Li Tang,"Chai Hu 9g, Long Gu 30g, Mu Li 30g, Huang Qin 9g, Ban Xia 9g, Fu Ling 12g"
What points help when the patient feels hopeless?,"CV-17 (Shanzhong - Sea of Qi) opens the chest, relieves oppression, and restores the will to live. Combined with CV-14 and GV-20.","CV-17 (Shanzhong), CV-14 (Juque), GV-20 (Baihui), HT-7 (Shenmen)",Gan Mai Da Zao Tang with Bai He,"Gan Cao 9g, Xiao Mai 30g, Da Zao 10pc, Bai He 15-30g, He Huan Pi 12g"
Which points treat Liver Qi stagnation with rage?,"LR-3 (Taichong) and LR-2 (Xingjian) course Liver Qi, clear Liver Fire, and reduce anger and impulsivity.","LR-3 (Taichong), LR-2 (Xingjian), GB-34 (Yanglingquan), LI-4 (Hegu)",Long Dan Xie Gan Tang,"Long Dan Cao 6-9g, Huang Qin 9g, Zhi Zi 9g, Chai Hu 6-9g, Dang Gui 9g, Sheng Di 12g"
What are the best points for insomnia with severe anxiety?,"HT-7 (Shenmen), AN-Mian (Peaceful Sleep), and BL-15 (Xinshu - Heart Back Shu) calm the Heart and promote sleep.","HT-7 (Shenmen), AN-Mian, BL-15 (Xinshu), KI-6 (Zhaohai), SP-6 (Sanyinjiao)",Suan Zao Ren Tang,"Suan Zao Ren 15-30g, Fu Ling 12g, Chuan Xiong 6g, Zhi Mu 9g, Ye Jiao Teng 15-30g"
Which points strengthen the patient's will to live?,"KI-3 (Taixi) and BL-23 (Shenshu) strengthen Kidney essence and Zhi (willpower), while GV-4 (Mingmen) tonifies the life gate.","KI-3 (Taixi), BL-23 (Shenshu), GV-4 (Mingmen), CV-4 (Guanyuan)",Zuo Gui Wan with Ren Shen,"Shu Di 24-30g, Shan Zhu Yu 12g, Gou Qi Zi 12g, Ren Shen 6-9g, Lu Jiao Jiao 9g"
How do you treat Phlegm misting the mind?,ST-40 (Fenglong) is the master point for Phlegm. Combined with PC-5 (Jianshi) to clear Phlegm from the Heart.,"ST-40 (Fenglong), PC-5 (Jianshi), CV-12 (Zhongwan), SP-9 (Yinlingquan)",Wen Dan Tang,"Ban Xia 9-12g, Zhu Ru 9g, Zhi Shi 6-9g, Chen Pi 9g, Fu Ling 12g, Shi Chang Pu 6-9g"
What points help after emotional trauma or PTSD?,"GV-24 (Shenting), GV-20 (Baihui), and CV-15 (Jiuwei) calm the spirit after shock and settle the ethereal soul (Hun).","GV-24 (Shenting), CV-15 (Jiuwei), HT-7 (Shenmen), LR-3 (Taichong)",Chai Hu Jia Long Gu Mu Li Tang or Gan Mai Da Zao Tang,"Long Gu 30g, Mu Li 30g, Yuan Zhi 9g, He Huan Pi 12-15g, Gan Cao 9g, Da Zao 10pc"
Which ear acupuncture points are used?,"Shenmen (ear), Heart (ear), Kidney (ear), and Subcortex points calm the mind and reduce crisis symptoms.","Ear Shenmen, Ear Heart, Ear Kidney, Ear Subcortex, Point Zero",Adjunctive to body acupuncture,Herbal medicine as primary treatment; ear seeds can extend treatment between sessions
What is the scalp acupuncture approach?,The MS-1 (Spirit-Emotion Area) and MS-5 (Balance Area) on the scalp directly affect limbic system and emotional regulation.,"MS-1 (Spirit-Emotion Area), MS-5 (Balance Area), GV-20 (Baihui)",N/A - specialized technique,Support with calming formulas: Tian Wang Bu Xin Dan or modified Wen Dan Tang
How often should acupuncture be administered in crisis?,"In acute crisis, daily treatments for 5-7 days, then 2-3 times weekly. Frequent treatment stabilizes the Shen more rapidly.",Protocol-dependent based on severity,Herbal medicine taken daily between treatments,Formula adjusted weekly based on response; typical daily dose of main formula
Which points address Heart-Kidney disconnection?,KI-3 (Taixi) and HT-7 (Shenmen) together restore Heart-Kidney communication. Add KI-6 (Zhaohai) and HT-6 (Yinxi) for Yin deficiency.,"KI-3 (Taixi), HT-7 (Shenmen), KI-6 (Zhaohai), HT-6 (Yinxi)",Huang Lian E Jiao Tang,"Huang Lian 3-9g, Huang Qin 6g, Bai Shao 9-12g, E Jiao 9g, Ji Zi Huang 2 pieces"
What points help when the patient cannot cry or express emotion?,"LR-3 (Taichong), LR-14 (Qimen), and PC-6 (Neiguan) course Liver Qi and allow emotional release.","LR-3 (Taichong), LR-14 (Qimen), PC-6 (Neiguan), CV-17 (Shanzhong)",Xiao Yao San,"Chai Hu 9g, Dang Gui 9-12g, Bai Shao 12-15g, Bai Zhu 9g, Fu Ling 12g, He Huan Pi 12g"
Which points treat agitation and violent impulses?,LR-2 (Xingjian - Fire point) and PC-8 (Laogong - Fire point) clear Heart and Liver Fire. Add GV-14 (Dazhui) for Heat.,"LR-2 (Xingjian), PC-8 (Laogong), GV-14 (Dazhui), LI-11 (Quchi)",Long Dan Xie Gan Tang with modifications,"Long Dan Cao 6-9g, Huang Lian 6-9g, Zhi Zi 9-12g, Chai Hu 6g, Sheng Di 12-15g, Mu Dan Pi 9g"
What are the back Shu points for emotional crisis?,"BL-15 (Xinshu - Heart), BL-18 (Ganshu - Liver), BL-20 (Pishu - Spleen), and BL-23 (Shenshu - Kidney) together regulate all organs affecting the Shen.","BL-15 (Xinshu), BL-18 (Ganshu), BL-20 (Pishu), BL-23 (Shenshu)",Pattern-specific formula,"Constitutional support: Ren Shen 9g, Huang Qi 15g, Dang Gui 12g, Shu Di 15g, Fu Ling 12g"
Which points are contraindicated or require caution?,Avoid deep needling of HT-1 (Jiquan) and strong stimulation of GV-16 (Fengfu). Use gentle technique on all Heart and Pericardium points.,Use gentle technique; avoid aggressive reducing methods,Start with gentler formulas,Begin with Gan Mai Da Zao Tang or Xiao Yao San; avoid harsh clearing herbs initially
What is the role of SP-6 (Sanyinjiao)?,"SP-6 nourishes Blood and Yin of Liver, Spleen, and Kidney. Essential for anchoring the Shen when there is Blood deficiency.","SP-6 (Sanyinjiao)bilateral, tonification technique",Si Wu Tang or Ba Zhen Tang,"Dang Gui 12g, Shu Di 15g, Bai Shao 12-15g, Chuan Xiong 6g; add Huang Qi 15g, Fu Ling 12g"
How do you treat manic-depressive cycling?,"Balance Liver Qi and clear Phlegm-Fire while nourishing Heart Blood. Use LR-3, PC-6, HT-7, ST-40, and GV-20.","LR-3 (Taichong), PC-6 (Neiguan), HT-7 (Shenmen), ST-40 (Fenglong), GV-20",Wen Dan Tang combined with Long Dan Xie Gan Tang,"Ban Xia 9g, Zhu Ru 9g, Long Dan Cao 6g, Huang Qin 9g, Long Gu 30g, Mu Li 30g"
What emergency points can be used for acute crisis?,GV-26 (Renzhong/Shuigou) for emergency resuscitation of consciousness. PC-8 (Laogong) and HT-9 (Shaochong) for acute Heart Fire.,"GV-26 (Renzhong), PC-8 (Laogong), HT-9 (Shaochong), KI-1 (Yongquan)",Emergency - seek medical help immediately,"An Gong Niu Huang Wan 1 pill or She Xiang 0.1g, Niu Huang 0.5g under medical supervision"
What is Gan Mai Da Zao Tang used for?,"This formula (Licorice, Wheat, Jujube) is the primary formula for emotional instability, uncontrolled crying, disorientation, and severe anxiety.","HT-7 (Shenmen), CV-14 (Juque), PC-6 (Neiguan)",Gan Mai Da Zao Tang,"Gan Cao 9g, Xiao Mai 30-50g, Da Zao 10 pieces; can add Fu Xiao Mai for stronger effect"
When is Xiao Yao San (Free and Easy Wanderer) indicated?,"Use for Liver Qi stagnation with Blood deficiency causing depression, irritability, mood swings, and fatigue.","LR-3 (Taichong), LR-14 (Qimen), SP-6 (Sanyinjiao), ST-36 (Zusanli)",Xiao Yao San,"Chai Hu 9g, Dang Gui 9-12g, Bai Shao 12-15g, Bai Zhu 9g, Fu Ling 12g, Bo He 3-6g, Gan Cao 6g"
What is Tian Wang Bu Xin Dan?,"Emperor of Heaven's Special Pill to Tonify the Heart - treats severe Heart Blood and Yin deficiency with anxiety, palpitations, and insomnia.","HT-7 (Shenmen), HT-6 (Yinxi), KI-3 (Taixi), SP-6 (Sanyinjiao)",Tian Wang Bu Xin Dan,"Sheng Di 15-30g, Ren Shen 6-9g, Dan Shen 9-12g, Xuan Shen 9g, Fu Ling 12g, Suan Zao Ren 15g, Bai Zi Ren 12g, Yuan Zhi 6-9g"
How does Chai Hu Shu Gan San work?,"This formula courses Liver Qi, moves Blood stagnation, and relieves chest oppression and emotional stagnation.","LR-3 (Taichong), LR-14 (Qimen), PC-6 (Neiguan), GB-34 (Yanglingquan)",Chai Hu Shu Gan San,"Chai Hu 9g, Chen Pi 6-9g, Chuan Xiong 6-9g, Xiang Fu 9g, Zhi Ke 6g, Bai Shao 12-15g, Gan Cao 3-6g"
When should Wen Dan Tang be prescribed?,"For Phlegm-Heat disturbing the Heart causing anxiety, insomnia, fearfulness, and disturbed thoughts.","ST-40 (Fenglong), PC-5 (Jianshi), PC-6 (Neiguan), CV-12 (Zhongwan)",Wen Dan Tang,"Ban Xia 9-12g, Zhu Ru 9g, Zhi Shi 6-9g, Chen Pi 9g, Fu Ling 12g, Gan Cao 3-6g, Sheng Jiang 3pc, Da Zao 2pc"
What is Gui Pi Tang used for?,"Restore the Spleen Decoction treats Heart-Spleen deficiency causing anxiety, excessive worry, poor memory, and inability to concentrate.","HT-7 (Shenmen), SP-6 (Sanyinjiao), ST-36 (Zusanli), BL-20 (Pishu)",Gui Pi Tang,"Ren Shen 9g, Huang Qi 15g, Bai Zhu 9g, Fu Ling 12g, Suan Zao Ren 15g, Long Yan Rou 9-12g, Mu Xiang 6g, Dang Gui 9-12g, Yuan Zhi 6-9g"
When is Suan Zao Ren Tang indicated?,"For insomnia due to Liver Blood deficiency and deficiency-Heat causing restlessness, irritability, and nightmares.","HT-7 (Shenmen), LR-3 (Taichong), SP-6 (Sanyinjiao), KI-6 (Zhaohai)",Suan Zao Ren Tang,"Suan Zao Ren 15-30g, Fu Ling 12g, Chuan Xiong 6g, Zhi Mu 9g, Gan Cao 3-6g"
What is Chai Hu Jia Long Gu Mu Li Tang?,"Bupleurum Plus Dragon Bone and Oyster Shell treats severe anxiety, agitation, palpitations, and insomnia from Liver Qi stagnation with Phlegm-Fire.","LR-3 (Taichong), PC-6 (Neiguan), HT-7 (Shenmen), ST-40 (Fenglong)",Chai Hu Jia Long Gu Mu Li Tang,"Chai Hu 9g, Long Gu 30g, Mu Li 30g, Huang Qin 9g, Ban Xia 9g, Ren Shen 6g, Gui Zhi 6g, Fu Ling 12g, Da Huang 3g (if constipated)"
When should Huang Lian E Jiao Tang be used?,"For Heart-Kidney Yin deficiency with Heart Fire causing severe insomnia, anxiety, restlessness, and suicidal thoughts.","HT-7 (Shenmen), KI-3 (Taixi), KI-6 (Zhaohai), HT-6 (Yinxi)",Huang Lian E Jiao Tang,"Huang Lian 3-9g, Huang Qin 6g, Bai Shao 9-12g, E Jiao 9g, Ji Zi Huang 2 pieces"
What is Ban Xia Hou Po Tang for?,"For Plum-Pit Qi syndrome (globus sensation) due to Phlegm and Qi stagnation causing anxiety, difficulty breathing, and chest tightness.","PC-6 (Neiguan), CV-17 (Shanzhong), ST-40 (Fenglong), LR-3 (Taichong)",Ban Xia Hou Po Tang,"Ban Xia 9-12g, Hou Po 9g, Fu Ling 12g, Sheng Jiang 9g, Su Ye 6g"
Which herbs are most important for calming the Shen?,"Suan Zao Ren (Sour Jujube), Bai Zi Ren (Arborvitae seed), Yuan Zhi (Polygala), Long Gu (Dragon Bone), Mu Li (Oyster Shell), He Huan Pi (Mimosa Bark).","HT-7 (Shenmen), PC-6 (Neiguan), GV-20 (Baihui)",Individually dosed based on pattern,"Suan Zao Ren 15-30g, Bai Zi Ren 9-15g, Yuan Zhi 6-9g, Long Gu 30g, Mu Li 30g, He Huan Pi 12-15g (select 3-4)"
What is Long Dan Xie Gan Tang used for?,"To drain Liver Fire when there is rage, red eyes, headache, bitter taste, and impulsive thoughts or behaviors.","LR-2 (Xingjian), LR-3 (Taichong), GB-20 (Fengchi), LI-11 (Quchi)",Long Dan Xie Gan Tang,"Long Dan Cao 6-9g, Huang Qin 9g, Zhi Zi 9g, Ze Xie 9g, Dang Gui 9g, Sheng Di 12g, Chai Hu 6g, Gan Cao 3-6g"
When is Kai Xin San appropriate?,"For Heart-Kidney disconnection with mental confusion, depression, poor memory, and withdrawn behavior.","HT-7 (Shenmen), KI-3 (Taixi), GV-20 (Baihui), BL-15 (Xinshu)",Kai Xin San,"Ren Shen 6-9g, Fu Ling 12g, Shi Chang Pu 6-9g, Yuan Zhi 6-9g"
What are contraindications for herbs in suicidal patients?,Avoid overly cold or bitter herbs that can suppress Yang and worsen depression. Avoid stimulating herbs that increase agitation.,Adjust needling technique accordingly,"Avoid Ma Huang, Fu Zi (large doses), harsh cathartics; use warming, gentle formulas",
How long should herbal treatment continue?,Minimum 3-6 months with gradual modification based on improvement. Chronic cases may need 1-2 years or longer.,Continue acupuncture weekly during herbal treatment,Long-term maintenance dose after stabilization; reduce to 50-70% original dose,
Can Chinese medicine replace psychiatric medication?,"TCM can be highly effective but in severe crisis, integration with Western psychiatry is recommended. Never discontinue prescribed medications without medical supervision.",Integrated treatment approach,"Some herbs interact with SSRIs, benzodiazepines; coordinate with prescribing physician",
What modifications are made for elderly patients?,"Use gentler tonifying formulas, lower doses, and emphasize Kidney and Heart nourishment. Add Gui Ban, Bie Jia for Yin deficiency.","Gentle needling, fewer points, shorter retention","Reduce all herb doses by 30-40%; use Ba Zhen Tang, Gui Pi Tang, Zuo Gui Wan in lower doses",
How do you treat post-partum depression with suicidal thoughts?,Nourish Blood and Qi while clearing Liver stagnation and Phlegm. Never use pregnancy-contraindicated herbs.,"SP-6 (Sanyinjiao), LR-3 (Taichong), HT-7 (Shenmen), ST-36 (Zusanli)",Modified Xiao Yao San or Gan Mai Da Zao Tang,"Safe herbs: Dang Gui 9g, Bai Shao 12g, Huang Qi 15g, Gan Cao 6g, Da Zao 10pc (avoid harsh moving herbs)"
What herbs help with medication withdrawal symptoms?,"Fu Ling, Suan Zao Ren, Bai Zi Ren, and Huang Qi support the body during Western medication tapering under medical supervision.","HT-7 (Shenmen), PC-6 (Neiguan), ST-36 (Zusanli), KI-3 (Taixi)","Support during taper: Fu Ling 15g, Suan Zao Ren 30g, Huang Qi 15g, Ren Shen 6g, Wu Wei Zi 6g",
Which patent medicines are useful for home care?,"An Shen Bu Xin Wan (Calm Shen Nourish Heart), Xiao Yao Wan, Tian Wang Bu Xin Wan (patents) can be used between practitioner visits.",Continue regular acupuncture treatments,Patents per packaging directions; typically 8 pills 3x daily; not as strong as decoctions,
What dietary recommendations help severe depression?,"Warm, cooked foods that nourish Heart and Spleen: oats, rice porridge, dates, longan fruit, walnuts, eggs. Avoid cold, raw foods and alcohol.","ST-36 (Zusanli), SP-6 (Sanyinjiao), CV-12 (Zhongwan)",Supplement with Gui Pi Tang or Long Yan Rou,"Long Yan Rou 9-15g daily in tea or porridge; Shan Yao 15g, Lian Zi 9g in congee"
How does Qi Gong help emotional crisis?,"Gentle Qi Gong (especially Heart-calming and Standing meditation) regulates Qi flow, calms the mind, and reconnects mind-body awareness.",Teach patient: PC-8 (Laogong)hand position awareness,Qi Gong as adjunct to treatment,"Support practice with Ren Shen 6g, Huang Qi 12g to strengthen Qi if deficient"
What is the role of meditation in TCM treatment?,"Meditation (Jing Zuo) calms the Shen, settles the Hun (ethereal soul), and cultivates inner peace. Start with 5-10 minutes daily.","GV-20 (Baihui), EX-HN-3 (Yintang), CV-17 (Shanzhong)",Combine with calming herbal teas,"Herbal tea blend: Rose buds 3g, Chrysanthemum 3g, Bo He 2g, Gan Cao 3g - steep 5-10 min"
Should patients avoid certain activities?,"Avoid excessive stimulation (loud environments, violent media), overwork, and isolation. Maintain gentle routine and social connection.",Treatment supports lifestyle changes,Herbal medicine helps manage stress,"Add adaptogenic herbs: Wu Wei Zi 6-9g, Dang Shen 9-12g for stress resilience"
What sleep hygiene supports treatment?,"Regular sleep schedule (before 11pm), dark room, no screens 2 hours before bed, warm foot bath with herbs (Lavender, He Huan Pi).","HT-7 (Shenmen), KI-6 (Zhaohai), SP-6 (Sanyinjiao)before bed",Evening dose of sleep formula,"Foot bath herbs: He Huan Pi 30g, Ye Jiao Teng 30g, Bo He 10g - boil and soak feet 20 min"
How does exercise fit into treatment?,"Gentle exercise (walking, Tai Chi, swimming) moves Qi and Blood, lifts mood. Avoid exhausting exercise that depletes Qi.","Post-exercise: tonify ST-36, CV-6",Tonifying formulas if deficient,"If Qi deficient after exercise: Huang Qi 15g, Dang Shen 12g, Wu Wei Zi 6g to prevent depletion"
What is the role of social support?,"TCM recognizes that humans are social beings. Isolation damages Spleen Qi and Heart Shen. Encourage safe, supportive relationships.",Support overall treatment,Formulas support emotional capacity,"Heart-opening herbs: He Huan Pi 12g, Yu Jin 9g, Xiang Fu 9g to facilitate emotional connection"
Can aromatherapy be integrated?,"Yes. Rose, Lavender, Sandalwood, and Frankincense calm Shen. Can be used during acupuncture sessions or at home.",Enhance treatment environment,Not replacement for herbal medicine,Essential oils complement but don't replace internal herbs; use 2-3 drops in diffuser
What about journaling or creative expression?,"Writing, art, music help move stagnant Liver Qi and allow emotional processing. Encourage gentle creative practice.","LR-3 (Taichong), PC-6 (Neiguan)",Combine with Liver Qi formulas,"Support emotional flow: Chai Hu 9g, Xiang Fu 9g, Yu Jin 9g, He Huan Hua 6g"
How important is sunlight exposure?,"Morning sunlight nourishes Yang Qi, regulates circadian rhythm, and lifts spirit. 15-30 minutes daily recommended.","GV-20 (Baihui), CV-6 (Qihai)to support Yang",If Yang deficient add warming herbs,"Winter or Yang deficiency: Gui Zhi 6-9g, Sheng Jiang 3 slices, Da Zao 5 pieces as warming tea"
Should patients practice breathwork?,"Yes. Deep abdominal breathing strengthens Spleen, descends Liver Qi, and calms Heart. Practice 5 minutes 3x daily.","CV-17 (Shanzhong), CV-12 (Zhongwan), LR-3 (Taichong)",Breathwork enhances formulas,"Support diaphragm function: Chen Pi 6-9g, Zhi Ke 6g, Hou Po 9g for Qi movement"
What is the role of nature exposure?,"Time in nature (forest, ocean, mountains) harmonizes with natural Qi, calms Shen, and provides perspective. Encourage regular nature time.",Overall constitutional support,Nature supports Wood and calms Fire,"Forest bathing enhances Liver Qi flow; support with Chai Hu 9g, Bo He 3g, Ju Hua 6g"
How do you address spiritual crisis in TCM?,"TCM acknowledges spiritual dimension (Shen cultivation). May integrate with patient's spiritual practices, meditation, or meaning-making work.","GV-20 (Baihui), EX-HN-3 (Yintang), CV-17 (Shanzhong)",Shen-nourishing formulas,"Spiritual crisis support: Yuan Zhi 9g, Shi Chang Pu 9g, Fu Shen 12g, Ren Shen 6g for clarity"
What herbs can be taken as tea?,"Rose buds, Chrysanthemum, He Huan Pi, Gan Cao (licorice), Bo He (mint) can be brewed as gentle daily teas for mood support.",Daily tea practice supports treatment,Herbal teas as adjunct,"Daily mood tea: Rose 3g, Ju Hua 3g, He Huan Hua 3g, Gan Cao 2g, Bo He 1g - gentle Liver-soothing"
How do seasonal changes affect treatment?,Spring (Liver season) may worsen depression; support with Liver-coursing herbs. Winter (Kidney season) requires more tonification and warmth.,Adjust treatment seasonally,Modify formulas by season,"Spring: increase Chai Hu, Bo He; Winter: add Gui Zhi, Sheng Jiang, reduce cold herbs"
What are red flags requiring emergency referral?,"Active suicide plan, recent attempt, psychosis, inability to care for self, substance abuse crisis. Refer to emergency services immediately.",Supportive care while coordinating emergency,TCM adjunct in emergency,Emergency: call emergency services first; She Xiang 0.1g or An Gong Niu Huang Wan only under medical supervision
How do you assess severity in first consultation?,"Use TCM diagnosis (tongue, pulse) plus careful history: sleep, appetite, suicidal thoughts frequency/intensity, support system, previous attempts.","Gentle initial: HT-7, PC-6, GV-20, LR-3",Start with gentle formula,"Initial formula: Gan Mai Da Zao Tang 3-7 days, then reassess and adjust based on response"
What tongue signs indicate severe crisis?,"Purple or dark tongue (Blood stasis), red tip (Heart Fire), swollen with teethmarks (Spleen Qi deficiency), peeled coating (severe Yin deficiency).",Tongue-specific point selection,Formula based on tongue,"Purple tongue: add Dan Shen 9-12g, Chuan Xiong 6g; Red tip: add Huang Lian 3-6g, Lian Zi Xin 2g"
