Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
How to treat ovarian cysts?,SP6 and SP10 for blood stasis. LR3 moves Liver Qi. CV3 and CV4 for lower jiao masses. ST29 (Guilai) for ovarian issues. KI14 (Siman) for masses with Kidney involvement.,"SP6, SP10, LR3, CV3, CV4, ST29, KI14",Gui Zhi Fu Ling Wan with additions,CONTRAINDICATED if pregnancy possible - moves blood
What is the perimenopause treatment protocol?,KI3 and KI6 nourish Kidney Yin. HT7 (Shenmen) calms spirit. LR3 moves Liver Qi. SP6 nourishes blood and Yin. PC6 for emotional regulation. GV20 for mood.,"KI3, KI6, HT7, LR3, SP6, PC6, GV20",Er Xian Tang for Kidney Yin and Yang balance,Not applicable
How to treat vulvodynia?,LR5 (Ligou) is the Luo point for genital issues. CV1 (Huiyin) local point (can use moxa nearby). SP6 for lower jiao. KI10 (Yingu) nourishes Kidney Yin. BL32 for pelvic area.,"LR5, CV1, SP6, KI10, BL32",Long Dan Xie Gan Tang for damp-heat pattern,Avoid LR5 deep needling during pregnancy
What points help with pelvic inflammatory disease?,SP6 and SP9 clear dampness. CV3 for lower jiao inflammation. LR5 for Liver channel genital connection. BL32 and BL54 for pelvic blood flow. LI11 to clear heat.,"SP6, SP9, CV3, LR5, BL32, BL54, LI11",Long Dan Xie Gan Tang,Avoid during pregnancy - infection requires medical care
How to treat uterine prolapse?,GV20 (Baihui) raises Qi - moxa effective. CV6 and CV4 strengthen lower jiao. ST36 tonifies Spleen Qi. SP6 for overall support. BL23 strengthens Kidney to hold organs.,"GV20, CV6, CV4, ST36, SP6, BL23",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment Qi),Safe during pregnancy with gentle technique
What is the treatment for premenstrual headache?,GB20 (Fengchi) and GB41 for Shaoyang headache. LR3 moves Liver Qi. Taiyang (extra point) for temporal pain. SJ5 with GB41 opens Dai Mai. LI4 for general headache.,"GB20, GB41, LR3, Taiyang, SJ5, LI4",Xiao Yao San with Chuan Xiong,LI4 CONTRAINDICATED during pregnancy
How to treat heavy menstrual bleeding (menorrhagia)?,SP1 (Yinbai) is the empirical point to stop bleeding - use moxa. SP6 regulates blood. CV4 holds blood in the Chong Mai. LR1 (Dadun) stops Liver channel bleeding. ST36 tonifies Qi to hold blood.,"SP1, SP6, CV4, LR1, ST36",Gui Pi Tang for Spleen not holding blood; Jiao Ai Tang for cold,Rule out pregnancy-related bleeding first
What points treat premenstrual acne?,LI4 and LI11 clear heat from the face. SP10 cools blood. LR3 moves Liver Qi. ST44 (Neiting) clears Stomach heat. SP6 regulates hormones.,"LI4, LI11, SP10, LR3, ST44, SP6",Xiao Yao San with Huang Qin and Mu Dan Pi,LI4 CONTRAINDICATED during pregnancy
How to treat chronic pelvic pain?,SP6 and SP10 for blood stasis. LR3 for Qi stagnation. CV3 and CV4 local points. BL32 (Ciliao) for sacral nerve. GB26 (Daimai) for Dai vessel involvement. Ahshi points.,"SP6, SP10, LR3, CV3, CV4, BL32, GB26",Shao Fu Zhu Yu Tang,Investigate cause - CAUTION during pregnancy
What is the treatment for vaginal dryness?,KI3 and KI6 nourish Kidney Yin. SP6 nourishes blood. CV4 for lower jiao. LR8 (Ququan) nourishes Liver blood. HT7 for associated anxiety.,"KI3, KI6, SP6, CV4, LR8, HT7",Liu Wei Di Huang Wan,Safe during pregnancy
How to treat night sweats in perimenopause?,KI3 and KI6 nourish Kidney Yin. HT6 (Yinxi) is the Xi-cleft for Heart Yin to stop sweating. LI4 regulates sweating. SI3 (Houxi) for Du Mai. SP6 for overall Yin.,"KI3, KI6, HT6, LI4, SI3, SP6",Liu Wei Di Huang Wan with additions,LI4 CONTRAINDICATED during pregnancy
What points help with pregnancy-related back pain?,BL23 (Shenshu) - use shallow needling. BL40 (Weizhong) is the command point for back - SAFE in pregnancy. Yaoyan (extra point) for local pain. GV3 (Yaoyangguan) with care. Ahshi points with gentle technique.,"BL23, BL40, Yaoyan, GV3",Topical Du Huo Ji Sheng Tang liniment,SAFE points - avoid deep needling and sacral points
How to treat mood swings in PMS?,LR3 soothes Liver Qi. PC6 regulates emotions. HT7 calms the spirit. GV20 lifts mood. Yintang for calming. GB41 for Dai vessel emotional release.,"LR3, PC6, HT7, GV20, Yintang, GB41",Xiao Yao San; Jia Wei Xiao Yao San for heat signs,Safe during pregnancy
What is the treatment for pregnancy-related sciatica?,BL40 (Weizhong) is safe and effective. GB30 (Huantiao) with shallow needling. GB34 (Yanglingquan) for sinews. BL60 (Kunlun) - AVOID during pregnancy. Use BL62 instead.,"BL40, GB30, GB34, BL62",Topical treatment only,AVOID BL60 - can induce labor; AVOID deep sacral needling
How to treat water retention in pregnancy?,SP9 (Yinlingquan) resolves dampness - SAFE. SP6 with gentle technique. KI7 (Fuliu) regulates water. ST36 strengthens Spleen. CV9 (Shuifen) for water metabolism.,"SP9, SP6, KI7, ST36, CV9",Avoid strong diuretics during pregnancy,SAFE points with gentle technique
What points treat pregnancy-related carpal tunnel?,PC7 (Daling) and PC6 for local effect. LI4 - AVOID during pregnancy. Use LI10 (Shousanli) instead. SJ5 (Waiguan) for wrist. SI3 for ulnar symptoms. HT7 local point.,"PC7, PC6, LI10, SJ5, SI3, HT7",Topical only,AVOID LI4 during pregnancy
How to treat postpartum depression?,GV20 (Baihui) lifts spirit. HT7 (Shenmen) calms Heart. PC6 for emotional regulation. LR3 moves Liver Qi. ST36 tonifies Qi. Yintang for calming.,"GV20, HT7, PC6, LR3, ST36, Yintang",Xiao Yao San; Gan Mai Da Zao Tang,Safe postpartum - monitor breastfeeding herb safety
What is the point protocol for retained placenta?,SP6 and LI4 move blood and promote expulsion. BL67 (Zhiyin) with moxa. CV3 and CV4 for uterus. GB21 descends Qi.,"SP6, LI4, BL67, CV3, CV4, GB21",Sheng Hua Tang,Postpartum application only - requires medical supervision
How to treat pregnancy-related constipation?,ST25 (Tianshu) with gentle needling. SJ6 (Zhigou) is the key point for constipation - SAFE. ST36 for digestion. KI6 moistens intestines. SP15 (Daheng) local point.,"ST25, SJ6, ST36, KI6, SP15",Mild lubricating herbs like Huo Ma Ren,SAFE points - avoid strong purgatives
What points help with pregnancy-related insomnia?,HT7 (Shenmen) calms the spirit. Anmian (extra point) for sleep. SP6 nourishes blood. KI3 nourishes Kidney Yin. PC6 for anxiety. Yintang for calming.,"HT7, Anmian, SP6, KI3, PC6, Yintang",Suan Zao Ren Tang (gentle formulation),SAFE during pregnancy
How to prepare the cervix for labor?,BL67 (Zhiyin) with moxa from 34 weeks for breech. SP6 from 37 weeks. GB21 at term. LI4 at term. BL31-32 for pelvic opening.,"BL67, SP6, GB21, LI4, BL31-32",None recommended,USE ONLY AT TERM - these points promote labor
What is the treatment for retained lochia postpartum?,SP6 and SP10 move blood. CV3 and CV4 for uterus. BL32 for pelvic blood flow. LR3 moves Liver Qi. ST29 (Guilai) for lower abdomen.,"SP6, SP10, CV3, CV4, BL32, LR3, ST29",Sheng Hua Tang,Postpartum only - promotes blood movement
How to treat pregnancy-related heartburn?,PC6 (Neiguan) for nausea and reflux. CV12 (Zhongwan) regulates Stomach. ST36 harmonizes digestion. LR3 for Liver invading Stomach. CV17 for chest oppression.,"PC6, CV12, ST36, LR3, CV17",Mild Stomach harmonizing herbs,SAFE during pregnancy
What points treat pregnancy-related leg cramps?,GB34 (Yanglingquan) for sinews. ST36 for Qi and blood. SP6 with gentle technique. LR3 for Liver blood nourishing sinews. BL57 (Chengshan) for calf.,"GB34, ST36, SP6, LR3, BL57",Shao Yao Gan Cao Tang,SAFE during pregnancy - excellent for cramping
How to treat irregular menstruation?,SP6 regulates menstruation. CV4 for Chong and Ren. LR3 for Liver Qi. KI3 for Kidney support. ST36 for overall Qi. BL23 for Kidney.,"SP6, CV4, LR3, KI3, ST36, BL23",Depends on pattern: Si Wu Tang; Xiao Yao San; Ba Zhen Tang,Rule out pregnancy before treatment
What is the pre-IVF support protocol?,ST36 and SP6 to build Qi and blood. CV4 and KI3 for Kidney. BL23 and BL32 for reproductive function. LR3 to ensure smooth Qi flow. GV4 for Mingmen fire.,"ST36, SP6, CV4, KI3, BL23, BL32, LR3, GV4",Pattern-based - commonly You Gui Wan or Zuo Gui Wan,Stop blood-moving herbs once embryo transfer occurs
How to support early pregnancy (first trimester)?,KI9 (Zhubin) specifically protects the fetus. ST36 tonifies Qi. SP6 with very gentle technique. CV4 with moxa to warm. GV20 to lift and hold.,"KI9, ST36, SP6, CV4, GV20",Shou Tai Wan if there is risk of miscarriage,Use ONLY safe pregnancy points - avoid all forbidden points
What points help with pregnancy-related hemorrhoids?,BL57 (Chengshan) for hemorrhoids. GV20 (Baihui) with moxa to lift Qi. DU1 (Changqiang) - avoid deep needling. BL30 (Baihuanshu) with care. SP6 for blood circulation.,"BL57, GV20, DU1, BL30, SP6",Topical treatment preferred,Use gentle technique - hemorrhoids common in pregnancy
How to treat pregnancy-related rhinitis?,LI20 (Yingxiang) for nasal congestion. LI4 - AVOID during pregnancy. Use LU7 (Lieque) instead. Yintang for sinuses. BL2 (Zanzhu) for frontal congestion. GV23 (Shangxing) for nose.,"LI20, LU7, Yintang, BL2, GV23",Xin Yi Hua for topical steam,AVOID LI4 - use safe alternative points
What is the point protocol for pregnancy-related anemia?,ST36 and SP6 to build blood. BL17 (Geshu) is the influential point for blood. BL20 (Pishu) for Spleen to make blood. CV4 and CV6 for Qi and blood in lower jiao.,"ST36, SP6, BL17, BL20, CV4, CV6",Dang Gui Bu Xue Tang (safe blood tonic),SAFE during pregnancy - blood building essential
How to support natural labor induction at term?,LI4 and SP6 together is the classic combination - AT TERM ONLY. GB21 descends Qi. BL67 with moxa. BL31-34 (Baliao) for cervical ripening.,"LI4, SP6, GB21, BL67, BL31-34",Evening primrose oil orally,ONLY USE AT 40+ WEEKS or with medical supervision
What points treat uterine bleeding between periods?,SP1 (Yinbai) with moxa to stop bleeding. SP6 regulates blood. CV4 holds blood. LR1 (Dadun) for Liver blood. ST36 for Spleen holding blood.,"SP1, SP6, CV4, LR1, ST36",Jiao Ai Tang for cold pattern; Qing Re Gu Jing Tang for heat,Investigate cause - may indicate pregnancy complication
How to treat pregnancy-related headaches?,GB20 (Fengchi) with gentle technique. Taiyang for temporal pain. Yintang for frontal headache. GV20 for vertex. PC6 for associated nausea.,"GB20, Taiyang, Yintang, GV20, PC6",Avoid internal herbs - use acupressure,AVOID LI4 and strong blood-moving points
What is the postpartum Qi and blood recovery protocol?,ST36 is essential for Qi recovery. SP6 for blood. CV4 and CV6 for lower jiao. BL20 and BL23 for Spleen and Kidney. GV4 to restore Yang if depleted.,"ST36, SP6, CV4, CV6, BL20, BL23, GV4",Ba Zhen Tang (Eight Treasure Decoction),Safe postpartum - monitor breastfeeding compatibility
How to treat low libido in women?,KI3 and CV4 for Kidney. LR3 for Liver Qi flow. SP6 for blood and Yin. GV4 (Mingmen) for Yang. HT7 if anxiety is a factor.,"KI3, CV4, LR3, SP6, GV4, HT7",Depends on pattern: You Gui Wan for Yang; Liu Wei Di Huang Wan for Yin,Rule out pregnancy before using warming Yang herbs
What points help with breast development issues?,ST18 (Rugen) local point for breast. CV17 regulates chest Qi. SP6 nourishes blood. ST36 for overall nutrition. LR14 for Liver Qi affecting breasts.,"ST18, CV17, SP6, ST36, LR14",Ba Zhen Tang if Qi and blood deficient,Safe except during pregnancy avoid strong chest stimulation
How to treat secondary amenorrhea from weight loss?,ST36 and SP6 to rebuild Qi and blood. CV4 and CV12 for middle and lower jiao. BL20 (Pishu) to strengthen Spleen. BL17 (Geshu) for blood. Nutrition counseling essential.,"ST36, SP6, CV4, CV12, BL20, BL17",Gui Pi Tang; Ba Zhen Tang,Rule out pregnancy first; address underlying eating disorder
What is the treatment for cervicitis?,SP9 and SP6 clear damp-heat. CV3 local point. LR5 (Ligou) for Liver channel genital issues. BL32 for pelvic area. LI11 clears heat.,"SP9, SP6, CV3, LR5, BL32, LI11",Long Dan Xie Gan Tang for damp-heat,Avoid during pregnancy - infection needs medical treatment
How to treat Bartholin cyst?,LR5 (Ligou) for genital area. SP9 resolves dampness. CV1 (Huiyin) - moxa nearby not on point. SP6 for lower jiao. LI11 to clear heat if infected.,"LR5, SP9, CV1, SP6, LI11",Long Dan Xie Gan Tang; Wu Wei Xiao Du Yin if infected,Avoid during pregnancy - may need surgical drainage
What points treat ovulation pain (Mittelschmerz)?,CV4 and CV3 for lower abdomen. SP6 regulates menstrual cycle. LR3 for Liver Qi. KI14 (Siman) for ovarian area. ST29 (Guilai) local point.,"CV4, CV3, SP6, LR3, KI14, ST29",Xiao Yao San if Liver Qi stagnation,Generally safe - rule out pregnancy if severe
How to treat chronic yeast infections?,SP9 (Yinlingquan) resolves dampness. SP6 for lower jiao. LR5 for Liver channel genital area. ST40 (Fenglong) transforms phlegm-damp. LI11 if heat present.,"SP9, SP6, LR5, ST40, LI11",Bi Xie Shen Shi Tang; Long Dan Xie Gan Tang,Safe during pregnancy with appropriate formula modifications
What is the point protocol for sexual pain (dyspareunia)?,KI10 (Yingu) nourishes Kidney Yin. LR8 (Ququan) nourishes Liver blood. SP6 for blood and lower jiao. CV4 for uterus. LR5 for genital area.,"KI10, LR8, SP6, CV4, LR5",Liu Wei Di Huang Wan for Yin deficiency,Safe during pregnancy - investigate underlying cause
How to treat pregnancy-related varicose veins?,SP6 with gentle technique promotes circulation. SP10 moves blood gently. BL57 (Chengshan) for legs. ST36 for Qi. Elevate legs frequently.,"SP6, SP10, BL57, ST36",Topical only during pregnancy,Avoid strong blood movers - gentle circulation support only
What points help with breast engorgement postpartum?,SI1 (Shaoze) is the empirical point for breast issues. GB21 (Jianjing) descends Qi. CV17 for chest. ST18 local point. LI4 to promote milk flow.,"SI1, GB21, CV17, ST18, LI4",Pu Gong Ying (Dandelion) if mastitis developing,Safe postpartum - essential for breastfeeding support
How to treat urinary incontinence in women?,CV3 and CV4 for lower jiao. BL23 strengthens Kidney. BL32 for pelvic floor. GV20 with moxa to lift Qi. KI3 for Kidney support.,"CV3, CV4, BL23, BL32, GV20, KI3",Bu Zhong Yi Qi Tang; Jin Gui Shen Qi Wan,Safe during pregnancy - common issue
What is the treatment for painful intercourse from vaginal atrophy?,KI3 and KI6 nourish Kidney Yin. LR8 (Ququan) nourishes Liver blood. SP6 for blood. CV4 for lower jiao. HT7 if anxiety component.,"KI3, KI6, LR8, SP6, CV4, HT7",Liu Wei Di Huang Wan; Zhi Bai Di Huang Wan if heat,Safe - not a pregnancy concern typically
How to treat fibrocystic breast disease?,LR3 and LR14 move Liver Qi. CV17 for chest. ST18 local point. GB21 (Jianjing) for upper body Qi. SP6 regulates blood.,"LR3, LR14, CV17, ST18, GB21, SP6",Xiao Yao San; Hai Zao Yu Hu Tang for nodules,GB21 CONTRAINDICATED during pregnancy
What points treat pelvic organ prolapse?,GV20 (Baihui) with moxa raises Qi - essential point. CV4 and CV6 strengthen lower jiao. ST36 for Spleen Qi. BL23 for Kidney holding power.,"GV20, CV4, CV6, ST36, BL23",Bu Zhong Yi Qi Tang,Safe during pregnancy
How to treat lichen sclerosus?,SP10 (Xuehai) cools blood. LR5 for genital area. SP6 for lower jiao. LI11 clears heat. KI3 and KI6 nourish Yin if dryness predominates.,"SP10, LR5, SP6, LI11, KI3, KI6",Topical herbs; Si Wu Tang with additions internally,Safe points - avoid internal blood movers in pregnancy
What is the postpartum weight loss support protocol?,ST36 and SP6 for metabolism. CV12 and CV6 for middle and lower jiao. ST25 for intestines. LR3 for Qi flow. PC6 for appetite regulation.,"ST36, SP6, CV12, CV6, ST25, LR3, PC6",Pattern-based - avoid while breastfeeding,Safe postpartum once bleeding stopped
How to treat stress urinary incontinence?,CV3 local point. BL32 (Ciliao) for pelvic floor. GV20 with moxa to raise Qi. KI3 and BL23 for Kidney. ST36 for Spleen Qi.,"CV3, BL32, GV20, KI3, BL23, ST36",Bu Zhong Yi Qi Tang; Suo Quan Wan,Safe during pregnancy - common complaint
What points help with hormonal acne around the chin and jaw?,LI4 and LI11 for face and heat. ST44 (Neiting) clears Stomach heat. SP10 cools blood. LR3 for Liver Qi. CV12 for middle jiao.,"LI4, LI11, ST44, SP10, LR3, CV12",Long Dan Xie Gan Tang for damp-heat; Xiao Yao San for Liver Qi,LI4 CONTRAINDICATED during pregnancy
How to treat polycystic ovaries naturally?,SP6 and SP9 for dampness. ST40 (Fenglong) transforms phlegm. CV4 and KI3 for Kidney. LR3 moves Liver Qi. BL20 for Spleen.,"SP6, SP9, ST40, CV4, KI3, LR3, BL20",Cang Fu Dao Tan Wan,Avoid if pregnancy possible - affects hormones
What is the treatment for premenstrual water retention?,SP9 (Yinlingquan) resolves water. SP6 for lower jiao. CV9 (Shuifen) for water metabolism. ST36 for Spleen. KI7 (Fuliu) regulates water.,"SP9, SP6, CV9, ST36, KI7",Wu Ling San (Five Ingredient Powder with Poria),Safe during pregnancy for mild edema
How to treat hirsutism with acupuncture?,CV4 and KI3 for Kidney-Jing. SP6 for blood and hormones. LR3 for Liver Qi. ST36 and SP9 if phlegm-damp. BL23 for Kidney.,"CV4, KI3, SP6, LR3, ST36, SP9, BL23",Pattern-based hormonal balancing formula,Rule out pregnancy - hormonal treatment
What points help with perimenopause irregular bleeding?,SP1 (Yinbai) with moxa to stop bleeding. SP6 regulates blood. CV4 holds blood. KI3 for Kidney Yin. ST36 for Spleen holding blood.,"SP1, SP6, CV4, KI3, ST36",Pattern-based - Jiao Ai Tang or Qing Re Gu Jing,Rule out other pathology - perimenopause diagnosis
How to treat intermenstrual spotting?,SP1 (Yinbai) empirical point for bleeding. SP6 regulates blood. CV4 for Chong Mai. LR1 (Dadun) if Liver blood involved. KI3 for Kidney.,"SP1, SP6, CV4, LR1, KI3",Pattern-based - often Gui Pi Tang or Jiao Ai Tang,Rule out pregnancy-related bleeding
What is the treatment for female sexual dysfunction?,LR3 moves Liver Qi. CV4 and KI3 for Kidney. SP6 for blood. GV4 (Mingmen) if Yang deficient. HT7 and PC6 for emotional component.,"LR3, CV4, KI3, SP6, GV4, HT7, PC6",Pattern-based: You Gui Wan for Yang; Liu Wei Di Huang Wan for Yin,Safe points - rule out pregnancy for herbal treatment
How to treat chronic fatigue in women?,ST36 is the key point for fatigue. SP6 for blood. CV4 and CV6 for lower jiao Qi. BL20 and BL23 for Spleen and Kidney. GV14 and GV4 for Yang.,"ST36, SP6, CV4, CV6, BL20, BL23, GV14, GV4",Bu Zhong Yi Qi Tang; Shi Quan Da Bu Tang,Safe during pregnancy with appropriate modifications
What points treat perimenopause anxiety and palpitations?,HT7 (Shenmen) calms Heart. PC6 for chest and emotions. KI3 and KI6 nourish Kidney Yin. LR3 soothes Liver. GV20 and Yintang for calming.,"HT7, PC6, KI3, KI6, LR3, GV20, Yintang",Tian Wang Bu Xin Dan; Gan Mai Da Zao Tang,Safe - perimenopause not a pregnancy concern
How to treat pregnancy-related skin changes (melasma)?,LI4 - AVOID during pregnancy. Use LI11 instead. SP10 (Xuehai) cools blood. ST36 for nutrition. LR3 for Liver Qi. CV12 for Stomach.,"LI11, SP10, ST36, LR3, CV12",Topical only during pregnancy,Avoid strong blood movers - usually resolves postpartum
What is the postpartum breast milk insufficiency protocol?,SI1 (Shaoze) is the key point for lactation. CV17 for chest Qi. ST18 (Rugen) local point. ST36 and SP6 build Qi and blood. LI4 promotes flow.,"SI1, CV17, ST18, ST36, SP6, LI4",Tong Ru Dan; Ba Zhen Tang if deficient,Safe postpartum - addresses common breastfeeding issue
How to treat premenstrual depression?,LR3 soothes Liver Qi stagnation. GV20 (Baihui) lifts spirit. HT7 calms Heart. PC6 for emotional regulation. SP6 nourishes blood. Yintang for calming.,"LR3, GV20, HT7, PC6, SP6, Yintang",Xiao Yao San; Jia Wei Xiao Yao San if heat,Safe during pregnancy with appropriate point selection
What points help with perimenopausal joint pain?,GB34 (Yanglingquan) for sinews. ST36 for Qi and blood. KI3 for Kidney. BL23 (Shenshu) for Kidney/lumbar. LR3 for smooth Qi flow. Local Ahshi points.,"GB34, ST36, KI3, BL23, LR3",Du Huo Ji Sheng Tang; Liu Wei Di Huang Wan,Not a pregnancy concern - perimenopause
How to treat pregnancy-related hip pain?,GB30 (Huantiao) with shallow technique. GB34 for sinews. BL54 (Zhibian) with care. BL40 is safe for lower body. Local Ahshi points gently.,"GB30, GB34, BL54, BL40",Topical only,Use gentle technique - avoid deep needling in pelvic area
What is the point protocol for female pattern hair loss?,GV20 (Baihui) with gentle stimulation. Local scalp points. ST36 and SP6 for Qi and blood. KI3 for Kidney essence. BL23 for Kidney.,"GV20, local scalp, ST36, SP6, KI3, BL23",He Shou Wu based formulas; Qi Bao Mei Ran Dan,Avoid He Shou Wu during pregnancy
How to treat severe PMS (PMDD)?,LR3 strongly moves Liver Qi. GV20 lifts spirit. HT7 and PC6 calm the Heart. GB41 with SJ5 for Dai Mai. SP6 for blood. Yintang for calming.,"LR3, GV20, HT7, PC6, GB41, SJ5, SP6, Yintang",Jia Wei Xiao Yao San; Chai Hu Shu Gan San,Safe during pregnancy with gentle technique
What points treat painful ovulation?,CV4 and CV3 for lower abdomen. SP6 for menstrual regulation. LR3 for smooth Qi. ST29 (Guilai) local for ovary. KI14 (Siman) if sharp pain.,"CV4, CV3, SP6, LR3, ST29, KI14",Xiao Yao San,Rule out pregnancy if cycle is off
