Question,Answer,Acupuncture Points,Chinese Pharmacopeia
How does irregular eating affect Spleen and Stomach?,"Skipping meals, eating while distracted, irregular timing, and fast food damage Spleen's transformation function and Stomach's receiving/ripening. Creates Qi deficiency, Dampness, food stagnation, and Liver-Spleen disharmony. Modern eating habits major health factor.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), PC-6 (Neiguan), ST-25 (Tianshu), LR-13 (Zhangmen)",Si Jun Zi Tang or Shen Ling Bai Zhu San to strengthen Spleen; Bao He Wan for food stagnation; Xiang Sha Liu Jun Zi Tang for comprehensive Middle Jiao support.
What causes anxiety disorders in young adults?,"Anxiety shows Heart-Gallbladder Qi deficiency (easily startled, timid), Liver Qi stagnation transforming to Fire, Heart Blood deficiency, Kidney-Heart disconnection, or Phlegm-Fire harassing Heart. Modern pressures, social media, and uncertainty contribute.","HT-7 (Shenmen), PC-6 (Neiguan), PC-7 (Daling), GB-40 (Qiuxu), Yintang, Ear Shen Men, ST-36 (Zusanli), KI-3 (Taixi)",Gui Pi Tang for Heart-Spleen deficiency; Wen Dan Tang for Phlegm-Fire; Chai Hu Jia Long Gu Mu Li Tang for Liver involvement; Gan Mai Da Zao Tang for severe cases.
How to address PCOS in TCM terms?,"PCOS represents Kidney-Liver-Spleen axis dysfunction with Phlegm-Dampness, Blood stasis, and Qi stagnation. Shows as irregular cycles, cysts (Phlegm), insulin resistance (Spleen), weight gain (Dampness), acne (Damp-Heat). Complex multi-pattern condition.","SP-6 (Sanyinjiao), SP-9 (Yinlingquan), ST-36 (Zusanli), ST-40 (Fenglong), LR-3 (Taichong), REN-4 (Guanyuan), SP-10 (Xuehai)",Cang Fu Dao Tan Tang for Phlegm-Dampness base; add Gui Zhi Fu Ling Wan for Blood stasis; Xiao Yao San for Liver Qi regulation; individualize treatment.
What causes chronic neck and shoulder pain?,"Neck and shoulder pain represents Qi and Blood stagnation from poor posture, stress (Liver Qi and Yang rising to shoulders), Gallbladder channel obstruction, Cold invasion, or underlying Kidney weakness. Computer work and phone use major contributors.","GB-21 (Jianjing), GB-20 (Fengchi), SI-3 (Houxi), LI-4 (Hegu), BL-10 (Tianzhu), SI-11 (Tianzong), Ashi points, Huatuojiaji",Ge Gen Tang for neck/upper back; Xiao Yao San for stress component; Juan Bi Tang for chronic Bi syndrome; external Dit Da Jow or plasters.
How does alcohol consumption affect Liver and Spleen?,"Regular alcohol creates Damp-Heat in Liver and Spleen, impairs Liver's free-flowing function, damages Spleen's transformation, depletes Liver Blood and Yin, and can create Phlegm. Social drinking culture in this age group often overlooked as health factor.","LR-3 (Taichong), LR-14 (Qimen), LR-8 (Ququan), SP-9 (Yinlingquan), ST-36 (Zusanli), LI-11 (Quchi), SP-6 (Sanyinjiao)",Xiao Chai Hu Tang for Liver-Gallbladder; Yin Chen Wu Ling San for Damp-Heat; Yin Chen Hao Tang if significant Heat; Shen Ling Bai Zhu San for Spleen.
What sleep disorders affect this age group beyond insomnia?,"Sleep disorders include sleep apnea (Phlegm-Dampness), restless legs (Liver Blood deficiency), nightmares (Heart Fire or Gallbladder Heat), excessive dreaming (Heart-Spleen disharmony), and inability to feel rested (Kidney exhaustion, Dampness). Each requires specific diagnosis.","Pattern-specific: HT-7, PC-6, SP-6 for all. Add: LR-8, GB-34 for restless legs; HT-8, LR-2 for nightmares; REN-12, ST-40 for Dampness; KI-3, REN-4 for Kidney",Insomnia: Suan Zao Ren Tang. Restless legs: Shao Yao Gan Cao Tang with Blood tonics. Phlegm: Wen Dan Tang. Kidney exhaustion: Zuo Gui Wan or You Gui Wan.
How to treat depression in working adults?,"Depression represents Liver Qi stagnation (frustration, stuck), Heart Blood deficiency (emptiness, joylessness), Spleen Qi deficiency (fatigue, hopelessness), or Kidney Jing depletion (burnout). Often combines multiple patterns. Requires sustained treatment and lifestyle changes.","HT-7 (Shenmen), PC-6 (Neiguan), LR-3 (Taichong), REN-17 (Shanzhong), DU-20 (Baihui), DU-24 (Shenting), ST-36 (Zusanli), SP-6 (Sanyinjiao)",Xiao Yao San for Liver Qi stagnation base; Gui Pi Tang for Heart-Spleen deficiency; Ba Zhen Tang for substantial deficiency; Gan Mai Da Zao Tang for emotional component.
What causes male sexual dysfunction in this age range?,"Male sexual dysfunction shows Kidney Yang deficiency (low libido, weak erection), Liver Qi stagnation (stress-related), Heart Blood deficiency, Damp-Heat in Lower Jiao (premature ejaculation), or psychological factors (performance anxiety). Age 18-50 increasingly common issue.","REN-4 (Guanyuan), REN-3 (Zhongji), KI-3 (Taixi), BL-23 (Shenshu), SP-6 (Sanyinjiao), ST-36 (Zusanli), LR-3 (Taichong), DU-4 (Mingmen)",Kidney Yang: You Gui Wan or Jin Gui Shen Qi Wan. Liver Qi: Xiao Yao San. Damp-Heat: Long Dan Xie Gan Tang. Often combine Kidney tonification with Liver regulation.
How does smartphone and screen addiction affect health?,"Excessive screen time depletes Liver Blood and Kidney Yin (eyes), scatters Shen (attention issues), creates neck strain, disrupts sleep (blue light), increases anxiety and depression, reduces physical activity. Major modern pathology in this age group.","GB-37 (Guangming), BL-1 (Jingming), Taiyang, GB-20 (Fengchi), HT-7 (Shenmen), KI-6 (Zhaohai), LR-3 (Taichong), Yintang",Qi Ju Di Huang Wan for eye strain; Liu Wei Di Huang Wan for Liver-Kidney Yin; calming formulas for Shen disturbance; encourage screen breaks and digital detox.
What causes weight gain despite exercise in adults?,"Weight gain with exercise indicates Spleen Qi deficiency (can't transform), Kidney Yang deficiency (slow metabolism), Liver Qi stagnation (stress eating, hormones), Dampness accumulation, or thyroid issues requiring medical evaluation. Pattern diagnosis essential.","SP-6 (Sanyinjiao), SP-9 (Yinlingquan), ST-36 (Zusanli), ST-40 (Fenglong), REN-12 (Zhongwan), REN-9 (Shuifen), REN-6 (Qihai)",Spleen deficiency: Shen Ling Bai Zhu San. Dampness: Er Chen Tang or Ling Gui Zhu Gan Tang. Kidney Yang: Jin Gui Shen Qi Wan. Liver Qi: Xiao Yao San.
How to address early signs of burnout?,"Early burnout shows as fatigue despite rest, cynicism, reduced effectiveness, emotional exhaustion, physical symptoms (headaches, GI issues), and loss of motivation. Represents profound Kidney-Spleen-Heart deficiency with Liver Qi stagnation. Prevention crucial.","HT-7 (Shenmen), PC-6 (Neiguan), KI-3 (Taixi), ST-36 (Zusanli), REN-4 (Guanyuan), LR-3 (Taichong), DU-20 (Baihui), BL-23 (Shenshu)",Shi Quan Da Bu Tang for comprehensive deficiency; Gui Pi Tang for Heart-Spleen; add Xiao Yao San components for Liver Qi; lifestyle changes mandatory.
What causes frequent urinary tract infections in women?,"Recurrent UTIs show Damp-Heat in Bladder (acute), Kidney Qi not consolidating (chronic), Spleen Qi deficiency (Damp production), or Yin deficiency with Heat. Requires medical treatment for acute infection plus TCM constitutional strengthening.","SP-6 (Sanyinjiao), SP-9 (Yinlingquan), REN-3 (Zhongji), BL-28 (Pangguangshu), BL-23 (Shenshu), KI-3 (Taixi), ST-36 (Zusanli)",Acute: Ba Zheng San for Damp-Heat. Prevention: Jin Gui Shen Qi Wan for Kidney Qi; Liu Wei Di Huang Wan for Yin deficiency; Shen Ling Bai Zhu San for Spleen.
How does endometriosis present in TCM?,"Endometriosis represents Blood stasis (fixed pain, clots), Cold in uterus (pain relieved by warmth), Qi stagnation (pain before period), and Kidney-Liver deficiency. Complex condition requiring sustained treatment addressing both symptoms and root.","SP-6 (Sanyinjiao), SP-10 (Xuehai), LR-3 (Taichong), REN-4 (Guanyuan), REN-3 (Zhongji), ST-36 (Zusanli), ZI gong, BL-32 (Ciliao)",Shao Fu Zhu Yu Tang (Blood stasis in Lower Jiao); Wen Jing Tang (Cold with stasis); Gui Zhi Fu Ling Wan; often combine formulas and treat continuously.
What causes chronic digestive issues like bloating?,"Chronic bloating indicates Spleen Qi deficiency (can't transport), food stagnation (overeating, irregular eating), Liver Qi invading Spleen (stress), Dampness accumulation, or SIBO/gut issues requiring medical evaluation. Lifestyle factors crucial.","ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-4 (Gongsun), REN-12 (Zhongwan), ST-25 (Tianshu), PC-6 (Neiguan), LR-3 (Taichong)",Si Jun Zi Tang or Shen Ling Bai Zhu San for Spleen Qi; Bao He Wan for food stagnation; Xiang Sha Liu Jun Zi Tang for Qi stagnation with Spleen weakness.
How to treat chronic sinusitis in adults?,"Chronic sinusitis shows Lung Qi deficiency with Damp or Phlegm accumulation, Spleen deficiency producing Phlegm, or Liver-Gallbladder Damp-Heat rising to head. May follow recurrent acute infections weakening Wei Qi. Pattern differentiation essential.","LI-20 (Yingxiang), LI-4 (Hegu), LU-7 (Lieque), Yintang, BL-13 (Feishu), ST-36 (Zusanli), BL-2 (Zanzhu), ST-40 (Fenglong)",Liu Jun Zi Tang for Spleen-Lung Phlegm; Cang Er Zi San for nasal obstruction; Xin Yi San for wind-cold component; strengthen underlying deficiency.
What causes hair loss in this age group?,"Hair loss represents Blood deficiency (Liver and Kidney Blood nourish hair), Kidney Jing deficiency (premature graying, hair loss), Damp-Heat (scalp issues), or stress (Liver Qi stagnation affecting Blood). Men and women: different patterns but similar roots.","BL-23 (Shenshu), GB-20 (Fengchi), DU-20 (Baihui), LR-8 (Ququan), ST-36 (Zusanli), SP-6 (Sanyinjiao), KI-3 (Taixi)",Si Wu Tang for Blood deficiency; Liu Wei Di Huang Wan for Kidney Yin; He Shou Wu (Polygonum) specific for hair; Shen Ying Yang Zhen Dan for comprehensive support.
How does shift work affect health in TCM?,"Shift work disrupts natural Yin-Yang cycles, prevents Yang descending at night (insomnia), depletes Kidney Yang and Yin, weakens Spleen (irregular eating), and disturbs all organ clock functions. Creates profound constitutional imbalance over time.","Support circadian rhythm: HT-7, PC-6, SP-6, KI-3, ST-36, REN-4, DU-20. Treatment timing adjusted to patient's actual sleep schedule",Formulas based on predominant pattern: Yin deficiency→Liu Wei Di Huang Wan; Yang deficiency→Jin Gui Shen Qi Wan; Spleen weakness→Si Jun Zi Tang; insomnia→Suan Zao Ren Tang.
What causes chronic anxiety with palpitations?,"Anxiety with palpitations indicates Heart Qi and Blood deficiency, Heart-Kidney disconnection (Fire and Water not communicating), Liver Fire disturbing Heart, or Phlegm-Fire harassing Heart. Palpitations require medical evaluation to rule out cardiac issues.","HT-7 (Shenmen), PC-6 (Neiguan), PC-7 (Daling), HT-5 (Tongli), REN-17 (Shanzhong), BL-15 (Xinshu), ST-36 (Zusanli), KI-3 (Taixi)",Gui Pi Tang for Heart-Spleen deficiency; Tian Wang Bu Xin Dan for Heart-Kidney disconnection; Wen Dan Tang for Phlegm-Fire; An Shen Ding Zhi Wan for severe Shen disturbance.
How to treat acne in adult women?,"Adult acne shows Damp-Heat (face mapping important: cheeks-Stomach, jawline-hormones/Kidney, forehead-Liver), Liver Qi stagnation (PMS breakouts), Blood Heat, or hormonal imbalances. Often relates to stress, diet, cosmetics, or underlying PCOS.","LI-4 (Hegu), LI-11 (Quchi), ST-44 (Neiting), SP-10 (Xuehai), SP-6 (Sanyinjiao), LR-3 (Taichong), LR-2 (Xingjian)",Qing Wei San for Stomach Heat; Xiao Yao San for Liver Qi stagnation; Liang Xue Qing Fei Yin for Lung-Stomach Heat; address hormonal root if present.
What causes chronic fatigue syndrome (CFS)?,"CFS in TCM shows profound Spleen-Kidney-Heart deficiency often with Dampness and Blood stasis. Post-viral in some cases. Requires sustained, gentle tonification without overwhelming weakened system. Difficult condition needing patient, layered treatment.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-4 (Guanyuan), REN-6 (Qihai), KI-3 (Taixi), HT-7 (Shenmen), DU-20 (Baihui), gentle moxa",Bu Zhong Yi Qi Tang or Gui Pi Tang initially; gradually add Kidney tonics; gentle approach essential - avoid overly warm or strong herbs initially. May need months of treatment.
How does stress affect the immune system?,"Chronic stress depletes Wei Qi through Lung-Spleen-Kidney weakness, impairs Protective Qi circulation, creates Liver Qi stagnation weakening defensive function, and depletes constitutional reserves. Stress management essential for immune health.","LU-7 (Lieque), LI-4 (Hegu), ST-36 (Zusanli), BL-13 (Feishu), BL-20 (Pishu), KI-3 (Taixi), REN-6 (Qihai), LR-3 (Taichong)","Yu Ping Feng San for Wei Qi strengthening; Si Jun Zi Tang for Spleen; add stress-reducing herbs: Chai Hu, Xiang Fu; lifestyle modification crucial."
What causes plantar fasciitis in TCM terms?,"Plantar fasciitis represents Liver-Kidney deficiency (governs tendons and bones), Qi and Blood stagnation in local channels, Cold invasion, or overuse with underlying deficiency. Common in active adults with walking/running or standing occupations.","KI-3 (Taixi), KI-7 (Fuliu), BL-60 (Kunlun), BL-62 (Shenmai), SP-6 (Sanyinjiao), BL-23 (Shenshu), local Ashi points, GB-40 (Qiuxu)",Du Huo Ji Sheng Tang for Liver-Kidney support; Shen Tong Zhu Yu Tang if Blood stasis prominent; external treatments with warming herbs or Dit Da Jow.
How to address perimenopause symptoms in late 40s?,"Early perimenopause (late 40s) shows Kidney Yin and Yang decline with Liver Qi stagnation: irregular periods, hot flashes, mood swings, insomnia, anxiety, weight changes. Transitional phase requiring support for declining Kidney while regulating Liver.","KI-3 (Taixi), KI-6 (Zhaohai), SP-6 (Sanyinjiao), LR-3 (Taichong), REN-4 (Guanyuan), HT-7 (Shenmen), KI-7 (Fuliu), DU-20 (Baihui)",Zuo Gui Wan or Liu Wei Di Huang Wan base for Kidney Yin; add Xiao Yao San for Liver Qi; Er Xian Tang for combined Kidney Yin-Yang support during transition.
What causes chronic sore throat without infection?,"Chronic sore throat without infection indicates Lung-Kidney Yin deficiency, Liver Fire rising, Stomach Heat rising, or Phlegm-Dampness. May relate to vocal overuse, acid reflux, allergies, or stress. Pattern differentiation through associated symptoms.","LU-10 (Yuji), LU-11 (Shaoshang), KI-6 (Zhaohai), LI-4 (Hegu), LU-7 (Lieque), ST-36 (Zusanli), REN-22 (Tiantu)",Yin deficiency: Bai He Gu Jin Tang or Yang Yin Qing Fei Tang. Liver Fire: Long Dan Xie Gan Tang. Stomach Heat: Qing Wei San. Phlegm: Er Chen Tang.
How does poor posture create internal organ dysfunction?,"Poor posture (forward head, rounded shoulders) compresses chest/diaphragm impairing Lung Qi, blocks Liver Qi flow (chest constraint), weakens Spleen (affects Middle Jiao), strains Kidney (lower back), and disturbs Heart (chest compression). Structural-functional connection.","GB-20 (Fengchi), GB-21 (Jianjing), BL-11 (Dazhu), SI-3 (Houxi), REN-17 (Shanzhong), BL-13 (Feishu), LR-14 (Qimen), Huatuojiaji","Address affected organs: Lung→Bu Fei Tang; Liver→Xiao Yao San; posture correction essential; consider tuina, physical therapy, ergonomic changes."
What causes recurrent yeast infections in women?,"Recurrent yeast infections show Spleen Qi deficiency producing Dampness, Kidney Yang deficiency (unable to transform Damp), or Liver-Spleen Damp-Heat. May follow antibiotics, stress, diet high in sugar. Requires constitutional treatment, not just acute clearing.","SP-6 (Sanyinjiao), SP-9 (Yinlingquan), ST-36 (Zusanli), REN-3 (Zhongji), BL-23 (Shenshu), LR-3 (Taichong), LR-5 (Ligou)",Acute: Long Dan Xie Gan Tang or Bi Xie Shen Shi Tang. Prevention: Shen Ling Bai Zhu San for Spleen; Jin Gui Shen Qi Wan for Kidney Yang; dietary changes essential.
How to treat TMJ disorder in TCM?,"TMJ shows Liver Qi stagnation (jaw clenching from stress), Stomach Heat or Fire, local Qi and Blood stagnation, Kidney deficiency (affects bones/joints), or Wind invasion. Often multifactorial requiring local and distal treatment.","ST-6 (Jiache), ST-7 (Xiaguan), SI-18 (Quanliao), SI-19 (Tinggong), LI-4 (Hegu), LR-3 (Taichong), ST-44 (Neiting), GB-2 (Tinghui)",Xiao Yao San for Liver Qi base; Qing Wei San if Stomach Heat; Juan Bi Tang for chronic joint issues; stress management and jaw exercises important.
What causes brain fog in adults?,"Brain fog represents Spleen Qi deficiency (can't produce clear Yang to head), Dampness or Phlegm misting the orifices, Kidney Jing deficiency, Heart Blood deficiency, or Liver Qi stagnation. Modern epidemic related to stress, poor sleep, diet, screens.","DU-20 (Baihui), Sishencong, ST-36 (Zusanli), SP-6 (Sanyinjiao), ST-40 (Fenglong), HT-7 (Shenmen), KI-3 (Taixi), REN-12 (Zhongwan)",Spleen deficiency: Bu Zhong Yi Qi Tang. Phlegm: Wen Dan Tang or Er Chen Tang. Kidney: Liu Wei Di Huang Wan. Blood deficiency: Gui Pi Tang. Often need combination.
How does social media affect mental health?,"Social media creates comparison (depletes Heart/self-worth), FOMO anxiety (Liver Qi stagnation), sleep disruption (Shen scattered), addiction patterns (seeking external validation), and increased depression. Unique modern stressor affecting Shen profoundly.","HT-7 (Shenmen), PC-6 (Neiguan), Yintang, LR-3 (Taichong), REN-17 (Shanzhong), DU-20 (Baihui), Ear Shen Men",Gui Pi Tang for Heart-Spleen depletion; Xiao Yao San for Liver Qi; Gan Mai Da Zao Tang for emotional instability; digital boundaries and real connection essential.
What causes cold hands and feet in young adults?,"Cold extremities show Yang deficiency (Spleen, Kidney), Qi and Blood deficiency (insufficient warming), Blood stasis (poor circulation), or Liver Qi stagnation (Qi blocked, can't reach extremities). Differentiate through accompanying symptoms.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-4 (Guanyuan), REN-6 (Qihai), KI-3 (Taixi), KI-7 (Fuliu), LR-3 (Taichong), moxa therapy",Yang deficiency: Fu Zi Li Zhong Wan or Jin Gui Shen Qi Wan. Qi-Blood deficiency: Ba Zhen Tang. Blood stasis: Dang Gui Si Ni Tang. Liver Qi: Xiao Yao San.
How to support athletes and active individuals?,"Athletes need Qi and Blood tonification for endurance, Liver-Kidney support for tendons/bones, injury prevention through strong Wei Qi, and recovery support through nourishing Yin and clearing post-exercise Heat. Prevention and performance optimization.","ST-36 (Zusanli), SP-6 (Sanyinjiao), GB-34 (Yanglingquan), LR-8 (Ququan), BL-23 (Shenshu), KI-3 (Taixi), BL-17 (Geshu)",Base tonification: Ba Zhen Tang or Shi Quan Da Bu Tang. Liver-Kidney: Du Huo Ji Sheng Tang. Recovery: Si Wu Tang with cooling herbs. Injury: trauma formulas as needed.
What causes night sweats in this age group?,"Night sweats indicate Yin deficiency (most common in adults), Liver Qi stagnation transforming to Heat, Damp-Heat, or early menopause (women late 40s). Assess timing, amount, associated symptoms, and whether relieved by sweating.","KI-6 (Zhaohai), HT-6 (Yinxi), KI-7 (Fuliu), KI-3 (Taixi), SP-6 (Sanyinjiao), LR-3 (Taichong), LI-11 (Quchi)",Yin deficiency: Liu Wei Di Huang Wan with Zhi Mu and Huang Bai. Liver Fire: Long Dan Xie Gan Tang. Damp-Heat: Qing Hao Bie Jia Tang. Pattern-specific treatment essential.
How to treat chronic constipation in adults?,"Chronic constipation shows Qi stagnation (stress), Blood and Yin deficiency (dryness), Qi deficiency (no power to move), Heat (dry stools), or Cold (slow motility). Lifestyle factors: water, fiber, exercise, stress crucial to address.","ST-25 (Tianshu), SJ-6 (Zhigou), ST-36 (Zusanli), ST-37 (Shangjuxu), KI-6 (Zhaohai), LR-3 (Taichong), SP-15 (Daheng)",Qi stagnation: Liu Mo Tang. Deficiency: Ma Zi Ren Wan or Zeng Ye Tang. Heat: Da Cheng Qi Tang (short-term). Qi deficiency: Bu Zhong Yi Qi Tang. Pattern-based.
What causes migraines in adults 18-50?,"Migraines represent Liver Yang rising, Liver Wind (often with Yin deficiency), Blood stasis, Phlegm obstruction, or Qi and Blood deficiency. Triggers include stress, hormones, food, weather. Requires preventive treatment between attacks, not just acute relief.","Preventive: LR-3 (Taichong), GB-20 (Fengchi), GB-43 (Xiaxi), LI-4 (Hegu), Taiyang, BL-2 (Zanzhu). Acute: add Ashi points, stronger stimulation",Prevention: Tian Ma Gou Teng Yin for Liver Yang; Xiao Yao San for Liver Qi; Xue Fu Zhu Yu Tang for Blood stasis. Acute: Chuan Xiong Cha Tiao San.
How does trauma and PTSD present in TCM?,"Trauma fragments Shen (severe Shen disturbance), depletes Kidney (fear injures Kidney), creates Heart Blood deficiency, causes Liver Qi stagnation (anger, frustration), and may create Phlegm-Fire. Requires gentle, sustained treatment with appropriate referrals.","HT-7 (Shenmen), PC-6 (Neiguan), PC-7 (Daling), Yintang, Ear Shen Men, KI-3 (Taixi), REN-17 (Shanzhong), DU-24 (Shenting)","Gan Mai Da Zao Tang for emotional stabilization; Gui Pi Tang for Heart-Spleen support; anchoring substances: Long Gu, Mu Li, Zhen Zhu Mu; requires trauma-informed care."
What causes chronic dizziness in young adults?,"Dizziness shows Qi and Blood deficiency (can't nourish head), Liver Yang rising, Phlegm-Dampness, Kidney Jing deficiency, or inner ear issues requiring medical evaluation. Pattern differentiation through quality of dizziness and accompanying symptoms.","DU-20 (Baihui), GB-20 (Fengchi), ST-36 (Zusanli), SP-6 (Sanyinjiao), ST-40 (Fenglong), LR-3 (Taichong), PC-6 (Neiguan), Yintang",Qi-Blood deficiency: Ba Zhen Tang. Liver Yang: Tian Ma Gou Teng Yin. Phlegm-Dampness: Ban Xia Bai Zhu Tian Ma Tang. Kidney: Liu Wei Di Huang Wan.
How to address work-related repetitive strain injuries?,"Repetitive strain shows local Qi and Blood stagnation, tendon damage (Liver Blood deficiency - Liver governs tendons), underlying Kidney weakness (governs bones/joints), and often Liver Qi stagnation (frustration with work). Requires rest, ergonomics, treatment.","Local Ashi points, LI-4 (Hegu), LI-10 (Shousanli), LI-11 (Quchi), SJ-5 (Waiguan), GB-34 (Yanglingquan), LR-8 (Ququan), BL-23 (Shenshu)",Local: trauma formulas like Die Da Wan. Systemic: Si Wu Tang for Blood; Du Huo Ji Sheng Tang for Liver-Kidney; external Dit Da Jow; work modifications essential.
What is the TCM approach to autoimmune conditions?,"Autoimmune conditions show Yin-Yang imbalance, Qi-Blood deficiency, immune system confusion (Wei Qi dysfunction), often with Heat or Fire, Dampness, and Kidney-Liver-Spleen involvement. Requires sustained constitutional treatment supporting regulation, not just suppression.","Constitutional support: ST-36, SP-6, KI-3, LR-3, REN-4. Pattern-specific additions based on condition and manifestation. Gentle, balancing approach","Varies by condition but generally: tonify deficiency (Ba Zhen Tang base), clear excess (Heat/Dampness pattern-specifically), regulate immunity (modified Yu Ping Feng San). Individualized essential."
