asset_type,question,answer,category,tags
points,"What are the functions of ST36 (Zusanli)?","ST36 (Zusanli 足三里) - He-Sea point, Command point for abdomen. Location: 3 cun below ST35, 1 finger lateral to tibia. Actions: tonifies Qi and Blood, strengthens Spleen/Stomach, boosts immunity. Master point for digestive issues, fatigue, weakness. One of most important tonification points.",points,st36|zusanli|tonify|stomach
points,"What is SP6 (Sanyinjiao) used for?","SP6 (Sanyinjiao 三阴交) - Meeting point of 3 Yin leg meridians. Location: 3 cun above medial malleolus. Actions: tonifies Spleen, resolves Dampness, nourishes Blood and Yin, regulates menstruation, calms Shen. Essential for gynecological issues, insomnia, digestive problems. CONTRAINDICATED in pregnancy.",points,sp6|sanyinjiao|yin|gynecology
points,"What is LV3 (Taichong) used for?","LV3 (Taichong 太冲) - Yuan-Source point, Shu-Stream point. Location: between 1st and 2nd metatarsals. Actions: spreads Liver Qi, calms Liver Yang, nourishes Liver Blood, clears head. Key point for emotional issues, headaches, eye problems, menstrual disorders. Combine with LI4 (Four Gates) for strong Qi moving.",points,lv3|taichong|liver|emotional
points,"What is PC6 (Neiguan) used for?","PC6 (Neiguan 内关) - Luo-Connecting point, Confluent of Yin Wei Mai. Location: 2 cun above wrist crease. Actions: regulates Heart, calms Shen, regulates Qi, stops nausea. Key for nausea, morning sickness, anxiety, chest tightness, insomnia. Opens the chest and regulates the Heart.",points,pc6|neiguan|nausea|anxiety
herbs,"What is Xiao Yao San formula?","Xiao Yao San (逍遥散 - Free Wanderer Powder): Chief: Chai Hu 9g (spreads Liver Qi). Deputy: Dang Gui 9g, Bai Shao 12g (nourish Blood, soften Liver). Assistant: Bai Zhu 9g, Fu Ling 9g (strengthen Spleen). Envoy: Gan Cao 6g, Sheng Jiang 3pc, Bo He 3g. Treats Liver Qi Stagnation with Blood Deficiency and Spleen weakness.",herbs,formula|xiaoyaosan|liver|stagnation
herbs,"What is Liu Wei Di Huang Wan?","Liu Wei Di Huang Wan (六味地黄丸 - Six-Ingredient Pill): Shu Di Huang 24g (nourish Kidney Yin). Shan Zhu Yu 12g, Shan Yao 12g (support Kidney/Spleen). Ze Xie 9g, Mu Dan Pi 9g, Fu Ling 9g (drain excess). Classic formula for Kidney/Liver Yin Deficiency with lower back pain, tinnitus, night sweats.",herbs,formula|liuweidihuang|kidney|yin
herbs,"What is Si Jun Zi Tang?","Si Jun Zi Tang (四君子汤 - Four Gentlemen): Ren Shen 9g (tonify Yuan Qi). Bai Zhu 9g (strengthen Spleen). Fu Ling 9g (drain Dampness). Gan Cao 6g (harmonize). Base formula for Spleen Qi Deficiency. All modifications for Qi deficiency start from this foundation.",herbs,formula|sijunzi|spleen|qi
herbs,"What is Gui Pi Tang used for?","Gui Pi Tang (归脾汤 - Restore Spleen Decoction): Treats Heart and Spleen Deficiency. Contains Ren Shen, Huang Qi, Bai Zhu, Fu Ling, Dang Gui, Long Yan Rou, Suan Zao Ren, Yuan Zhi, Mu Xiang, Gan Cao. For insomnia, poor memory, palpitations, poor appetite, fatigue.",herbs,formula|guipitang|heart|spleen
herbs,"What are the properties of Huang Qi?","Huang Qi (黄芪 Astragalus): Sweet, slightly warm. Enters Lung, Spleen. Actions: tonifies Qi, raises Yang, strengthens Wei Qi, promotes urination, generates flesh. Dosage: 9-30g. For severe Qi deficiency, up to 60g. Contraindicated in Yin Deficiency with Heat or exterior patterns.",herbs,huangqi|astragalus|qi|tonify
nutrition,"What foods nourish Blood?","Blood-nourishing foods: Dark leafy greens (spinach, kale), beets, red dates (Da Zao), goji berries (Gou Qi Zi), black sesame, bone broth, organ meats (liver), eggs, cherries, blackberries. Preparation: gentle cooking preserves nutrients. Combine with Qi-tonifying foods for better absorption.",nutrition,blood|nourish|foods
nutrition,"What foods to avoid with Dampness?","Avoid with Dampness: dairy products, sugar, wheat, cold/raw foods, greasy/fried foods, banana, peanuts, excessive fluids. These burden the Spleen and generate more Dampness. Instead: warm cooked foods, aromatic spices, millet, aduki beans, barley.",nutrition,dampness|avoid|foods|spleen
nutrition,"What foods warm Yang?","Yang-warming foods: ginger, garlic, onion, leek, chive, cinnamon, clove, lamb, venison, walnuts, chestnuts, shrimp, lobster. Cooking methods: roasting, slow-cooking, adding warming spices. Avoid cold/raw foods which damage Spleen and Kidney Yang.",nutrition,yang|warming|foods
nutrition,"What foods nourish Yin?","Yin-nourishing foods: pear, watermelon, mung beans, tofu, seaweed, duck, pork, eggs, honey, sesame, black beans, asparagus. Preparation: steaming, poaching, making soups. Avoid spicy, drying, or overly heating foods which consume Yin.",nutrition,yin|nourish|foods
nutrition,"What is the Chinese dietary therapy principle?","Chinese dietary therapy (食疗): Food is medicine. Match food temperature to constitution. Eat seasonal foods. 70% full is optimal. Warm breakfast supports Spleen Yang. Cold drinks damage digestive fire. Colors relate to organs: green-Liver, red-Heart, yellow-Spleen, white-Lung, black-Kidney.",nutrition,dietary|therapy|principle|tcm
lifestyle,"What lifestyle supports Liver health?","Liver health lifestyle: Express emotions freely, avoid suppression. Regular exercise to move Qi. Avoid excessive alcohol. Sleep by 11pm (Liver/GB time). Practice stress management. Green foods/environment. Spring cleaning reflects Liver's nature. Creative expression outlets.",lifestyle,liver|health|emotions|exercise
lifestyle,"How to protect Spleen Qi?","Spleen protection: Regular meal times. Avoid overthinking/worry. Chew thoroughly. Warm cooked foods. Limit cold/raw/damp foods. Gentle walking after meals. Keep abdomen warm. Yellow/orange foods. Earth element activities: gardening, grounding practices.",lifestyle,spleen|protection|diet|worry
lifestyle,"What lifestyle suits Kidney deficiency?","Kidney conservation: Adequate rest. Avoid overwork and excessive sex. Warm lower back. Salt moderation. Winter rest/reflection. Black foods (black sesame, beans). Water element activities. Early sleep (before 11pm). Gentle exercises like Tai Chi.",lifestyle,kidney|conservation|rest|water
lifestyle,"What are seasonal living guidelines?","Seasonal living: Spring - rise early, stretch, be active, express creativity. Summer - wake early, rest midday, abundant activity, socialize. Late Summer - transition, center, nourish Spleen. Autumn - go to bed early, consolidate, let go. Winter - rest more, conserve, reflection, sleep early.",lifestyle,seasonal|living|guidelines
lifestyle,"How does emotion affect organs?","Emotion-organ relationships: Anger injures Liver. Joy/shock affects Heart. Worry/pensiveness harms Spleen. Grief/sadness damages Lung. Fear/fright impacts Kidney. Balanced emotions support health. Extreme or prolonged emotions cause disease. Cultivation practices regulate emotions.",lifestyle,emotions|organs|relationships
exercise,"What Qi Gong exercises strengthen Kidneys?","Kidney Qi Gong: Standing meditation (Zhan Zhuang) with knees slightly bent. Kidney breathing: hands on lower back, breathe into Ming Men. Deer exercise from Ba Duan Jin. Rubbing lower back until warm. Swimming motions. 'Lifting heels' exercise from 8 Brocades. Practice in winter season.",exercise,kidney|qigong|standing
exercise,"What is Ba Duan Jin?","Ba Duan Jin (八段锦 Eight Brocades): 1. Two Hands Hold Heavens (Triple Heater). 2. Drawing Bow (Lung/LI). 3. Separate Heaven and Earth (Spleen/Stomach). 4. Wise Owl Gazes Backward (neck/stress). 5. Sway Head and Shake Tail (Heart Fire). 6. Two Hands Hold Feet (Kidney). 7. Punch with Glaring Eyes (Liver). 8. Bouncing on Toes (overall).",exercise,baduanjin|eight|brocades|qigong
exercise,"What exercises help Liver Qi Stagnation?","For Liver Qi Stagnation: Stretching/yoga (especially side stretches). Walking in nature. Dancing. Any rhythmic exercise. Shouting/singing releases constraint. Eye exercises. Twisting movements. Avoid competitive/aggressive sports during acute stagnation. Swimming good for cooling Liver Fire.",exercise,liver|stagnation|stretching|yoga
exercise,"What is Tai Chi good for?","Tai Chi benefits: Gentle movement suitable for all ages. Improves balance and coordination. Calms Shen. Moves Qi and Blood without exhaustion. Strengthens legs/Kidney. Coordinates breathing. Reduces stress. Improves flexibility. Practice daily 15-30 minutes. Best in morning, facing East.",exercise,taichi|gentle|balance|shen
exercise,"What exercises strengthen Spleen?","Spleen-strengthening exercises: Walking after meals (gentle). Core strengthening. Yoga postures for digestion (twists). Lifting exercises for limbs. Avoid excessive sitting. Self-massage of abdomen clockwise. Arm swings. Light resistance training. Avoid excessive exercise that depletes Qi.",exercise,spleen|walking|core|digestion
wellness,"What acupressure points for self-care?","Self-care acupressure points: LI4 for headache/pain. PC6 for nausea/anxiety. ST36 for energy/digestion. KI1 for grounding/insomnia. Yintang for calming mind. LV3 for stress/irritability. Press firmly 1-2 minutes, breathe deeply. Can use during daily activities.",wellness,acupressure|selfcare|points
wellness,"How to use moxibustion at home?","Home moxibustion: Use indirect moxa sticks. Safe points: ST36, REN4, REN6, BL23. Warm until skin reddens slightly. 5-10 minutes per point. Good for Cold/Deficiency patterns. Contraindicated in Heat patterns, Yin Deficiency. Best in winter or for Yang Deficiency. Never use on face or near mucous membranes.",wellness,moxibustion|home|warming
wellness,"What are daily wellness routines?","TCM daily routines: Tongue scraping upon waking. Warm water with lemon. Self-massage (dry brushing). Morning stretches. Regular mealtimes. Afternoon rest (15-20min). Evening wind-down without screens. Foot soak before bed. Sleep by 11pm. Consistent sleep schedule.",wellness,daily|routine|selfcare
wellness,"What is Gua Sha self-treatment?","Gua Sha self-treatment: Use smooth-edged tool. Apply oil first. Scrape in one direction along muscles. Back of neck for headache. Jaw for TMJ. Upper back for cold/flu. Arms/legs for muscle pain. Creates 'sha' (redness). Avoid over face, broken skin, during pregnancy.",wellness,guasha|selfcare|scraping
wellness,"How to support Shen (Spirit)?","Shen cultivation: Regular sleep schedule. Meditation/mindfulness. Limit screen time. Nature exposure. Meaningful social connections. Creative expression. Avoid horror/violence media. Heart-nourishing foods. Red color therapy. Bitter foods moderate Heart Fire. Joy and laughter.",wellness,shen|spirit|meditation|heart
safety,"What points are contraindicated in pregnancy?","Pregnancy contraindicated points: LI4 (strong Qi moving). SP6 (can induce labor). BL60, BL67 (used to turn breech). GB21 (strongly descends). Sacral points. Strong abdominal points. Points on lower back. Any strong reducing technique. Avoid moxa on abdomen. Gentle treatment only.",safety,pregnancy|contraindicated|points
safety,"What are herb-drug interactions?","Common interactions: Ginseng + warfarin/anticoagulants. Ma Huang (ephedra) + stimulants/MAOIs. Dan Shen + warfarin. Gan Cao (licorice) + digoxin, diuretics. St John's Wort + many drugs. Always review patient medications. Start with lower doses. Monitor closely.",safety,interactions|herbs|drugs
safety,"When to avoid moxibustion?","Moxibustion contraindications: Yin Deficiency with Heat signs. Any Heat pattern. Fever. Inflamed skin conditions. Over major blood vessels. During pregnancy (most points). Sensory impairment. Intoxication. Over face. Near mucous membranes. Caution in diabetics.",safety,moxibustion|contraindicated|heat
safety,"What are bleeding point precautions?","Bleeding technique precautions: Check clotting disorders. Review anticoagulant medications. Sterile technique essential. Avoid in weakened patients. Small amount only (few drops). Contraindicated in pregnancy. Not for Qi/Blood Deficiency. Proper disposal of sharps. Monitor for infection.",safety,bleeding|precautions|technique
safety,"What conditions need referral?","Conditions requiring referral: Undiagnosed lumps/masses. Sudden severe symptoms. Neurological signs. Cardiac emergencies. Severe mental health crisis. Suspected fractures. Acute infections requiring antibiotics. Conditions not responding to treatment. Always within scope of practice.",safety,referral|conditions|emergency
mental,"What are Shen disturbance patterns?","Shen disturbance patterns: Heart Blood Deficiency - anxiety, insomnia, poor memory. Heart Fire - agitation, mania, red face. Phlegm Misting Heart - confusion, abnormal behavior. Heart Yin Deficiency - anxiety, night sweats. Treatment: calm Shen, nourish Heart, clear obstructions.",mental,shen|disturbance|anxiety|heart
mental,"How does Liver affect emotions?","Liver emotional patterns: Liver Qi Stagnation causes frustration, irritability, depression, mood swings. Liver Fire Rising causes anger outbursts. Liver Blood Deficiency causes timidity, lack of direction. Treatment: smooth Liver Qi, calm Yang, nourish Blood as needed.",mental,liver|emotions|anger|depression
mental,"What TCM patterns cause anxiety?","Anxiety patterns: Heart Blood/Yin Deficiency - general anxiety, palpitations. Kidney deficiency - fear, insecurity. Liver Qi Stagnation - worry with frustration. Heart-Gallbladder Qi Deficiency - timidity, easily startled. Phlegm-Heat - anxiety with confusion. Treatment based on pattern differentiation.",mental,anxiety|patterns|heart|fear
mental,"How to treat insomnia in TCM?","Insomnia treatment by pattern: Heart Blood Deficiency - nourish Blood (SP6, HT7). Heart Fire - clear Heat (HT8, PC7). Liver Fire - calm Liver (LV2, GB43). Kidney-Heart disharmony - connect Water-Fire (KI6, HT6). Phlegm - resolve (ST40, PC5). Food stagnation - clear Stomach.",mental,insomnia|treatment|heart|patterns
mental,"What is the Wood element personality?","Wood element personality: Goal-oriented, decisive, competitive, visionary, planner. When balanced: clear vision, benevolence, flexibility. When imbalanced: anger, frustration, rigidity, aggression, or lack of direction. Supports: spring, green color, sour taste, wind, eyes, tendons.",mental,wood|element|personality|liver
sleep,"What is optimal sleep timing in TCM?","TCM sleep timing: Sleep by 11pm (Gallbladder time begins). Deep sleep during Liver time (1-3am) allows Blood to return. Wake naturally or by 7am. The hours before midnight are most restorative. Sleeping during these organ times supports detoxification and regeneration.",sleep,timing|gallbladder|liver|optimal
sleep,"How to treat difficulty falling asleep?","Difficulty falling asleep: Usually excess patterns. Heart Fire - racing mind, restlessness. Liver Qi Stagnation - frustration, unable to relax. Food stagnation - eating late. Treatment: HT7, PC6 to calm. Avoid screens 2hrs before bed. Warm foot bath. Meditation. No caffeine after noon.",sleep,falling|asleep|heart|liver
sleep,"What causes waking at specific times?","Waking by organ time: 11pm-1am (Gallbladder) - unresolved decisions. 1-3am (Liver) - anger, frustration, toxicity. 3-5am (Lung) - grief, letting go. 5-7am (Large Intestine) - holding on, elimination issues. Treatment focuses on corresponding organ pattern.",sleep,waking|times|organs|clock
sleep,"What is the pre-sleep routine?","TCM pre-sleep routine: No food 2-3 hours before bed. Warm foot soak 15 minutes. Dim lights. Gentle stretching. Deep breathing. Self-massage of KI1 (Yongquan). Journal worries to release. Consistent bedtime. Cool, dark room. No screens. Herbal tea: chamomile or Suan Zao Ren.",sleep,routine|presleep|footsoak|relaxation
sleep,"How does diet affect sleep?","Diet and sleep: Late eating disturbs sleep (Food stagnation). Spicy food creates Heat, disturbs Heart. Coffee/stimulants affect deep sleep. Alcohol initially sedating but disturbs later sleep. Heavy meals burden Spleen. Light dinner by 7pm ideal. Warm milk with nutmeg for insomnia.",sleep,diet|eating|late|digestion
condition,"What is the prognosis for acute vs chronic?","Prognosis guidelines: Acute conditions - faster response, 3-6 treatments often sufficient. Chronic conditions - longer treatment, general rule: 1 month treatment per year of illness. Weekly treatments initially, then spacing out. Lifestyle changes essential for lasting results.",condition,prognosis|acute|chronic|timeline
condition,"How often should treatments be?","Treatment frequency: Acute conditions - 2-3 times/week. Chronic conditions - weekly initially. Maintenance - monthly or seasonal. Pain conditions - may need more frequent initially. Each patient responds differently. Reassess every 4-6 treatments. Adjust based on response.",condition,frequency|treatments|scheduling
condition,"What are signs of improvement?","Signs of healing: Better sleep quality. Improved energy. Emotional balance. Digestive improvement. Main complaint reducing. Tongue normalization. Pulse improving. New symptoms may briefly appear as layers peel. Healing crisis possible. Track progress week-to-week.",condition,improvement|signs|progress|healing
condition,"What indicates poor prognosis?","Poor prognosis indicators: No response after 6-8 treatments. Constitutional weakness. Multiple concurrent serious conditions. Non-compliance with lifestyle advice. Very weak pulses. Pale, flabby tongue. Advanced age with depletion. Chronic conditions 10+ years. May need referral.",condition,prognosis|poor|indicators
condition,"How to monitor treatment progress?","Monitoring progress: Track primary complaints weekly. Photograph tongue regularly. Note pulse quality changes. Sleep quality diary. Energy level tracking. Emotional wellness check. Bowel movement regularity. Pain scale if applicable. Reassess pattern diagnosis regularly.",condition,monitoring|progress|tracking
constitution,"What are the nine body constitutions?","Nine TCM constitutions: Balanced (平和质), Qi Deficiency (气虚质), Yang Deficiency (阳虚质), Yin Deficiency (阴虚质), Phlegm-Dampness (痰湿质), Damp-Heat (湿热质), Blood Stasis (血瘀质), Qi Stagnation (气郁质), Inherited Special (特禀质). Each requires specific diet and lifestyle.",constitution,nine|types|body|assessment
constitution,"What is Yang Deficiency constitution?","Yang Deficiency constitution: Cold intolerant, prefers warmth. Pale complexion. Cold hands/feet. Loose stools. Abundant clear urination. Low energy, especially in morning. Prefers summer, dislikes winter. Treatment: warming foods, moxa, avoid cold. Gentle exercise.",constitution,yang|deficiency|cold|warming
constitution,"What is Yin Deficiency constitution?","Yin Deficiency constitution: Feels warm, dislikes heat. Dry skin/mouth. Night sweats. Flushed cheeks. Irritability. Prefers winter, dislikes summer. Thin body type. Treatment: cooling, moistening foods. Avoid overwork. No excessive exercise. Adequate rest. Nourish fluids.",constitution,yin|deficiency|dry|heat
constitution,"What is Phlegm-Dampness constitution?","Phlegm-Dampness constitution: Overweight tendency. Oily skin/hair. Chest/abdominal fullness. Sluggish. Heavy sensation. Loose stools. Prefers dry climate. Treatment: avoid dairy/sweets/greasy foods. Light exercise. SP9, ST40 points. Aromatic foods. Regular eating times.",constitution,phlegm|dampness|weight|heavy
constitution,"How to determine constitution type?","Constitution assessment: Observe body shape, skin, energy. Ask about temperature preferences. Check tongue and pulse. Review diet tendencies. Assess emotional patterns. Consider family history. Use standardized questionnaires. May be mixed constitution. Constitution can shift with treatment.",constitution,assessment|determine|diagnosis
astrology,"How do Chinese zodiac years affect health?","Zodiac health correlations: Rat/Pig (Water) - watch Kidneys/Bladder. Ox/Dragon/Dog/Goat (Earth) - Spleen/Stomach focus. Tiger/Rabbit (Wood) - Liver/Gallbladder attention. Snake/Horse (Fire) - Heart/Small Intestine care. Monkey/Rooster (Metal) - Lung/Large Intestine support.",astrology,zodiac|animals|organs|health
astrology,"What are the 60-year cycle considerations?","60-year cycle (甲子 Jia Zi): Combines 10 Stems and 12 Branches. Each year has unique energy combination. Current cycle began 1984. Understanding birth year stem-branch helps constitutional assessment. Annual energies can clash or harmonize with birth chart.",astrology,cycle|sixty|jiazi|years
astrology,"How do seasons affect treatment timing?","Seasonal treatment timing: Spring - treat Liver, open stagnation. Summer - treat Heart, clear Heat. Late Summer - treat Spleen, transform Dampness. Autumn - treat Lung, moisten dryness. Winter - treat Kidney, tonify Yang. Seasonal points vary effectiveness.",astrology,seasonal|timing|treatment|organs
astrology,"What is the Chinese Clock for treatment?","Chinese Clock timing: Each 2-hour period ruled by organ. Liver 1-3am, Lung 3-5am, LI 5-7am, ST 7-9am, SP 9-11am, HT 11am-1pm, SI 1-3pm, BL 3-5pm, KI 5-7pm, PC 7-9pm, TH 9-11pm, GB 11pm-1am. Treat organ during or opposite its time.",astrology,clock|chinese|hours|organs
astrology,"How does current year energy affect patients?","Annual energy impact: Each year has prevailing elemental energy. Can strengthen or weaken constitutional tendencies. 2024 (Wood Dragon) - strong Wood energy may aggravate Liver patterns. Adjust treatments accordingly. Monitor vulnerable patients more closely during challenging years.",astrology,annual|energy|year|impact
bazi,"What is BaZi analysis?","BaZi (八字 Four Pillars): Birth chart using year, month, day, hour pillars. Each pillar has Heavenly Stem and Earthly Branch. Reveals constitutional tendencies, strengths, weaknesses. Day Master (Day Stem) represents self. Analysis shows element balance and Ten Gods relationships.",bazi,fourpillars|birthchart|analysis
bazi,"How does Day Master affect constitution?","Day Master constitution: Wood DM - needs Liver support, flexible nature. Fire DM - Heart focus, expressive personality. Earth DM - Spleen center, grounding needed. Metal DM - Lung care, structure oriented. Water DM - Kidney attention, adaptable, creative. Treatment supports Day Master element.",bazi,daymaster|constitution|elements
bazi,"What are favorable and unfavorable elements?","Favorable elements (用神): Elements that balance the chart. If Day Master weak, favorable elements support it. If Day Master strong, favorable elements drain it. Treatment emphasizes favorable elements through diet, lifestyle, points, herbs. Unfavorable elements to minimize exposure.",bazi,favorable|elements|balance|yongshen
bazi,"How to use BaZi for treatment planning?","BaZi in treatment: Identify weak elements - tonify corresponding organs. Note element clashes - watch for related health issues. Favorable timing - treat during supportive hours/seasons. Career/relationship stress - may manifest as health issues. Constitutional treatment based on chart.",bazi,treatment|planning|elements|timing
bazi,"What are the Ten Gods in BaZi?","Ten Gods relationships: Friend (比肩) - support, competition. Rob Wealth (劫财) - taking, siblings. Eating God (食神) - creativity, relaxation. Hurting Officer (伤官) - rebellion, talent. Wealth (财) - money, father, wife. Officer (官) - career, authority, husband. Resource (印) - mother, knowledge, protection.",bazi,tengods|relationships|shishen
