Aspect,Details,Rationale/Notes
SEDATION - Patient breathing,Manipulate as patient EXHALES,"Exhale = Yin phase, sedating"
SEDATION - Caution,Can further weaken already deficient patients,Assess carefully before using
RETENTION - Duration,20-30 minutes standard,Research protocols use 30 minutes
RETENTION - Patient position,Supine (lying down) preferred for insomnia treatment,Promotes relaxation
RETENTION - Environment,"Quiet, dimmed lights, comfortable temperature",Therapeutic atmosphere
RETENTION - Re-stimulation,Can gently rotate needle once at 10-15 minute mark if effect weakening,Optional - not always necessary
RETENTION - Patient instruction,"Rest quietly, close eyes, breathe naturally",Allow treatment to work
RETENTION - Monitoring,Check on patient periodically - ensure comfort and safety,Professional responsibility
REMOVAL - Timing,After 20-30 minutes retention,Full treatment duration
REMOVAL - Technique,"Rotate counter-clockwise slightly, then withdraw smoothly in one motion",Exit same pathway as entry
REMOVAL - Speed,Relatively quick but controlled withdrawal,Minimize tissue trauma
REMOVAL - Patient breathing,Remove as patient EXHALES (for tonification),Complete the tonification cycle
REMOVAL - Immediate action,Press point with dry cotton ball for 3-5 seconds,Prevent bleeding and close the hole
REMOVAL - Check for bleeding,Light pressure - minimal to no bleeding expected,HT-7 is relatively safe point
DURING TREATMENT - Normal sensations,"Heaviness in arm, warmth, tingling, dull ache, drowsiness, relaxation",Therapeutic responses
DURING TREATMENT - Desired effect,"Patient feels calm, may become drowsy, breathing deepens",Indicates effective treatment
DURING TREATMENT - Abnormal sensations,"Sharp pain, shooting pain, numbness in entire hand",Stop treatment if these occur
DURING TREATMENT - If numbness occurs,Slightly withdraw needle 1-2mm and redirect if hitting nerve,Safety adjustment
SAFETY - Anatomy to avoid,"Ulnar nerve (passes near point), ulnar artery (radial to nerve)",Major structures nearby
SAFETY - Depth limit,Maximum 0.5 cun - deeper risks nerve/vessel damage,Critical safety parameter
SAFETY - Angle safety,Keep needle perpendicular or slightly toward elbow - avoid angling palmward,Directional safety
SAFETY - Contraindications,"Local infection, severe bleeding disorders (relative)",Standard acupuncture contraindications
SAFETY - Special populations,Elderly: use 0.2-0.3 cun only; Children: very gentle technique; Pregnant: safe point,Population-specific adjustments
SAFETY - Needle stick prevention,"Use sharps container immediately, never recap needles",Universal precautions
ADVERSE EVENTS - Fainting (most common),Vasovagal response - have patient lie down before treatment,Prevention: always treat supine for first session
ADVERSE EVENTS - Minor bleeding,Apply pressure with cotton ball for 30-60 seconds,Usually resolves quickly
ADVERSE EVENTS - Bruising,"May occur if small vessel punctured - benign, resolves in days",Reassure patient - cosmetic only
ADVERSE EVENTS - Pain,Sharp pain = nerve contact - withdraw slightly and redirect,Adjust immediately
ADVERSE EVENTS - Stuck needle,"Muscle spasm holding needle - massage around area, wait, rotate gently",Rare at HT-7 due to location
COMBINATION - With Anmian,Bilateral HT-7 + bilateral Anmian = powerful sleep protocol,Evidence-based insomnia combination
COMBINATION - With PC-6,"HT-7 + PC-6 (same arm or bilateral) = calms Shen, opens chest",For anxiety-driven insomnia
COMBINATION - With SP-6,"HT-7 + SP-6 bilateral = RCT-proven combination, highest confidence","Nourishes Qi-Blood, calms Shen"
COMBINATION - With KI-3,"HT-7 + KI-3 = Heart-Kidney communication, chronic insomnia",2021 RCT showed improved PSQI/ISI scores
COMBINATION - With GV-20,HT-7 bilateral + GV-20 = comprehensive mind-body approach,Brain regulation + Spirit calming
BILATERAL/UNILATERAL - For insomnia,Use BILATERAL HT-7 (both wrists) for stronger effect,Standard approach for sleep disorders
BILATERAL/UNILATERAL - Unilateral option,Can use left HT-7 only (closer to Heart) if patient sensitive,Alternative for sensitive patients
BILATERAL/UNILATERAL - Technique,"Needle both sides using same technique, depth, manipulation",Symmetrical treatment
FREQUENCY - Acute insomnia,3 times per week for 2-3 weeks,Intensive initial phase
FREQUENCY - Chronic insomnia,2 times per week for 4-6 weeks,Sustained treatment
FREQUENCY - Maintenance,1 time per week or bi-weekly,After improvement achieved
FREQUENCY - Total course,Minimum 10 sessions recommended,Evidence-based treatment course
CLINICAL TIP 1,Always locate point with patient's hand relaxed in neutral position,Accurate point location
CLINICAL TIP 2,"For very deficient patients, minimal needle manipulation is sufficient - just insert and retain",Less is more for Qi deficiency
CLINICAL TIP 3,"If patient has cold hands, warm the area first with moxa or hands",Improves Qi circulation
CLINICAL TIP 4,Patient should NOT feel anxious during treatment - reduce stimulation if nervous,Treatment atmosphere matters
CLINICAL TIP 5,Document the exact depth and manipulation used for consistency in follow-up treatments,Clinical record keeping
CLINICAL TIP 6,HT-7 effect accumulates - patient may not sleep better first night but improves over sessions,Set realistic expectations
CLINICAL TIP 7,Can teach patients self-acupressure at HT-7 for home practice between sessions,Patient empowerment
OUTCOMES - Immediate,"Feeling of calm, relaxation during and immediately after treatment",Session 1 response
OUTCOMES - Short-term (1-2 weeks),"Reduced sleep latency, easier to fall asleep, less anxiety at bedtime",Early improvements
OUTCOMES - Medium-term (4-6 weeks),"Improved sleep quality, fewer nighttime awakenings, better daytime energy",Sustained improvements
OUTCOMES - Long-term,"Normalized sleep patterns, reduced need for sleep medications, better stress resilience",Treatment goals
OUTCOMES - Measurement,Track with PSQI (Pittsburgh Sleep Quality Index) or ISI (Insomnia Severity Index),Objective assessment tools
