Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
How to treat postpartum constipation?,SJ6 key for constipation. ST25 for intestines. ST36 for Qi recovery. KI6 for moisture. CV6 for Qi.,"SJ6, ST25, ST36, KI6, CV6",Run Chang Wan; Ma Zi Ren Wan,Safe postpartum treatment
What is the treatment for stress-related digestive issues?,LR3 for Liver-Spleen disharmony. CV12 for Stomach. ST36 for Spleen. PC6 for stress. SP6 for overall.,"LR3, CV12, ST36, PC6, SP6",Xiao Yao San,Safe stress-digestion treatment during pregnancy
How to treat mouth ulcers?,ST44 (Neiting) clears Stomach heat. LI4 for face. CV23 for mouth. SP6 for Spleen Yin. HT8 for Heart fire.,"ST44, LI4, CV23, SP6, HT8",Dao Chi San; Huang Lian Jie Du Tang,LI4 contraindicated during pregnancy
What points help with dry mouth?,CV23 (Lianquan) for mouth. ST36 for Stomach fluids. KI6 for Yin. SP6 for overall Yin. CV24 local point.,"CV23, ST36, KI6, SP6, CV24",Sha Shen Mai Dong Tang,Safe Yin nourishing during pregnancy
How to treat excessive salivation?,CV23 for mouth. SP6 for Spleen. ST36 for Spleen transforming fluids. CV12 for middle jiao. Spleen dampness often cause.,"CV23, SP6, ST36, CV12",Liu Jun Zi Tang; Ping Wei San,Safe Spleen treatment during pregnancy
What is the treatment for bad breath?,CV23 for mouth. ST44 clears Stomach heat. CV12 for Stomach. LI4 for face. LR3 if Liver fire.,"CV23, ST44, CV12, LI4, LR3",Qing Wei San; Xie Huang San,LI4 contraindicated during pregnancy
How to treat tongue coating issues?,ST36 for Spleen function. CV12 for Stomach. SP6 for Spleen. Pattern-based treatment depending on coating type.,"ST36, CV12, SP6",Pattern-based formulas,Safe tongue treatment during pregnancy
What points help with throat clearing/globus?,CV22 (Tiantu) for throat. PC6 for chest. LR3 for Liver Qi. CV17 for chest. ST40 if phlegm.,"CV22, PC6, LR3, CV17, ST40",Ban Xia Hou Po Tang,Safe globus treatment during pregnancy
How to treat swollen gums?,ST44 clears Stomach heat. LI4 for face/gums. ST6 (Jiache) local. LR3 if Liver fire. SP6 if blood heat.,"ST44, LI4, ST6, LR3, SP6",Qing Wei San,LI4 contraindicated during pregnancy
What is the treatment for tooth grinding (bruxism)?,LR3 for Liver tension. GB34 for jaw muscles. ST6 (Jiache) for masseter. HT7 for stress. GV20 for calming.,"LR3, GB34, ST6, HT7, GV20",Xiao Yao San,Safe bruxism treatment during pregnancy
How to treat TMJ affecting digestion?,ST6 and ST7 for TMJ. GB34 for jaw. LR3 for Liver. CV12 for associated digestive issues. PC6 for overall.,"ST6, ST7, GB34, LR3, CV12, PC6",Xiao Yao San plus local treatment,Safe TMJ treatment during pregnancy
