Question_ID,Question,Answer,Acupuncture_Points,Pharmacopeia_Formula
Q024,What psychological traits are associated with 湿热质 (Shi Re) constitution?,"Psychological characteristics: Irritable, short-tempered, impatient","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q025,What psychological traits are associated with 血瘀质 (Xue Yu) constitution?,"Psychological characteristics: Irritable, forgetful, melancholic, unstable emotions","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q026,What psychological traits are associated with 气郁质 (Qi Yu) constitution?,"Psychological characteristics: Sensitive, emotionally fragile, worries easily, pessimistic, depression-prone","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q027,What psychological traits are associated with 特禀质 (Te Bing) constitution?,"Psychological characteristics: Anxious, nervous about health, hypervigilant","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q028,Which acupuncture points are most effective for regulating 平和质 (Ping He) constitution?,"Key acupuncture points include ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu), which help balance the constitutional pattern.","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q029,Which acupuncture points are most effective for regulating 气虚质 (Qi Xu) constitution?,"Key acupuncture points include ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan), which help balance the constitutional pattern.","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q030,Which acupuncture points are most effective for regulating 阳虚质 (Yang Xu) constitution?,"Key acupuncture points include GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi), which help balance the constitutional pattern.","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q031,Which acupuncture points are most effective for regulating 阴虚质 (Yin Xu) constitution?,"Key acupuncture points include KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan), which help balance the constitutional pattern.","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q032,Which acupuncture points are most effective for regulating 痰湿质 (Tan Shi) constitution?,"Key acupuncture points include ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao), which help balance the constitutional pattern.","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
Q033,Which acupuncture points are most effective for regulating 湿热质 (Shi Re) constitution?,"Key acupuncture points include SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong), which help balance the constitutional pattern.","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q034,Which acupuncture points are most effective for regulating 血瘀质 (Xue Yu) constitution?,"Key acupuncture points include SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao), which help balance the constitutional pattern.","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q035,Which acupuncture points are most effective for regulating 气郁质 (Qi Yu) constitution?,"Key acupuncture points include LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu), which help balance the constitutional pattern.","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q036,Which acupuncture points are most effective for regulating 特禀质 (Te Bing) constitution?,"Key acupuncture points include LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui), which help balance the constitutional pattern.","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q037,What herbal formulas are recommended for 平和质 (Ping He) constitution?,Primary formulas include: Generally no intervention needed; seasonal health maintenance formulas if needed,"ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q038,What herbal formulas are recommended for 气虚质 (Qi Xu) constitution?,"Primary formulas include: Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q039,What herbal formulas are recommended for 阳虚质 (Yang Xu) constitution?,"Primary formulas include: Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q040,What herbal formulas are recommended for 阴虚质 (Yin Xu) constitution?,"Primary formulas include: Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q041,What herbal formulas are recommended for 痰湿质 (Tan Shi) constitution?,"Primary formulas include: Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
Q042,What herbal formulas are recommended for 湿热质 (Shi Re) constitution?,"Primary formulas include: Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q043,What herbal formulas are recommended for 血瘀质 (Xue Yu) constitution?,"Primary formulas include: Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q044,What herbal formulas are recommended for 气郁质 (Qi Yu) constitution?,"Primary formulas include: Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q045,What herbal formulas are recommended for 特禀质 (Te Bing) constitution?,"Primary formulas include: Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q046,How do you distinguish 平和质 (Ping He) from other body constitutions?,"Key distinguishing features: Well-balanced qi, blood, yin and yang; healthy complexion; good energy; adaptable to environment; rarely falls ill Look for: Moderate build, rosy complexion, lustrous hair, good appetite and sleep","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q047,How do you distinguish 气虚质 (Qi Xu) from other body constitutions?,"Key distinguishing features: Fatigue, shortness of breath, weak voice, spontaneous sweating, prone to colds, poor immunity Look for: Pale complexion, muscle weakness, breathlessness on exertion, tongue pale with teeth marks","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q048,How do you distinguish 阳虚质 (Yang Xu) from other body constitutions?,"Key distinguishing features: Cold intolerance, cold limbs, preference for warm drinks, low energy, clear abundant urine Look for: Pale puffy face, cold extremities, loose stools, pale tongue with white coating","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q049,How do you distinguish 阴虚质 (Yin Xu) from other body constitutions?,"Key distinguishing features: Heat intolerance, dry mouth and throat, hot palms and soles, night sweats, dry skin Look for: Thin build, flushed cheeks, dry eyes, scanty dark urine, red tongue with little coating","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q050,How do you distinguish 痰湿质 (Tan Shi) from other body constitutions?,"Key distinguishing features: Overweight, heaviness in body and head, excessive phlegm, chest oppression, greasy sensation Look for: Obesity, oily face, sticky mouth, abdominal distention, thick greasy tongue coating","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
Q051,How do you distinguish 湿热质 (Shi Re) from other body constitutions?,"Key distinguishing features: Oily face, acne, bitter taste in mouth, body odor, yellow greasy urine, irritability Look for: Oily skin, prone to acne and boils, scanty dark urine, yellow greasy tongue coating","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q052,How do you distinguish 血瘀质 (Xue Yu) from other body constitutions?,"Key distinguishing features: Dull complexion, dark pigmentation, easy bruising, stabbing pains, rough dry skin Look for: Dark purple lips, spider veins, purple tongue with petechiae, dark circles under eyes","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q053,How do you distinguish 气郁质 (Qi Yu) from other body constitutions?,"Key distinguishing features: Depression, anxiety, chest tightness, frequent sighing, sensation of lump in throat, mood swings Look for: Thin build, worried facial expression, hypochondriac distention, irregular menstruation in women","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q054,How do you distinguish 特禀质 (Te Bing) from other body constitutions?,"Key distinguishing features: Allergies, asthma, urticaria, drug sensitivities, inherited conditions, immediate reactions to allergens Look for: Susceptible to sneezing, nasal congestion, skin rashes, wheezing when exposed to allergens","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q055,What is the treatment principle for managing 平和质 (Ping He) constitution?,"Treatment focuses on addressing Well-balanced qi, blood, yin and yang; healthy complexion; good energy; adaptable to environment; rarely falls ill using acupuncture at ST36 (Zusanli) and herbal therapy.","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q056,What is the treatment principle for managing 气虚质 (Qi Xu) constitution?,"Treatment focuses on addressing Fatigue, shortness of breath, weak voice, spontaneous sweating, prone to colds, poor immunity using acupuncture at ST36 (Zusanli) and herbal therapy.","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q057,What is the treatment principle for managing 阳虚质 (Yang Xu) constitution?,"Treatment focuses on addressing Cold intolerance, cold limbs, preference for warm drinks, low energy, clear abundant urine using acupuncture at GV4 (Mingmen) and herbal therapy.","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q058,What is the treatment principle for managing 阴虚质 (Yin Xu) constitution?,"Treatment focuses on addressing Heat intolerance, dry mouth and throat, hot palms and soles, night sweats, dry skin using acupuncture at KI3 (Taixi) and herbal therapy.","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q059,What is the treatment principle for managing 痰湿质 (Tan Shi) constitution?,"Treatment focuses on addressing Overweight, heaviness in body and head, excessive phlegm, chest oppression, greasy sensation using acupuncture at ST40 (Fenglong) and herbal therapy.","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
Q060,What is the treatment principle for managing 湿热质 (Shi Re) constitution?,"Treatment focuses on addressing Oily face, acne, bitter taste in mouth, body odor, yellow greasy urine, irritability using acupuncture at SP9 (Yinlingquan) and herbal therapy.","SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), LR3 (Taichong)","Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction), Yin Chen Hao Tang (Artemisia Capillaris Decoction)"
Q061,What is the treatment principle for managing 血瘀质 (Xue Yu) constitution?,"Treatment focuses on addressing Dull complexion, dark pigmentation, easy bruising, stabbing pains, rough dry skin using acupuncture at SP10 (Xuehai) and herbal therapy.","SP10 (Xuehai), BL17 (Geshu), LI4 (Hegu), LR3 (Taichong), SP6 (Sanyinjiao)","Xue Fu Zhu Yu Tang (Drive Out Stasis from Blood Mansion), Tao Hong Si Wu Tang (Persica & Carthamus Four Substance)"
Q062,What is the treatment principle for managing 气郁质 (Qi Yu) constitution?,"Treatment focuses on addressing Depression, anxiety, chest tightness, frequent sighing, sensation of lump in throat, mood swings using acupuncture at LR3 (Taichong) and herbal therapy.","LR3 (Taichong), PC6 (Neiguan), GB34 (Yanglingquan), CV17 (Shanzhong), LI4 (Hegu)","Xiao Yao San (Free and Easy Wanderer), Chai Hu Shu Gan San (Bupleurum Soothe Liver Powder)"
Q063,What is the treatment principle for managing 特禀质 (Te Bing) constitution?,"Treatment focuses on addressing Allergies, asthma, urticaria, drug sensitivities, inherited conditions, immediate reactions to allergens using acupuncture at LI4 (Hegu) and herbal therapy.","LI4 (Hegu), LI11 (Quchi), ST36 (Zusanli), LU7 (Lieque), GV14 (Dazhui)","Yu Ping Feng San (Jade Windscreen Powder), Xiao Qing Long Tang (Minor Blue-Green Dragon)"
Q064,What lifestyle modifications are recommended for 平和质 (Ping He) constitution?,"Maintain regular exercise, balanced diet, adequate sleep, and stress management to preserve optimal health","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), LI4 (Hegu)",Generally no intervention needed; seasonal health maintenance formulas if needed
Q065,What lifestyle modifications are recommended for 气虚质 (Qi Xu) constitution?,"Avoid overexertion, practice gentle exercises like Tai Chi, consume warming foods, get adequate rest","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL21 (Weishu), CV12 (Zhongwan)","Si Jun Zi Tang (Four Gentlemen Decoction), Bu Zhong Yi Qi Tang (Tonify Middle & Augment Qi)"
Q066,What lifestyle modifications are recommended for 阳虚质 (Yang Xu) constitution?,"Keep warm, avoid cold foods/drinks, practice moxibustion, eat warming foods like ginger and lamb","GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli), KI3 (Taixi)","Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill), You Gui Wan (Restore Right Kidney Pill)"
Q067,What lifestyle modifications are recommended for 阴虚质 (Yin Xu) constitution?,"Avoid spicy foods, stay hydrated, practice yin yoga, consume cooling foods, avoid overheating","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill), Zhi Bai Di Huang Wan (Anemarrhena & Phellodendron Rehmannia Pill)"
Q068,What lifestyle modifications are recommended for 痰湿质 (Tan Shi) constitution?,"Reduce dairy and greasy foods, exercise regularly, avoid dampness, eat light easily-digestible foods","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao)","Er Chen Tang (Two Aged Decoction), Wen Dan Tang (Warm Gallbladder Decoction)"
