Formula Name,Q&A (Questions and Answers),TCM Trigger Acupuncture Points,Pharmacopeia
Xiang Sha Liu Jun Zi Tang (Aucklandia and Amomum Six Gentlemen Decoction),"Q: What does this formula address? A: Spleen Qi deficiency with Qi stagnation causing poor appetite, bloating, nausea. Q: How is it modified? A: Adds Mu Xiang and Sha Ren to Liu Jun Zi Tang to regulate Qi and prevent stagnation from tonics.","CV12, ST36, PC6, SP4, BL20, LR13","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Gui Zhi Fu Ling Wan (Cinnamon Twig and Poria Pill),"Q: What condition does this treat? A: Blood stasis in Lower Jiao with abdominal masses, dysmenorrhea, purple tongue with dark spots. Q: What does it do? A: Invigorates Blood, dispels stasis, reduces masses.","SP10, SP6, LR3, ST29, CV3, BL17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Tao Hong Si Wu Tang (Persica and Carthamus Four Substances Decoction),"Q: What pattern is this for? A: Blood deficiency with Blood stasis causing irregular menses, dysmenorrhea, amenorrhea. Q: What is its composition? A: Si Wu Tang plus Tao Ren and Hong Hua to invigorate Blood more strongly.","SP10, SP6, LR3, BL17, ST29, CV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xue Fu Zhu Yu Tang (Drive Out Stasis from the Mansion of Blood Decoction),"Q: What does this treat? A: Blood stasis in chest with chest pain, palpitations, chronic headache, hiccups, insomnia. Q: Where is the 'Blood Mansion'? A: Refers to the chest/thorax where Heart governs Blood.","PC6, BL17, CV17, LR3, SP10, HT7","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Shao Fu Zhu Yu Tang (Drive Out Blood Stasis from the Lower Abdomen Decoction),"Q: What syndrome is indicated? A: Cold-type Blood stasis in Lower Jiao with dysmenorrhea, abdominal masses, cold lower abdomen. Q: What is the mechanism? A: Warms channels, invigorates Blood, dispels stasis, alleviates pain.","SP10, SP6, CV3, ST29, LR3, SP8","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Bu Yang Huan Wu Tang (Tonify the Yang to Restore Five[-Tenths] Decoction),"Q: What does this formula treat? A: Sequelae of stroke with hemiplegia, facial paralysis, slurred speech, deviation of mouth and eye due to Qi deficiency and Blood stasis. Q: Why 'Five-Tenths'? A: Refers to restoring five-tenths of normal Yang Qi function.","ST36, GB34, LI4, LI11, LR3, BL17, GV20","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Dang Gui Si Ni Tang (Tangkuei Decoction for Frigid Extremities),"Q: What pattern does this address? A: Blood deficiency with Cold blocking channels causing cold hands and feet, pain in extremities. Q: What does it do? A: Warms channels, disperses Cold, nourishes Blood, unblocks vessels.","SP6, ST36, LR3, KI3, LI4, CV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Si Wu Tang (Four Substances Decoction),"Q: What is this fundamental formula for? A: Blood deficiency with pale complexion, dizziness, irregular menses, dry skin, pale tongue. Q: Why is it so important? A: Foundation formula for nourishing Blood, basis for many other formulas.","SP6, BL17, BL20, ST36, LR3, CV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Dang Gui Bu Xue Tang (Tangkuei Decoction to Tonify the Blood),"Q: What condition does this treat? A: Qi and Blood deficiency following blood loss with fever, thirst, red face, large but empty pulse. Q: What is unique about it? A: Uses 5:1 ratio of Huang Qi to Dang Gui, generating Blood by tonifying Qi.","ST36, SP6, LI4, CV4, BL20, BL17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Sheng Mai San (Generate the Pulse Powder),"Q: What does this formula treat? A: Qi and Yin deficiency with profuse sweating, shortness of breath, thirst, dry mouth, weak pulse. Q: What are the three ingredients? A: Ren Shen, Mai Men Dong, Wu Wei Zi to tonify Qi, generate fluids, preserve Yin.","LU9, HT7, PC6, LU5, BL13, CV17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Mai Men Dong Tang (Ophiopogonis Decoction),"Q: What pattern is this for? A: Lung and Stomach Yin deficiency with dry cough, scanty sticky sputum, dry throat, poor appetite. Q: What is the mechanism? A: Nourishes Lung and Stomach Yin, descends rebellious Qi, stops cough.","LU5, LU9, ST36, CV12, KI6, LU1","Chinese Pharmacopoeia 2020 Edition, Vol. I"
"Zhi Bai Di Huang Wan (Anemarrhena, Phellodendron, and Rehmannia Pill)","Q: What syndrome does this address? A: Kidney Yin deficiency with Empty Fire causing night sweats, hot flashes, nocturnal emission, tinnitus. Q: How is it modified? A: Liu Wei Di Huang Wan plus Zhi Mu and Huang Bai to clear deficiency Fire.","KI3, KI6, KI2, BL23, SP6, LR3, CV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Qing Hao Bie Jia Tang (Artemisia Annua and Soft-Shelled Turtle Shell Decoction),"Q: What does this treat? A: Late-stage febrile disease with Yin deficiency and residual Heat causing night fever, no sweating. Q: What is the action? A: Nourishes Yin, clears residual Heat from deeper levels.","KI6, LI11, PC5, SP6, LU10, GV14","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Yu Ping Feng San (Jade Windscreen Powder),"Q: What condition is this for? A: Protective Qi (Wei Qi) deficiency with spontaneous sweating, recurrent colds, aversion to wind. Q: How does it work? A: Tonifies Qi, stabilizes exterior, prevents invasion of external pathogens.","LU9, LI4, ST36, BL13, KI7, CV17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
"Shen Ling Bai Zhu San (Ginseng, Poria, and Atractylodis Macrocephalae Powder)","Q: What pattern does this treat? A: Spleen Qi deficiency with Dampness causing loose stools, poor appetite, fatigue, abdominal distention. Q: What does it do? A: Tonifies Spleen Qi, resolves Dampness, stops diarrhea.","ST36, SP6, SP9, CV12, BL20, BL21","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ping Wei San (Calm the Stomach Powder),"Q: What syndrome is indicated? A: Dampness obstructing Middle Jiao with epigastric fullness, poor appetite, heavy limbs, thick tongue coating. Q: What is the mechanism? A: Dries Dampness, strengthens Spleen, moves Qi.","CV12, ST36, PC6, SP9, SP6, BL20","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Wu Ling San (Five Ingredient Powder with Poria),"Q: What does this formula treat? A: Water accumulation with edema, urinary difficulty, thirst, possibly diarrhea or vomiting. Q: What is the action? A: Promotes urination, drains Dampness, warms Yang, transforms Qi.","SP9, CV9, BL22, BL28, ST28, KI7","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Zhu Ling Tang (Polyporus Decoction),"Q: What condition does this address? A: Heat and Dampness in Lower Jiao with difficult urination, thirst, fever, irritability. Q: How does it work? A: Promotes urination, clears Heat, nourishes Yin.","SP9, CV3, BL28, KI6, SP6, CV9","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ba Zheng San (Eight Herb Powder for Rectification),"Q: What pattern is this for? A: Damp-Heat in Bladder with painful, difficult urination, dark urine, urgency, burning sensation. Q: What does it do? A: Clears Heat, promotes urination, drains Dampness from Lower Jiao.","CV3, BL28, SP9, SP6, LR8, KI2","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Long Dan Xie Gan Tang (Gentian Drain the Liver Decoction),"Q: What syndrome does this treat? A: Liver-Gallbladder Damp-Heat with irritability, red eyes, bitter taste, hypochondriac pain, yellow vaginal discharge, burning urination. Q: What is the mechanism? A: Drains Liver-Gallbladder Fire, clears Damp-Heat from Lower Jiao.","LR2, GB34, LR5, SP9, BL18, BL19, LR8","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Gan Mao Ling (Common Cold Effective Remedy),"Q: What does this modern formula treat? A: Early-stage common cold with fever, sore throat, headache, body aches from Wind-Heat or Wind-Cold. Q: What makes it popular? A: Broad-spectrum antiviral effects, convenient patent pill form, rapid relief.","LI4, LI11, GV14, LU7, SJ5, GB20",Modern Chinese Patent Medicine Formulary
Yin Qiao Jie Du Pian (Honeysuckle and Forsythia Antiphlogistic Tablet),"Q: What is this patent medicine for? A: Wind-Heat pattern with fever, sore throat, thirst, early-stage influenza or upper respiratory infection. Q: How is it used? A: Convenient tablet form of classical Yin Qiao San formula.","LI4, LI11, LU7, LU10, SJ5, GV14","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Zheng Qi Tian Xiang (Upright Qi Celestial Fragrance),"Q: What condition does this treat? A: Wei Qi deficiency with frequent colds, allergies, weakened immunity. Q: What is the action? A: Modern immune-boosting formula, tonifies Defensive Qi, strengthens resistance.","LU9, LI4, ST36, BL13, CV17, SP6",Modern Chinese Patent Medicine Formulary
Xiao Huo Luo Dan (Minor Invigorate the Collaterals Special Pill),"Q: What pattern does this address? A: Wind-Cold-Damp Bi syndrome with stubborn joint pain, numbness, difficulty moving. Q: What does it do? A: Invigorates channels, dispels Wind-Cold-Damp, alleviates pain, unblocks collaterals.","GB34, ST36, LI4, LI11, SP9, BL40","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Du Huo Ji Sheng Tang (Angelica Pubescens and Sangjisheng Decoction),"Q: What syndrome is this for? A: Liver-Kidney deficiency with Wind-Cold-Damp causing chronic lower back and knee pain, stiffness. Q: What is the mechanism? A: Dispels Wind-Damp, tonifies Liver and Kidney, strengthens sinews and bones.","BL23, GB34, BL40, KI3, SP6, GV3, ST36","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Shu Gan Wan (Soothe the Liver Pill),"Q: What does this patent formula treat? A: Liver Qi stagnation with hypochondriac pain, irritability, belching, abdominal distention, irregular menses. Q: What is the action? A: Soothes Liver, regulates Qi, alleviates pain, modern convenient pill form.","LR3, LR14, GB34, PC6, CV17, ST36",Modern Chinese Patent Medicine Formulary
Xiao Yao Wan (Free and Easy Wanderer Pill),"Q: What is this patent medicine for? A: Liver Qi stagnation with Spleen deficiency causing mood swings, breast tenderness, irregular periods, fatigue. Q: How is it used? A: Patent pill form of classical Xiao Yao San, very popular for women's health.","LR3, LR14, GB34, ST36, SP6, PC6, CV17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Jia Wei Xiao Yao Wan (Augmented Free and Easy Wanderer Pill),"Q: What condition does this treat? A: Liver Qi stagnation transforming into Heat with irritability, red eyes, headache, bitter taste, irregular menses. Q: How is it modified? A: Adds Mu Dan Pi and Zhi Zi to Xiao Yao Wan to clear Heat.","LR2, LR14, GB34, PC6, ST36, SP6, LR3","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Chai Hu Shu Gan San (Bupleurum Soothe the Liver Powder),"Q: What pattern is indicated? A: Liver Qi stagnation with hypochondriac and chest pain, irritability, belching, abdominal distention. Q: What does it do? A: Soothes Liver, regulates Qi, alleviates pain, resolves stagnation.","LR3, LR14, GB34, PC6, CV17, ST36","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill to Tonify the Heart),"Q: What syndrome does this address? A: Heart and Kidney Yin deficiency with insomnia, palpitations, anxiety, poor memory, nocturnal emission. Q: What is the mechanism? A: Nourishes Heart and Kidney Yin, calms Spirit, improves cognition.","HT7, KI3, KI6, PC6, CV4, CV17, BL15","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Suan Zao Ren Tang (Sour Jujube Decoction),"Q: What does this treat? A: Liver Blood deficiency with insomnia, irritability, palpitations, night sweats, dizziness. Q: What is the chief herb? A: Suan Zao Ren (Sour Jujube Seed) to nourish Heart and Liver, calm Spirit.","HT7, SP6, PC6, LR3, BL15, BL18","Chinese Pharmacopoeia 2020 Edition, Vol. I"
An Shen Bu Xin Wan (Calm the Spirit and Tonify the Heart Pill),"Q: What is this modern formula for? A: Heart-Spleen deficiency with insomnia, anxiety, palpitations, poor concentration, fatigue. Q: What does it do? A: Modern patent medicine to nourish Heart, tonify Spleen, calm Spirit.","HT7, SP6, PC6, CV12, ST36, BL15, BL20",Modern Chinese Patent Medicine Formulary
Huang Lian E Jiao Tang (Coptis and Ass-Hide Gelatin Decoction),"Q: What pattern is this for? A: Heart and Kidney Yin deficiency with Heart Fire causing insomnia, irritability, dry mouth, palpitations. Q: How does it work? A: Nourishes Yin, clears Heart Fire, calms Spirit, connects Heart and Kidney.","HT7, HT8, KI6, PC6, CV4, BL15","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Bao He Wan (Preserve Harmony Pill),"Q: What condition does this treat? A: Food stagnation with epigastric fullness, belching, acid regurgitation, nausea, diarrhea with foul odor. Q: What is the action? A: Reduces food stagnation, harmonizes Stomach, promotes digestion.","CV12, ST36, PC6, ST44, CV10, ST21","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xiang Sha Yang Wei Wan (Aucklandia and Amomum Nourish the Stomach Pill),"Q: What syndrome is indicated? A: Spleen-Stomach weakness with poor appetite, epigastric pain, bloating, acid reflux. Q: What does it do? A: Modern patent pill to warm Middle, regulate Qi, strengthen digestion.","CV12, ST36, PC6, BL20, BL21, CV6",Modern Chinese Patent Medicine Formulary
Shen Qu Cha (Medicated Leaven Tea),"Q: What does this treat? A: Simple food stagnation with fullness, poor appetite, bloating after eating. Q: What is Shen Qu? A: Fermented wheat preparation with herbs, aids digestion of grains and starches.","CV12, ST36, PC6, ST44, CV10","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Huo Xiang Zheng Qi Wan (Agastache Rectify the Qi Pill),"Q: What is this patent medicine for? A: External Wind-Cold with internal Dampness causing nausea, vomiting, diarrhea, headache, gastric flu. Q: Why is it popular? A: Convenient patent form of classical formula, effective for summer ailments.","CV12, ST36, PC6, SP9, SP6, ST25, LI4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xiang Lian Wan (Aucklandia and Coptis Pill),"Q: What pattern does this address? A: Damp-Heat dysentery with abdominal pain, tenesmus, diarrhea with blood and pus, burning anus. Q: What is the mechanism? A: Clears Heat, resolves toxicity, dries Dampness, stops dysentery.","ST25, ST37, LI11, SP9, CV6, LR8","Chinese Pharmacopoeia 2020 Edition, Vol. I"
"Ge Gen Qin Lian Tang (Kudzu, Scutellaria, and Coptis Decoction)","Q: What syndrome is this for? A: Heat in Yang Ming and Shao Yang with fever, irritability, thirst, diarrhea with foul odor. Q: What does it do? A: Clears Heat, resolves toxicity, stops diarrhea, alleviates irritability.","ST25, ST37, ST44, LI11, LR2, SP9","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Si Shen Wan (Four Spirits Pill),"Q: What condition does this treat? A: Spleen-Kidney Yang deficiency with chronic diarrhea at dawn (cock-crow diarrhea), cold abdomen, poor appetite. Q: What is the mechanism? A: Warms and tonifies Spleen and Kidney Yang, stops diarrhea, consolidates.","CV4, ST25, BL20, BL23, ST36, CV6, GV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Tong Xie Yao Fang (Important Formula for Painful Diarrhea),"Q: What pattern is indicated? A: Liver Qi invading Spleen with abdominal pain and diarrhea, pain relieved after bowel movement. Q: What does it do? A: Tonifies Spleen, soothes Liver, alleviates pain, stops diarrhea.","ST25, ST36, LR3, SP6, BL20, BL18","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Zhen Ren Yang Zang Tang (True Man's Decoction to Nourish the Organs),"Q: What syndrome does this address? A: Spleen-Kidney Yang deficiency with chronic diarrhea or dysentery, prolapse, cold limbs. Q: What is the action? A: Strongly warms and tonifies, consolidates intestines, stops chronic diarrhea.","CV4, ST25, BL20, BL23, ST36, GV4, CV6","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ma Zi Ren Wan (Cannabis Seed Pill),"Q: What does this treat? A: Intestinal dryness with constipation, dry hard stools, frequent urination, dizziness. Q: How does it work? A: Moistens intestines, unblocks bowels, nourishes fluids, gently purges.","ST25, ST37, SJ6, KI6, SP15, CV6","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ji Chuan Jian (Benefit the River Decoction),"Q: What condition is this for? A: Kidney Yang deficiency constipation with cold limbs, lower back soreness, clear copious urination, chronic constipation in elderly. Q: What does it do? A: Warms Kidney Yang, moistens intestines, promotes bowel movement.","BL23, GV4, CV6, ST25, SJ6, KI3","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Run Chang Wan (Moisten the Intestines Pill),"Q: What pattern does this treat? A: Blood deficiency with intestinal dryness causing constipation, dry skin, pale complexion. Q: What is the mechanism? A: Modern patent pill to nourish Blood, moisten intestines, promote defecation.","ST25, ST37, SJ6, SP6, BL17, CV6",Modern Chinese Patent Medicine Formulary
Da Cheng Qi Tang (Major Order the Qi Decoction),"Q: What syndrome is indicated? A: Yang Ming organ excess with high fever, profuse sweating, thirst, constipation, abdominal fullness and pain. Q: What does it do? A: Vigorously purges Heat accumulation, preserves fluids, eliminates stagnation.","ST25, ST37, ST44, LI11, SJ6, ST39","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xiao Cheng Qi Tang (Minor Order the Qi Decoction),"Q: What does this treat? A: Yang Ming organ excess but milder than Da Cheng Qi Tang pattern, with less abdominal fullness. Q: How is it different? A: Milder purgative action, omits Mang Xiao (Glauber's Salt).","ST25, ST37, ST44, LI11, SJ6","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Tiao Wei Cheng Qi Tang (Regulate the Stomach and Order the Qi Decoction),"Q: What pattern is this for? A: Early Yang Ming stage with Heat in Stomach, thirst, slight constipation, no severe abdominal fullness. Q: What is the action? A: Mildly purges Heat, clears Stomach, generates fluids.","ST25, ST44, LI11, CV12, ST36","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Fang Feng Tong Sheng San (Ledebouriella Sagely Unblock Powder),"Q: What syndrome does this address? A: Both exterior and interior excess with fever, constipation, dark urine, skin eruptions, obesity. Q: What does it do? A: Releases exterior, drains interior, clears Heat from both surface and interior.","LI4, LI11, ST25, ST44, GB31, SP10, SJ5","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Qing Fei Tang (Clear the Lungs Decoction),"Q: What does this treat? A: Lung Heat with cough, yellow thick sputum, chest pain, thirst, fever. Q: What is the mechanism? A: Clears Lung Heat, transforms phlegm, stops cough, modern formula.","LU5, LU10, LI11, ST40, LU1, BL13",Modern Chinese Patent Medicine Formulary
Qing Qi Hua Tan Wan (Clear the Qi and Transform Phlegm Pill),"Q: What pattern is indicated? A: Phlegm-Heat in Lungs with cough, sticky yellow sputum, chest oppression, nausea. Q: What does it do? A: Clears Lung Heat, transforms phlegm, descends Qi, stops cough.","LU5, ST40, CV17, LI11, LU1, PC6","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ban Xia Hou Po Tang (Pinellia and Magnolia Bark Decoction),"Q: What syndrome does this treat? A: Phlegm and Qi stagnation in throat (Plum-Pit Qi) with sensation of obstruction, anxiety, nausea. Q: What is the mechanism? A: Moves Qi, transforms phlegm, descends rebellious Qi, calms Spirit.","PC6, CV17, ST40, LU7, CV12, LR3","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Su Zi Jiang Qi Tang (Perilla Fruit Descend the Qi Decoction),"Q: What condition does this address? A: Phlegm-Cold in Lungs with upper excess and lower deficiency, cough, wheezing, copious white sputum. Q: What does it do? A: Descends Qi, transforms phlegm, stops cough and wheezing, warms Lungs.","LU5, CV17, ST40, BL13, KI3, CV6","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ding Chuan Tang (Arrest Wheezing Decoction),"Q: What pattern is this for? A: Wind-Cold with underlying Heat causing acute asthma attack with wheezing, cough, yellow-white sputum. Q: What is the action? A: Stops wheezing, transforms phlegm, clears Heat, releases exterior.","LU7, LU5, CV17, ST40, BL13, LI4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
