Western/Common Language Symptom,TCM Pattern Name,TCM Pattern Description,Key TCM Terms Used,Clinical Notes
"Heaviness in body, hard to move",Shi Kun or Tan Shi Nei Zu,Dampness Encumbering (湿困) or Phlegm-Dampness internally obstructing (痰湿内阻),"Shen Ti Kun Zhong (身体困重 body heavy and encumbered), Pi Xu Sheng Shi (脾虚生湿 Spleen deficiency generating dampness)",Spleen weakness from grief fails to transform dampness. Shi (dampness) creates heaviness sensation.
Feeling cold all the time,Yang Xu - Fei Shen Yang Xu,Yang deficiency (阳虚) - Lung-Kidney Yang deficiency (肺肾阳虚),"Wei Han (畏寒 aversion to cold), Shou Zu Bu Wen (手足不温 hands feet not warm), Yang Qi Bu Zu (阳气不足)",Prolonged grief depletes Yang. Shang Han (internal cold) from Yang unable to warm body.
"Can't fall asleep, mind racing",Xin Shen Bu Ning - Bu Mei,Heart-Spirit not peaceful - Insomnia (不寐),"Ru Shui Kun Nan (入睡困难 difficulty entering sleep), Xin Fan (心烦 Heart vexation), Shen Bu Shou She (神不守舍 Spirit not housed)",Shen unable to return to its residence (Heart). May be Xin Huo (Heart Fire) or Xin Pi Xu (Heart-Spleen deficiency).
Waking frequently at night,Xin Pi Liang Xu or Xin Yin Xu,Heart-Spleen dual deficiency (心脾两虚) or Heart Yin deficiency (心阴虚),"Shui Mian Qian or Duo Meng (多梦 many dreams), Ye Jian Yi Xing (夜间易醒 easily wake at night)","Cannot maintain sleep. Qi/Blood deficiency (pale tongue) vs Yin deficiency (red tongue, night sweats)."
Vivid disturbing dreams,Gan Huo Rao Shen or Xin Huo Wang,Liver Fire harassing Spirit (肝火扰神) or Heart Fire blazing (心火旺),"Meng Yan Duo (梦魇多 many nightmares), Shen Bu An (神不安 Spirit not peaceful), Huo Re Rao Shen (火热扰神)",Constraint transforming to Fire. Dreams = Shen disturbed by heat. Red tongue tip confirms.
"No appetite, don't want to eat",Pi Wei Qi Xu or Gan Pi Bu He,Spleen-Stomach Qi deficiency (脾胃气虚) or Liver-Spleen disharmony (肝脾不和),"Na Chai (纳呆 poor appetite), Shi Yu Bu Zhen (食欲不振 appetite not aroused), Pi Wei Xu Ruo (脾胃虚弱)",Grief depletes Spleen or Liver invades Spleen. Na (appetite) controlled by Spleen.
"Bloating after eating, feeling full",Pi Xu Shi Zhi or Gan Yu Pi Xu,Spleen deficiency food stagnation (脾虚食滞) or Liver constraint Spleen deficiency (肝郁脾虚),"Fu Zhang (腹胀 abdominal distension), Shi Hou Zhang Man (食后胀满 fullness after eating), Pi Yun Bu Jian (脾运不健)",Spleen transportation function impaired. Combined with Liver constraint = Xiao Yao San pattern.
"Loose stools, diarrhea",Pi Xu Xie Xie or Pi Shen Yang Xu,Spleen deficiency diarrhea (脾虚泄泻) or Spleen-Kidney Yang deficiency (脾肾阳虚),"Da Bian Tang Xie (大便溏泻 loose stools), Qing Gu Bu Shi (清谷不实 undigested food), Pi Xu Shi Sheng (脾虚湿盛)",Pi Xu Sheng Shi (Spleen deficiency generates dampness). Chronic = Kidney Yang also involved.
"Overthinking, can't stop worrying",Si Lu Guo Du - Pi Qi Xu,Excessive thinking (思虑过度) damaging Spleen Qi,"Si (思 thinking/worry - Spleen emotion), You Si (忧思 worry-thinking), Si Ze Qi Jie (思则气结 thinking causes Qi binding)",Si damages Spleen. Rumination = Spleen's Yi (intention) function disrupted. Classic Si Shang Pi (thinking harms Spleen).
"Headache, head pressure",Gan Yang Shang Kang or Qi Xue Bu Zu,Liver Yang rising (肝阳上亢) or Qi-Blood insufficient (气血不足),"Tou Tong (头痛 headache), Tou Zhang (头胀 head distension), Qing Yang Bu Sheng (清阳不升 clear Yang not ascending)","Excess type (Liver Yang, wiry pulse) vs deficiency (Qi-Blood Xu, weak pulse). Location matters for diagnosis."
Chest pain that's sharp and fixed,Xin Xue Yu Zu or Xue Fu Yu Xue,Heart Blood stasis (心血瘀阻) or Blood stasis in chest (血府瘀血),"Xiong Tong (胸痛 chest pain), Ci Tong (刺痛 stabbing pain), Tong Chu Gu Ding (痛处固定 pain location fixed)","Long-term grief Qi stagnation → Blood stasis. Purple tongue, choppy pulse. Xue Fu Zhu Yu Tang pattern."
"Body aches, muscle pain",Qi Xue Bu Zu or Qi Zhi Xue Yu,Qi-Blood insufficient (气血不足) or Qi stagnation Blood stasis (气滞血瘀),"Zhou Shen Suan Tong (周身酸痛 generalized soreness pain), Bu Rong Bu Tong (不荣不通 lack of nourishment, lack of flow cause pain)","Bu Rong Ze Tong (deficiency pain - dull, likes pressure) vs Bu Tong Ze Tong (excess pain - sharp, dislikes pressure)."
"Catching every cold, always sick",Wei Qi Bu Gu or Fei Wei Qi Xu,Defensive Qi not consolidating (卫气不固) or Lung-Defensive Qi deficiency (肺卫气虚),"Yi Gan Mao (易感冒 easily catch cold), Wai Gan Pin Fa (外感频发 frequent exterior invasions), Zheng Qi Bu Zu (正气不足)",Wei Qi produced by Lung. Deficiency = porous exterior. Biao Xu (exterior deficiency). Yu Ping Feng San pattern.
Sweating during the day,Zi Han - Qi Xu,Spontaneous sweating (自汗) - Qi deficiency,"Bai Tian Chu Han (白天出汗 daytime sweating), Wei Qi Bu Mi (卫气不密 defensive Qi not secure), Qi Xu Bu Gu (气虚不固)",Vs night sweats (Dao Han 盗汗) = Yin deficiency. Spontaneous daytime = Yang/Qi deficiency.
"Lower back pain, knee weakness",Shen Qi Xu or Shen Jing Bu Zu,Kidney Qi deficiency (肾气虚) or Kidney Essence insufficient (肾精不足),"Yao Xi Suan Ruan (腰膝酸软 lumbar-knee soreness weakness), Shen Xu Yao Tong (肾虚腰痛 Kidney deficiency lower back pain)",Kidneys govern lower back and knees. Prolonged grief depletes pre-heaven essence (Xian Tian Zhi Jing 先天之精).
"Tinnitus, ringing in ears",Shen Jing Kui Xu or Shen Xu,Kidney Essence depletion (肾精亏虚) or Kidney deficiency (肾虚),"Er Ming (耳鸣 tinnitus), Er Long (耳聋 deafness), Shen Kai Qiao Yu Er (肾开窍于耳 Kidneys open to ears)",Kidneys open to ears. Essence deficiency = tinnitus. High pitch = Xu; low pitch = Shi.
"Feeling fearful, loss of courage",Shen Qi Bu Zu or Xin Dan Qi Xu,Kidney Qi insufficient (肾气不足) or Heart-Gallbladder Qi deficiency (心胆气虚),"Kong (恐 fear - Kidney emotion), Dan Qie (胆怯 timidity), Kong Ze Qi Xia (恐则气下 fear makes Qi descend)",Fear = Kidney emotion. Prolonged grief transforms to fear as Kidneys deplete. Kong Shang Shen (fear damages Kidneys).
Symptoms worse with stress/emotions,Qing Zhi Yin Su - pattern varies,Emotional factors (情志因素) - pattern depends on which organ/channel affected,"Qing Zhi Bu Sui (情志不遂 emotions not flowing), Qi Ji Shi Tiao (气机失调 Qi mechanism out of balance)","Emotions as etiology. Assess which of Qi Nu You Si Bei Kong Jing (anger, worry, sadness, fear, shock) dominates."
All symptoms but tests normal,Bu Ding Zhuan - Xu Shi Cuo Za,Unfixed Complaint (不定诉) - Deficiency-Excess complex (虚实错杂),"Zheng Zhuang Duo Bian (症状多变 symptoms changeable), Gen Ben Zai Qi Xue (root in Qi-Blood), Biao Xian Zai Qing Zhi (manifests in emotions)",Modern = functional disorder. TCM = Qi mechanism disorder with multi-organ involvement. Requires pattern differentiation.
