Question,Answer,Points,Pharmacopeia,Safety_Notes
What is the treatment for low AMH (anti-Mullerian hormone)?,"Low AMH indicates reduced ovarian reserve. Points: KI3 KI6 for Kidney Yin and essence. BL23 and GV4 for Kidney. BL52 (Zhishi) for essence storage. CV4 for Chong Mai. ST36 for Qi and blood production. SP6 for blood. LR3 gently to reduce stress impact on hormones. Focus on quality over quantity. Manage expectations - treatment supports remaining follicles.","KI3, KI6, BL23, GV4, BL52, CV4, ST36, SP6, LR3",Wu Zi Yan Zong Wan; Gui Shao Di Huang Wan,Cannot increase AMH but can optimize remaining egg quality - Realistic counseling needed
How to treat PCOS-related infertility?,"PCOS pattern: Kidney Yang deficiency with Phlegm-Damp and often Blood stasis. Points: ST40 (Fenglong) primary for phlegm. SP9 for dampness. SP6 regulates cycles. CV4 and CV3 for lower jiao. BL23 and GV4 for Kidney. ST36 and BL20 for Spleen. LR3 for Qi stagnation. For anovulation: Add GB41 and SJ5 to promote ovulation. Weight management essential.","ST40, SP9, SP6, CV4, CV3, BL23, GV4, ST36, BL20, LR3, GB41, SJ5",Cang Fu Dao Tan Wan combined with You Gui Wan,Diet and lifestyle modification essential - Low glycemic diet recommended
How to treat endometriosis-related infertility?,"Endometriosis is Blood stasis with possible Kidney deficiency. Follicular phase (aggressive): SP10 SP6 to move blood stasis. LR3 for Qi stagnation. CV3 CV4 BL32 for pelvic stasis. ST29 for lower abdominal masses. KI14 (Siman) for masses. Luteal phase (gentle): Reduce blood movers. Add KI3 GV4 for Kidney support. Support implantation. Cycle with menstruation for strongest blood-moving.","SP10, SP6, LR3, CV3, CV4, BL32, ST29, KI14, KI3, GV4",Gui Zhi Fu Ling Wan; Shao Fu Zhu Yu Tang during menses,STOP blood movers after ovulation if trying to conceive that cycle
How to treat blocked fallopian tubes?,"Tubal blockage is Blood stasis and Phlegm obstruction. Points: SP10 and SP6 to strongly move blood. LR3 for Liver Qi. CV3 CV4 for lower jiao. ST29 (Guilai) for tubal area. BL32 (Ciliao) for pelvic blood flow. GB26 (Daimai) for Dai vessel blockage. ST40 for phlegm if applicable. Best treated post-menstrually when blood-moving is strongest. May need 3-6 months treatment.","SP10, SP6, LR3, CV3, CV4, ST29, BL32, GB26, ST40",Gui Zhi Fu Ling Wan with additions for phlegm; Tong Yu Jian,Treat for 3-6 months - HSG retest recommended - May need medical intervention
How to treat immunological infertility?,"Immune issues (antisperm antibodies elevated NK cells) relate to Blood stasis and hidden toxins in TCM. Points: LI11 (Quchi) clears heat-toxins. SP10 clears blood heat. SP6 regulates immune function. LR3 for Liver Qi. CV4 for reproductive immunity. ST36 regulates overall immunity. KI3 for Kidney support. BL17 for blood regulation. Often combines with dampness pattern.","LI11, SP10, SP6, LR3, CV4, ST36, KI3, BL17",Gui Zhi Fu Ling Wan with heat-clearing herbs; Immune-modulating formula,Work with reproductive immunologist - Acupuncture as adjunct therapy
How to optimize egg retrieval day for IVF?,"Day of egg retrieval: Pre-retrieval: PC6 for relaxation and nausea prevention. HT7 for calm spirit. LR3 to move Liver Qi and reduce anxiety. ST36 for overall support. Yintang for calming. Post-retrieval: SP6 gently to promote recovery. CV4 very gently. KI3 to support Kidney after depletion. Avoid lower abdominal points immediately after. Focus on rest and recovery.","PC6, HT7, LR3, ST36, Yintang, SP6, CV4, KI3",Liu Wei Di Huang Wan to restore Yin after retrieval,Rest day of retrieval - Hydrate well - Protein-rich diet for recovery
How to treat failed IVF cycle with acupuncture?,"Post-failed cycle support: Allow 1-2 cycles rest before next attempt. Address pattern that may have contributed: Kidney deficiency - longer essence-building. Blood stasis - clear before next cycle. Liver Qi - stress reduction essential. Points: LR3 PC6 for emotional processing. SP6 ST36 KI3 to rebuild. CV4 BL23 GV4 for Kidney. HT7 Yintang for grief processing.","LR3, PC6, SP6, ST36, KI3, CV4, BL23, GV4, HT7, Yintang",Pattern-based formula; Add Shen-calming herbs for emotional support,Allow emotional processing - 2-3 months rebuilding before next cycle recommended
How to treat secondary infertility?,"Secondary infertility (difficulty after previous pregnancy) often involves Blood stasis or Kidney depletion from previous birth. Points: SP10 SP6 if blood stasis present. KI3 CV4 BL23 to rebuild Kidney depleted from previous pregnancy. ST36 for Qi and blood. LR3 for Liver Qi if stress factor. GV4 if Yang deficiency developed. Assess current pattern - may differ from primary fertility.","SP10, SP6, KI3, CV4, BL23, ST36, LR3, GV4",Si Wu Tang if blood stasis; Kidney tonics based on Yin or Yang deficiency,Different pattern than first pregnancy - Full reassessment needed
How to time intercourse with acupuncture for natural conception?,"Optimize fertile window: Pre-ovulation (day 10-12): LR3 GB41 to promote smooth ovulation. SP6 to support fertile mucus. CV4 for reproductive function. Day of ovulation: PC6 to relax. LR3 for smooth Qi. Reduce treatment intensity. Post-ovulation: KI9 from day 16 onward. CV4 gently. GV20 to lift Qi. ST36 for support. Avoid intercourse timing stress.","LR3, GB41, SP6, CV4, PC6, KI9, GV20, ST36",Xiao Yao San pre-ovulation; Shou Tai Wan post-ovulation,Use OPKs or BBT to time - Every other day around ovulation adequate
How to support natural conception after age 35?,"Advanced maternal age needs Kidney essence focus. Points: KI3 KI6 for Kidney Yin and essence. BL23 GV4 for Kidney. BL52 (Zhishi) for essence. CV4 for Chong Mai. ST36 SP6 for blood. LR3 for stress - often higher in this group. Begin treatment 3-6 months before trying. Weekly treatments minimum. Egg quality focus over quantity.","KI3, KI6, BL23, GV4, BL52, CV4, ST36, SP6, LR3",Wu Zi Yan Zong Wan combined with Liu Wei Di Huang Wan,Start treatment early - 3-6 months prep recommended - Manage expectations
How to treat low progesterone in luteal phase?,"Low progesterone relates to Kidney Yang deficiency. Points: GV4 (Mingmen) with moxa is essential. CV4 with moxa warms uterus. BL23 with moxa tonifies Kidney Yang. KI7 (Fuliu) specifically for Yang. ST36 with moxa for overall Yang. BL20 if Spleen Qi weak. Begin treatment after ovulation confirmed. Continue through luteal phase. Has progesterone-supporting effect.","GV4, CV4, BL23, KI7, ST36, BL20",You Gui Wan; Bu Shen Gu Chong Wan,Moxa essential for Yang support - Can continue into early pregnancy if conceived
How to treat poor ovarian response in IVF?,"Poor response indicates depleted Kidney essence. Long-term preparation essential. Points: KI3 KI6 for Kidney Yin. BL23 GV4 for Kidney. BL52 for essence. CV4 for Chong Mai. ST36 for Qi and blood production. SP6 for blood. May add gentle GV4 moxa if Yang also weak. Start 3-6 months before next cycle. Realistic expectations about outcomes.","KI3, KI6, BL23, GV4, BL52, CV4, ST36, SP6",Gui Shao Di Huang Wan; Wu Zi Yan Zong Wan,May need 6+ months preparation - Consider donor egg discussion - Support emotional wellbeing
How to treat chemical pregnancy (early pregnancy loss)?,"Chemical pregnancy indicates conception occurred but implantation failed. Pattern usually Kidney deficiency or Blood stasis. Post-loss: Allow one cycle to recover. Then rebuild: BL23 GV4 CV4 for Kidney. KI3 KI6 for essence. ST36 SP6 for blood. If blood stasis suspected: SP10 during menses only. Pre-conception in future: Longer prep with KI9 from ovulation onward.","BL23, GV4, CV4, KI3, KI6, ST36, SP6, SP10, KI9",Shou Tai Wan pre-conception; Bu Shen Gu Chong Wan,Allow emotional processing - One cycle rest minimum - Longer prep before next attempt
How to treat sperm DNA fragmentation?,"High DNA fragmentation relates to oxidative stress and heat. Points: LI11 (Quchi) clears heat-toxins. SP10 cools blood. KI3 KI6 nourishes Kidney Yin (cooling). BL23 tonifies Kidney. CV4 for reproductive health. ST36 for overall vitality. LR3 reduces stress-related oxidation. Lifestyle: antioxidants avoid heat reduce toxins reduce stress no smoking limit alcohol.","LI11, SP10, KI3, KI6, BL23, CV4, ST36, LR3",Zhi Bai Di Huang Wan for heat; Antioxidant supplementation,Avoid heat exposure - No hot baths laptops tight underwear - Antioxidant-rich diet
How to treat asthenozoospermia (low sperm motility)?,"Low motility often relates to Kidney Yang deficiency or Damp obstruction. Points: GV4 (Mingmen) with moxa for Yang. BL23 with moxa for Kidney. CV4 with moxa warms lower jiao. KI7 for Kidney Yang. ST36 for overall vitality. If damp: SP9 and ST40 to resolve. LR3 for Liver Qi flow affecting motility. Lifestyle: exercise reduce sitting improve circulation.","GV4, BL23, CV4, KI7, ST36, SP9, ST40, LR3",You Gui Wan for Yang deficiency; Wu Zi Yan Zong Wan for essence,Regular exercise improves circulation - Avoid prolonged sitting - 3 months treatment minimum
How to treat oligozoospermia (low sperm count)?,"Low count relates to Kidney essence deficiency. Points: BL23 and GV4 tonify Kidney. BL52 (Zhishi) stores essence. CV4 strengthens reproductive essence. KI3 nourishes Kidney. ST36 for overall production. SP6 for blood. If also low motility add Yang points. Long-term treatment needed - sperm cycle is 72-90 days. Minimum 3 months treatment before retest.","BL23, GV4, BL52, CV4, KI3, ST36, SP6",Wu Zi Yan Zong Wan (Five Seed Progeny Pill),3 months minimum treatment - Retest at 3-4 months - Lifestyle optimization essential
How to support frozen embryo transfer (FET)?,"FET preparation: Build lining for 2-4 weeks before transfer. SP6 ST36 for blood. BL17 for blood production. CV4 for uterine blood supply. ST29 for uterine circulation. KI3 for Kidney support. Transfer day: Same Paulus Protocol as fresh transfer. Post-transfer: KI9 (Zhubin) for fetus calming. CV4 very gently. GV20 to raise Qi. No blood movers after transfer.","SP6, ST36, BL17, CV4, ST29, KI3, KI9, GV20",Si Wu Tang for lining; Shou Tai Wan post-transfer,Same precautions as fresh transfer - Gentle technique only after transfer
How to treat hostile cervical mucus?,"Poor or hostile mucus indicates Yin deficiency or Damp-Heat. Yin deficiency: KI6 (Zhaohai) and KI3 nourish Yin fluids. SP6 for Yin and blood. CV4 for reproductive fluids. LR8 nourishes Liver blood. Damp-Heat: SP9 and LI11 clear damp-heat. LR5 for Liver channel. Treat follicular phase to improve mucus quality. Evening primrose oil may help.","KI6, KI3, SP6, CV4, LR8, SP9, LI11, LR5",Zuo Gui Wan for Yin deficiency; Long Dan Xie Gan Tang if damp-heat,Increase hydration - Evening primrose oil follicular phase - Avoid antihistamines
How to treat luteinized unruptured follicle syndrome (LUFS)?,"LUFS: follicle grows but doesn't release egg. Pattern is Liver Qi stagnation with Blood stasis. Points: LR3 (Taichong) strongly to move Liver Qi. GB41 opens Dai Mai for release. SP6 moves blood. CV4 and CV3 for lower jiao. SP10 for blood stasis. Electroacupuncture around ovulation may help. Stress reduction essential. Time treatment to ovulation window.","LR3, GB41, SP6, CV4, CV3, SP10",Xiao Yao San with blood-moving additions; Tao Hong Si Wu Tang at ovulation,Electroacupuncture may help - Time treatment to LH surge - Stress reduction critical
How to treat antiphospholipid syndrome affecting pregnancy?,"APS causes recurrent loss due to blood clots. TCM sees as Blood stasis with Heat. Points: SP10 to cool and move blood. SP6 regulates blood. LR3 for Liver Qi. LI11 clears heat. KI3 for Kidney support. CV4 for lower jiao. BL17 for blood. Work with hematologist - acupuncture is adjunct to medical management (usually aspirin/heparin). Support implantation and early pregnancy.","SP10, SP6, LR3, LI11, KI3, CV4, BL17",Blood-cooling and moving formula with caution,MUST work with hematologist - Acupuncture adjunct to medical treatment only - Monitor closely
How to treat elevated prolactin affecting fertility?,"High prolactin inhibits ovulation. TCM: Liver Qi stagnation with possible Blood stasis. Points: LR3 (Taichong) primary to soothe Liver. LR14 for chest area. GB41 opens Dai Mai. PC6 calms spirit. CV17 for upper jiao. SP6 regulates hormones. Yintang calms HPA axis. Reduce stress. Check for medications causing elevation. May need medical management if very high.","LR3, LR14, GB41, PC6, CV17, SP6, Yintang",Mai Ya (Barley Sprout) traditionally used; Xiao Yao San,May need bromocriptine if very high - Rule out pituitary adenoma - Stress reduction essential
How to emotionally support patients through infertility treatment?,"Emotional wellbeing affects fertility outcomes. Points: HT7 (Shenmen) calms Heart spirit. PC6 for emotional regulation. Yintang for peace. GV20 lifts depression. LR3 for frustration and anger. KI3 for fear and anxiety related to Kidney. Ear points: Shenmen Heart Kidney for ongoing support. Acknowledge grief. Normalize emotions. Support partner relationship.","HT7, PC6, Yintang, GV20, LR3, KI3",Gan Mai Da Zao Tang for emotional support; Add to pattern formula,Emotional support essential - Acknowledge grief and frustration - Consider counseling referral
How to treat premature ovarian insufficiency (POI)?,"POI: early menopause before 40. Severe Kidney essence depletion. Points: KI3 KI6 for Kidney Yin. BL23 GV4 for Kidney. BL52 for essence. CV4 for Chong Mai. ST36 SP6 for blood. May need long-term treatment. Realistic counseling about outcomes. Support menopausal symptoms if present. Consider donor egg discussion early. Emotional support essential.","KI3, KI6, BL23, GV4, BL52, CV4, ST36, SP6",Zuo Gui Wan; Er Xian Tang if menopausal symptoms,Realistic expectations needed - May need donor egg - Support emotional wellbeing
