question,answer,acupuncture_points,pharmacopeia
How to manage headaches after head trauma?,"Invigorate blood in head, clear stasis, calm liver yang, open orifices and sensory organs.","GB-20 (Fengchi), LI-4 (Hegu), LV-3 (Taichong), DU-20 (Baihui), Taiyang (Extra)",Tong Qiao Huo Xue Tang (Free the Orifices and Invigorate Blood Decoction)
What is the treatment for lower back pain from spinal injury?,"Tonify kidney essence, strengthen du mai, remove blood stasis, warm channels in lower back.","BL-23 (Shenshu), DU-4 (Mingmen), BL-40 (Weizhong), GB-34 (Yanglingquan), BL-52 (Zhishi)",Du Huo Ji Sheng Tang (Angelica Pubescens and Loranthus Decoction)
How do you treat neck pain and stiffness from whiplash?,"Release exterior wind, open channels in neck, invigorate blood, relax sinews.","GB-20 (Fengchi), GB-21 (Jianjing), SI-3 (Houxi), BL-60 (Kunlun), DU-14 (Dazhui)",Ge Gen Tang (Kudzu Decoction) for neck tension
What points address joint pain from trauma?,"Remove wind-damp obstruction, open channels, invigorate blood around joints, tonify liver and kidney.","GB-34 (Yanglingquan), SP-9 (Yinlingquan), ST-36 (Zusanli), LV-8 (Ququan), local He-Sea points",Juan Bi Tang (Remove Painful Obstruction Decoction)
How to treat visceral pain from internal injuries?,"Regulate qi in affected organ, harmonize ying and wei, move blood stasis, calm spirit.","REN-12 (Zhongwan), ST-36 (Zusanli), PC-6 (Neiguan), SP-6 (Sanyinjiao), BL-17 (Geshu)",Xue Fu Zhu Yu Tang (Drive Out Stasis in the Mansion of Blood Decoction)
What is the treatment for pelvic pain from crush injuries?,"Invigorate blood in lower jiao, warm channels, tonify kidney, regulate ren and chong mai.","REN-4 (Guanyuan), SP-6 (Sanyinjiao), SP-12 (Chongmen), ST-29 (Guilai), GB-26 (Daimai)",Shao Fu Zhu Yu Tang (Drive Out Blood Stasis in the Lower Abdomen Decoction)
How do you address burning pain sensations?,"Clear heat from blood level, nourish yin, cool blood, calm spirit, drain fire.","LI-11 (Quchi), SP-10 (Xuehai), SP-6 (Sanyinjiao), HT-8 (Shaofu), KI-3 (Taixi)",Qing Hao Bie Jia Tang (Artemisia Annua and Soft-shelled Turtle Shell Decoction)
What points treat muscle spasms and contractures?,"Relax sinews, extinguish wind, nourish blood and yin, harmonize liver to control sinews.","GB-34 (Yanglingquan), LV-3 (Taichong), SP-6 (Sanyinjiao), BL-18 (Ganshu), local Ashi",Shao Yao Gan Cao Tang (Peony and Licorice Decoction)
How to manage complex regional pain syndrome?,"Strongly invigorate blood, open channels, extinguish wind, regulate sympathetic nervous system via liver.","LI-4 (Hegu), LV-3 (Taichong), TE-5 (Waiguan), GB-34 (Yanglingquan), SP-10 (Xuehai)",Shen Tong Zhu Yu Tang (Drive Out Blood Stasis from a Painful Body Decoction)
What is the treatment for chest pain post-trauma?,"Move qi in chest, invigorate blood, open diaphragm, regulate heart and lung, resolve stagnation.","REN-17 (Danzhong), PC-6 (Neiguan), BL-17 (Geshu), LV-14 (Qimen), HT-7 (Shenmen)",Xue Fu Zhu Yu Tang (Drive Out Stasis in the Mansion of Blood Decoction)
How do you treat abdominal pain from internal trauma?,"Regulate qi in middle and lower jiao, harmonize spleen and stomach, resolve stasis, stop pain.","REN-12 (Zhongwan), ST-36 (Zusanli), REN-6 (Qihai), ST-25 (Tianshu), SP-4 (Gongsun)",Ge Xia Zhu Yu Tang (Drive Out Blood Stasis Below the Diaphragm Decoction)
What is the TCM treatment protocol for fresh fractures?,"Invigorate blood, reduce swelling, move qi, stop pain. Focus on removing stagnation in early stage.","LI-4 (Hegu), LI-11 (Quchi), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), distal to fracture","Die Da Wan (Trauma Pill) - Ru Xiang, Mo Yao, Hong Hua, Dang Gui, Tao Ren"
How do you promote bone union in mid-stage healing?,"Tonify liver and kidney to nourish sinews and bones, continue invigorating blood, strengthen essence.","GB-34 (Yanglingquan), BL-11 (Dazhu), BL-23 (Shenshu), ST-36 (Zusanli), KI-3 (Taixi)","Xu Duan (Dipsacus), Gu Sui Bu (Drynaria), Du Zhong (Eucommia) - bone healing formula"
What points address delayed fracture healing?,"Strongly tonify liver and kidney essence, invigorate blood to bone, warm yang to promote union.","BL-11 (Dazhu), BL-23 (Shenshu), GB-34 (Yanglingquan), ST-36 (Zusanli), DU-4 (Mingmen)","Zhuang Gu Guan Jie Wan (Strengthen Bone and Joint Pill) - Xu Duan, Gu Sui Bu, etc."
How to treat compound fractures with soft tissue damage?,"Clear heat and toxins, invigorate blood, reduce swelling, promote tissue regeneration, prevent infection.","LI-11 (Quchi), SP-10 (Xuehai), SP-6 (Sanyinjiao), ST-36 (Zusanli), LI-4 (Hegu)",Xian Fang Huo Ming Yin (Immortal Formula for Sustaining Life) - clear toxins
What is the treatment for vertebral compression fractures?,"Tonify kidney essence and marrow, strengthen du mai, nourish bone, reduce inflammation.","DU-4 (Mingmen), BL-23 (Shenshu), BL-52 (Zhishi), Huatuojiaji points, KI-3 (Taixi)",Zuo Gui Wan (Restore the Left [Kidney] Pill) for kidney yin deficiency
How do you address rib fractures?,"Move qi in chest, stop pain, invigorate blood locally, prevent phlegm accumulation in lungs.","GB-34 (Yanglingquan), LV-3 (Taichong), LV-14 (Qimen), PC-6 (Neiguan), local Jiaji",Fu Yuan Huo Xue Tang (Revive Health by Invigorating Blood Decoction)
What points treat pelvic fractures?,"Tonify kidney and liver, strengthen bones, invigorate blood in lower jiao, regulate ren and chong.","BL-23 (Shenshu), BL-31-34 (Baliao), GB-29 (Juliao), ST-31 (Biguan), GB-30 (Huantiao)",Du Huo Ji Sheng Tang (Angelica Pubescens and Loranthus Decoction) - modified
How to manage skull fractures (non-emergency)?,"Calm spirit, clear heat from head, nourish marrow, tonify kidney essence, support brain function.","DU-20 (Baihui), GB-20 (Fengchi), Sishencong, BL-23 (Shenshu), KI-3 (Taixi)","Tian Ma Gou Teng Yin (Gastrodia and Uncaria Beverage) - calm liver, settle wind"
What is the treatment for facial bone fractures?,"Invigorate blood in face, reduce swelling, promote bone union, clear channels on face.","LI-4 (Hegu), LI-20 (Yingxiang), ST-2 (Sibai), ST-4 (Dicang), ST-7 (Xiaguan)",Tao Hong Si Wu Tang (Four-Substance Decoction with Safflower and Peach Pit)
How do you treat multiple fracture syndrome?,"Tonify qi and blood massively, invigorate blood systemically, support spleen and kidney, calm spirit.","ST-36 (Zusanli), SP-6 (Sanyinjiao), BL-23 (Shenshu), BL-20 (Pishu), LI-4 (Hegu)",Ba Zhen Tang (Eight-Treasure Decoction) - tonify qi and blood
What is the treatment for severe muscle contusions?,"Invigorate blood, disperse swelling, move qi, relax sinews, stop pain in affected area.","LI-4 (Hegu), SP-10 (Xuehai), LV-3 (Taichong), GB-34 (Yanglingquan), local Ashi",Die Da Wan (Trauma Pill) orally + topical Zheng Gu Shui (Bone-Setting Liniment)
How do you address tendon ruptures?,"Nourish liver blood, relax sinews, invigorate blood to repair, tonify kidney to strengthen.","GB-34 (Yanglingquan), LV-8 (Ququan), BL-18 (Ganshu), SP-6 (Sanyinjiao), local points",Yang Xue Rong Jin Wan (Nourish Blood and Relax Sinews Pill)
What points treat ligament injuries?,"Invigorate blood, remove stasis, open channels around joints, tonify liver and kidney.","GB-34 (Yanglingquan), LV-3 (Taichong), BL-23 (Shenshu), SP-6 (Sanyinjiao), joint Xi-cleft",Huo Luo Xiao Ling Dan (Wonderfully Effective Pill to Invigorate the Collaterals)
How to manage compartment syndrome?,"Strongly invigorate blood, open channels urgently, reduce swelling, drain heat and dampness.","LI-11 (Quchi), SP-9 (Yinlingquan), LI-4 (Hegu), ST-36 (Zusanli), surround the dragon technique",Wu Wei Xiao Du Yin (Five-Ingredient Decoction to Eliminate Toxin) if infection risk
What is the treatment for severe hematomas?,"Invigorate blood, break up stasis, promote reabsorption, prevent fibrosis and calcification.","SP-10 (Xuehai), LV-3 (Taichong), SP-6 (Sanyinjiao), BL-17 (Geshu), surrounding needling",Tao Hong Si Wu Tang (Four-Substance Decoction with Safflower and Peach Pit)
How do you address muscle atrophy from prolonged immobilization?,"Tonify spleen and stomach qi, nourish blood, invigorate channels, strengthen sinews.","ST-36 (Zusanli), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), BL-20 (Pishu), local motor points",Bu Yang Huan Wu Tang (Tonify the Yang to Restore Five Decoction) - modified
What points treat fascial injuries and adhesions?,"Invigorate blood deeply, open channels, break up stagnation, relax sinews and fascia.","GB-34 (Yanglingquan), SI-3 (Houxi), BL-40 (Weizhong), LV-3 (Taichong), deep needling",Shen Tong Zhu Yu Tang (Drive Out Blood Stasis from a Painful Body Decoction)
How to manage scar tissue formation?,"Soften hardness, invigorate blood, transform phlegm-stasis, open channels through scars.","SP-10 (Xuehai), LV-3 (Taichong), LI-4 (Hegu), surrounding scar needling technique",Hai Zao Yu Hu Tang (Sargassum Decoction for the Jade Flask) - soften hardness
What is the treatment for myofascial pain syndrome?,"Release trigger points, move qi in channels, invigorate blood, relax sinews, harmonize liver.","GB-34 (Yanglingquan), LV-3 (Taichong), SI-3 (Houxi), Ashi trigger points, BL-18 (Ganshu)",Shu Jin Huo Xue Tang (Relax Sinews and Invigorate Blood Decoction)
How do you address keloid formation at injury sites?,"Transform phlegm, invigorate blood, soften hardness, clear heat toxins, regulate qi.","SP-10 (Xuehai), LI-4 (Hegu), LV-3 (Taichong), ST-40 (Fenglong), surround needling",Xiao Luo Wan (Reduce Scrofula Pill) - soften masses
What is the TCM approach to traumatic brain injury recovery?,"Nourish heart and kidney, calm spirit, clear phlegm obstruction, invigorate blood to brain.","DU-20 (Baihui), Sishencong, DU-24 (Shenting), PC-6 (Neiguan), HT-7 (Shenmen)",Tong Qiao Huo Xue Tang (Free the Orifices and Invigorate Blood Decoction)
How do you treat post-concussion syndrome?,"Clear head, calm spirit, invigorate blood in brain, nourish marrow, regulate liver yang.","DU-20 (Baihui), GB-20 (Fengchi), Yintang, LV-3 (Taichong), KI-3 (Taixi)","Tian Ma Gou Teng Yin (Gastrodia and Uncaria Beverage) + Dang Gui, Chuan Xiong"
What points address peripheral nerve damage?,"Nourish blood, open channels, invigorate collaterals, tonify liver and kidney to support nerves.","GB-34 (Yanglingquan), GB-39 (Xuanzhong), SP-6 (Sanyinjiao), LV-3 (Taichong), along nerve pathway",Huang Qi Gui Zhi Wu Wu Tang (Astragalus and Cinnamon Twig Five Herb Decoction)
How to manage spinal cord injury complications?,"Tonify kidney essence, strengthen du mai, invigorate blood to spinal cord, warm yang.","DU-4 (Mingmen), BL-23 (Shenshu), Huatuojiaji at level, GB-34 (Yanglingquan), KI-3 (Taixi)",You Gui Wan (Restore the Right [Kidney] Pill) for kidney yang deficiency
What is the treatment for paralysis from trauma?,"Strongly tonify qi, invigorate blood and channels, transform phlegm, warm yang to move limbs.","GB-34 (Yanglingquan), ST-36 (Zusanli), LI-11 (Quchi), LI-4 (Hegu), motor points",Bu Yang Huan Wu Tang (Tonify the Yang to Restore Five Decoction)
How do you address cognitive impairment post-injury?,"Nourish heart blood and kidney essence, clear phlegm from heart orifices, calm spirit, sharpen mind.","DU-20 (Baihui), Sishencong, HT-7 (Shenmen), PC-6 (Neiguan), BL-15 (Xinshu)",Gui Pi Tang (Restore the Spleen Decoction) for heart-spleen deficiency
What points treat dizziness and vertigo post-trauma?,"Calm liver yang, transform phlegm, invigorate blood to head, tonify kidney, anchor ascending qi.","GB-20 (Fengchi), DU-20 (Baihui), LV-3 (Taichong), ST-40 (Fenglong), PC-6 (Neiguan)","Ban Xia Bai Zhu Tian Ma Tang (Pinellia, Atractylodes, and Gastrodia Decoction)"
How to manage post-traumatic seizures?,"Calm liver, extinguish wind, transform phlegm, clear heat, anchor yang, regulate spirit.","DU-20 (Baihui), LV-3 (Taichong), GB-20 (Fengchi), PC-6 (Neiguan), DU-26 (Renzhong)","Ding Xian Wan (Arrest Seizures Pill) - Tian Ma, Quan Xie, Jiang Can"
What is the treatment for loss of sensation (numbness)?,"Nourish blood, invigorate channels and collaterals, expel wind-damp, tonify qi to reach extremities.","LI-4 (Hegu), LI-11 (Quchi), ST-36 (Zusanli), SP-6 (Sanyinjiao), GB-39 (Xuanzhong)","Si Wu Tang (Four-Substance Decoction) + Huang Qi, Ji Xue Teng"
How do you address autonomic dysfunction after trauma?,"Harmonize yin and yang, regulate qi transformation, calm spirit, balance heart and kidney.","REN-4 (Guanyuan), REN-6 (Qihai), PC-6 (Neiguan), HT-7 (Shenmen), KI-3 (Taixi)",Xiao Yao San (Free and Easy Wanderer) to regulate autonomic balance
What is the TCM treatment for acute stress disorder?,"Calm spirit, anchor ethereal soul, open chest, regulate heart and liver, release constraint.","HT-7 (Shenmen), PC-6 (Neiguan), DU-20 (Baihui), LV-3 (Taichong), Yintang","Gan Mai Da Zao Tang (Licorice, Wheat, and Jujube Decoction)"
How do you treat PTSD with nightmares and flashbacks?,"Anchor ethereal soul, nourish heart blood, calm spirit, clear phlegm-fire, harmonize liver.","HT-7 (Shenmen), BL-15 (Xinshu), BL-47 (Hunmen), DU-24 (Shenting), LV-3 (Taichong)",Suan Zao Ren Tang (Sour Jujube Decoction) for restless spirit
What points address anxiety and panic attacks?,"Calm spirit, regulate heart qi, open chest, descend rebellious qi, anchor mind.","PC-6 (Neiguan), HT-7 (Shenmen), REN-17 (Danzhong), DU-20 (Baihui), ST-36 (Zusanli)",Chai Hu Jia Long Gu Mu Li Tang (Bupleurum plus Dragon Bone and Oyster Shell)
How to manage depression after traumatic events?,"Move liver qi, nourish heart blood, tonify spleen, open chest, raise clear yang.","LV-3 (Taichong), LV-14 (Qimen), PC-6 (Neiguan), HT-7 (Shenmen), DU-20 (Baihui)",Xiao Yao San (Free and Easy Wanderer) for liver qi stagnation with blood deficiency
What is the treatment for insomnia from trauma?,"Nourish heart blood and yin, calm spirit, clear heat, anchor ethereal soul, regulate sleep cycle.","HT-7 (Shenmen), PC-6 (Neiguan), Yintang, Anmian (Extra), SP-6 (Sanyinjiao)",Suan Zao Ren Tang (Sour Jujube Decoction) or Tian Wang Bu Xin Dan
How do you address emotional numbness and detachment?,"Move stagnant qi, invigorate blood, open heart orifices, reconnect spirit with emotions.","PC-6 (Neiguan), HT-7 (Shenmen), LV-3 (Taichong), REN-17 (Danzhong), BL-15 (Xinshu)",Xue Fu Zhu Yu Tang (Drive Out Stasis in the Mansion of Blood) for emotional stagnation
What points treat hypervigilance and startle response?,"Calm spirit, settle liver yang, anchor ethereal soul, clear phlegm-fire, regulate autonomic system.","HT-7 (Shenmen), LV-3 (Taichong), GB-20 (Fengchi), DU-20 (Baihui), PC-7 (Daling)",Chai Hu Jia Long Gu Mu Li Tang (Bupleurum plus Dragon Bone and Oyster Shell)
How to manage anger and irritability post-trauma?,"Soothe liver, clear heat, drain fire, calm spirit, harmonize emotions, open chest.","LV-3 (Taichong), LV-2 (Xingjian), GB-34 (Yanglingquan), PC-6 (Neiguan), LI-4 (Hegu)",Dan Zhi Xiao Yao San (Free and Easy Wanderer with Moutan and Gardenia)
What is the treatment for grief and survivor's guilt?,"Nourish heart and lung, disperse stagnation in chest, comfort spirit, release emotional constraint.","REN-17 (Danzhong), LU-1 (Zhongfu), PC-6 (Neiguan), HT-7 (Shenmen), LV-14 (Qimen)","Gan Mai Da Zao Tang (Licorice, Wheat, and Jujube Decoction) + Bai He"
How do you address dissociation and derealization?,"Anchor spirit, nourish heart blood, ground ethereal soul, tonify kidney, connect upper and lower.","DU-20 (Baihui), KI-1 (Yongquan), HT-7 (Shenmen), REN-4 (Guanyuan), PC-6 (Neiguan)",Gui Pi Tang (Restore the Spleen Decoction) for heart-spleen qi-blood deficiency
How to support lung function after chest trauma?,"Regulate lung qi, descend rebellious qi, transform phlegm, invigorate blood in chest.","LU-1 (Zhongfu), LU-7 (Lieque), REN-17 (Danzhong), ST-40 (Fenglong), BL-13 (Feishu)",Qing Jin Hua Tan Wan (Clear the Metal and Transform Phlegm Pill)
What is the treatment for liver damage from blunt trauma?,"Soothe liver, invigorate blood, clear heat, protect liver substance, support regeneration.","LV-3 (Taichong), LV-14 (Qimen), BL-18 (Ganshu), GB-34 (Yanglingquan), SP-6 (Sanyinjiao)","Xiao Yao San (Free and Easy Wanderer) + Zhi Zi, Mu Dan Pi"
How do you support kidney function post-trauma?,"Tonify kidney essence, nourish yin, warm yang as needed, invigorate blood, protect kidney.","BL-23 (Shenshu), KI-3 (Taixi), REN-4 (Guanyuan), DU-4 (Mingmen), BL-52 (Zhishi)",Liu Wei Di Huang Wan (Six-Ingredient Pill with Rehmannia) for kidney yin
What points treat spleen damage and digestive issues?,"Tonify spleen qi, harmonize middle jiao, move qi gently, stop bleeding, support digestion.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), BL-20 (Pishu), BL-21 (Weishu)",Si Jun Zi Tang (Four-Gentleman Decoction) to tonify spleen qi
How to address heart function after cardiac contusion?,"Regulate heart qi and blood, calm spirit, invigorate blood gently, protect heart substance.","PC-6 (Neiguan), HT-7 (Shenmen), REN-17 (Danzhong), BL-15 (Xinshu), BL-14 (Jueyinshu)",Sheng Mai San (Restore the Pulse Powder) to support heart qi
What is the treatment for bladder dysfunction from pelvic trauma?,"Tonify kidney, regulate bladder qi transformation, warm lower jiao, invigorate blood.","REN-3 (Zhongji), REN-4 (Guanyuan), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), BL-28 (Pangguangshu)",Ji Sheng Shen Qi Wan (Kidney Qi Pill from Formulas to Aid the Living)
How do you support adrenal function (kidney yang) after severe stress?,"Tonify kidney yang, warm ming men fire, support essence, invigorate yang qi.","DU-4 (Mingmen), BL-23 (Shenshu), KI-3 (Taixi), REN-4 (Guanyuan), ST-36 (Zusanli)",You Gui Wan (Restore the Right [Kidney] Pill)
What points address intestinal complications from abdominal trauma?,"Regulate qi in intestines, harmonize middle and lower jiao, invigorate blood, reduce stagnation.","ST-25 (Tianshu), ST-36 (Zusanli), ST-37 (Shangjuxu), ST-39 (Xiajuxu), REN-6 (Qihai)",Mu Xiang Bing Lang Wan (Aucklandia and Areca Pill) if qi stagnation
How to treat pancreatic injury complications?,"Clear heat and dampness from middle jiao, regulate spleen and stomach, invigorate blood.","REN-12 (Zhongwan), SP-9 (Yinlingquan), ST-36 (Zusanli), LV-13 (Zhangmen), BL-20 (Pishu)",Yin Chen Hao Tang (Artemisia Yinchenhao Decoction) if jaundice present
What is the treatment for thyroid dysfunction post-trauma?,"Regulate qi in neck, invigorate blood, transform phlegm, harmonize yin and yang.","REN-22 (Tiantu), ST-9 (Renying), LI-18 (Futu), ST-40 (Fenglong), KI-3 (Taixi)","Xiao Yao San (Free and Easy Wanderer) + Hai Zao, Kun Bu to transform phlegm nodules"
What is the TCM protocol for early mobilization?,"Gently invigorate blood and qi, open channels, strengthen sinews, support organ functions.","ST-36 (Zusanli), GB-34 (Yanglingquan), LI-4 (Hegu), SP-6 (Sanyinjiao), local motor points",Bu Yang Huan Wu Tang (Tonify the Yang to Restore Five Decoction) - modified
How do you address chronic fatigue post-trauma?,"Tonify spleen and kidney, nourish qi and blood, invigorate channels, raise clear yang.","ST-36 (Zusanli), REN-6 (Qihai), DU-20 (Baihui), BL-20 (Pishu), BL-23 (Shenshu)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
What points improve range of motion in joints?,"Invigorate blood around joints, open channels, expel wind-damp, relax sinews.","GB-34 (Yanglingquan), local He-Sea points, LV-3 (Taichong), SP-9 (Yinlingquan), surrounding needling",Shu Jin Huo Xue Tang (Relax Sinews and Invigorate Blood Decoction)
How to enhance tissue regeneration?,"Tonify qi and blood, invigorate blood circulation, nourish yin, support spleen and kidney.","ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-10 (Xuehai), BL-17 (Geshu), KI-3 (Taixi)",Ba Zhen Tang (Eight-Treasure Decoction) to tonify both qi and blood
What is the treatment for preventing contractures?,"Relax sinews, nourish blood and yin, invigorate channels, expel wind, move qi.","GB-34 (Yanglingquan), LV-3 (Taichong), SP-6 (Sanyinjiao), LV-8 (Ququan), stretching technique",Shao Yao Gan Cao Tang (Peony and Licorice Decoction) + Si Wu Tang
How do you support immune function during recovery?,"Tonify wei qi, strengthen spleen and lung, nourish zheng qi, clear residual pathogens.","ST-36 (Zusanli), LI-4 (Hegu), LU-7 (Lieque), BL-13 (Feishu), BL-20 (Pishu)",Yu Ping Feng San (Jade Windscreen Powder) to strengthen protective qi
What points address poor appetite and weight loss?,"Tonify spleen and stomach, regulate middle jiao, harmonize digestion, raise qi.","ST-36 (Zusanli), REN-12 (Zhongwan), PC-6 (Neiguan), BL-20 (Pishu), BL-21 (Weishu)",Xiang Sha Liu Jun Zi Tang (Six-Gentleman Decoction with Aucklandia and Amomum)
How to improve circulation in healing tissues?,"Invigorate blood and qi, open channels and collaterals, warm yang, disperse stagnation.","SP-10 (Xuehai), LV-3 (Taichong), ST-36 (Zusanli), SP-6 (Sanyinjiao), local surrounding",Dang Gui Si Ni Tang (Tangkuei Decoction for Frigid Extremities) if cold present
What is the treatment for chronic inflammation?,"Clear heat, invigorate blood, resolve dampness, harmonize ying and wei, support zheng qi.","LI-11 (Quchi), SP-9 (Yinlingquan), SP-6 (Sanyinjiao), ST-36 (Zusanli), LV-3 (Taichong)",Si Miao San (Four-Marvel Powder) to clear damp-heat
How do you address sleep disturbances during recovery?,"Calm spirit, nourish heart and kidney, regulate yin and yang, anchor ethereal soul.","HT-7 (Shenmen), PC-6 (Neiguan), SP-6 (Sanyinjiao), Yintang, Anmian (Extra)",Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill to Tonify the Heart)
