Question,Answer,Acupuncture_Points,Pharmacopeia
סיבוכים: SP CHI XU יכול לגרום לLU CHI XU או לHT CHI XU כי הטחול מעביר דרך 3 המחממים למחמם העליון.,"העיקרון הטיפולי: לחזק צ'י כללי ולחזק את הטחול. לבדוק האם המקור הוא לא מהכליות (אם כן אז לחזק כליות) וחשוב מאוד שינוי אורח החיים. נקודות דיקור - SP 3 כנקודת יואן של הטחול, ST 36, 37, 39, הנקודה BL 20 כנקודת שו של הטחול, BL 23 כנקודת שו של הכליות, LIV 13 נקודת שער הסדר, מפגש של כל הזאנג, היא גם נקודת התראה של הטחול, מביאה אנרגיית עץ עדינה שיכולה לעורר את הטחול קצת. שיעור 8 - 24.12.12 אטיולוגיה לSP CHI XU - * תזונה לא נכונה, אקלים, סביבה לחה ועוד (שיעור שעבר). * הסימפטומים יהיו חוסר תיאבון, עוד לא התחיל תהליך העיכול של המזון, יש עייפות, המקום של הFIRE חסר, תהיה נפיחות של הבטן, הצואה תהיה רכה, נוטה לנוזלית. יכולות להיות התחלה של בצקות, שרירים חלשים, חוסר יכולת ריכוז, חולשה של גפיים. * הלשון תהיה רחבה, נפוחה, עם סימני שיניים. * הדופק יהיה איטי, כבד, עמוק, אין צ'י שמעלה אותו. אין סירקולצייה. לאורך זמן הריאות יתחילו לסבול, הטחול מזרים לריאות אנרגיה למעלה.","BL20, BL23, LIV13, SP3, ST36",
* SP QI XU יכול גרום לLU או HT QI XU.,"* כשהטחול בבעיה נרצה לבדוק גם את הכליות. * אחד הדברים החשובים הנו אורך החיים שלנו. הגוף שלנו במהותו הוא להיות מאוזן. הגוף יכול לתקן דיסהרמוניה. * מחלת היאפים הנה מחלת עייפות כרונית. זה נוצר בגלל דיסאוננס באורח החיים המערבי שיש בו שפע והיכולת של האדם היא מוגבלת ובעצם כל העידן החדש של עבודה מאומצת, הצבה של הגוף בגירוי, במתח, בדריכות היא אינה מאפשרת מנוחה כי הגוף עובד ודרוך. המרכז שלנו גמור. האדם הכי מכור למחשבות, הפעלה של הYI ללא סוף. ישנה עלייה מתמדת לבעיות שינה על רקע של חוסר דם ומחשבות טורדניות, בעיות הקשורות לSP. * התפקיד שלנו בקליניקה היא להיות יועצים לאיכות חיים. העיקרון הטיפולי נרצה לחזק את המרכז, ST 36,37,39, בנקודות האסוציאציה של הטחול והכליות. גם CV 12.","CV12, ST36",
- אנו מדברים בדרך כלל על מצב החמרה של SP CHI XU או KID YANG XU.,"- זה יכול להגיע גם מדיאטה של מזון קר לאורך זמן. * כל הירקות השורשיים והכתומים - דלעת, דלורית, בטטה, גזר, סלק שמחזק דם, - הטחול מאבד מהכוח היאנגי שלו ואחד התסמינים יהיה של קור. נוסף על התסמינים של SP QI XU יתווספו תסמינים של קור בגפיים, קור כללי, יהיו כאבי בטן של כיווץ - יוטבו על ידי חום. האדם יסבול משלשולים קרים עם חתיכות של אוכל לא מעוכל. אין את היאנג שמשמר למעלה והכל נופל למטה כשלשול וגם אין את היאנג שמאדה את הנוזלים וזה יוצא בשלשול. * תמונת הלשון - היא תהיה רטובה כי יש לי הרבה נוזלים ואין לי יאנג, יהיה חיפוי לבלבן המעיד על קור פנימי, יהיו סימני שיניים. הלשון תהיה חיוורת ולא חיונית. * הדופק יהיה עמוק, חלש כי אין את העוצמה של היאנג. העיקרון הטיפולי - לחזק יאנג כללי ואין היאנג של הטחול כשאני צריך לבדוק מה קורה עם הכליות שהן מקור היאנג בגוף בכלל ושל הטחול בפרט. - בטיפול במצב כזה אנו נשלב מוקסה - השמש מקרינה לצמח יאנג וחום והוא סופח את זה. את המוקסה מדליקים ועושים חימום למקומות בגוף. זה יכול להיות על ידי מקל מוקסה או בקופסה, זה יכול לבוא כתפזורת על המחט ומרפדים את אזור הדיקור על מנת שלא תיווצר כוויה. המוקסה מכניסה חום ובונה יאנג. - טיפול במוקסה לסובלים משלשולים הוא מעולה. - לעשות מוקסה על GV 4 וBL 23 בילטרלית וCV 8 הטחול לא שולט בדם ומחזיק את הדם בכליו",GV4,
"* הסימפטומים זהים לאלו של SP QI XU פלוס איבוד דם. יכולים  להיות לנו שטפי דם. יש אנשים שכל נטייה בהם תיצור סימן כחול, זה מעיד על חולשה של הטחול.","- דם בצואה ודימום בין מחזורים. * פוליפים ברחם - אנו מגדירים כסטגנציה של דם, פוליפ טבעו לגדול כי הוא ניזון מעוד דם. הטבע שלנו הוא לרצות להוציא את זה, נשים הסובלות מפוליפים מרגישות התכווצות כי הרחם מנסה להוציא את זה. אחת הבעיות של הפוליפים היא שהן יכולות להיות סרטניים.",,
"- ברגע שיש דימומים והטחול לא שולט בדם המצב יכול להסתבך ולהוביל לחסר דם בגוף או HT, LIV BLOOD XU","- הלשון תהיה חיוורת ויבשה כי מתחיל חוסר של יין. - הדופק יהיה קטוע ולא אחיד, כמו שבור. הוא לא יזרום בצורה חלקה. העיקרון הטיפולי לחזק את הצ'י של הטחול ואת היאנג של הטחול. בנוסף נחזק את יצור הדם. הנקודות GB 39 תחזק דם וגינג, SP 10 כנקודת ים הדם, BL 11 * במצב שאישה סובלת בדומומים בין מחזורים הנקודה SP 1 במוקסה היא טובה, היא אמפירית טובה לעצירת דימומים, היא נקודת עץ, תנועה. TH 4, CV 4 הן טובות. קריסת הצ'י של הSP","BL11, CV4, GB39, SP1, SP10, TH4",
"תהיה לנו כמו של SP QI XU אבל יתווסף לזה מיחושים ותחושות של משיכה כלפי מטה. הטחול שמחזיק את הכל כלפי מעלה קורס ויש משיכה כלפי מטה. בנוסף יכולים להיות לנו מצב של קוצר נשימה, הטחול שאמור להעלות את האנרגיה למעלה נחלש ולא מאפשר מעבר של אנרגיה לבית החזה. בנוסף הרניות, כילה, שבר.","* צניחת איברים - COLAPS , וורידים בולטים, דליות, זה בגלל שאין את הכוח להעלות את הדם, הכל נושר למטה. יש מצבים של נשים שיוצא להן ווריד ברגל. הטחול ששולט על הרחם הנדרש למאמץ נחלש.",,
* הלשון כמו של SP QI XU וכך גם הדופק רק יותר עמוק הפעם.,"עקרון טיפולי - לחזק את הצ'י העולה של הטחול. הנקודה העיקרית שנעשה הוא GV 20 שהיא נקודה המעלה יאנג למעלה, אפשר SP 8, נעשה הרבה עבודה עם מוקסה כדי להעלות יאנג למעלה. * תפירת נקודות - לוקחים מחט ארוכה ומכניסים למרידיאן SP, ST, CV, תופסים את הצ'י ומעלים אותו למעלה. - בעיקר בונים יאנג. - יש נשים שהכוח של הטחול שלהן חלש והוא לא יכול להחזיק עובר והן מפילות אחרי התחלת הגדילה של העובר. פלישה של קור ולחות לטחול אטיולוגיה - חולשה של T AND T, מתחיל להיווצר לי לחות. - דיאטה של מוצרים קרים ואוכל לא מבושל. - פתוגן חיצוני שתוקף את הגוף ונכנס לתוך הטחול. תסמינים - הרגשה של כבדות ומלאות בחלל הבטן בשל הצטברות של ליחה. היא תגרום לנו לתחושה של בחילות עד כדי הקאות ואז מקיאים ליחה. יהיה חוסר תיאבון כי יש מלאות, הליחה יוצרת משהו ערפילי לא ברור, חוש הטעם נחלש ולא יהיה לנו את היכולת להבדיל בין טעמים. - למערכת העיכול של תינוקות לוקח זמן להיבנות ולהתרגל, בגלל זה הם סובלים מגזים למשל. זה בעיקר בגלל הצורך שלהם לעשות התאמה למזון חדש. נשים המניקות ומקפידות על תזונה התינוק שלהן יסבול פחות מגזים. * המזונות כמו מטרנה מייצרות ליחה. יש ילדים שיש להם ריח קבוע של ליחה, זה כמו ריקבון כי הליחה שוקעת ומתיישבת ולאחר מכן עולה לריאות ומייצרים קושי נשימה ודלקות אוזניים. הליחה כולאת ויוצרת חום. בגלל שהליחה נטייתה לשקוע אנו נרצה לערוך טווינא לילדים, עיסוי וטווינא מעודד תנועה וזה ישחרר את הליחה. * טיפולים כאלו לילדים עובדים מהר כי הגוף שלהם מגיב מהר. * יש אנשים שהמבנה המולד שלהם הוא ליחתי, אנו נראה שמרקם העור שלהם מבריק ושומני, דביק. יכולים לצמוח להם פרונקלים, אקנה עם הפרשה. אצל נשים נראה שיש להן הפרשות ווגינליות, לבנות. אנו","GV20, SP8",
"- תמונת הלשון: היא תהיה כמו של SP QI XU, היא תהיה לבנה שככל שהיא יותר עבה היא מעידה על נוכחות גבוהה יותר של ליחה.","* בתמונת הלשון הכללית הטיפ של הלשון הנו ביטוי של הHT, מתחת LU ומתחת לריאות יש ביטוי לSP,ST, מתחת להן החלק הפנימי הוא ביטוי לKID, בצדדים SI,CO. - הדופק יהיה מתגלגל בשל הליחה, איטי בשל הקור. העיקרון הטיפולי - לנקות את הליחה מהSP, לחזק את הטחול ולפזר את הקור. אפשר SP2 כדי שתסלק ליחה ותטמיר אותה. ST40 היא עיקרית להוצאת ליחה כי היא מעבירה כחיבור של הקיבה חום. הנקודה CV6 היא ים אנרגיה, SP 9 כנקודת ים מים בפיזור ולעשות עם מוקסה עליה. - במידה של שלשולים אז הנקודות ST 25, ST 36, CV 12. במידה ויש הפרשות אצל נשים אז GB 26 שייכת ונקראת DAI MAI והיא נקודה אמפירית להפרשות אצל נשים ובעיות גניקולוגיות. הנקודה GB 25 שהנה נקודת התראה של הכליות טובה. גם CV 3 טובה לבעיות הפרשות. פלישת חום ולחות לSP במצב של פלישה של חום ולחות לטחול ישנה מעורבות של הכבד וכיס המרה. האנרגיה של העץ מדוכאת ולא חופשייה אך האנרגייה ממשיכה לנוע ולעיתים מתפוצצת  ומתפרץ לאדמה. ברגע שהאדמה נפגעת היא אינה בעלת יכולת התנגדות ואז התפקוד של הטחול נפגע ומייצר ליחה. החום עצמו מגיע מהתקיעות של העץ. התוצאה הסופית הנה של ליחה חמה בטחול. - זה יכול לנבוע מפלישה של חום ולחות חיצונית. - זה יכול לנבוע מלחות כרונית בגוף. - אוכל חריף ומתובל, שוקולד, אלכוהול, זה הכל יוצר לחות. הסימפטומים:","CV12, CV3, CV6, GB25, GB26, SP2, SP9, ST25, ST36, ST40",
"- כמו של SP QI XU, כל אזור ההיפוכונדריום יהיה תחת לחץ כי החום דוחף החוצה.","- יהיה שתן צהוב, מועט ועם ריח. - יהיו שלשולים חמים פלוס ריח חם עם גוון צהבהב. - הלובן של העין תהיה צהבהבה. - יהיו בחילות והקאות, צמאון עם אי יכולת לשתות הרבה, טעם מר בפה ותחושות של חום. - הלשון תהיה נפולה עם סימני שיניים וחיפוי צהוב. - הדופק יהיה מתגלגל ומהיר. עיקרון טיפולי - לחזק את הטחול ולפזר את החום והלחות ולעבוד על הכבד וכיס המרה. שיעור 9 - 31.12.12 פלישה של חום ולחות לSP: - יש מעורבות של עץ פולש לאדמה. הכבד וכיס המרה מדוכאים בגלל מתח, לחץ, אורח החיים, תרבות, חוסר יכולת להחצין, לשתף. העץ על כל אותו מנהג רגשי, הרבה רגשות שהם מאוד שליליים ממשיכים בתנועה הפנימית. זה שאני לא צועק לא אומר שאין משהו בפנים. התנהגויות מסוימות יוצרות מיסוך מסויים על מה שבאמת מתרחש בתוך הגוף. - נשים הן הרבה יותר וורבליות, בנים הם יותר מופנמים ופחות מדברים. הרבה פעמים נראה אצל בנים תסמינים של הכבד וכיס המרה כמו טיקים בעיניים, זה תסמין שכיח של סערה פנימית מאוד גדולה כי הן כוחניים. כשהילד סובל מהטיקים בעיניים אפשר לזהות את המצוקה אך היא פנימית. גברים בעולם העבודה מייצרים תסמינים של לחץ דם כלוא, אי אפשר להגיד את כל מה שחושבים, אצל נשים יותר שכיח לראות במעגל הבית. * כל התנועה הפנימית מייצרת חום שמחמם האמצעי, יש לה נטייה להתפרס. - יש כאן אלמנט שנאגר ופתאום מתפוצץ. הטחול שנחלש מתחיל לייצר ליחה. מתוך איברי העץ הליחה מקבלת גוון של חום ולכן יש לנו פלישה של לחות וחום לטחול. לכן יש סימפטומים כמו צמאון, כאב בהיפרגסטריום, בחילות והקאות. החום מתחיל לעלות כלפי מעלה. כדי לחזק את העיקרון הטיפולי: - SP 3, SP 6, שניהם טובים על מנת לחזק ולתמוך בטחול. במידה ואנו רוצים להרגיע את העץ ניתן לעשות את LIV 3, LIV 14. יש נקודה","KID10, LIV14, LIV3, LIV8, SP16, SP3, SP6, SP9",
"* חצי שנה אחרונה עם שלשולים - יאנג שו, SP QI XU, SP YANG XUחזקה מזה כשבועיים -","* תלונה עיקרית של הצטננות חזקה מזה כשבועיים - רוח קור, פתוגן חיצוני, זה מעיד על חולשה של הצ'י המגן. במידה וחימום לא עוזר לנו להשתחרר מהקור זה סימן לפתוגן חיצוני, במידה וזה עוזר זה סימן לחולשה של היאנג. * קור באזור הגב התחתון (כרית חמה) - מעורבות של KID - בעיה ביאנג של KID 1. נפגעה רמת היאנג, הצ'י 2. קור, עודף בשל הפתוגן, חוסר יאנג וצ'י. 3. KID, LU, SP/ST, אין לו הרבה אלמנטים של אדמה בחיים. 4. כאבי ברכיים, נשימה שטחית, השתנה מרובה, 5. הלשון תהיה נפוחה מנוזלים, רטובה, סימני שיניים, יתכן חיפוי דק ולבן כי מתחיל להיות קור פנימי. 6. עמדת הLU בדופק: חיצוני, איטי (רוח קור) עמדת הKID: עמוק, איטי, חלש, לא תהיה את העוצמה של היאנג שנצפה לראות.",,
"7. סינדרומים של KID YANG XU, YANG XU, פתוגן חיצוני של רוח קור.","8. עיקרון טיפולי - סילוק גפ""ח וחיזוק היאנג. 9. להוצאת פתוגן חיצוני נדקור את LU7, CO 4, BL 13, לחיזוק יאנג כללי נעשה מוקסה בBL 13, 23, מוקסה על GV 4, מינג מינג. נקודות לחיזוק יאנג כללי: KID 2, ST 37, ST 39, CV 4, CV 6 * יש לנו 4 נקודות ים בגוף: 3 תחתונות - ST 37, ST 39, BL 39, הנקודה על שלפוחית השתן היא ים תחתונה של TH. עליונה - CO 10, ים עליונה של הקיבה הנקודה על השלפוחית נקראת BL 39 כי היא קשורה לTH. כאשר אני דוקר את שתי הנקודות של הקיבה אני דוקר יצרני אנרגיה, נקודת ים של המעי הדק מעלה כלפי מעלה, של המעי הגס מורידה. כאשר אני דוקר את שניהם אני מפעיל תנועתיות בגוף, מה שיוצר מרכז חזק. מקרה 2: * אישה בת 40, * טרודה, יאפית, *  גוון פנים סמוק, חם - חסר יין * גרושה עם ילד בן 15. * תלונה עיקרית של החמרה בהזעה של כפות הידיים שהחלה לפני 14 שנה - חסר יין, קשר לHT (חום בלב) * דלקת בשלפוחית השתן מנעוריה - חום בBL שפוגע ביין של הכליות ומשפיע על הבקרה על הלב, פתאום מופיעים לה תסמינים של גיל מעבר בצורה מטרידה. * לקחה הרבה אנטיביוטיקה - * עצירות פלוס דימום מחריף לקראת הווסת - חסר דם, חסר יין 1. יין, דם 2. פנימי, חסר 4. הכליות, BL, HT, CO 5. יובש בעור, סבוריאה (יאנג שעולה למעלה), הזעות לילה, צמא (לגימות קטנות), דלקות חניכיים, חולשה כללית, חסר שינה, שתן מרוכז. 6. הלשון תהיה אדומה, יבשה, עם סדקים ומחורצת. 7. תמונת הדופק: הכליות - שטחי כי חסר חומר (אין יין שמושך כלפי מטה), יהיה דק, מהיר (אין יין שמרגיע). 8. עיקרון טיפולי - חיזוק היין. חיזוק היין של הכליות. 9. טיפול - לפתוח את הCV, CV 4, 6, הנקודה KID 3, 6,7, הנקודה ST 36 בצד ימין תחזק את היין של הכליות בצד שמאל בונה JIN, YE, הנקודה LU1. הנקודה S","BL13, BL39, CO10, CO4, CV4, CV6, GV4, HT6, KID10, KID2, KID3, LIV9, LU1, LU7, SP12, SP6, ST36, ST37, ST39",
"KID YIN XU – אתיולוגיה – מדוע מתרחש? יש את סדרת האתיולוגיות שהזכרנו קודם כשדיברנו על הכליות. בנוסף חום ממושך לאורך זמן שפוגע בנוזלים או בדם. דבר נוסף חסר צ'י וחולשה באיברים היינים, ברגע שהם בחסר הם מושכים אנרגיה מהכליות. איבוד רב של דם, באופן ראשון יפגע בכבד ובלב כי הם מתעסקים עם דם, יכול להיות מטראומה פיזית, מלידה ומדימומים שהוזנחו. במאמר מוסגר הרבה פעמים אנחנו נופלים באבחון, אנו לא עולים על שורש הבעיה ובדרך אנחנו מחבלים.","סימפטומים – פנים סמוקות, יובש בפה ובגרון ובשפתיים, כפות רגליים וידיים חמות ומזיעות, הזעות לילה, הזעות אחרי הצהריים, עצירות, שתן כהה ומרוכז, הרגשת צימאון ללגימות קטנות, חולשה כללית, צלצולים באוזניים, חוסר רגיעה ומנוחה, התחלת איבוד משקל (אין את היין שמעגן ומרגיע, היאנג כותש), אף סתום, סחרחורות, עיניים יבשות, יכולות להיות גם אדומות, כאבי גב תחתון, כאבים בברכיים, קרי לילה (היאנג מתגבר), יצר וחשק מיני מתגבר, אחרי שפיכה הגבר מרגיש עייפות מאוד גדולה. עצירות על רקע חוסר סיכה. כאב בעצמות עם תחושת בערה בעצמות. הפרעות לSHEN, בעיות שינה. * תמונת הלשון – יבשה, אדומה (חום עולה למעלה), סדוקה, מחורצת, דקה, חריץ המגיע משורש הלשון. * דופק – דק, אין חומר, מהיר-החום מאיץ , חיצוני- היין לא מושך כלפי מטה.",,
"החרפה תביא ל – LIV YIN XU, ו\או HT YIN XU.","* מטרת הטיפול – חיזוק יין כללי, חיזוק  KID YIN. * נקודות לדיקור – KID3' KID6 , liv9, kid7, sp6  st36 בצד ימין מחזקת kid yin.lu1 מחזקת.","KID3, KID6",
KID YANG XU,"אתיולוגיה- מחלה כרונית ממושכת בזמן של מחלה כרונית הגוף לוקח המון אנרגיה מהרזרבות ומהבסיס שזה היאנג של הגוף. מה שגורם בסופו של דבר לכילוי וכרסום בצ'י וביאנג. מצב מולד. עבודה לא מבוקרת ומחשבה לא מבוקרת, מין לא מבוקר, כל זה מחליש את הכליות, אנו מייחסים בד""כ לטחול אך כשזה מוגבר ומואץ ולא מבוקר זה מכרסם לנו ופוגע בכליות. גיל מבוגר זו גם סיבה, תת תזונה,",,
בעיה כרונית של HT YANG XU או של SP YANG XU – הוא מתחיל לשאוב מהכליות ואז הכליות קורסות.,"הסימפטומים של KID YANG XU – במצב זה יש תסמינים מופרזים של קור, היאנג מאבד מהיכולת שלו לחמם, הקור יתבטא בעיקר בגב תחתון, עכוזים, ובברכיים. צבע הפנים מאוד חיוור, אין יאנג שמעלה למעלה צ'י ודם, חוסר ויטאליות, חוסר חשק לעשות דברים, יחד עם זה בד""כ יהיו לנו גם סימפטומים של JING XU – לאדם יהיה חסר בחשק מיני, יהיה כבוי, אימפוטנציה, כמות ואיכות זרע נמוכות, אצל נשים – חוסר פריון – זו מעורבת גם של YIN XU . בצקות בעיקר בחלק התחתון של הגוף, שתן רב נטול ריח, רפיון שרירים, תיאבון ירוד. אנחנו יכולים לראות שמצב ארוך כזה מוביל להתקף לב פתאומי.",,
"הסיבוכים מKID YANG XU יכולים להיות SP YANG XU, כי קור היאנג הוא בכליות, בנוסף יכול להתפתח לHT YANG XU – פלפיטציות, קוצר נשימה. זה יכול לייצר גם LU QI XU וזה בגלל שהכליות לא מצליחות לעגן את האנרגיה ואז הכל מצטבר בריאות וגורם לתשישות.","* הלשון – חיוורת – לא עולה שום דבר למעלה, גדולה ונפולה, חיפוי דק לבן, רטובה, נפוחה. * הדופק – איטי, עמוק, וחלש. * עיקרון טיפולי ונקודות לדיקור – לחשוב בבית. 1. תיאור מקרה: * הגיע באיחור - עבודה מרובה. * לפני חודשיים החלה תופעה של נשירת שיער - * קול חלש - ביטוי של יין במחלה, * טיסות עבודה סביב השעון לקנדה (יעד יחסית קר) - אורח חיים לא מאוזן ואקלים קר. * נפרד לפני שלושה חודשים מהחברה, רגע לפני חתונה -",,
* מרבה להשתעל קלות - תסמינים של LU QI XU,"* גוף לח ומעט דביק - 2. נפגעה רמת היאנג, הצ'י. יש כאן אטיולוגיה של YIN XU ( אורח חיים לא מאוזן, עבודה מרובה המכלה את התמציות, מצב אמוציונלי של המון כאב, צער, עצבות), אלו הן גם גורמים לQI XU. יש כאן גם חסר דם 3. פנימי, חסר של צ'י ודם. 4.האיבר הראשון הוא LU, יש כאן חוסר של צ'י. האיבר השני הנו SP, חוסר איזון בין עבודה למנוחה מוביל לחוסר צ'י ודם. 5. דופק חלש ואיטי, עמוק-אין צ'י שמרים. בטחול הדופק יהיה מתגלגל, מלא ואיטי 6.לשון חיוורת, נפולה, גדולה עם חיפוי לבן.",,
"8. LU QI XU, שיעול חלש, קול חלש. בנוסף יש כאן פלישה של ולחות לSP, זה בא לידי ביטוי בגוף הלח ומעט דביק. זה קורה מחוסר היכולת של הSP לבצע T AND T,","9. חיזוק צ'י, קודם כל של הכליות, אחר כך טחול ואחר כך ריאות. 10. BL 13, LU 9, ST 40, KID 3 שיעור 11 - 14.1.13 המשך המקרה בן 29, יציב, בשיא אונו, מחזיק זוגיות קבועה. העבודה שלו מכלה ושוחקת את האדמה. הפרידה מהחברה הייתה מכה ליציבות, לאדמה. טראומות יכולות להיספג בכמה רמות. צפיפות ועובי השיער היא מדד לאיכות הכליות, הברק של השיער היא מדד לאיכות הריאות. * נשירת השיער אנו יכולים לשייך לחוסר דם. * קול חלש מעיד על חסר צ'י.","BL13, KID3, LU9, ST40",
"* שיעול קל מעיד על חסר צ'י, LU QI XU.","* עם חסר לי צ'י אז נקבוביות העור נשארות פתוחות ויוצאים נוזלים. * אדמה חלשה מתחילה לייצר ליחה ולא מייצרת דם ואנרגיה באופן תקין. * יש לנו כאן בעיה של שכבת טאי יין. * יש את הSP שחטף חבטה ובנוסף להיותו שחוק, פוגע דרך מעגל חמשת האלמנטים או שלושת המחממים בריאות, יש כאן מרכז חלש שלא מייצר דם וצ'י. * במידה והטראומה תשפיע על חייו שבמידה והוא ימשיך ככה לעבוד, בנוסף לרפיון של העדר מתכת ודיוק וכן רפיסות. *הגוף הלח ודביק זה כי הנקבוביות פתוחות והליחה יוצאת החוצה.",,
"* יש כאן חולשה של טאי יין, SP QI XU, LU QI XU.","* SP 10, ST 40, ST 37, ST 39, * כשאני עושה שימוש בשתי נקודות של מרידיאנים שמרכיבים שכבה אני מחזק את השכבה. * העיקרון הטיפולי בKID YANG XU: - חיזוק היאנג של הכליות בתוספת מוקסה, חיזוק וחימום הכליות, חיזוק האש במינג מנג. * נקודות הדיקור - KID 2 כנקודת אש המחזקת את היאנג של הכליות. הנקודה KID 3 לא מומלצת כאשר הפציינט עייף כי יש משיכה מהאדמה. הנקודה KID 7 כנהר מתכת טובה. הנקודה KID 9 טובה, BL 23 כנקודת אסוציאציה של הכליות מחזקת את היאנג של הכליות. הנקודות בה CV 4, 6, 8 במוקסה מועילות","BL23, CV4, KID2, KID3, KID7, KID9, SP10, ST37, ST39, ST40",
1. KID JING XU בשילוב עם KID YANG XU.,"2. לחץ מנטלי ששוחק את הכליות. 3. פחד כרוני. 4. גיל מבוגר. * התסמינים מחולקים ל3 קטגוריות: א. המין - שפיכה מוקדמת,  קרי לילה ללא חלומות, חיות וכמות זרע מועטת, אצל נשים חולשה בשרירי הרחם, צניחת רחם, הרחם לא ממוקמת כהלכה, הפרשות מהווגינה. ב. השתן - הרבה פיפי ואי אפשר להתאפק, אין אחיזה. השתן בהיר וצלול, היחלשות של הסוגרים, אין תפיסה שלהם, בריחת שתן בלילה, מתן שתן לא רצוף כי הצ'י לא זורם בהרמוניה. ג. KID YANG - האדם יסבול מעייפות ולאות נוראית, תחושת תשישות, כאבי גב תחתון, ברכיים, כאבים בעצמות, תחושות קור והזעות לילה (נקבוביות פתוחות) ללא חלומות כי אין חום והפרעה לSHEN * הלשון חיוורת, נפולה, מלאה בנוזלים, עם שכבה לבנה. * הדופק עמוק, אין יאנג שיעלה כלפי מעלה, חלש ואיטי.",,
* KID YANG XU יכול להוביל לKID YIN XU ולפגיעה בגינג.,"* טיפול - חיזוק הצ'י והיאנג של הכליות. * נקודות - BL 23, CV 4, SP 6, שלושת הנקודות הללו משבחות את הזרע. BL 22 יכולה להיות טובה במצבים של שפיכה מוקדמת כי היא מחזקת את היאנג של הכליות (הנקודה היא נקודת SHU של TH). הנקודה BL28 יכולה להיות טובה. - סיבוכים: יכול לגרום לKID YIN XU ולפגיעה ברמת הגינג. סינדרום נוסף - KID לא אוחזות ומעגנות את האנרגייה: * יש קשר מאוד חשוב בין הכליות לבין הריאות. כאשר אנו לוקחים אוויר פנימה הכליות הן האחראיות להכניס את האוויר לחלק התחתון של הבטן. כאשר בחלק התחתון אותה נשימת אוויר מקבלת את החותמת מהMING MENG. במצב שבו הכליות אינן יכולות לעגון ולהחזיק את הצ'י חלה מעין מרידה אנרגטית כלפי מעלה היוצרת דוחק וצפיפות באזור הבטן ובית החזה המתבטאת בקוצר נשימה ובאסטמה. זו סיבה לאסטמה כרונית בקרב אנשים. * כשאני לא נושם כראוי אני יוצר כשל בין הקשר של הכליות והריאות. * אטיולוגיה:","BL22, BL23, BL28, CV4, SP6",
- KID YANG XU,"- מחלה כרונית של הריאות או הכליות או שניהם. - חוסר יכולת של הריאות להוריד אנרגיה למטה. * סימפטומים: - נשימה שטחית ומתונה. - קוצר נשימה, אסטמה שתתבטא בקושי להכנסת אוויר לריאות. - הזעות יום בשל חסר צ'י. - שיעולים - גפיים קרות - אדם חסר חיות, אדיש, חוסר רצון ומוטיבציה לעשייה. - נפיחות (בצקות) בפנים. - שתן נקי, צלול. בעת התקפה של אסטמה למטופל יהיה פתאום שתן בהיר וצלול וצורך להשתין בעת ההתקפה (חוסר יכולת אחיזה) - הסיבוכים הן היחלשות הLU בשל הקשר בין הריאות לכליות. * הטיפול - חימום הגוף, חיזוק הצ'י של הכליות וחיזוק תפקוד הריאות, הורדת הצ'י. * נקודות - LU9, CV 4, CV 6, LU 2, GV 4, BL 52, * לשון חיוורת ונפולה * דופק איטי וחלש סינדרום - הצפת מים בכליות: - הסינדרום מדבר על מצב שבו יותר מדי מים מצטברים בגוף מה שמוביל או גורם להצפה. * אטיולוגיה - 1. מחלה כרונית ממושכת שפוגעת בתפקוד של היאנג של הכליות פלוס הצ'י של הכליות, שגורמת לחוסר טרנספורמציה של המים, זה גורם לגודש והצטברות של נוזלים בגוף. 2. טיפול לא נכון שפוגע ביאנג של הכליות. זה או טיפול מערבי תרופתי או אבחנה לא מדויקת. זה יכול להיות גם טיפול לא נכון של צמחים.","BL52, CV4, CV6, GV4, LU2, LU9",
