question,answer,acupuncture_points,pharmacopeia
How does TCM address dampness from excessive dairy consumption?,"Spleen Qi Deficiency with Damp-Phlegm Accumulation. Dairy cooling and dampening, weakens spleen transformation. Transform phlegm-damp, strengthen spleen, reduce or eliminate dairy products.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), SP-6 (Sanyinjiao), BL-20 (Pishu)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Er Chen Tang, eliminate dairy"
What helps patients with bloating from too much bread and wheat?,"Spleen Qi Deficiency with Damp Accumulation. Excess wheat cooling and dampening for some constitutions. Strengthen spleen, resolve dampness, reduce wheat, try alternative grains.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), SP-6 (Sanyinjiao)","Shen Ling Bai Zhu San (Ginseng, Poria) plus reduce wheat, diversify grains"
How to treat heat symptoms from carnivore/all-meat diet?,"Stomach-Intestine Heat with Yin Deficiency. All-meat diet extremely warming and drying, creates heat. Clear heat, nourish yin, balance with vegetables, reduce meat frequency.","LI-11 (Quchi), ST-44 (Neiting), ST-36 (Zusanli), KI-3 (Taixi), SP-6 (Sanyinjiao), LU-5 (Chize)","Qing Wei San (Clear Stomach) plus Zhi Zi Chi Tang (Gardenia and Soy), add vegetables"
What TCM treatment helps gluten-free dieters still experiencing dampness?,"Spleen Qi Deficiency with residual Dampness. Gluten removal helps but other damp-forming foods continue pattern. Strengthen spleen, transform dampness comprehensively, identify all triggers.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), SP-6 (Sanyinjiao)","Shen Ling Bai Zhu San (Ginseng, Poria) plus identify all damp-forming foods"
How does TCM support patients following low-FODMAP for IBS?,"Liver Qi Invading Spleen with Dampness-Heat. IBS often involves liver-spleen disharmony. Soothe liver, strengthen spleen, clear damp-heat, continue low-FODMAP as needed.","LV-3 (Taichong), ST-25 (Tianshu), ST-36 (Zusanli), PC-6 (Neiguan), SP-6 (Sanyinjiao), SP-9 (Yinlingquan)",Tong Xie Yao Fang (Painful Diarrhea) plus Xiao Yao San (Free and Easy Wanderer)
What helps restore balance after extreme calorie restriction diets?,"Severe Qi-Blood Deficiency with Spleen-Kidney Depletion. Extreme restriction depletes all vital substances. Tonify qi-blood-yin-yang, strengthen spleen-kidney, gradually restore nourishment.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), BL-20 (Pishu), BL-23 (Shenshu), KI-3 (Taixi)",Bu Zhong Yi Qi Tang (Tonify Middle) plus Ba Zhen Tang (Eight Treasures)
How to treat nutrient deficiency from overly restrictive eating?,"Multiple Deficiencies with Impaired Transformation. Overly restrictive eating depletes across organ systems. Comprehensive tonification, strengthen spleen, expand food variety gradually.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), REN-6 (Qihai), BL-17 (Geshu), BL-20 (Pishu)",Ren Shen Yang Rong Tang (Ginseng Nourish Luxuriance) plus tailored supplements
What TCM approach helps patients addicted to processed foods?,"Spleen Qi Deficiency with Dampness and Qi Stagnation. Processed foods deplete qi and create dampness-stagnation. Tonify spleen, resolve dampness, move qi, transition to whole foods.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-9 (Yinlingquan), ST-40 (Fenglong), SP-6 (Sanyinjiao), LV-3 (Taichong)","Shen Ling Bai Zhu San (Ginseng, Poria) plus gradual whole food transition"
How does TCM address metabolic issues from high-sugar diet?,"Spleen Qi Deficiency with Damp-Heat. High sugar creates dampness, heat, and depletes spleen qi. Clear damp-heat, tonify spleen, eliminate refined sugars, stabilize blood sugar.","ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), LI-11 (Quchi)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Er Chen Tang, eliminate refined sugars"
What helps patients transition from unhealthy to balanced eating?,"Spleen-Stomach Qi Deficiency requiring gentle restoration. Support spleen-stomach, resolve accumulated dampness-stagnation, gradually introduce nourishing whole foods.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), BL-20 (Pishu), PC-6 (Neiguan)","Xiang Sha Liu Jun Zi Tang (Aucklandia, Amomum) plus gentle dietary expansion"
What TCM treatment balances excessive red meat consumption creating heat?,"Stomach-Intestine Heat with Yin Deficiency. Excessive red meat very warming, creates heat and dryness. Clear heat, nourish yin, reduce meat frequency, balance with cooling foods.","LI-11 (Quchi), ST-44 (Neiting), KI-3 (Taixi), SP-6 (Sanyinjiao), ST-36 (Zusanli), LU-5 (Chize)","Qing Wei San (Clear Stomach) plus Zhi Bai Di Huang Wan (Anemarrhena, Phellodendron)"
How does TCM address dampness from eating too much dairy?,"Spleen Qi Deficiency with Severe Damp-Phlegm. Dairy cooling and phlegm-forming, overwhelms spleen. Transform phlegm-damp, tonify spleen, eliminate or greatly reduce dairy.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), SP-6 (Sanyinjiao), LU-7 (Lieque)","Er Chen Tang (Two-Cured) plus Shen Ling Bai Zhu San, eliminate dairy"
What helps patients with digestive upset from beans and legumes?,"Spleen Qi Deficiency with Dampness and Qi Stagnation. Legumes dampening and cause bloating when spleen weak. Strengthen spleen, resolve dampness, soak beans, cook with digestive spices.","ST-36 (Zusanli), SP-6 (Sanyinjiao), ST-25 (Tianshu), REN-12 (Zhongwan), SP-9 (Yinlingquan), LV-3 (Taichong)","Bao He Wan (Preserve Harmony) plus soak beans, cook with spices"
How to treat cholesterol issues while maintaining adequate protein?,"Phlegm-Dampness with Liver Qi Stagnation. High cholesterol often involves dampness-phlegm. Transform phlegm-damp, soothe liver, choose lean proteins, fish, plant sources.","ST-40 (Fenglong), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), LV-3 (Taichong), ST-36 (Zusanli), BL-18 (Ganshu)","Er Chen Tang (Two-Cured) plus Wen Dan Tang (Warm Gallbladder), choose lean proteins"
What TCM approach helps pescatarians optimize fish consumption?,"Fish nourishes yin and blood, supports kidney. Ensure variety, avoid excessive mercury, balance cooking methods, complement with warming vegetables.","KI-3 (Taixi), SP-6 (Sanyinjiao), BL-23 (Shenshu), ST-36 (Zusanli), BL-17 (Geshu)","Quality fish 3-4x/week, vary types, avoid excessive mercury species"
How does TCM support egg allergies or sensitivities?,"Spleen-Stomach Disharmony with possible Heat or Dampness. Strengthen spleen-stomach, resolve heat or dampness based on pattern, find alternative proteins.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), LI-11 (Quchi), BL-20 (Pishu)","Xiang Sha Liu Jun Zi Tang (Aucklandia, Amomum) plus find alternatives"
What helps vegetarians prevent blood deficiency?,"Blood Deficiency with potential Spleen Qi Deficiency. Vegetarian diet must actively nourish blood. Tonify qi-blood, include eggs, dark leafy greens, legumes, dates, goji, supplements.","ST-36 (Zusanli), SP-6 (Sanyinjiao), BL-17 (Geshu), BL-20 (Pishu), ST-25 (Tianshu), REN-12 (Zhongwan)",Ba Zhen Tang (Eight Treasures) plus Gui Pi Tang (Restore Spleen)
How to treat bloating and gas from protein powder supplements?,"Spleen Qi Deficiency with Food Stagnation. Concentrated protein powders difficult for weak spleen to transform. Strengthen spleen, resolve stagnation, use whole food proteins, reduce supplements.","ST-36 (Zusanli), REN-12 (Zhongwan), ST-25 (Tianshu), SP-6 (Sanyinjiao), PC-6 (Neiguan), BL-20 (Pishu)",Bao He Wan (Preserve Harmony) plus use whole food proteins instead
What TCM treatment helps balance high poultry consumption?,"Chicken tonifies spleen qi and is warming. Balance with vegetables, vary cooking methods, ensure quality, avoid excessive fried preparation.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), BL-20 (Pishu), REN-6 (Qihai)","Si Jun Zi Tang (Four Gentlemen) plus vary cooking, ensure quality"
How does TCM address protein deficiency in elderly?,"Spleen-Kidney Qi Deficiency with Blood Deficiency. Elderly often have weak digestive fire and protein needs. Tonify spleen-kidney, nourish blood, choose easily digestible proteins, bone broth.","ST-36 (Zusanli), REN-6 (Qihai), KI-3 (Taixi), SP-6 (Sanyinjiao), BL-20 (Pishu), BL-23 (Shenshu)","Ren Shen Yang Rong Tang (Ginseng Nourish Luxuriance) plus easy proteins, bone broth"
What helps patients who can't digest heavy proteins?,"Spleen Yang Deficiency with possible Dampness. Weak digestion struggles with heavy proteins. Warm spleen yang, strengthen digestion, use light proteins, fish, eggs, small portions.","ST-36 (Zusanli), REN-12 (Zhongwan), REN-6 (Qihai), SP-6 (Sanyinjiao), BL-20 (Pishu), DU-4 (Mingmen)","Xiang Sha Liu Jun Zi Tang (Aucklandia, Amomum) plus fish, eggs, small portions"
How to treat fatigue from inadequate protein intake?,"Severe Qi and Blood Deficiency with Spleen Weakness. Inadequate protein depletes qi-blood and muscles. Tonify qi-blood, strengthen spleen, gradually increase quality protein intake.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-6 (Qihai), BL-17 (Geshu), BL-20 (Pishu), REN-12 (Zhongwan)",Bu Zhong Yi Qi Tang (Tonify Middle) plus quality protein gradually increased
What TCM treatment helps blood sugar issues from white rice diet?,"Spleen Qi Deficiency with Damp-Heat tendency. White rice neutral but high glycemic affects blood sugar. Tonify spleen, balance with protein-vegetables, add brown rice variety.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), PC-6 (Neiguan), BL-20 (Pishu)","Shen Ling Bai Zhu San (Ginseng, Poria) plus balance with protein-vegetables"
How does TCM address bloating from too much wheat/bread?,"Spleen Qi Deficiency with Damp-Phlegm. Excess wheat cooling and dampening, creates bloating. Strengthen spleen, transform dampness, reduce wheat, diversify grains.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), SP-6 (Sanyinjiao)","Shen Ling Bai Zhu San (Ginseng, Poria) plus reduce wheat, diversify grains"
What helps patients who eliminated all grains and feel weak?,"Spleen Qi Deficiency from lack of natural grain tonification. Grains tonify spleen qi naturally. Tonify spleen, reintroduce well-cooked grains gradually, choose easily digestible varieties.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), REN-6 (Qihai), BL-20 (Pishu)",Bu Zhong Yi Qi Tang (Tonify Middle) plus reintroduce well-cooked grains
How to treat constipation from low-fiber grain-free diet?,"Yin-Blood Deficiency with Intestinal Dryness. Grain-free often lacks fiber and moisture. Nourish yin-blood, moisten intestines, add back gentle grains, increase vegetables.","ST-25 (Tianshu), ST-36 (Zusanli), ST-37 (Shangjuxu), SP-6 (Sanyinjiao), KI-6 (Zhaohai), TE-6 (Zhigou)",Ma Zi Ren Wan (Hemp Seed) plus Zeng Ye Tang (Increase Fluids)
What TCM approach optimizes brown rice digestion?,"Brown rice slightly harder to digest but more nutritious. Strengthen spleen digestion, soak rice before cooking, chew thoroughly, balance with warming foods.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), BL-20 (Pishu), REN-6 (Qihai)","Shen Ling Bai Zhu San (Ginseng, Poria) plus soak rice, add warming spices"
How does TCM support patients who can't tolerate oats?,"Spleen-Stomach Qi Deficiency with Cold or Damp. Assess if oats too cooling or dampening. Warm spleen, try different preparation, add warming spices, switch to rice.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), DU-4 (Mingmen), BL-20 (Pishu)","Li Zhong Wan (Regulate Middle) plus warming preparation, try rice instead"
What helps balance blood sugar with proper grain consumption?,"Spleen Qi Deficiency with Blood Sugar Imbalance. Strengthen spleen, balance grain portions with protein-vegetables, choose whole grains, regular meal timing.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), PC-6 (Neiguan), BL-20 (Pishu)","Shen Ling Bai Zhu San (Ginseng, Poria) plus balanced portions, whole grains"
How to treat dampness accumulation from excessive carb intake?,"Spleen Qi Deficiency with Excessive Dampness. Too many refined carbs create dampness and weaken spleen. Tonify spleen, resolve dampness, reduce refined carbs, choose whole grains moderately.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), SP-6 (Sanyinjiao), REN-12 (Zhongwan)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Er Chen Tang, moderate portions"
What TCM treatment helps gluten sensitivity symptoms?,"Spleen-Stomach Disharmony with Dampness. Gluten sensitivity creates inflammation and dampness. Strengthen spleen, resolve dampness, strict gluten avoidance, heal gut.","ST-36 (Zusanli), SP-9 (Yinlingquan), REN-12 (Zhongwan), SP-6 (Sanyinjiao), LI-4 (Hegu)","Shen Ling Bai Zhu San (Ginseng, Poria) plus strict gluten avoidance, gut healing"
How does TCM address energy crashes after refined carbs?,"Spleen Qi Deficiency with Blood Sugar Instability. Refined carbs spike and crash blood sugar, deplete spleen. Tonify spleen, stabilize blood sugar, eliminate refined sugars, choose complex carbs.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), PC-6 (Neiguan), BL-20 (Pishu)","Shen Ling Bai Zhu San (Ginseng, Poria) plus eliminate refined carbs"
What TCM treatment helps patients who eat only raw vegetables?,"Severe Spleen Yang Deficiency with Cold-Dampness. Raw vegetables extremely cold and damp, damage spleen yang. Warm spleen yang, resolve cold-damp, transition to cooked vegetables.","ST-36 (Zusanli), REN-12 (Zhongwan), REN-6 (Qihai), DU-4 (Mingmen), SP-6 (Sanyinjiao), moxa","Li Zhong Wan (Regulate Middle) plus heavy moxa, transition to cooked only"
How does TCM address cold symptoms from excessive fruit consumption?,"Spleen Yang Deficiency with Cold and Dampness. Excessive fruit cooling and dampening, weakens spleen yang. Warm spleen yang, reduce cold-cool fruits, choose warming varieties, cook fruits.","ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), SP-6 (Sanyinjiao), REN-12 (Zhongwan), moxa","Li Zhong Wan (Regulate Middle) plus reduce fruit, choose warming types, cook"
What helps patients who avoid vegetables and lack nutrients?,"Yin-Blood Deficiency with Vitamin-Mineral Depletion. Vegetables nourish yin and blood. Nourish yin-blood, introduce cooked vegetables gradually, ensure variety and color.","SP-6 (Sanyinjiao), BL-17 (Geshu), ST-36 (Zusanli), BL-18 (Ganshu), BL-20 (Pishu)",Yang Xue Tang (Nourish Blood) plus introduce cooked vegetables gradually
"How to treat dampness from tropical fruits (pineapple, mango, banana)?","Spleen Qi Deficiency with Severe Dampness. Tropical fruits very cooling and dampening. Strengthen spleen, resolve dampness, eliminate tropical fruits, choose temperate varieties.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), SP-6 (Sanyinjiao)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Er Chen Tang, eliminate tropical fruits"
What TCM approach optimizes vegetable digestion?,"Spleen Qi Deficiency requiring support. Strengthen spleen qi, primarily cook vegetables, steam or stir-fry, warm nature easier to transform.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), BL-20 (Pishu), REN-6 (Qihai)","Shen Ling Bai Zhu San (Ginseng, Poria) plus primarily cook vegetables"
How does TCM support patients with poor vegetable tolerance?,"Spleen-Stomach Qi Deficiency with possible Cold. Weak digestion struggles with fiber and cooling nature. Tonify spleen-stomach, warm if cold, cook thoroughly, puree if needed, start small.","ST-36 (Zusanli), REN-12 (Zhongwan), REN-6 (Qihai), SP-6 (Sanyinjiao), BL-20 (Pishu), DU-4 (Mingmen)","Xiang Sha Liu Jun Zi Tang (Aucklandia, Amomum) plus cook thoroughly, puree"
What helps balance between raw and cooked vegetable intake?,"Optimal is majority cooked with small raw amounts if tolerated. Cook vegetables to support spleen, add small raw portions only if strong digestion.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), BL-20 (Pishu), REN-6 (Qihai)",Primarily cooked with small raw amounts if strong digestion allows
How to treat bloating from cruciferous vegetables?,"Spleen Qi Deficiency with Qi Stagnation. Cruciferous vegetables cause gas when spleen weak and qi stagnates. Tonify spleen, move qi, cook thoroughly, reduce portions, add digestive spices.","ST-36 (Zusanli), REN-12 (Zhongwan), ST-25 (Tianshu), LV-3 (Taichong), PC-6 (Neiguan), SP-6 (Sanyinjiao)","Bao He Wan (Preserve Harmony) plus Mu Xiang Shun Qi San, cook thoroughly"
What TCM treatment addresses constipation despite high fiber intake?,"Spleen Qi Deficiency with Blood-Yin Deficiency and Intestinal Dryness. High fiber but dry intestines need moisture. Tonify spleen, nourish yin-blood, add healthy fats, increase fluids.","ST-25 (Tianshu), ST-36 (Zusanli), SP-6 (Sanyinjiao), KI-6 (Zhaohai), BL-17 (Geshu), TE-6 (Zhigou)","Zeng Ye Tang (Increase Fluids) plus润肠 formula, add healthy fats"
How does TCM help patients who eat dried fruits excessively?,"Dampness with potential Heat from concentrated sugars. Dried fruits warming but very sweet and dampening. Resolve dampness, reduce dried fruit, choose small amounts, pair with tea.","SP-9 (Yinlingquan), ST-40 (Fenglong), ST-36 (Zusanli), REN-12 (Zhongwan), LI-11 (Quchi)","Er Chen Tang (Two-Cured) plus reduce portion, pair with tea"
What helps patients optimize fruit intake for their constitution?,"Fruit nature varies by type. Cooling fruits for heat conditions, warming for cold, neutral for balance, consider constitution and season.","Based on constitution: cooling fruits for heat, warming for cold, neutral for balance",Individualized formula based on constitution and season
How to treat diarrhea from too much raw fruit consumption?,"Spleen Yang Deficiency with Cold-Dampness. Raw fruit cold and damp, overwhelms weak spleen. Warm spleen yang, resolve dampness, cook fruits, reduce quantity, choose warming types.","ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), REN-12 (Zhongwan)","Li Zhong Wan (Regulate Middle) plus cook fruits, reduce quantity"
What TCM treatment helps coffee addiction depleting kidney yin?,"Kidney Yin Deficiency with Heart Fire. Coffee warming, stimulates heart, depletes kidney yin over time. Nourish kidney yin, calm heart, gradually reduce coffee, substitute green tea.","KI-3 (Taixi), KI-6 (Zhaohai), HT-7 (Shenmen), SP-6 (Sanyinjiao), BL-23 (Shenshu), BL-15 (Xinshu)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Zhi Bai Di Huang Wan
How does TCM address anxiety and insomnia from excessive caffeine?,"Heart-Gallbladder Qi Deficiency with Phlegm-Fire. Excessive caffeine creates heat, agitates shen, depletes qi. Calm shen, tonify heart-gallbladder, clear phlegm-fire, eliminate caffeine gradually.","HT-7 (Shenmen), PC-6 (Neiguan), Yintang, ST-40 (Fenglong), LI-11 (Quchi), KI-3 (Taixi)",Tian Wang Bu Xin Dan (Emperor of Heaven) plus Wen Dan Tang (Warm Gallbladder)
What helps patients addicted to sugary sodas and energy drinks?,"Spleen Qi Deficiency with Severe Damp-Heat. Sugary drinks create extreme dampness and heat, weaken spleen. Clear damp-heat, tonify spleen, eliminate sugar drinks, transition to water-tea.","ST-36 (Zusanli), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), LI-11 (Quchi), SP-6 (Sanyinjiao)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Long Dan Xie Gan Tang"
How to treat dampness from drinking too much cold/iced beverages?,"Severe Spleen Yang Deficiency with Cold-Dampness. Iced drinks directly damage spleen yang and create cold-damp. Warm spleen yang, resolve cold-damp, drink only room temperature or warm beverages.","ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), SP-9 (Yinlingquan), REN-12 (Zhongwan), moxa",Li Zhong Wan (Regulate Middle) plus room temperature/warm beverages only
What TCM approach helps alcohol-related liver and spleen damage?,"Liver Qi Stagnation transforming to Damp-Heat with Spleen Deficiency. Alcohol generates damp-heat, damages liver-spleen. Soothe liver, clear damp-heat, tonify spleen, eliminate or minimize alcohol.","LV-3 (Taichong), LV-14 (Qimen), SP-9 (Yinlingquan), ST-36 (Zusanli), BL-18 (Ganshu), BL-20 (Pishu)",Xiao Yao San (Free and Easy Wanderer) plus Yin Chen Hao Tang (Capillaris)
How does TCM support patients drinking excessive fruit juice?,"Spleen Qi Deficiency with Dampness from concentrated fruit sugars. Clear dampness, tonify spleen, eliminate juice, eat whole fruits in moderation instead.","ST-36 (Zusanli), SP-9 (Yinlingquan), SP-6 (Sanyinjiao), REN-12 (Zhongwan), ST-40 (Fenglong)","Shen Ling Bai Zhu San (Ginseng, Poria) plus eliminate juice"
