question,answer,category,source
"How to treat contact dermatitis with TCM?","Contact dermatitis is external Wind-Heat or Damp-Heat invasion. Red swollen itchy skin indicates Wind-Heat. Weeping vesicles indicate Damp-Heat. Points: LI4, LI11, SP10, BL40, local points. Formula: Xiao Feng San.",dermatology,tcm-dermatology
"What causes boils and carbuncles in TCM?","Boils and carbuncles are Heat Toxins accumulating in the flesh. Single boils indicate external Heat invasion. Multiple recurring boils indicate internal Damp-Heat or Yin Deficiency with Fire. Points: LI4, LI11, SP10, local Ashi points. Formula: Wu Wei Xiao Du Yin.",dermatology,tcm-dermatology
"How does TCM address excessive sweating (hyperhidrosis)?","Excessive sweating patterns: Spontaneous sweating indicates Qi Deficiency with unstable Wei Qi. Night sweats indicate Yin Deficiency with Empty Heat. Localized palm/foot sweating indicates Damp-Heat. Points: LI4, KD7, HT6, SI3. Formula: Yu Ping Feng San for Qi Def, Dang Gui Liu Huang Tang for Yin Def.",dermatology,tcm-dermatology
"What is the TCM treatment for melasma (chloasma)?","Melasma involves Liver Qi Stagnation causing Blood Stasis in facial channels, often triggered by hormonal changes. Points: LV3, SP10, LI4, ST36, local facial points. Formula: Xiao Yao San + Tao Hong Si Wu Tang. Key: also address emotional stress.",dermatology,tcm-dermatology
"How to treat seborrheic dermatitis with TCM?","Seborrheic dermatitis indicates Damp-Heat in Spleen/Stomach rising to face and scalp. Oily scales with redness indicate Heat predominance. Points: SP9, ST40, LI11, ST44, local affected points. Formula: Long Dan Xie Gan Tang or Si Miao San.",dermatology,tcm-dermatology
"What causes pruritus (itching) without visible rash in TCM?","Generalized itching without rash indicates Blood Deficiency generating internal Wind, or Liver/Kidney Yin Deficiency. Points: SP10, BL17, LV8, SP6. Formula: Dang Gui Yin Zi for Blood Deficiency, Zhi Bai Di Huang Wan for Yin Deficiency.",dermatology,tcm-dermatology
"How does TCM treat keloid scars?","Keloids indicate Blood Stasis with Phlegm accumulation blocking tissue repair. Treatment moves Blood, resolves Phlegm, and softens hardness. Points: SP10, BL17, ST40, local points around scar with shallow needling. Formula: Gui Zhi Fu Ling Wan + Er Chen Tang.",dermatology,tcm-dermatology
"What is the TCM approach to perioral dermatitis?","Perioral dermatitis involves Spleen Damp-Heat rising to the mouth area. Red papules and pustules around lips indicate Heat predominance. Points: SP9, ST40, LI4, ST44, local points. Formula: Qing Wei San.",dermatology,tcm-dermatology
"How to treat chronic wound healing issues with TCM?","Poor wound healing indicates Qi and Blood Deficiency preventing tissue regeneration, or Blood Stasis blocking new tissue formation. Points: ST36, SP6, BL17, local points. Formula: Bu Zhong Yi Qi Tang for Qi Deficiency, Tao Hong Si Wu Tang for Blood Stasis.",dermatology,tcm-dermatology
"What causes skin tags in TCM?","Skin tags indicate Phlegm-Damp accumulation with Blood Stasis. Treatment resolves Phlegm and moves Blood. Points: ST40, SP9, SP10, local cautery or ligation. Formula: Er Chen Tang.",dermatology,tcm-dermatology
"How does TCM address dark circles under eyes?","Dark circles indicate Kidney Deficiency with Blood Stasis. Bluish circles indicate Cold Stagnation. Brownish circles indicate Kidney Yang Deficiency. Points: KD3, BL23, SP10, BL1, ST1. Formula: Liu Wei Di Huang Wan + Tao Hong Si Wu Tang.",dermatology,tcm-dermatology
"What is the TCM treatment for spider veins?","Spider veins indicate Blood Stasis with Qi Deficiency (failure to hold blood in vessels). Points: SP10, BL17, SP6, local points. Formula: Bu Yang Huan Wu Tang. Key: also address underlying Spleen Qi Deficiency.",dermatology,tcm-dermatology
"How to treat atopic dermatitis in children with TCM?","Pediatric atopic dermatitis involves Spleen Deficiency with Damp-Heat or Wind-Heat. Children's immature Spleen allows Dampness accumulation. Points: ST36, SP6, LI11 (gentle technique). Formula: Xiao Er Hua Shi Tang. Caution: gentle needling or tuina preferred.",dermatology,tcm-dermatology
"What causes nail disorders in TCM?","Nail disorders reflect Liver Blood condition (Liver governs tendons, nails are tendon extension). Brittle nails indicate Blood Deficiency. Ridged nails indicate Blood Stasis. Points: LV8, BL18, SP6, local nail points. Formula: Si Wu Tang.",dermatology,tcm-dermatology
"How does TCM treat skin ulcers?","Skin ulcers involve Damp-Heat Toxins with Blood Stasis preventing healing. Acute red ulcers indicate Heat predominance. Chronic pale ulcers indicate Yang Deficiency. Points: SP9, SP10, BL17, local surrounding points. Formula: Si Miao San for Damp-Heat, Bu Yang Huan Wu Tang for deficiency type.",dermatology,tcm-dermatology
"What is the TCM approach to purpura (bruising)?","Purpura indicates Spleen Qi not controlling Blood, causing Blood to leak from vessels. Points: SP1, SP10, ST36, BL20. Formula: Gui Pi Tang. Key: strengthen Spleen to hold Blood in vessels.",dermatology,tcm-dermatology
"How to treat chapped lips and angular cheilitis with TCM?","Chapped lips indicate Spleen Heat or Stomach Yin Deficiency. Angular cheilitis indicates Spleen Damp-Heat. Points: ST44, SP6, KD6, CV23. Formula: Zeng Ye Tang for dryness, Qing Wei San for heat.",dermatology,tcm-dermatology
"What causes photoaging and sun damage in TCM?","Sun damage depletes Yin and Blood while generating Heat Toxins, causing pigmentation and premature aging. Points: SP10, KD6, LU9, facial cosmetic points. Formula: Liu Wei Di Huang Wan + Xiao Feng San.",dermatology,tcm-dermatology
"How does TCM treat cold sores (herpes simplex)?","Cold sores indicate Damp-Heat in Stomach/Spleen channels or residual Latent Heat. Recurring outbreaks indicate Yin Deficiency allowing Fire to flare. Points: LI4, ST44, local surrounding points. Acute: Long Dan Xie Gan Tang. Chronic: Zhi Bai Di Huang Wan.",dermatology,tcm-dermatology
"What is the TCM treatment for lipomas?","Lipomas indicate Phlegm-Damp accumulation with Blood Stasis forming palpable masses. Treatment resolves Phlegm and moves Blood. Points: ST40, SP9, SP10, local surrounding points. Formula: Er Chen Tang + Gui Zhi Fu Ling Wan.",dermatology,tcm-dermatology
"How to treat excessive facial oil (seborrhea) with TCM?","Excessive facial oil indicates Damp-Heat in Spleen/Stomach steaming upward to the face. Points: SP9, ST40, ST44, LI4, facial points. Formula: Si Miao San or Long Dan Xie Gan Tang.",dermatology,tcm-dermatology
"What causes stretch marks in TCM?","Stretch marks indicate Blood Stasis with Kidney Deficiency affecting skin elasticity. Rapid stretching damages the collaterals. Points: KD3, SP10, BL17, local points. Formula: Tao Hong Si Wu Tang + Liu Wei Di Huang Wan.",dermatology,tcm-dermatology
"How does TCM address premature graying of hair?","Premature graying indicates Kidney Essence and Liver Blood Deficiency failing to nourish hair. Points: KD3, BL23, LV8, GV20, local scalp points. Formula: Qi Bao Mei Ran Dan or He Shou Wu Wan.",dermatology,tcm-dermatology
"What is the TCM treatment for tinea versicolor?","Tinea versicolor indicates Damp-Heat accumulation in the skin with slight Wind. Treatment clears Damp-Heat and dispels Wind. Points: SP9, LI11, BL40, local affected areas. External: Tu Fu Ling wash. Internal: Si Miao San.",dermatology,tcm-dermatology
"How to treat ingrown hairs and folliculitis with TCM?","Folliculitis indicates Damp-Heat Toxins in the hair follicles. Points: LI4, LI11, SP9, local affected points. Formula: Wu Wei Xiao Du Yin for acute, Si Miao San for chronic.",dermatology,tcm-dermatology
"What causes thin fragile skin in TCM?","Thin fragile skin indicates Blood and Yin Deficiency failing to nourish skin tissue. Points: SP6, BL17, KD6, LU9. Formula: Si Wu Tang + Liu Wei Di Huang Wan.",dermatology,tcm-dermatology
"How does TCM treat skin flushing and blushing?","Easy flushing indicates Yin Deficiency with Empty Heat rising, or Liver Yang Rising. Points: KD6, LV3, HT6, PC8. Formula: Zhi Bai Di Huang Wan for Yin Def, Tian Ma Gou Teng Yin for Liver Yang.",dermatology,tcm-dermatology
"What is the TCM approach to treating blackheads and comedones?","Blackheads indicate Lung Heat with Phlegm-Damp blocking pores. Treatment clears Lung Heat and resolves Phlegm. Points: LU5, LI4, ST40, facial points. Formula: Pi Pa Qing Fei Yin.",dermatology,tcm-dermatology
"How to treat rough textured skin with TCM?","Rough skin texture indicates Blood Dryness or Blood Stasis affecting skin nourishment. Points: SP10, BL17, LU9, SP6. Formula: Si Wu Tang + Run Fu Tang.",dermatology,tcm-dermatology
"What causes puffy under-eye bags in TCM?","Under-eye puffiness indicates Spleen Yang Deficiency with Water retention, or Kidney Yang Deficiency affecting fluid metabolism. Points: SP9, ST36, BL23, ST1, BL2. Formula: Zhen Wu Tang.",dermatology,tcm-dermatology
"How does TCM treat mouth ulcers (aphthous ulcers)?","Mouth ulcers indicate Heart/Spleen Heat or Yin Deficiency Fire. Acute painful ulcers indicate Heat. Recurring mild ulcers indicate Yin Deficiency. Points: HT8, SP6, KD6, CV23. Acute: Dao Chi San. Chronic: Zhi Bai Di Huang Wan.",dermatology,tcm-dermatology
"What is the TCM treatment for skin allergies?","Skin allergies involve Wind-Heat or Wind-Damp invasion in those with Wei Qi Deficiency. Treatment expels Wind and strengthens exterior. Points: LI4, LI11, SP10, BL13, GB20. Formula: Yu Ping Feng San + Xiao Feng San.",dermatology,tcm-dermatology
"How to treat red nose (rhinophyma) with TCM?","Red nose indicates Lung Heat with Blood Stasis, or Spleen Damp-Heat rising to nose. Points: LI4, LI20, LU5, ST44, local nose points. Formula: Qing Fei Tang or Pi Pa Qing Fei Yin.",dermatology,tcm-dermatology
"What causes white patches on skin (not vitiligo) in TCM?","White patches (pityriasis alba) indicate Blood Deficiency with slight Wind affecting melanin. Points: BL17, SP10, SP6, local patches. Formula: Si Wu Tang + Xiao Feng San.",dermatology,tcm-dermatology
"How does TCM address body odor?","Body odor indicates Damp-Heat accumulation being expelled through the skin. Points: SP9, LI11, ST40, CV12. Formula: Long Dan Xie Gan Tang or Si Miao San. Key: address diet and reduce greasy spicy foods.",dermatology,tcm-dermatology
"What is the TCM treatment for heat rash (miliaria)?","Heat rash indicates Summer-Heat with Dampness blocking sweat glands. Treatment clears Summer-Heat and resolves Dampness. Points: LI11, SP9, GV14, local affected areas. Formula: Qing Shu Yi Qi Tang.",dermatology,tcm-dermatology
"How to treat cracked heels with TCM?","Cracked heels indicate Blood Dryness with Kidney Deficiency (heels relate to Kidney). Points: KD3, KD1, BL60, SP6. Formula: Si Wu Tang + Liu Wei Di Huang Wan. External: sesame oil application.",dermatology,tcm-dermatology
"What causes skin sensitivity and reactivity in TCM?","Skin sensitivity indicates Blood Deficiency with unstable Wei Qi, making the exterior vulnerable to triggers. Points: BL13, LU9, SP6, BL17. Formula: Yu Ping Feng San + Si Wu Tang.",dermatology,tcm-dermatology
"How does TCM treat cellulite?","Cellulite indicates Phlegm-Damp accumulation with Blood Stasis in subcutaneous tissue. Treatment resolves Phlegm-Damp and moves Blood. Points: SP9, ST40, SP10, GB31, local affected areas. Formula: Er Chen Tang + Tao Hong Si Wu Tang.",dermatology,tcm-dermatology
