Question,Answer,Acupuncture Points,Herbal Formula
What is Lung Yin deficiency?,"Lung Yin deficiency manifests as dry cough, night sweats, low-grade fever, dry throat, hoarse voice, and red tongue with little coating.","LU9, LU10, KI6, SP6",Bai He Gu Jin Tang
What is Lung phlegm accumulation?,"Lung phlegm causes cough with abundant sputum, chest congestion, wheezing, rattling sound in throat, and sticky tongue coating. Spleen often involved.","LU5, LU7, ST40, CV12",Er Chen Tang
How does Metal relate to autumn season?,"Autumn is Metal season - time of contraction, harvest, and letting go. Focus on protecting Lungs, releasing grief, and preparing for winter's storage.","LU7, LI4, BL13",Sang Ju Yin
What foods support the Metal element?,"White foods (pear, daikon, white rice, onion, garlic), pungent foods (ginger, radish), moistening foods (honey, almonds, lily bulb). Avoid cold drinks and dairy excess.","LU9, LI4, ST36",Bai He (Lily Bulb)
How does grief affect the Metal element?,"Grief is Metal's emotion. Unresolved grief damages Lung Qi, causing chest tightness and shallow breathing. Lung imbalance can manifest as prolonged sadness.","LU7, LU1, PC6, HT7",Gan Mai Da Zao Tang
What are the main functions of the Water element?,"Water governs growth, reproduction, willpower, fluid metabolism, and storage of essence (Jing). Kidney stores essence and controls water; Bladder stores and excretes urine.","KI3, KI7, BL23, BL28",Liu Wei Di Huang Wan
What are signs of Water element imbalance?,"Excess: edema, fear, coldness, urinary difficulty. Deficiency: weak bones, premature aging, infertility, fear, low back pain, urinary incontinence, developmental issues.","KI3, KI7, BL23, BL40",Jin Gui Shen Qi Wan
How do you tonify deficient Water?,"Tonify Kidney Yin and Yang, nourish essence, strengthen bones, support willpower, and regulate water metabolism. Kidney is the root and requires long-term treatment.","KI3, BL23, GV4, CV4",Zuo Gui Wan
How do you sedate excessive Water?,"Warm Yang to transform water, promote urination, resolve edema, and calm fear. Use warming and draining herbs.","CV9, SP9, BL22, BL28",Wu Ling San
What is Kidney Yin deficiency?,"Kidney Yin deficiency causes night sweats, five-palm heat, dizziness, tinnitus, sore lower back, insomnia, nocturnal emissions, and premature aging.","KI3, KI6, KI10, SP6",Liu Wei Di Huang Wan
What is Kidney Yang deficiency?,"Kidney Yang deficiency manifests as cold body and limbs, frequent pale urination, weak lower back and knees, impotence, infertility, and edema.","KI7, GV4, BL23, CV4",Jin Gui Shen Qi Wan
What is Kidney essence (Jing) deficiency?,"Kidney Jing deficiency causes developmental delays in children, premature aging, weak bones, poor memory, loose teeth, hair loss, and reproductive issues.","KI3, BL23, GV4, GV20",He Che Da Zao Wan
How does Water relate to winter season?,"Winter is Water season - time of storage, rest, and conservation. Focus on nourishing Kidney, conserving energy, staying warm, and introspection.","KI3, BL23, CV4, GV4",Jin Gui Shen Qi Wan
What foods support the Water element?,"Black foods (black beans, black sesame, seaweed), salty foods (moderate amount), kidney-nourishing foods (walnuts, bone broth), seafood. Avoid excessive cold and salt.","KI3, BL23, SP6",Hei Zhi Ma (Black Sesame)
How does fear affect the Water element?,"Fear is Water's emotion. Chronic fear damages Kidney Qi, causing urinary incontinence and exhaustion. Kidney deficiency causes fearfulness and insecurity.","KI3, KI7, HT7, GV20",Gui Pi Tang
How does Wood overcontrol Earth?,"When Liver Qi is excessive or stagnant, it attacks Spleen, causing digestive problems, irritability with poor appetite, bloating, and alternating diarrhea/constipation.","LR3, SP6, ST36, PC6",Xiao Yao San
How does Earth insult Water?,"When Spleen dampness is excessive, it overwhelms Kidney's water metabolism, causing edema, heaviness, and urinary difficulty. Reverse insult occurs.","SP9, KI7, BL22, CV9",Zhen Wu Tang
How does Fire control Metal?,"Normal Fire control of Metal maintains balance. Excessive Heart Fire can damage Lung, causing cough, agitation, and respiratory issues with anxiety.","HT8, LU10, PC8, LI11",Huang Lian Jie Du Tang
How does Metal generate Water?,"Lung (Metal) descends Qi to Kidney (Water), supporting respiratory and kidney function. Lung Qi deficiency can lead to Kidney weakness over time.","LU9, KI3, BL13, BL23",Qi Wei Du Qi Wan
How does Water nourish Wood?,Kidney (Water) nourishes Liver (Wood). Kidney Yin deficiency can cause Liver Yin deficiency and Liver Yang rising. Water-Wood harmony is crucial.,"KI3, LR8, BL23, BL18",Zuo Gui Wan
What is the mother-child relationship in treatment?,"To tonify a deficient element, tonify its mother (generating element). To sedate an excess element, sedate its child. Examples: Tonify Water to support Wood.","KI3, LR8, SP6, HT7",Bu Mu Fa formulas
How does seasonal transition affect element balance?,Each seasonal change requires elemental adjustment. Earth (Spleen) is especially important during transitions. Supporting Earth prevents seasonal illnesses.,"SP6, ST36, CV12, PC6",Liu Jun Zi Tang
What happens when all five elements are imbalanced?,"Multiple element imbalances indicate complex, chronic patterns requiring constitutional treatment. Address the root (often Kidney or Spleen) first, then harmonize others.","CV4, CV12, ST36, KI3",Ba Zhen Tang
How do emotions affect the five element cycle?,"Emotions follow five element relationships. Anger (Wood) affects joy (Fire), worry (Earth), grief (Metal), and fear (Water) in generating and controlling cycles.","LR3, HT7, SP6, LU7, KI3",Gan Mai Da Zao Tang
What is the center of the five elements?,"Earth (Spleen/Stomach) is the center, receiving and distributing to all other elements. A strong Earth supports all other organs. Treat Earth to stabilize system.","SP6, ST36, CV12, PC6",Si Jun Zi Tang
How do you diagnose five element imbalances?,"Assess complexion color, voice sound, emotional state, season preference, flavor preference, pulse quality, tongue, symptoms, and relationships between organs.","CV12, PC6, ST36",Diagnostic approach
What is five element constitutional typing?,"Each person has a predominant element constitution affecting personality, health patterns, and disease susceptibility. Constitutional treatment prevents imbalances.","GV20, CV4, ST36, PC6",Constitutional formulas
How do you treat Wood-Fire disharmony?,"Wood-Fire disharmony involves Liver Qi stagnation affecting Heart, causing irritability with palpitations. Smooth Liver Qi and calm Heart spirit.","LR3, HT7, PC6, GB34",Chai Hu Jia Long Gu Mu Li Tang
How do you treat Fire-Earth disharmony?,"Fire-Earth disharmony occurs when Heart fire affects Spleen, causing anxiety with poor digestion. Clear Heart fire and tonify Spleen.","HT7, SP6, ST36, PC6",Huang Lian Tang
How do you treat Earth-Metal disharmony?,"Earth-Metal disharmony involves Spleen deficiency affecting Lung, causing phlegm, cough, and fatigue. Strengthen Spleen to support Lung.","SP3, LU9, ST36, BL13",Liu Jun Zi Tang
How do you treat Metal-Water disharmony?,"Metal-Water disharmony occurs when Lung Qi cannot descend to Kidney, causing shortness of breath and weak lower back. Connect Lung and Kidney.","LU9, KI3, BL13, BL23",Ren Shen Ge Jie San
How do you treat Water-Wood disharmony?,"Water-Wood disharmony involves Kidney deficiency failing to nourish Liver, causing dizziness, blurred vision, and lower back pain. Tonify Kidney and Liver together.","KI3, LR8, BL23, BL18",Zuo Gui Wan
What is the treatment sequence for multiple element imbalances?,"First address the most severe or life-threatening. Then treat the root (often Water/Kidney or Earth/Spleen). Finally, harmonize remaining elements. Gradual approach.","CV4, ST36, KI3, LR3",Stepwise formulas
How long does five element balancing take?,Acute patterns: weeks to months. Chronic patterns: 3-12 months. Constitutional treatment: ongoing. Consistency with treatment and lifestyle changes is essential.,"ST36, CV6, PC6",Long-term approach
Can you use five element theory with Western diagnosis?,"Yes. Five element theory provides pattern differentiation beyond Western diagnosis, addressing root causes and individual constitution for comprehensive treatment.","ST36, PC6, CV12",Integrated approach
What is the creative and destructive balance in five elements?,"The generating (creative) cycle nourishes, while the controlling (destructive) cycle restrains. Both are necessary for balance. Problems arise when one cycle becomes excessive or deficient.","LR3, HT7, SP6, LU9, KI3",Wu Xing formulas
How do five elements relate to circadian rhythm?,"Each organ has peak activity times in 2-hour cycles: Liver 1-3am, Heart 11am-1pm, Spleen 9-11am, Lung 3-5am, Kidney 5-7pm. Symptoms often appear during these times.",Element-specific points,Time-based treatment
What is the relationship between five elements and six stages?,"Six stages (Tai Yang, Shao Yang, Yang Ming, Tai Yin, Shao Yin, Jue Yin) describe disease progression. Five elements describe organ relationships. Both inform treatment.",Stage-specific points,Shang Han Lun formulas
How do five elements apply to pediatrics?,"Children's organs are immature, especially Spleen/Lung (Earth/Metal). Treatment gently supports development using mild tonification and avoiding harsh therapies.","ST36, SP6, LU9, GV12",Pediatric formulas
How do five elements apply to geriatrics?,"Elderly have declining elements, especially Water (Kidney). Treatment tonifies deficiency, especially Kidney, while supporting digestion (Earth) and avoiding harsh drainage.","KI3, ST36, BL23, CV4",Geriatric formulas
What is the five element theory of pain?,"Pain relates to elements: Liver (sides), Heart (chest), Spleen (muscles), Lung (skin), Kidney (bones). Treatment addresses corresponding element and meridian.",Element-specific points,Pain-specific formulas
How do five elements relate to cancer in TCM?,"Cancer involves multiple element imbalances, often starting with Earth (Spleen) deficiency, Liver Qi stagnation, and phlegm accumulation. Treatment supports immunity and resolves stagnation.","ST36, SP6, LR3, LI4",Fu Zheng formulas
What is five element constitutional acupuncture?,A specialized approach treating the person's primary element constitution using specific point protocols to restore fundamental balance and prevent disease.,Constitutional points,Constitutional treatment
How do five elements explain autoimmune diseases?,"Autoimmune conditions involve disharmony between elements, especially Metal (immune) overcontrolling Wood or Earth, with underlying Kidney (Water) deficiency.","LU9, SP6, LR3, KI3",Yi Guan Jian
What is the future of five element theory?,"Five element theory provides a systems biology framework relevant to modern personalized medicine, explaining interconnections between organs, emotions, and environment.","GV20, CV4, ST36, PC6",Integrated medicine
How do colors in diagnosis reveal element imbalances?,Green/blue face: Wood/Liver. Red face: Fire/Heart. Yellow face: Earth/Spleen. White/pale face: Metal/Lung. Dark/black face: Water/Kidney. Color indicates affected element.,Element-specific points,Diagnostic approach
How do sounds reveal element imbalances?,Shouting: Wood. Laughing: Fire. Singing: Earth. Weeping: Metal. Groaning: Water. Voice quality and emotional expression reveal elemental imbalance.,"LR3, HT7, SP6, LU7, KI3",Element-specific formulas
How do body odors relate to five elements?,Rancid: Wood/Liver. Scorched: Fire/Heart. Fragrant/sweet: Earth/Spleen. Rotten: Metal/Lung. Putrid: Water/Kidney. Body odor provides diagnostic information.,Element-specific points,Diagnostic correlation
What dietary therapy supports five element balance?,"Eat diverse colored foods, balance five flavors, adjust diet by season, eat according to constitution, and choose foods that generate or control specific elements.","ST36, SP6, CV12",Dietary therapy
How do you prevent disease using five element theory?,"Live in harmony with seasons, balance emotions, eat appropriate foods, exercise moderately, maintain strong Earth (digestion), and tonify root (Water/Kidney).","ST36, KI3, CV4, SP6",Preventive formulas
How do herbal flavors affect five elements?,Sour (Wood): astringes. Bitter (Fire): clears heat. Sweet (Earth): tonifies. Pungent (Metal): disperses. Salty (Water): softens. Each flavor enters and affects its element.,"CV12, ST36",Flavor-based formulas
What exercises support each element?,"Wood: Tai Chi, stretching. Fire: cardiovascular, dancing. Earth: grounding yoga, walking. Metal: Qi Gong breathing, meditation. Water: swimming, restorative practices.",Element-specific points,Exercise prescription
How do you combine five element theory with meridian therapy?,Meridians connect organs and flow through elements. Treatment uses five element relationships with meridian pathway selection for comprehensive healing.,Yuan-source points,Meridian-element integration
What is the role of five elements in preventive medicine?,"Five elements identify constitutional weaknesses and seasonal vulnerabilities, allowing preemptive treatment before disease manifests. Treat before illness arises.","ST36, CV4, KI3, SP6",Yu Ping Feng San
How can patients apply five element theory at home?,"Patients can eat seasonally appropriate foods, balance emotions, observe color/sound/odor changes, adjust activities by season, and practice element-specific exercises.","Self-care points: ST36, LI4",Lifestyle medicine
