Question,Answer,Category,Notes
What is the Blood Tonic Set point combination?,"The Blood Tonic Set uses BL17, SP10, and ST36. BL17 is the influential point of Blood, SP10 is the Sea of Blood, and ST36 generates Qi and Blood. Primary indication: Blood Deficiency.",pattern_differentiation,Classical combination
What is the Exterior Releasing point combination?,"The Exterior Releasing combination uses LU7, LI4, and GB20. LU7 opens the Lung and releases exterior, LI4 expels pathogens, GB20 clears Wind from head. Primary indication: Wind-Cold Invasion.",pattern_differentiation,Acute condition
What is the Heat Clearing point combination?,"The Heat Clearing combination uses LI4, LI11, LU5, and DU14. LI11 clears heat from the blood level, DU14 clears all heat. Primary indication: Wind-Heat Invasion with fever and sore throat.",pattern_differentiation,Acute condition
What is the Phlegm Buster point combination?,"The Phlegm Buster combination uses ST40, SP9, and CV12. ST40 is the master point for phlegm, SP9 drains dampness, CV12 harmonizes middle jiao. Primary indication: Phlegm-Dampness accumulation.",pattern_differentiation,Dampness protocol
What is the Calm Spirit point combination?,"The Calm Spirit combination uses HT7, PC6, SP6, and BL15. HT7 calms the Shen, PC6 opens the chest, BL15 is the Back-Shu of Heart. Primary indication: Heart Blood Deficiency with anxiety and insomnia.",pattern_differentiation,Shen calming
What is the Yang Warmer point combination?,"The Yang Warmer combination uses BL23, GV4, CV4, and KI7. GV4 is the Gate of Vitality (Ming Men), BL23 and KI7 tonify Kidney. Primary indication: Kidney Yang Deficiency with cold limbs and low back pain.",pattern_differentiation,Yang tonification
What is the Fire Drainer point combination?,"The Fire Drainer combination uses LV2, LV3, GB20, and GB34. LV2 is the Ying-Spring point that clears Liver Fire, GB34 relaxes sinews. Primary indication: Liver Fire Rising with headache and irritability.",pattern_differentiation,Heat clearing
What is the Active Mover point combination?,"The Active Mover combination uses LI4, LV3, SP10, and BL17. Combines Four Gates with Blood-moving points. Primary indication: Qi and Blood Stagnation with fixed pain and purple tongue.",pattern_differentiation,Stagnation protocol
What is the Sleep Triad point combination?,"The Sleep Triad uses HT7, PC6, and Anmian. HT7 and PC6 calm the Shen, Anmian is the extra point meaning 'peaceful sleep'. Primary indication: Insomnia and Shen disturbance.",pattern_differentiation,Shen calming
What herbal formula pairs with Liver Qi Stagnation treatment?,"Xiao Yao San (Free and Easy Wanderer) is the classical formula for Liver Qi Stagnation. It soothes Liver Qi, strengthens Spleen, and nourishes Blood. Pair with Four Gates acupuncture (LI4, LV3).",pattern_differentiation,Herbal-acupuncture pairing
What herbal formula pairs with Spleen Qi Deficiency treatment?,"Si Jun Zi Tang (Four Gentlemen Decoction) is the foundation formula for Spleen Qi Deficiency. It tonifies Qi and strengthens Spleen. Pair with Digestive Triad acupuncture (ST36, SP6, CV12).",pattern_differentiation,Herbal-acupuncture pairing
What herbal formula pairs with Kidney deficiency treatment?,"For Kidney Yin Deficiency: Liu Wei Di Huang Wan (Six Ingredient Pill with Rehmannia) with KI3, KI6, SP6. For Kidney Yang Deficiency: Jin Gui Shen Qi Wan (Kidney Qi Pill) with BL23, GV4, CV4, KI7.",pattern_differentiation,Herbal-acupuncture pairing
What herbal formula pairs with Blood Deficiency treatment?,"Si Wu Tang (Four Substance Decoction) is the foundation formula for Blood Deficiency. It tonifies and invigorates Blood. Pair with Blood Tonic Set acupuncture (BL17, SP10, ST36).",pattern_differentiation,Herbal-acupuncture pairing
What herbal formula pairs with insomnia treatment?,"Suan Zao Ren Tang (Sour Jujube Decoction) is the classical formula for insomnia from Blood deficiency. It nourishes Heart and calms Shen. Pair with Sleep Triad acupuncture (HT7, PC6, Anmian).",pattern_differentiation,Herbal-acupuncture pairing
