Question,Answer,Acupuncture_Points,Pharmacopeia
What are the main indications and contraindications for moxibustion?,Indications: 1) Yang Deficiency and Cold patterns. 2) Chronic deficiency conditions. 3) Promoting circulation. 4) Immune support. 5) Turning breech babies (BL-67). Contraindications: 1) Heat or Yin Deficiency conditions. 2) High fever. 3) Acute inflammation. 4) Face (risk of scarring). 5) Pregnancy (certain points). 6) Diabetes (poor sensation).,"BL-20, BL-23, BL-67, CV-4, CV-6, CV-8, GV-4, KI-3, ST-36",Ai Ye (Mugwort)
Describe three types of cupping and their uses.,"1) Stationary Cupping - cups remain in one place, used for local pain, Bi Syndrome, releasing muscle tension. 2) Moving/Sliding Cupping - cups moved over oiled skin, used for larger areas of tension, releasing Exterior pathogens, back pain. 3) Flash Cupping - cups rapidly applied and removed multiple times, used for deficiency, gentle stimulation, tonification.","BL-12, BL-13, BL-23, BL-40, GB-21, GV-14",N/A
List major contraindications and precautions for acupuncture treatment.,"Contraindications: 1) Absolute: severe bleeding disorders, active infection at point site. 2) Relative: pregnancy (certain points), pacemakers (electro-acupuncture), severe mental illness. Precautions: 1) Avoid needling over major vessels, organs. 2) Careful depth control on chest, back, neck. 3) Patient position (prevent fainting). 4) Clean needle technique. 5) Avoid treating when patient is very hungry, exhausted, or intoxicated.","BL-13, CV-17, GB-21, LI-4, SP-6",N/A
What are the Four Properties (Si Qi) and Five Tastes (Wu Wei) of herbs?,"Four Properties (temperature): 1) Cold - clears Heat. 2) Cool - clears Heat (milder). 3) Warm - warms Interior, expels Cold. 4) Hot - strongly warms, rescues Yang. Five Tastes: 1) Pungent - disperses, moves Qi. 2) Sweet - tonifies, harmonizes. 3) Sour - astringes, consolidates. 4) Bitter - drains, dries Dampness. 5) Salty - softens hardness, purges.",N/A,"Da Zao, Fu Zi, Gan Cao, Gan Jiang, Huang Lian, Huang Qin, Ma Huang, Shi Gao, Suan Zao"
Explain the four roles of herbs in a formula (Jun Chen Zuo Shi).,"1) Jun (Chief/Emperor) - main herb(s) treating primary pattern, largest dose. 2) Chen (Deputy/Minister) - assists chief, treats accompanying symptoms. 3) Zuo (Assistant/Adjuvant) - supports chief and deputy, or reduces side effects. 4) Shi (Envoy/Guide) - directs formula to specific meridian/area, harmonizes other herbs. Not all formulas contain all four roles.",N/A,"Bai Zhu, Da Zao, Fu Ling, Gan Cao, Huang Qi, Ren Shen, Sheng Jiang"
When and how should herbal formulas be modified?,"Formulas should be modified: 1) When patient pattern doesn't exactly match classical formula. 2) During treatment as pattern changes. 3) For constitutional factors (age, gender, body type). 4) Seasonal adjustments. How: 1) Add herbs for additional symptoms. 2) Remove herbs not needed. 3) Increase/decrease dosages. 4) Change chief herb. Always maintain formula balance and structure.",N/A,"Bai Shao, Chuan Xiong, Dang Gui, Huang Qi, Ren Shen, Shu Di Huang"
What are important considerations for herb-drug interactions?,"Key considerations: 1) Blood-thinning herbs (Dan Shen, Chuan Xiong) with anticoagulants. 2) Immune-modulating herbs with immunosuppressants. 3) Liver metabolism - many herbs and drugs compete for same enzymes. 4) Herbs affecting blood sugar with diabetes medications. 5) Sedating herbs with CNS depressants. Always: 1) Take full medication history. 2) Consult reference sources. 3) Communicate with prescribing physician. 4) Start conservatively.",N/A,"Chuan Xiong, Dan Shen, Dang Gui, Gan Cao, Hong Hua, Ren Shen"
Explain the basic principles of TCM dietary therapy.,"Basic principles: 1) Foods have temperature, taste, and meridian entry like herbs. 2) Choose foods matching patient pattern (warming for Cold, cooling for Heat). 3) Avoid foods conflicting with pattern (cold foods for Spleen Yang Xu). 4) Seasonal eating (warming in winter, cooling in summer). 5) Moderation and balance. 6) Proper cooking methods affect food properties. 7) Constitutional considerations (body type, age).","BL-20, BL-21, CV-12, SP-6, ST-36","Da Zao, Lian Zi, Shan Yao, Sheng Jiang, Yi Yi Ren"
Describe the four phases of the menstrual cycle according to TCM.,"1) Menstruation (Days 1-5) - Qi and Blood move downward, focus on moving Blood, avoid heavy tonification. 2) Post-Menstrual Phase (Days 6-13) - Yin and Blood building, tonify Blood and Yin. 3) Mid-Cycle/Ovulation (Day 14) - Yang begins to rise, support Qi transformation. 4) Pre-Menstrual Phase (Days 15-28) - Yang increases, Qi moves Blood, support Liver Qi flow, prepare for menstruation.","BL-23, BL-32, CV-3, CV-4, CV-6, KI-3, LR-3, SP-10, SP-6, ST-36","Bai Shao, Chuan Xiong, Dang Gui, Shu Di Huang, Xiang Fu, Yi Mu Cao"
What are special considerations when treating children with acupuncture?,"Considerations: 1) Children's physiology - Spleen and Kidney not fully developed, Yang tends to excess, Yin often insufficient. 2) Shorter treatment time and fewer needles. 3) Shoni-shin (non-insertion pediatric technique) for young children. 4) Prefer moxa, massage, dietary therapy. 5) Common patterns: digestive issues, respiratory infections, hyperactivity. 6) Children respond quickly but relapse easily. 7) Parent education essential.","BL-20, BL-23, CV-12, GV-12, LI-4, SP-6, ST-36","Bai Zhu, Fu Ling, Ren Shen, Sha Ren, Shan Yao"
What are important considerations for treating elderly patients?,"Considerations: 1) Common patterns: Kidney Essence decline, multiple deficiencies, Blood Stasis, Phlegm. 2) Weaker constitution requires gentler treatment. 3) Shorter treatment sessions. 4) More frequent treatments may be needed. 5) Multiple medications require herb-drug interaction awareness. 6) Slower healing response. 7) Fall risk assessment. 8) Chronic disease management focus. 9) Quality of life over cure.","BL-23, CV-4, CV-6, GV-20, KI-3, SP-6, ST-36","Fu Ling, Mu Dan Pi, Shan Yao, Shan Zhu Yu, Shu Di Huang, Ze Xie"
Differentiate the main types of Bi (Painful Obstruction) Syndrome.,"Main types: 1) Wandering Bi (Wind) - pain moves between joints, Wind predominant. 2) Painful Bi (Cold) - severe fixed pain, worse with cold, Cold predominant. 3) Fixed Bi (Dampness) - heavy, fixed pain, numbness, Dampness predominant. 4) Heat Bi - red, hot, swollen joints, limited ROM, Heat predominant. 5) Bone Bi - chronic, deep bone pain, Kidney Deficiency with pathogen.","BL-17, BL-40, BL-60, GB-34, LI-11, LI-4, SP-10, ST-36","Chuan Xiong, Dang Gui, Du Huo, Fang Feng, Gui Zhi, Qiang Huo, Wei Ling Xian"
How does TCM understand and treat anxiety and depression?,"TCM views: Anxiety - often Heart Blood Xu, Heart Qi Xu, Gallbladder Qi Xu (timidity), Liver Qi Stagnation, Phlegm-Fire. Depression - commonly Liver Qi Stagnation, Heart Blood Xu, Spleen Qi Xu. Treatment: 1) Calm Shen (HT-7, PC-6, Yin Tang). 2) Regulate Liver Qi (LR-3, LR-14). 3) Tonify Heart Blood (BL-15, SP-6). 4) Address root pattern. 5) Lifestyle counseling essential.","BL-15, BL-44, GV-20, GV-24, HT-7, LR-14, LR-3, PC-6, SP-6, ST-36, Yin Tang","Bai Zi Ren, Fu Ling, He Huan Pi, Long Gu, Mu Li, Suan Zao Ren, Yuan Zhi"
Explain the concept of Wei Qi and how to strengthen it.,"Wei Qi (Defensive Qi) is Yang Qi that: 1) Circulates outside meridians, under skin. 2) Protects from external pathogens. 3) Regulates body temperature and sweating. 4) Derived from Spleen/Stomach, stored in Lung. Strengthen Wei Qi: 1) Points: LU-7, LI-4, ST-36, BL-13, CV-17, BL-23. 2) Tonify Lung and Spleen Qi. 3) Moxa therapy. 4) Herbs: Yu Ping Feng San. 5) Diet, adequate rest, stress reduction.","BL-12, BL-13, BL-23, CV-17, CV-6, GV-14, KI-7, LI-4, LU-7, ST-36","Bai Zhu, Fang Feng, Huang Qi, Yu Ping Feng San"
Differentiate Excess vs. Deficiency patterns in chronic cough.,"Excess patterns: 1) Phlegm-Heat - yellow/green sputum, thirst, rapid pulse. 2) Phlegm-Dampness - white/clear sputum, heavy feeling. 3) Liver Fire - dry cough, red face, irritability. Deficiency patterns: 1) Lung Qi Xu - weak cough, shortness of breath, weak voice. 2) Lung Yin Xu - dry cough, little sputum, night sweats. 3) Kidney Qi Xu - chronic cough, difficult inhalation, weak lower back. Treatment principles differ completely.","BL-13, CV-17, CV-22, KI-3, LU-1, LU-10, LU-5, LU-7, LU-9, ST-40","Ban Xia, Bei Mu, Chen Pi, Gan Cao, Ma Huang, Shi Gao, Wu Wei Zi, Xing Ren"
Compare Spleen Qi Deficiency vs. Spleen Yang Deficiency.,"Spleen Qi Xu: 1) Fatigue, poor appetite, loose stools. 2) Abdominal distension after eating. 3) Pale tongue with white coating. 4) Weak pulse. Spleen Yang Xu (more severe): All above PLUS 1) Cold limbs, aversion to cold. 2) Watery stools/diarrhea. 3) Edema, especially abdomen/legs. 4) Pale, swollen tongue with wet coating. 5) Deep, weak pulse. Spleen Yang Xu requires warming herbs (Gan Jiang, Fu Zi); Spleen Qi Xu uses gentler tonics.","BL-20, BL-21, CV-12, CV-6, GV-4, SP-3, SP-6, ST-36","Bai Zhu, Fu Ling, Fu Zi, Gan Cao, Gan Jiang, Ren Shen, Shan Yao"
What are the principles and benefits of facial/cosmetic acupuncture?,"Principles: 1) Improve Qi and Blood circulation to face. 2) Tonify facial meridians. 3) Address underlying patterns (Spleen Qi Xu, Kidney Yin Xu). 4) Local points stimulate collagen, muscle tone. Benefits: 1) Reduces fine lines/wrinkles. 2) Improves skin tone and elasticity. 3) Reduces facial puffiness. 4) Lifts sagging. 5) Addresses root causes (holistic). Contraindications: active acne, infections, recent facial surgery.","BL-2, CV-24, GB-14, GV-26, LI-20, LI-4, SP-6, ST-2, ST-3, ST-36, ST-4, ST-6, ST-7, Tai Yang","Bai Fu Zi, Bai Shao, Bai Zhi, Dang Gui, E Jiao"
How can acupuncture support athletic performance and recovery?,"Applications: 1) Injury prevention - strengthen Liver/Kidney (tendons/bones). 2) Performance enhancement - tonify Qi, calm Shen, improve focus. 3) Acute injury - reduce inflammation, pain, promote healing. 4) Recovery - clear Blood Stasis, relax muscles, restore energy. 5) Pre-competition - optimize Qi flow, reduce anxiety. Common points: ST-36, SP-6, GB-34, LR-3, BL-23, local Ah Shi points. Cupping, moxa, and herbal liniments helpful.","Ah Shi, BL-23, BL-40, GB-34, LI-11, LI-4, LR-3, SP-10, SP-6, ST-36","Dang Gui, Du Zhong, Niu Xi, San Qi, Xu Duan"
How does TCM approach male and female infertility?,"Female infertility common patterns: 1) Kidney Deficiency (Essence, Yin, or Yang). 2) Liver Qi Stagnation. 3) Blood Deficiency or Stasis. 4) Phlegm-Dampness. Male infertility: 1) Kidney Essence Xu (low sperm count/motility). 2) Kidney Yang Xu (impotence). 3) Damp-Heat (prostate issues). Treatment: 1) Regulate menstrual cycle. 2) Tonify Kidney. 3) Support IVF/IUI. 4) Reduce stress. 5) Dietary/lifestyle modifications.","BL-23, BL-32, CV-3, CV-4, CV-6, KI-3, LR-3, PC-6, SP-6, SP-8, ST-36","Ba Ji Tian, Dang Gui, Gou Qi Zi, Shan Zhu Yu, Shu Di Huang, Tu Si Zi, Xu Duan"
Describe the NADA protocol for addiction treatment.,"NADA (National Acupuncture Detoxification Association) protocol uses 5 auricular points bilaterally: 1) Shen Men - calms spirit, reduces anxiety. 2) Sympathetic - balances autonomic nervous system. 3) Kidney - supports detoxification, builds will. 4) Liver - detoxification, regulates emotions. 5) Lung - promotes letting go, grief release. Benefits: reduces cravings, improves sleep, decreases anxiety, supports detox. Used for: drugs, alcohol, smoking cessation. Typically in group setting, 30-45 minutes.","Kidney (ear), Liver (ear), Lung (ear), Shen Men (ear), Sympathetic (ear)",N/A
What is the treatment sequence for acute musculoskeletal injuries?,"Treatment sequence: 1) First 24-48 hours: Control inflammation - avoid moxa, use cooling techniques, distal points (not local). 2) Days 3-7: Reduce swelling - promote Qi/Blood circulation, gentle local points, consider bleeding technique. 3) Week 2+: Promote healing - invigorate Blood, remove stasis, local and distal points, moxa appropriate. 4) Rehabilitation: Strengthen, prevent recurrence. Throughout: assess for serious injury requiring referral.",N/A,N/A
How are different headache locations differentiated in TCM?,"Location and meridian: 1) Frontal/forehead - Stomach/Large Intestine meridian, often Stomach issues. 2) Temporal - Gallbladder meridian, Liver Yang Rising, Liver Fire. 3) Occipital/back of head - Bladder meridian, Kidney issues, exterior Wind-Cold. 4) Vertex/top - Liver meridian, Liver Blood Xu or Liver Yang Rising. 5) Whole head - Kidney Essence Xu, Qi/Blood Xu. Treatment targets corresponding meridian and underlying pattern.","BL-10, BL-2, GB-20, GB-8, GV-20, LI-4, LR-3, ST-8, Tai Yang, Yin Tang","Bai Zhi, Chuan Xiong, Gao Ben, Ju Hua, Man Jing Zi, Wu Zhu Yu"
What are common TCM patterns underlying chronic skin conditions?,"Common patterns: 1) Wind-Heat - acute, red, itchy rashes. 2) Damp-Heat - oozing, weeping lesions, itching. 3) Blood Heat - red lesions, worse with heat. 4) Blood Dryness/Yin Xu - dry, scaly, chronic lesions. 5) Blood Stasis - purple/dark lesions, fixed location. 6) Toxic Heat - severe inflammation, carbuncles. Treatment: 1) Internal herbs crucial. 2) External herbal washes. 3) Identify and avoid triggers. 4) Address root pattern (often Liver, Spleen, or Kidney).","BL-13, BL-18, BL-40, LI-11, LI-4, LR-3, SP-10, SP-6, ST-36","Chan Tui, Di Fu Zi, Fang Feng, Huang Lian, Huang Qin, Jing Jie, Niu Bang Zi"
What are key ethical principles in acupuncture practice?,"Key principles: 1) Informed consent - explain treatment, risks, alternatives. 2) Scope of practice - don't exceed training, refer when appropriate. 3) Patient confidentiality (HIPAA compliance). 4) Professional boundaries - maintain therapeutic relationship. 5) Continuing education - stay current. 6) Clean needle technique - prevent infection. 7) Truthful advertising - don't make false claims. 8) Cultural sensitivity. 9) Avoid conflicts of interest. 10) Document thoroughly.",N/A,N/A
What conditions have strong research support for acupuncture efficacy?,"Conditions with strong evidence: 1) Chronic pain (back, neck, knee, osteoarthritis). 2) Headache (migraine, tension-type). 3) Nausea and vomiting (chemotherapy, post-operative, pregnancy). 4) Dental pain. 5) Fibromyalgia. Moderate evidence: 1) Anxiety. 2) Depression. 3) Insomnia. 4) Allergic rhinitis. 5) IBS. WHO and NIH recognize these indications. Evidence continues to grow with more rigorous trials.","GB-34, LI-4, LR-3, PC-6, SP-6, ST-36",N/A
How should acupuncturists collaborate with conventional medical practitioners?,"Collaboration strategies: 1) Communication - report findings, treatment plans to referring physicians. 2) Recognize red flags requiring referral. 3) Understand when acupuncture is contraindicated. 4) Be aware of herb-drug interactions. 5) Coordinate care for complex cases. 6) Provide education about TCM to medical colleagues. 7) Join integrative medical teams. 8) Document thoroughly for other providers. 9) Respect different paradigms while finding common ground. 10) Patient-centered approach.",N/A,N/A
What are key considerations for starting an acupuncture practice?,"Key considerations: 1) Licensing and legal requirements. 2) Malpractice insurance. 3) Location and demographics. 4) Business structure (sole proprietor, LLC, etc.). 5) Financial planning and budgeting. 6) Marketing and patient acquisition. 7) Electronic health records. 8) Billing and insurance credentialing. 9) Continuing education. 10) Work-life balance. 11) Building referral networks. 12) Patient retention strategies. 13) Equipment and supplies. 14) OSHA and infection control compliance.",N/A,N/A
What is Tung's acupuncture and how does it differ from TCM acupuncture?,"Tung's acupuncture is a complete system passed down through the Tung family. Differences: 1) Different point locations (often between or around TCM points). 2) Emphasis on distal points, not local. 3) Holographic systems (e.g., hand/foot microsystems). 4) Bleeding technique commonly used. 5) Often faster results. 6) Different theoretical basis while still rooted in TCM. Similarities: 1) Based on Yin-Yang, Five Elements. 2) Meridian theory. 3) Diagnostic methods. Many practitioners integrate both systems.","GB-34, LI-4, LR-3, SP-6, ST-36","Dang Gui, Huang Qi, Ren Shen"
What is auricular (ear) acupuncture and its applications?,"Auricular acupuncture treats the body via points on the ear, based on: 1) Inverted fetus map - body parts correspond to ear regions. 2) Microsystem - entire body represented. Applications: 1) Pain management. 2) Addiction (NADA protocol). 3) Weight loss. 4) Anxiety/stress. 5) Insomnia. 6) Adjunct to body acupuncture. Techniques: 1) Needle insertion (quick treatment). 2) Ear seeds (longer-lasting, take-home). 3) Electrical stimulation. Advantages: Quick, effective, minimal needles, patient can self-stimulate.","GB-34, LI-4, LR-3, SP-6, ST-36","Dang Gui, Huang Qi, Ren Shen"
What are the most important classical TCM texts?,"Major classical texts: 1) Huang Di Nei Jing (Yellow Emperor's Inner Classic) - foundational theory, diagnosis, treatment (circa 100 BCE). 2) Nan Jing (Classic of Difficulties) - clarifies Nei Jing concepts. 3) Shang Han Lun (On Cold Damage) - herbal formulas for exterior patterns. 4) Jin Gui Yao Lue (Essential Prescriptions) - internal medicine formulas. 5) Zhen Jiu Jia Yi Jing (AB Classic of Acupuncture) - comprehensive acupuncture text. These texts form foundation of TCM education and practice worldwide.","GB-34, LI-4, LR-3, SP-6, ST-36","Dang Gui, Huang Qi, Ren Shen"
