Category,Diet_Habit,Western_Perspective,TCM_Perspective,Estimated_Calories_Per_Day
Snacking,Frequent snacking throughout day,May support blood sugar but can lead to overconsumption,"Overworks spleen, no rest for digestion, creates dampness",300-800 from snacks
Snacking,No snacking between meals,"May help with calorie control, intermittent digestive rest",Optimal - allows spleen to rest and complete transformation,0 from snacks
Snacking,Nuts and seeds regularly,"Healthy fats, protein, minerals, calorie-dense","Warming, tonifies kidney and lung, moistens dryness",200-400 from nuts
Snacking,Chips/crackers/processed snacks,"High sodium, refined carbs, trans fats, low nutrients","Creates dampness and heat, depletes spleen qi",300-700 from snacks
Sweet Foods,Dessert daily,"Added sugars, weight gain, diabetes risk","Creates dampness and phlegm, weakens spleen",200-500 from desserts
Sweet Foods,Refined sugar avoidance,"Reduces inflammation, weight management, stable energy",Prevents dampness and phlegm accumulation,Minimal from sugar
Sweet Foods,"Natural sweeteners (honey, maple syrup)","Less processed, some minerals, still high in sugars","Honey tonifies spleen, moistens lung; maple neutral-warming",60-200 from sweeteners
Sweet Foods,Artificial sweeteners use,"Zero calories, controversial health effects, gut microbiome impact","No traditional use, disrupts spleen's sweet taste recognition",0-20
Processed Foods,Highly processed foods daily,"High sodium, additives, preservatives, low nutrients","No vitality (qi), creates dampness, difficult to transform",800-1500 from processed
Processed Foods,"Mostly whole, unprocessed foods","Nutrient-dense, higher fiber, better health outcomes","Optimal - preserves food qi, easy to transform, nourishing",Variable
Processed Foods,Fast food regularly (3+ times/week),"High calories, sodium, unhealthy fats, weight gain","Creates severe damp-heat and phlegm, damages spleen",800-1500 from fast food
Processed Foods,Frozen meals regularly,"Convenient, often high sodium, variable nutrition quality","Depleted qi from freezing, difficult to warm and transform",300-700 from frozen meals
Processed Foods,Home-cooked meals primarily,"Control over ingredients, usually healthier, cost-effective","Optimal - fresh qi, prepared with intention, balanced",Variable
Special Foods,"Fermented foods regularly (kimchi, sauerkraut)","Probiotics, digestive health, immune support","Sour flavor gathers qi, aids transformation, some are warming",20-100 from fermented
Special Foods,Probiotic supplements,"Gut health support, immune function, strain-specific effects",Supports spleen transformation function indirectly,0-10
Special Foods,Supplements and vitamins daily,"Fill nutritional gaps, therapeutic doses for deficiencies",May support but doesn't replace food qi and essence,0-50
Special Foods,Protein bars/meal replacements,"Convenient, portion-controlled, processed ingredients","Lacks proper food qi, difficult for spleen, unbalanced",200-400 from bars
Special Foods,"Superfoods focus (chia, goji, spirulina)","Nutrient-dense, antioxidants, trendy health foods","Goji tonifies liver-kidney, chia cooling-moistening; context matters",50-200 from superfoods
Special Foods,Organic foods exclusively,"Lower pesticide exposure, environmental benefits, cost higher","Cleaner qi, less toxic accumulation, more vitality",Variable
Hydration,Adequate hydration (clear urine),"Optimal cellular function, detoxification, energy","Supports kidney, generates fluids, proper qi transformation",0
Hydration,Insufficient water intake,"Dehydration, fatigue, kidney strain, constipation","Depletes kidney yin and fluids, dries body",0
Hydration,Excessive water intake (water intoxication risk),"Electrolyte imbalance, hyponatremia, rare but dangerous","Weakens spleen yang, creates dampness, dilutes qi",0
Activity Level Context,"Sedentary lifestyle (desk job, minimal exercise)","Lower caloric needs, health risks, metabolic slowdown","Qi and blood stagnation, spleen function weakens",1400-2000 total
Activity Level Context,Lightly active (1-3 days exercise/week),"Moderate caloric needs, some health benefits",Adequate qi and blood circulation,1800-2400 total
Activity Level Context,Moderately active (3-5 days exercise/week),"Increased caloric needs, good fitness level","Good qi and blood flow, supports yang",2000-2800 total
Activity Level Context,Very active (6-7 days intense exercise/week),"High caloric needs, athlete level, recovery important",May deplete yin and essence if inadequate nourishment,2400-3500 total
Activity Level Context,Physical labor job,"High energy expenditure, increased protein needs","Depletes qi and blood, requires substantial tonification",2500-3500 total
