Diagnostic_Category,Finding,Chinese_Name,Description,TCM_Pattern_Indication,Clinical_Significance,Associated_Conditions,Treatment_Principle
Pulse Strength,Forceful/Strong Pulse (You Li),有力 Yǒu Lì,"Strong, forceful sensation, pushes back against fingers","Excess pattern, sufficient zheng qi fighting pathogen","Body has strength to resist, excess condition","Excess heat, excess cold, food stagnation, qi-blood stagnation","Disperse excess, drain or purge depending on pattern"
Pulse Strength,Forceless/Weak Pulse (Wu Li),无力 Wú Lì,"Weak sensation, no force, easily compressed","Deficiency pattern, weak zheng qi","Insufficient qi and blood, weak body resistance","Qi-blood deficiency, chronic disease, post-illness weakness, yang deficiency","Tonify qi and blood, strengthen zheng qi"
Pulse Strength,Weak/Deficient Pulse (Ruo Mai),弱脉 Ruò Mài,"Deep, thin, and soft, all three qualities combined, forceless","Severe Qi and Blood deficiency, often with dampness",Profound deficiency of qi and blood,"Severe anemia, chronic exhaustion, post-hemorrhage, severe illness","Strongly tonify qi and blood, resolve dampness if present"
Pulse Strength,Soft/Soggy Pulse (Ru Mai),濡脉 Rú Mài,"Superficial, thin, and soft, feels like floating cotton",Dampness with Qi-Blood deficiency,Dampness burdening a deficient body,"Damp environment, summer heat-damp, spleen qi deficiency with dampness","Tonify qi, resolve dampness"
Pulse Strength,Scattered/Dissipated Pulse (San Mai),散脉 Sàn Mài,"Diffuse, scattered, irregular, unfocused edges, floating and forceless","Yuan qi collapsing, kidney essence scattering, critical deficiency","Life-threatening depletion, loss of root, dying pulse","Terminal illness, severe hemorrhage, organ failure, imminent death","Emergency rescue qi, attempt to gather and stabilize essence"
Pulse Quality - Tension,Wiry/String-like Pulse (Xian Mai),弦脉 Xián Mài,"Feels like guitar string, straight and long, tense but resilient","Liver/Gallbladder disorders, pain, constraint, phlegm","Liver qi stagnation, liver yang rising, or pain constraining qi","Liver disease, hypochondriac pain, malaria, pain syndromes, hypertension, stress","Soothe liver, move qi, relieve constraint, stop pain"
Pulse Quality - Tension,Tight/Tense Pulse (Jin Mai),紧脉 Jǐn Mài,"Feels like twisted rope, taut and forceful, tight tension throughout","Cold, pain, food stagnation","Cold constricting, or pain causing tension in vessels","Exterior cold, interior cold, acute pain, food stagnation, cramping","Warm and dispel cold, stop pain, resolve stagnation"
Pulse Quality - Tension,Leather/Drum-skin Pulse (Ge Mai),革脉 Gé Mài,"Superficial, large, and wiry, hollow at center like drum skin, hard on outside empty inside","Blood loss, essence depletion, pregnancy disorders, spermatorrhea",Severe blood or essence loss with exterior appearance of excess,"Hemorrhage, severe blood loss, ectopic pregnancy, miscarriage, essence loss","Stop bleeding, tonify blood and essence urgently"
Pulse Quality - Flow,Slippery/Rolling Pulse (Hua Mai),滑脉 Huá Mài,"Smooth, flowing like pearls rolling, rounded sensation","Phlegm, dampness, food stagnation, pregnancy (normal), excess heat in strong person","Excess condition with turbid substances, or normal in pregnancy","Phlegm disorders, indigestion, pregnancy, vigorous health (if no symptoms)","Transform phlegm, resolve dampness, move food; or confirm pregnancy"
Pulse Quality - Flow,Choppy/Rough Pulse (Se Mai),涩脉 Sè Mài,"Uneven, rough, like scraping bamboo or knife on bamboo, arrives irregularly","Blood stasis, Qi-Blood deficiency, essence depletion, phlegm obstruction",Obstruction or deficiency causing rough flow,"Blood stasis, severe blood deficiency, pain, masses, post-hemorrhage","Invigorate blood, nourish blood, remove stasis"
Pulse Length,Long Pulse (Chang Mai),长脉 Cháng Mài,"Extends beyond normal positions, felt at all three positions and beyond","Excess heat, strong constitution, or liver fire","Excess yang or heat extending vessels, or healthy if no symptoms","Excess patterns, liver yang rising, athletic constitution if healthy","Clear excess heat, subdue liver yang if pathological"
Pulse Length,Short Pulse (Duan Mai),短脉 Duǎn Mài,"Only felt at guan position, does not extend to cun or chi, abbreviated","Qi stagnation, severe qi deficiency, or phlegm obstruction","Qi unable to extend pulse, obstruction or severe deficiency","Qi deficiency, qi stagnation, chest constraint, organ problems","Move qi if stagnation, tonify qi if deficiency"
Pulse Rhythm,Regular/Even Rhythm,规则 Guī Zé,"Even, regular intervals between beats","Normal, healthy rhythm",No rhythm disturbance,"Health, stable condition",Maintain balance
Pulse Rhythm,Intermittent Pulse (Dai Mai),代脉 Dài Mài,"Regularly intermittent, skips beats at regular intervals, stops and resumes predictably","Organ qi exhaustion, wind-stroke, severe trauma, pregnancy complications","Serious organ damage or severe pathology, heart qi deficiency","Heart disease, arrhythmia, organ failure, fright, severe pain","Tonify organ qi, calm spirit, treat underlying severe condition"
Pulse Rhythm,Knotted Pulse (Jie Mai),结脉 Jié Mài,"Slow with irregular skipped beats, pauses unpredictably","Yin-cold, qi-blood stagnation, phlegm obstruction, masses",Cold or stagnation causing irregular flow,"Cold stagnation, blood stasis, masses, tumors, qi obstruction","Warm yang, invigorate blood, resolve phlegm, remove stasis"
Pulse Rhythm,Hurried Pulse (Cu Mai),促脉 Cù Mài,"Rapid with irregular skipped beats, fast but interrupted","Yang excess, heat with stagnation, qi-blood stagnation with heat","Heat and stagnation combined, yang excess disrupting rhythm","Heat patterns with stagnation, excess yang, heart fire","Clear heat, move stagnation, calm heart"
Pulse Rhythm,Regularly Irregular (Pacing Rhythm),规律不齐 Guī Lǜ Bù Qí,Predictable pattern of irregularity,Various patterns depending on overall pulse quality,Structural heart issues or chronic rhythm disturbance,"Chronic arrhythmias, heart disease",Depends on underlying pattern
Special Pulse Qualities,Hollow/Scallion Stalk Pulse (Kong Mai),空脉 Kōng Mài,"Large but hollow in center, feels empty like scallion stalk","Severe blood loss, hemorrhage",Blood depleted from vessels leaving hollow sensation,"Hemorrhage, severe blood loss, post-trauma, heavy menstrual bleeding","Stop bleeding, strongly tonify blood"
Special Pulse Qualities,Confined/Imprisoned Pulse (Lao Mai),牢脉 Láo Mài,"Deep, wiry, and forceful, strong and confined at deep level","Interior excess cold, hernia, internal accumulation",Strong pathogen trapped deeply with sufficient zheng qi to resist,"Hernias, internal abscesses, deep cold accumulations","Warm interior, disperse accumulation"
Special Pulse Qualities,Firm Pulse (Shi Mai),实脉 Shí Mài,"Forceful at all levels, strong at superficial and deep, large and powerful","Excess pattern, strong zheng qi fighting strong pathogen",Full excess condition with robust resistance,"Excess heat, excess cold, qi-blood stagnation, constipation",Purge or drain excess depending on nature
Special Pulse Qualities,Minute/Barely Perceptible Pulse (Wei Mai),微脉 Wēi Mài,"Extremely thin and soft, barely perceptible, feels like gossamer","Collapse of yang qi, critical qi-blood depletion","Life-threatening deficiency, near-death pulse","Shock, severe hemorrhage, yang collapse, dying patient",Emergency rescue qi and yang
Special Pulse Qualities,Spinning Bean/Moving Pulse (Dong Mai),动脉 Dòng Mài,"Rapid, short, slippery, feels like spinning bean, only at guan position, vibrating","Fright, pain, pregnancy disorders","Disturbance of spirit or severe pain, kidney qi instability","Severe fright, intense pain, threatened miscarriage, panic","Calm spirit, stop pain, stabilize kidney qi"
Special Pulse Qualities,Frail/Feeble Pulse (Wei Ruo Mai),微弱脉 Wēi Ruò Mài,"Combination of minute and weak qualities, deep, thin, soft, barely present","Severe yang qi collapse, critical qi-blood-yang deficiency","Near-death state, critical deficiency","Terminal illness, severe shock, yang collapse",Emergency tonification and yang rescue
Special Pulse Qualities,Leather with Slippery (Ge Hua Mai),革滑脉 Gé Huá Mài,Combination of leather/drum and slippery qualities,Blood loss with dampness or phlegm,Multiple pathologies present,"Complicated gynecological bleeding, blood loss with phlegm",Address blood loss and resolve phlegm-dampness
Pulse Position Analysis,Cun Position (Inch/Distal),寸脉 Cùn Mài,Position closest to wrist crease,Heart and Lung (left cun: Heart/SI; right cun: Lung/LI),Reflects condition of upper jiao organs,"Heart, lung, chest conditions",Based on findings in this position
Pulse Position Analysis,Guan Position (Bar/Middle),关脉 Guān Mài,Middle position at styloid process,Liver and Spleen (left guan: Liver/GB; right guan: Spleen/ST),Reflects condition of middle jiao organs,"Liver, gallbladder, spleen, stomach conditions",Based on findings in this position
Pulse Position Analysis,Chi Position (Cubit/Proximal),尺脉 Chǐ Mài,"Position furthest from wrist crease, proximal","Kidney (both sides), Bladder, Intestines (left chi: Kidney/BL; right chi: Kidney/Ming Men/SI/LI)",Reflects condition of lower jiao organs and kidney,"Kidney, bladder, reproductive, intestinal conditions",Based on findings in this position
Pulse Position Analysis,Absent at Chi Position,尺脉不至 Chǐ Mài Bù Zhì,No pulse felt at chi position on one or both sides,"Kidney essence depletion, kidney qi weakness, lower jiao deficiency",Severe kidney deficiency or life-threatening condition,"Kidney failure, extreme kidney deficiency, infertility, impotence",Strongly tonify kidney essence and qi
Pulse Position Analysis,Strong at Chi Position,尺脉有力 Chǐ Mài Yǒu Lì,"Forceful pulse at chi, stronger than cun and guan","Kidney yang excess, lower jiao heat, kidney fire",Excess in lower jiao or kidney,"Kidney fire, bladder damp-heat, lower jiao excess","Clear kidney fire, drain lower jiao heat"
Pulse Position Analysis,Unbalanced Left-Right,左右不平 Zuǒ Yòu Bù Píng,Significant difference in quality between left and right wrists,"Imbalance between yin-yang organs, lateralized pathology",Unequal condition between paired organs or sides,Varies by which side and position affected,Balance the affected organs and sides
Constitutional Variations,Male Constitutional Pulse,男性脉象 Nán Xìng Mài Xiàng,"Slightly stronger at chi (kidney) position, left slightly stronger",Normal male physiology,Reflects normal male qi dominance,Normal health in men,Recognition of normal variation
Constitutional Variations,Female Constitutional Pulse,女性脉象 Nǚ Xìng Mài Xiàng,"Slightly softer overall, right may be slightly stronger than left",Normal female physiology,Reflects normal female blood dominance,Normal health in women,Recognition of normal variation
Constitutional Variations,Pregnancy Pulse (Hua Mai at Chi),孕脉 Yùn Mài,"Slippery pulse especially at chi positions bilaterally, smooth and rolling","Pregnancy, especially after 3 months",Increased blood volume and qi nourishing fetus,Normal pregnancy,"Nourish blood and qi, support pregnancy"
Constitutional Variations,Child's Pulse,小儿脉 Xiǎo Ér Mài,"Faster rate (90-120 BPM), softer, more superficial",Normal pediatric physiology,"Pure yang constitution of children, rapid metabolism",Normal childhood,Recognition of normal pediatric variation
Constitutional Variations,Elderly Pulse,老年脉 Lǎo Nián Mài,"May be slightly irregular, weaker, sometimes wiry from aging","Normal aging process, kidney essence decline",Natural decline of yuan qi and essence with age,Normal aging,"Tonify kidney essence, support zheng qi"
Constitutional Variations,Athletic/Strong Constitution,运动员脉 Yùn Dòng Yuán Mài,"Slow but forceful (around 50-60 BPM), strong and resilient","Abundant qi and blood, strong heart","Efficient cardiovascular system, athletic conditioning","Athletic training, strong health","Maintain balance, monitor for overtraining"
Seasonal Variations,Spring Pulse - Slightly Wiry,春脉 Chūn Mài,"Slightly wiry quality, like string of musical instrument, resilient","Normal spring season, liver qi active","Wood element ascending, liver qi rising naturally",Normal seasonal variation,Recognize normal seasonal quality
Seasonal Variations,Summer Pulse - Slightly Flooding,夏脉 Xià Mài,"Slightly larger, fuller, more flooding quality, superficial","Normal summer season, yang qi at surface","Fire element, yang qi expansive and at exterior",Normal seasonal variation,Recognize normal seasonal quality
Seasonal Variations,Autumn Pulse - Slightly Superficial,秋脉 Qiū Mài,"Slightly superficial and lighter, like floating hair, refined","Normal autumn season, yang qi beginning to descend","Metal element, lung qi managing descent",Normal seasonal variation,Recognize normal seasonal quality
Seasonal Variations,Winter Pulse - Slightly Deep,冬脉 Dōng Mài,"Slightly deeper, heavier, more sinking, reserved","Normal winter season, yang qi stored in interior","Water element, kidney qi storing essence",Normal seasonal variation,Recognize normal seasonal quality
