id,age_group,patient_question_prompt
11,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 11."
12,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 12."
13,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 13."
14,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 14."
15,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 15."
16,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 16."
17,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 17."
18,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 18."
19,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 19."
20,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 20."
21,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 21."
22,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 22."
23,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 23."
24,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 24."
25,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 25."
26,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 26."
27,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 27."
28,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 28."
29,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 29."
30,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 30."
31,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 31."
32,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 32."
33,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 33."
34,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 34."
35,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 35."
36,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 36."
37,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 37."
38,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 38."
39,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 39."
40,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 40."
41,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 41."
42,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 42."
43,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 43."
44,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 44."
45,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 45."
46,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 46."
47,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 47."
48,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 48."
49,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 49."
50,adults_18_50,"This patient is an adult aged 18–50. Using my TCM knowledge library, ask 5–7 clarifying questions that explore work stress, digestion, sleep, pain, emotions, cycles/fertility where relevant, and lifestyle. Case 50."
