Question,Answer,TCM Acupuncture Points,Pharmacopeia
How is a Scattered pulse interpreted?,"A Scattered (San) pulse is floating, soft, diffuse, and without root or strength, indicating severe Qi and Yang deficiency or collapse. It's often seen in critical conditions or terminal illness.","CV8 (Shenque - moxa), CV4 (Guanyuan), GV20 (Baihui), KD1 (Yongquan)",Shen Fu Tang (Ginseng and Aconite Decoction)
What does a Hollow pulse signify?,"A Hollow (Kou) pulse feels empty in the center like a scallion stalk, indicating severe Blood loss or hemorrhage. It suggests depletion of Ying Qi and Blood with Yang Qi at the surface.","SP1 (Yinbai), SP6 (Sanyinjiao), BL17 (Geshu), ST36 (Zusanli)",Dang Gui Bu Xue Tang (Tangkuei Decoction to Tonify Blood)
What is a Leather pulse?,"A Leather (Ge) pulse is floating, wiry, and hollow, like touching a drum skin, indicating severe depletion with exterior excess. It suggests Yang Qi floating outward with loss of Yin-Essence below.","CV4 (Guanyuan), KD3 (Taixi), SP6 (Sanyinjiao), BL23 (Shenshu)",Zuo Gui Wan (Restore the Left Kidney Pill)
How do you interpret a Hidden pulse?,"A Hidden (Fu) pulse is felt only with extreme deep pressure, deeper than sinking, indicating severe Interior Cold or Yang collapse. It suggests Qi blockage or extreme deficiency where pulse barely reaches the surface.","GV4 (Mingmen - moxa), CV4 (Guanyuan), CV8 (Shenque), ST36 (Zusanli)",Si Ni Tang (Frigid Extremities Decoction)
What is a Firm pulse?,"A Firm (Lao/Shi) pulse is sinking, long, and forceful, indicating Interior Cold with Yang constraint. It suggests Cold stagnation in the Interior with strength still present, often with pain.","CV6 (Qihai), ST25 (Tianshu), ST36 (Zusanli), LV3 (Taichong)",Da Cheng Qi Tang (Major Order the Qi Decoction)
What does a Weak pulse indicate?,"A Weak (Ruo) pulse is deep, soft, and weak, indicating Qi deficiency affecting Yang and Wei Qi. It requires both deep pressure to locate and shows lack of strength, suggesting profound depletion.","CV6 (Qihai), ST36 (Zusanli), BL20 (Pishu), BL23 (Shenshu)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
How is a Minute pulse different from Thin?,"A Minute (Wei) pulse is extremely fine and soft, barely palpable, indicating severe Qi-Yang or Blood-Yin collapse. Unlike Thin pulse (deficiency), Minute suggests critical depletion and poor prognosis.","CV8 (Shenque - moxa), CV4 (Guanyuan), GV20 (Baihui), KD3 (Taixi)",Shen Fu Tang (Ginseng and Aconite Decoction)
What is a Knotted pulse?,"A Knotted (Jie) pulse is slow with irregular skipped beats, indicating Yin-Cold, Qi stagnation, or Blood stasis. The irregular skipping suggests obstruction preventing smooth flow.","CV17 (Shanzhong), PC6 (Neiguan), HT7 (Shenmen), BL15 (Xinshu)","Gui Zhi Gan Cao Long Gu Mu Li Tang (Cinnamon, Licorice, Dragon Bone & Oyster Shell Decoction)"
What does an Intermittent pulse signify?,"An Intermittent (Dai) pulse has regular pauses at fixed intervals, indicating severe Organ Qi deficiency, trauma, or critical illness. It suggests Zang Qi exhaustion, particularly Heart and Kidney.","CV4 (Guanyuan), CV17 (Shanzhong), HT7 (Shenmen), KD3 (Taixi)",Zhi Gan Cao Tang (Honey-Fried Licorice Decoction)
How do you interpret a Hasty pulse?,"A Hasty (Cu) pulse is rapid with irregular skipped beats, indicating Yang excess, Heat, Phlegm-Fire, or Heart Qi stagnation. The combination of speed and irregularity suggests agitation and obstruction.","PC6 (Neiguan), HT7 (Shenmen), LI11 (Quchi), LV2 (Xingjian)",Huang Lian Jie Du Tang (Coptis Decoction to Resolve Toxicity)
What does a Pale tongue indicate?,"A Pale tongue indicates Blood deficiency, Yang deficiency, or Cold. The lack of red color shows insufficient Blood nourishment or Yang Qi unable to transport Blood to the tongue surface.","ST36 (Zusanli), SP6 (Sanyinjiao), CV4 (Guanyuan), BL20 (Pishu)",Ba Zhen Tang (Eight-Treasure Decoction)
What is the significance of a Red tongue?,"A Red tongue indicates Heat, either Excess Heat or Yin deficiency Heat. The degree of redness correlates with Heat intensity, with dark red suggesting severe Heat or prolonged Yin deficiency.","LI11 (Quchi), GV14 (Dazhui), KD3 (Taixi), SP6 (Sanyinjiao)",Qing Ying Tang (Clear the Nutritive Level Decoction)
How do you interpret a Purplish tongue?,"A Purplish/Bluish-purple tongue indicates Blood stasis or Cold stagnation. Blue-purple suggests Cold congealing Blood, while red-purple indicates Heat with stasis, often seen in cardiovascular issues.","SP10 (Xuehai), LV3 (Taichong), BL17 (Geshu), SP6 (Sanyinjiao)",Xue Fu Zhu Yu Tang (Drive Out Stasis from the Mansion of Blood Decoction)
What does a swollen tongue signify?,"A swollen tongue indicates Dampness, Phlegm, or Spleen Qi deficiency with fluid retention. Tooth marks on swollen tongue edges suggest Spleen Qi deficiency unable to transform Dampness.","SP9 (Yinlingquan), ST40 (Fenglong), CV9 (Shuifen), SP6 (Sanyinjiao)","Ling Gui Zhu Gan Tang (Poria, Cinnamon Twig, Atractylodes & Licorice Decoction)"
What is the meaning of a thin/emaciated tongue?,"A thin/emaciated tongue indicates Yin-Blood deficiency or Jing depletion. The lack of substance shows insufficient nourishment and essence, often with Heat consuming fluids.","KD3 (Taixi), SP6 (Sanyinjiao), KD6 (Zhaohai), LV8 (Ququan)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill)
How do you interpret tongue cracks?,"Cracks indicate Yin or fluid deficiency when the tongue is red and dry, or constitutional when on pale/normal tongue. Central cracks suggest Heart or Stomach Yin deficiency; transverse cracks indicate Spleen Qi deficiency.","KD3 (Taixi), SP6 (Sanyinjiao), HT7 (Shenmen), ST36 (Zusanli)",Sha Shen Mai Dong Tang (Glehnia-Ophiopogonis Decoction)
What do red points on the tongue indicate?,Red points or papillae indicate Heat in specific organ areas. Points on the tip suggest Heart Fire; on sides indicate Liver Fire; scattered points show toxicity or Heat in Blood level.,"HT8 (Shaofu), LV2 (Xingjian), PC8 (Laogong), SP10 (Xuehai)",Dao Chi San (Guide Out the Red Powder)
What is the significance of a deviated tongue?,"A deviated tongue indicates Wind-Stroke (Zhong Feng), Liver Wind, or channel obstruction. Deviation shows unequal Qi flow and potential paralysis or post-stroke sequelae.","GB20 (Fengchi), LI4 (Hegu), LV3 (Taichong), GV20 (Baihui)",Tian Ma Gou Teng Yin (Gastrodia-Uncaria Decoction)
What does a stiff tongue signify?,"A stiff tongue indicates Wind-Heat, Phlegm obstructing orifices, or Liver Wind. Inability to move freely suggests obstruction or severe internal Wind affecting tongue movement.","GV15 (Yamen), CV23 (Lianquan), HT5 (Tongli), PC5 (Jianshi)",Ling Yang Jiao Tang (Antelope Horn Decoction)
How do you interpret a trembling tongue?,"A trembling tongue indicates Liver Wind from Heat or deficiency, or Spleen Qi weakness. Fine trembling suggests Blood-Qi deficiency; coarse trembling indicates Liver Yang rising or Wind-Heat.","LV3 (Taichong), GB20 (Fengchi), ST36 (Zusanli), SP6 (Sanyinjiao)",Zhen Gan Xi Feng Tang (Sedate the Liver and Extinguish Wind Decoction)
What is a Geographic tongue?,"A Geographic tongue shows irregular patches where coating has peeled, revealing red areas like a map. It indicates Stomach-Spleen Yin deficiency with rootless coating, often with fluid depletion.","ST36 (Zusanli), SP6 (Sanyinjiao), KD3 (Taixi), CV12 (Zhongwan)",Yi Wei Tang (Benefit the Stomach Decoction)
What does tongue underside examination reveal?,The tongue underside shows venules indicating Blood circulation and stasis. Normal veins are pale pink and not distended; purple/dark distended veins indicate Blood stasis; pale veins suggest Blood deficiency.,"SP10 (Xuehai), BL17 (Geshu), PC6 (Neiguan), LV3 (Taichong)",Dan Shen Yin (Salvia Decoction)
What do tooth marks on tongue edges mean?,"Tooth marks (scalloped edges) indicate Spleen Qi deficiency with Dampness. The tongue is too enlarged or soft to fit properly, showing impressions from teeth, suggesting poor transformation function.","SP3 (Taibai), SP6 (Sanyinjiao), ST36 (Zusanli), BL20 (Pishu)",Si Jun Zi Tang (Four Gentlemen Decoction)
How do you interpret a short tongue?,"A short tongue that cannot extend fully indicates Interior Cold contracting tissues, or Spleen-Kidney Qi deficiency. It suggests underlying deficiency or severe Cold constraint.","CV4 (Guanyuan), GV4 (Mingmen), ST36 (Zusanli), KD3 (Taixi)",Fu Zi Li Zhong Wan (Aconite Center-Rectifying Pill)
What is the significance of a long tongue?,"A long extended tongue indicates Heart Fire or Liver Fire, with Yang excess causing expansion. Excessive length beyond normal suggests Heat agitating upward.","HT8 (Shaofu), LV2 (Xingjian), PC7 (Daling), GV14 (Dazhui)",Long Dan Xie Gan Tang (Gentiana Drain the Liver Decoction)
What does a flaccid/limp tongue indicate?,"A flaccid tongue that is weak and unable to move vigorously indicates severe deficiency of fluids, Blood, or Qi-Yin. It shows lack of nourishment to tongue muscles.","ST36 (Zusanli), SP6 (Sanyinjiao), KD3 (Taixi), CV4 (Guanyuan)",Zeng Ye Tang (Increase the Fluids Decoction)
How do you interpret a dry tongue?,"A dry tongue indicates fluid or Yin deficiency, excessive Heat consuming fluids, or injured Jin-Ye. Dryness with redness shows Heat; with paleness indicates Yang deficiency unable to transport fluids.","KD3 (Taixi), KD6 (Zhaohai), SP6 (Sanyinjiao), LU7 (Lieque)",Mai Men Dong Tang (Ophiopogonis Decoction)
What does a wet/moist tongue signify?,"An excessively wet tongue with dripping saliva indicates Dampness, Yang deficiency unable to transform fluids, or Kidney Yang deficiency with fluid overflow. It suggests poor fluid metabolism.","SP9 (Yinlingquan), CV9 (Shuifen), BL22 (Sanjiaoshu), KD7 (Fuliu)",Wu Ling San (Five-Ingredient Powder with Poria)
What are prickles on the tongue?,"Prickles (raised papillae like thorns) indicate extreme Heat, particularly in specific organs. Red prickles show Heat toxicity; yellow prickles in cracks indicate severe Heat with Dampness.","HT8 (Shaofu), SP10 (Xuehai), LI11 (Quchi), LV2 (Xingjian)",Huang Lian Jie Du Tang (Coptis Decoction to Resolve Toxicity)
How do you interpret tongue shape overall?,"Overall tongue shape integrates multiple factors: size indicates Qi strength, color shows Heat/Cold, moisture reflects fluid metabolism, and coating reveals pathogen location. Combined assessment provides complete pattern differentiation.",Pattern-specific points based on overall diagnosis,Pattern-specific formulas based on comprehensive differentiation
What does a white tongue coating indicate?,"A white coating indicates Cold or Exterior conditions when thin, or Dampness/Cold when thick. Thin white coating is normal; thick white suggests pathogenic Cold or Phlegm-Dampness accumulation.","LU7 (Lieque), LI4 (Hegu), ST40 (Fenglong), SP9 (Yinlingquan)",Huo Xiang Zheng Qi San (Agastache Rectify the Qi Powder)
How do you interpret a yellow coating?,"A yellow coating indicates Heat, with thickness and moisture reflecting severity. Thin-yellow shows mild Heat; thick-yellow indicates Interior Heat; dry-yellow suggests Heat injuring fluids; greasy-yellow shows Damp-Heat.","LI11 (Quchi), ST44 (Neiting), SP9 (Yinlingquan), ST40 (Fenglong)",Huang Qin Tang (Scutellaria Decoction)
What is the significance of a gray coating?,"A gray coating indicates Interior Cold when wet and white-tinged, or Interior Heat when dry and yellow-tinged. It suggests prolonged illness or transformation of pathogenic factors.","CV12 (Zhongwan), ST36 (Zusanli), CV6 (Qihai), LV3 (Taichong)",Xiao Chai Hu Tang (Minor Bupleurum Decoction)
What does a black coating signify?,"A black coating indicates extreme Interior conditions: severe Cold when wet, or extreme Heat when dry and cracked. It suggests critical illness, Heat consuming fluids, or Yang exhaustion with Cold.","Dry-black: KD3, KD6, SP6; Wet-black: CV8 (moxa), CV4, ST36",Dry: Zeng Ye Cheng Qi Tang; Wet: Si Ni Tang
How do you assess coating thickness?,"Thin coating shows underlying tongue body and indicates normal or early/mild pathogen invasion. Thick coating obscures tongue body, indicating strong pathogenic factor, severe Dampness/Phlegm, or food stagnation.","ST36 (Zusanli), CV12 (Zhongwan), ST40 (Fenglong), PC6 (Neiguan)",Bao He Wan (Preserve Harmony Pill) for food stagnation
What is a greasy/sticky coating?,"A greasy/sticky (Ni) coating is thick, turbid, and difficult to scrape off, indicating Dampness, Phlegm, or greasy food stagnation. It shows Spleen dysfunction in transformation and transportation.","SP9 (Yinlingquan), ST40 (Fenglong), CV9 (Shuifen), SP6 (Sanyinjiao)",Ping Wei San (Calm the Stomach Powder)
What does a rootless coating indicate?,"A rootless coating appears scattered without proper attachment to tongue body, like tofu residue, indicating Stomach Qi deficiency or Yin exhaustion. It shows lack of root/foundation and poor prognosis if severe.","ST36 (Zusanli), CV12 (Zhongwan), SP6 (Sanyinjiao), KD3 (Taixi)",Yi Wei Tang (Benefit the Stomach Decoction)
How do you interpret a peeled coating?,A peeled coating with bare patches indicates Stomach-Spleen Yin deficiency or injured fluids. Partial peeling shows Yin deficiency in recovery; complete peeling suggests severe Yin or Qi depletion.,"ST36 (Zusanli), SP6 (Sanyinjiao), KD3 (Taixi), CV12 (Zhongwan)",Sha Shen Mai Dong Tang (Glehnia-Ophiopogonis Decoction)
What is a mirror/shiny tongue?,A mirror/shiny tongue with complete coating absence and smooth glossy surface indicates severe Stomach-Kidney Yin exhaustion. The 'mirrored' appearance shows complete fluid depletion.,"KD3 (Taixi), KD6 (Zhaohai), SP6 (Sanyinjiao), ST36 (Zusanli)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill)
What does a moldy/curd-like coating signify?,"A moldy coating resembles bean curd or cheese, thick and greasy, indicating severe Damp-Heat or turbid Phlegm with food stagnation. It shows extreme pathogenic accumulation.","ST40 (Fenglong), SP9 (Yinlingquan), ST44 (Neiting), CV12 (Zhongwan)",Lian Po Yin (Coptis-Magnolia Decoction)
How do you assess coating moisture?,Dry coating indicates Heat injuring fluids or Yin deficiency. Wet coating suggests Dampness or Yang deficiency unable to evaporate fluids. Normal coating has slight moisture without excessive wetness or dryness.,"Dry: KD3, SP6, LU7; Wet: SP9, CV9, ST40",Dry: Mai Men Dong Tang; Wet: Wu Ling San
What is the significance of coating distribution?,Coating distribution shows pathogen location: tip reflects Lung/Heart; center indicates Stomach/Spleen; root shows Kidney/Intestines; sides relate to Liver/Gallbladder. Uneven coating suggests specific organ involvement.,"Location-specific points: Tip-LU7, Center-CV12, Root-KD3, Sides-LV3",Location-specific formulas based on affected organs
What does a coating only on the root mean?,"Coating only on root with peeled front indicates pathogen moving deeper into Interior, or Kidney-Stomach deficiency with upper Yin exhaustion. It can show Heat in Kidney or Lower Burner Damp-Heat.","KD3 (Taixi), CV3 (Zhongji), BL23 (Shenshu), SP6 (Sanyinjiao)","Zhi Bai Di Huang Wan (Anemarrhena, Phellodendron & Rehmannia Pill)"
How do you interpret coating that peels and reforms?,"Coating that repeatedly peels and reforms indicates struggle between Antipathogenic Qi and pathogen, with fluctuating Stomach Qi. Reforming shows Qi recovery; continuing peeling suggests persistent deficiency.","ST36 (Zusanli), CV12 (Zhongwan), SP6 (Sanyinjiao), PC6 (Neiguan)",Xiang Sha Liu Jun Zi Tang (Aucklandia-Amomum Six Gentlemen Decoction)
What is the clinical significance of coating color changes?,Coating color progression from white→yellow→gray→black indicates Heat intensification or deepening of disease. Reversal (black→yellow→white) shows improvement. Rapid changes suggest acute transformation.,Pattern-specific based on color stage,Pattern-specific formulas adjusted as coating changes
What does the tongue tip represent?,The tongue tip reflects the Heart and Lung. Redness indicates Heart Fire; swelling suggests Lung Heat; red points show Heart Fire blazing; tip crack indicates Heart Yin deficiency.,"HT7 (Shenmen), HT8 (Shaofu), LU7 (Lieque), LU10 (Yuji)",Dao Chi San (Guide Out the Red Powder)
What organ does the tongue center relate to?,The tongue center corresponds to Stomach and Spleen. Yellow coating in center shows Stomach Heat; cracks indicate Stomach Yin deficiency; swelling suggests Spleen Dampness; peeling shows Stomach Qi/Yin deficiency.,"CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao), ST44 (Neiting)",Qing Wei San (Clear the Stomach Powder)
What do the tongue sides indicate?,The tongue sides correspond to Liver and Gallbladder. Red sides show Liver Fire; swollen sides indicate Liver Qi stagnation with Dampness; purple sides suggest Liver Blood stasis.,"LV3 (Taichong), LV14 (Qimen), GB34 (Yanglingquan), LV2 (Xingjian)",Long Dan Xie Gan Tang (Gentiana Drain the Liver Decoction)
What does the tongue root represent?,The tongue root reflects Kidney and Lower Burner. Thick coating on root shows Damp-Heat in Lower Burner; dry root indicates Kidney Yin deficiency; pale root suggests Kidney Yang deficiency.,"KD3 (Taixi), BL23 (Shenshu), CV4 (Guanyuan), BL28 (Pangguangshu)",Ba Zheng San (Eight-Herb Powder for Rectification)
What is the chest area on the tongue?,The area behind the tip (anterior-center) represents the chest/Lung area. A dip or depression suggests Lung Qi deficiency; swelling indicates Phlegm in Lungs; moisture shows fluid retention.,"LU1 (Zhongfu), LU5 (Chize), CV17 (Shanzhong), BL13 (Feishu)",Ting Li Da Zao Xie Fei Tang (Lepidium-Jujube Drain the Lung Decoction)
How do side cracks relate to organs?,Transverse cracks on tongue sides indicate Spleen Qi deficiency and poor distribution. Multiple side cracks suggest Liver-Spleen disharmony or chronic Spleen weakness affecting the sides.,"SP3 (Taibai), SP6 (Sanyinjiao), LV3 (Taichong), ST36 (Zusanli)",Xiao Yao Wan (Free and Easy Wanderer)
What does a Heart crack look like?,"A central crack extending from tip toward root is called Heart crack, indicating constitutional Heart Yin deficiency when on normal tongue, or acquired deficiency when deep on red tongue with no coating.","HT7 (Shenmen), HT6 (Yinxi), PC6 (Neiguan), CV14 (Juque)",Tian Wang Bu Xin Dan (Emperor's Teapill to Tonify the Heart)
What do cracks radiating from center mean?,"Multiple cracks radiating from center like spider web indicate chronic Yin deficiency, particularly Stomach-Spleen Yin, with Heat drying fluids. It suggests prolonged illness with fluid consumption.","ST36 (Zusanli), SP6 (Sanyinjiao), KD3 (Taixi), CV12 (Zhongwan)",Yi Wei Tang (Benefit the Stomach Decoction)
How do you interpret coating in the Liver area?,Yellow greasy coating on tongue sides indicates Liver-Gallbladder Damp-Heat. Absence of coating on sides with redness shows Liver Yin deficiency. Thick coating suggests Liver Qi stagnation with Dampness.,"LV3 (Taichong), GB34 (Yanglingquan), LV14 (Qimen), GB24 (Riyue)",Long Dan Xie Gan Tang (Gentiana Drain the Liver Decoction)
What does swelling in specific areas indicate?,Localized swelling indicates Qi stagnation or Dampness in corresponding organs: tip swelling shows Heart-Lung Heat; side swelling indicates Liver Qi stagnation; root swelling suggests Kidney-Bladder Damp-Heat.,"Area-specific: Tip-HT7, Sides-LV3, Root-KD3",Area-specific formulas based on organ involvement
How do red points in different areas differ?,Red point location indicates specific organ Heat: tip points show Heart Fire; side points indicate Liver Fire; scattered center points suggest Stomach Heat; throughout indicates Heat in Blood level.,Tip-HT8; Sides-LV2; Center-ST44; Throughout-SP10,Tip: Dao Chi San; Sides: Long Dan Xie Gan Tang; Center: Qing Wei San
What is the significance of tongue sublingual veins?,"Sublingual veins reflect Blood circulation. Normal veins are thin, pale-red, not distended. Purple, thick, or tortuous veins indicate Blood stasis. Pale thin veins suggest Blood deficiency. Used in cardiovascular assessment.","SP10 (Xuehai), BL17 (Geshu), PC6 (Neiguan), HT7 (Shenmen)",Xue Fu Zhu Yu Tang (Drive Out Stasis from the Mansion of Blood Decoction)
How do you combine pulse and tongue for Heat diagnosis?,"Heat shows rapid pulse with red tongue and yellow coating. Excess Heat has full rapid pulse, red tongue, thick yellow coating. Deficiency Heat shows thin rapid pulse, red peeled tongue, little/no coating.","LI11 (Quchi), GV14 (Dazhui), KD3 (Taixi), SP6 (Sanyinjiao)",Excess: Bai Hu Tang; Deficiency: Qing Hao Bie Jia Tang
How do you differentiate Cold patterns?,"Cold shows slow pulse with pale tongue and white coating. Excess Cold has tight slow pulse, pale wet tongue, thick white coating. Deficiency Cold shows weak slow pulse, pale dry tongue, thin coating or peeled.","CV4 (Guanyuan), GV4 (Mingmen), ST36 (Zusanli), CV8 (Shenque)",Excess: Da Jian Zhong Tang; Deficiency: You Gui Wan
What pulse-tongue combination indicates Qi deficiency?,"Qi deficiency shows empty or weak pulse with pale swollen tongue, tooth marks, and thin white coating. The pulse lacks strength; tongue is enlarged from fluid accumulation and poor transformation.","ST36 (Zusanli), CV6 (Qihai), SP6 (Sanyinjiao), BL20 (Pishu)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
How do you identify Blood deficiency from diagnosis?,"Blood deficiency presents thin or choppy pulse with pale thin dry tongue and little coating. The pulse is fine; tongue lacks nourishment showing paleness, reduced size, and dryness.","SP6 (Sanyinjiao), ST36 (Zusanli), BL17 (Geshu), BL20 (Pishu)",Si Wu Tang (Four-Substance Decoction)
What indicates Yin deficiency in pulse-tongue diagnosis?,"Yin deficiency shows thin rapid pulse with red tongue, little/no coating, cracks, and dryness. Empty Heat signs appear: rapid pulse without force, red peeled tongue, possible night sweats.","KD3 (Taixi), KD6 (Zhaohai), SP6 (Sanyinjiao), LU7 (Lieque)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill)
How do you diagnose Yang deficiency?,Yang deficiency shows deep weak slow pulse with pale wet swollen tongue and white coating. The pulse is without Yang warmth; tongue is pale and enlarged from fluid accumulation.,"CV4 (Guanyuan), GV4 (Mingmen), ST36 (Zusanli), BL23 (Shenshu)",Jin Gui Shen Qi Wan (Golden Cabinet Kidney Qi Pill)
What pulse-tongue signs indicate Phlegm-Dampness?,"Phlegm-Dampness shows slippery pulse with swollen tongue, greasy coating, and tooth marks. Pulse is smooth and full; tongue is enlarged with turbid sticky coating obscuring body.","ST40 (Fenglong), SP9 (Yinlingquan), CV9 (Shuifen), SP6 (Sanyinjiao)",Er Chen Tang (Two-Cured Decoction)
How do you identify Blood stasis?,"Blood stasis shows choppy or wiry pulse with purple/dark tongue, purple sublingual veins, and possible stasis spots. Pulse is rough and unsmooth; tongue shows stagnant Blood color.","SP10 (Xuehai), BL17 (Geshu), LV3 (Taichong), SP6 (Sanyinjiao)",Xue Fu Zhu Yu Tang (Drive Out Stasis from the Mansion of Blood Decoction)
What indicates Liver Qi stagnation?,"Liver Qi stagnation shows wiry pulse particularly at Guan position with normal or slightly red tongue, possible side swelling, and thin coating. The wiry pulse indicates constraint and tension.","LV3 (Taichong), LV14 (Qimen), GB34 (Yanglingquan), PC6 (Neiguan)",Xiao Yao Wan (Free and Easy Wanderer)
How do you diagnose Liver Fire?,"Liver Fire shows wiry rapid pulse with red tongue especially on sides, red points on sides, yellow coating, and dry appearance. Both pulse and tongue show Heat with Liver involvement.","LV2 (Xingjian), LV3 (Taichong), GB34 (Yanglingquan), LI11 (Quchi)",Long Dan Xie Gan Tang (Gentiana Drain the Liver Decoction)
What pulse-tongue combination indicates Heart Fire?,"Heart Fire shows rapid full pulse at left Cun position with red tongue especially at tip, red points on tip, possible ulcers, and yellow coating. Tip redness is key diagnostic feature.","HT8 (Shaofu), HT7 (Shenmen), PC7 (Daling), CV14 (Juque)",Dao Chi San (Guide Out the Red Powder)
How do you identify Spleen Qi deficiency?,"Spleen Qi deficiency shows weak pulse at right Guan with pale swollen tongue, tooth marks, and thin white coating. The weakness at Guan position specifically indicates Spleen involvement.","ST36 (Zusanli), SP6 (Sanyinjiao), SP3 (Taibai), BL20 (Pishu)",Si Jun Zi Tang (Four Gentlemen Decoction)
What indicates Kidney Yin deficiency?,"Kidney Yin deficiency shows thin rapid pulse at both Chi positions with red tongue, possible peeling on root, cracks, and little coating. Deficiency Heat signs appear in lower body area.","KD3 (Taixi), KD6 (Zhaohai), SP6 (Sanyinjiao), BL23 (Shenshu)",Zuo Gui Wan (Restore the Left Kidney Pill)
How do you diagnose Kidney Yang deficiency?,Kidney Yang deficiency shows deep weak slow pulse at Chi positions with pale wet swollen tongue and white coating. The pulse is weak at Kidney positions; tongue shows Cold-Damp signs.,"GV4 (Mingmen), CV4 (Guanyuan), BL23 (Shenshu), KD3 (Taixi)",You Gui Wan (Restore the Right Kidney Pill)
What pulse-tongue signs indicate Damp-Heat?,"Damp-Heat shows slippery rapid pulse with red tongue, yellow greasy coating, and possible swelling. The combination of slippery (Damp) and rapid (Heat) with greasy coating is diagnostic.","SP9 (Yinlingquan), LI11 (Quchi), ST40 (Fenglong), ST44 (Neiting)",San Ren Tang (Three-Nut Decoction)
