Question,Answer,Category,Notes
How do I treat sciatica along the Gallbladder channel?,"TCM Diagnosis: Shao Yang Channel obstruction. Points: GB30, GB34, GB31, GB41. Treatment Principle: Open GB channel and relax tendons. Formula: Xiao Chai Hu Tang modified (Minor Bupleurum Decoction). Clinical Tip: Deep needling required at GB30 - 3-4 cun depth to reach piriformis.",msk_orthopedic,Sciatica
How do I treat sciatica along the Bladder channel?,"TCM Diagnosis: Taiyang Channel obstruction. Points: BL36, BL40, BL60, BL57. Treatment Principle: Open Bladder channel and relax hamstrings. Formula: Du Huo Ji Sheng Tang (Angelica Pubescens and Sangjisheng Decoction). Clinical Tip: Cupping along the hamstrings and IT band helps release tension.",msk_orthopedic,Sciatica
How do I treat piriformis syndrome?,"TCM Diagnosis: Local Muscle Stagnation. Points: GB30, BL54, Ashi in gluteal region. Treatment Principle: Relax piriformis muscle and move Blood. Formula: Shen Tong Zhu Yu Tang (Drive Out Stasis from a Painful Body). Clinical Tip: Use long needles (3-4 cun) to reach the muscle belly at depth.",msk_orthopedic,Hip
How do I treat hip bursitis (trochanteric)?,"TCM Diagnosis: Local Damp-Heat with Stagnation. Points: GB29, GB30, Ashi. Treatment Principle: Clear Heat and move Qi in hip. Formula: Si Miao San (Four Marvel Powder). Clinical Tip: Avoid lying on the affected side - check for leg length discrepancy as contributing factor.",msk_orthopedic,Hip
How do I treat knee osteoarthritis with cold pattern?,"TCM Diagnosis: Cold-Damp Bi Syndrome. Points: ST35, Xiyan (extra), SP9, GB34. Treatment Principle: Warm channels and expel Cold-Damp. Formula: Du Huo Ji Sheng Tang (Angelica Pubescens and Sangjisheng Decoction). Clinical Tip: Moxa on 'Eyes of the Knee' (ST35/Xiyan) is crucial for cold pattern.",msk_orthopedic,Knee - cold
How do I treat knee swelling (water on knee)?,"TCM Diagnosis: Damp-Heat accumulation. Points: SP9, ST40, ST34, Heding (extra). Treatment Principle: Drain Dampness and reduce swelling. Formula: San Miao Wan (Three Marvel Pill). Clinical Tip: Do NOT use heat or moxa if the knee is red and hot - this is a heat pattern.",msk_orthopedic,Knee - heat
How do I treat patellofemoral pain (runner's knee)?,"TCM Diagnosis: Qi Stagnation around Patella. Points: ST34, SP10, Heding (extra). Treatment Principle: Move Qi and strengthen quadriceps control. Formula: Bu Yang Huan Wu Tang (Tonify Yang to Restore Five Tenths). Clinical Tip: Treat the quadriceps muscles (ST32) to release tension on the patellar tendon.",msk_orthopedic,Knee
How do I treat acute ankle sprain?,"TCM Diagnosis: Qi/Blood Stasis with Heat. Points: GB40, BL60, BL62, Ashi. Treatment Principle: Clear Heat, move Stasis, and stop pain. Formula: Die Da Wan (Trauma Pill). Clinical Tip: Use 'Surround the Dragon' technique - place needles circling the swelling.",msk_orthopedic,Acute - ankle
How do I treat plantar fasciitis with TCM?,"TCM Diagnosis: Kidney Deficiency + Local Stagnation (heel is Kidney territory). Points: KD3, KD1, BL60, PC6. Treatment Principle: Nourish Kidney and relax the plantar tendon. Formula: Liu Wei Di Huang Wan (Six Ingredient Pill with Rehmannia). Clinical Tip: Treat the calf muscles (gastrocnemius/soleus) to release tension on the fascia.",msk_orthopedic,Foot
How do I treat Achilles tendonitis?,"TCM Diagnosis: Kidney Yin Deficiency with Heat. Points: KD3, KD6, BL60, BL57. Treatment Principle: Nourish Yin and clear Deficiency Heat. Formula: Zhi Bai Di Huang Wan (Anemarrhena Phellodendron Rehmannia Pill). Clinical Tip: Avoid needling the tendon directly - needle adjacent points only.",msk_orthopedic,Ankle
How do I treat rheumatoid arthritis flare?,"TCM Diagnosis: Wind-Damp-Heat Bi Syndrome. Points: LI11, ST44, SP9, Ashi. Treatment Principle: Clear Heat, resolve Dampness, and unblock channels. Formula: Gui Zhi Shao Yao Zhi Mu Tang (Cinnamon Peony and Anemarrhena Decoction). Clinical Tip: Use caution with strong stimulation during active inflammatory flares.",msk_orthopedic,Autoimmune
How do I treat fibromyalgia with wandering pain?,"TCM Diagnosis: Liver Qi Stagnation + Spleen Dampness. Points: LV3, SP9, GB34, BL17, BL18. Treatment Principle: Harmonize Liver and Spleen, move Blood. Formula: Xiao Yao San (Free and Easy Wanderer). Clinical Tip: Use gentle stimulation - fibromyalgia patients are often hypersensitive to needling.",msk_orthopedic,Complex pain
How do I treat costochondritis (rib pain)?,"TCM Diagnosis: Qi Stagnation in the Chest. Points: SJ6, GB34, Ashi. Treatment Principle: Move Qi in the chest and expand the ribcage. Formula: Xue Fu Zhu Yu Tang (Drive Out Stasis in the Mansion of Blood). Clinical Tip: Check for emotional constriction (Liver Qi) causing the chest tightness.",msk_orthopedic,Chest
How do I treat TMJ disorder with acupuncture?,"TCM Diagnosis: Stomach Channel Tension. Points: ST7, ST6, LI4, GB20. Treatment Principle: Relax masseter muscle and descend Qi. Formula: Shao Yao Gan Cao Tang (Peony and Licorice Decoction). Clinical Tip: Electro-acupuncture from ST6 to ST7 is very effective for jaw tension.",msk_orthopedic,TMJ
What is the difference between acute and chronic MSK treatment?,"Acute conditions (sprains, trauma, acute stiffness): Focus on moving Qi/Blood stasis, clearing Heat if present. Use reducing technique, may bleed to release stasis. Formulas: Die Da Wan, Ge Gen Tang. Chronic conditions (deficiency, Bi syndrome): Focus on tonifying underlying deficiency (Kidney, Blood), warming channels if cold. Use tonifying technique, moxa essential. Formulas: Du Huo Ji Sheng Tang, Huang Qi Gui Zhi Wu Wu Tang.",msk_orthopedic,Treatment principle
When should I use moxa for MSK conditions?,"Use moxa for: Cold-Damp Bi syndrome (pain worse with cold/damp weather), Kidney Yang Deficiency (chronic low back, weak knees), Frozen shoulder adhesive stage, Chronic joint stiffness, Deficiency patterns. Do NOT use moxa for: Active inflammation (red, hot, swollen), Damp-Heat patterns, Acute sprains with heat signs, RA flares.",msk_orthopedic,Moxa indications
When should I use bleeding technique for MSK?,"Use bleeding (lancet or plum blossom) for: Acute sprains with stasis (BL40 for acute low back), Heat patterns with redness, Blood stasis causing fixed stabbing pain, Acute injuries within 48-72 hours, Reducing swelling and inflammation. Points commonly bled: BL40, Ashi points, jing-well points, spider veins near injury site.",msk_orthopedic,Bleeding technique
What formulas are best for Wind-Cold-Damp Bi syndrome?,"Key formulas for Bi Syndrome: Juan Bi Tang - general painful obstruction with wandering pain; Du Huo Ji Sheng Tang - chronic Bi with Kidney/Liver deficiency, elderly; Gui Zhi Shao Yao Zhi Mu Tang - RA with heat signs; Shen Tong Zhu Yu Tang - severe Blood stasis causing fixed pain; Huang Qi Gui Zhi Wu Wu Tang - numbness with Blood deficiency.",msk_orthopedic,Formulas
What is the Luozhen point and how do I use it?,"Luozhen (Stiff Neck Point) is an extra point on the dorsum of the hand between the 2nd and 3rd metacarpals, just proximal to the MCP joints. It is THE empirical point for acute stiff neck. Technique: Needle with strong stimulation while patient actively rotates neck. Often provides immediate relief. Combine with SI3, GB20, and local Ashi points.",msk_orthopedic,Extra point
What is the Yaotongxue point and how do I use it?,"Yaotongxue (Lumbar Pain Point) is an extra point on the dorsum of the hand with two locations: one between the 2nd-3rd metacarpals and one between the 4th-5th metacarpals. THE empirical point for acute low back pain. Technique: Strong stimulation while patient moves lumbar spine. Often provides immediate relief. Combine with BL40 and local points.",msk_orthopedic,Extra point
