Question,Answer,Points,Pharmacopeia,Trimester,Safety_Warning
How to treat second trimester insomnia?,"Sleep disturbances common as belly grows. Points: HT7 (Shenmen) calms spirit for sleep. Anmian (extra point) specifically for sleep. KI3 for Kidney Yin. SP6 gently nourishes blood. PC6 for anxiety affecting sleep. Yintang for calming. GV20 for restless mind. Sleep positioning with pillows. Limit fluids before bed. Relaxation techniques.","HT7, Anmian, KI3, SP6, PC6, Yintang, GV20",Suan Zao Ren Tang gentle formulation,Second Trimester,SAFE treatment - Sleep positioning important - Relaxation techniques helpful
How to treat second trimester constipation?,"Progesterone slows digestion. SAFE points: SJ6 (Zhigou) is the key point for constipation - very safe. ST25 (Tianshu) with gentle technique. ST36 for digestion. KI6 (Zhaohai) moistens intestines. SP15 (Daheng) locally with light touch. Increase fiber and water. Walking helps. Avoid straining. Avoid strong purgative herbs.","SJ6, ST25, ST36, KI6, SP15",Mild lubricating herbs only - Huo Ma Ren safe,Second Trimester,SAFE points - Increase fiber and water - Avoid strong purgatives
What are safe third trimester protocols?,"Third trimester: Support comfort and prepare for labor (at term only). SAFE comfort points: ST36 SP6 gently for Qi and blood. BL40 for back pain. PC6 for heartburn. HT7 for anxiety. KI3 for Kidney support. AVOID labor-inducing points until 37+ weeks: LI4 GB21 BL60 BL67 SP6 strong stimulation sacral points. After 37 weeks can begin gentle preparation.","ST36, SP6, BL40, PC6, HT7, KI3",Comfort herbs only until term,Third Trimester,Before 37 weeks: AVOID labor-inducing points - After 37 weeks: Can begin preparation
How to treat third trimester heartburn?,"Heartburn from pressure on stomach. Points: PC6 (Neiguan) for nausea and reflux - primary point. CV12 (Zhongwan) regulates Stomach with very gentle technique. ST36 harmonizes digestion. LR3 gently if Liver invading Stomach. CV17 for chest oppression. Small frequent meals. Elevate head when sleeping. Avoid lying down after eating.","PC6, CV12, ST36, LR3, CV17",Mild Stomach-harmonizing herbs only,Third Trimester,SAFE treatment - Elevate head of bed - Small frequent meals
How to treat third trimester swelling (edema)?,"Edema from pressure on veins and fluid retention. SAFE points: SP9 (Yinlingquan) resolves dampness - primary. KI7 (Fuliu) regulates water. ST36 strengthens Spleen for fluid metabolism. SP6 gently promotes circulation. CV9 (Shuifen) for water metabolism. Elevate legs frequently. Check for preeclampsia signs - sudden severe swelling protein in urine high BP needs referral.","SP9, KI7, ST36, SP6, CV9",Avoid strong diuretics,Third Trimester,Check for preeclampsia - Sudden severe swelling needs immediate referral - Elevate legs
How to treat third trimester sciatica?,"Sciatica from baby pressing on nerve. SAFE points: BL40 (Weizhong) is safe and effective - primary. GB30 (Huantiao) with shallow needling in side-lying. GB34 for sinews. BL62 (Shenmai) instead of BL60 which is forbidden. GB31 (Fengshi) for lateral leg. AVOID BL60 (Kunlun) as it can induce labor. Side-lying position for treatment.","BL40, GB30, GB34, BL62, GB31",Topical only,Third Trimester,AVOID BL60 - Use BL62 instead - Side-lying position essential
How to treat breech presentation with moxibustion?,"BL67 (Zhiyin) moxibustion to turn breech baby. Start at 34-36 weeks for best results. Apply moxa to bilateral BL67 for 15-20 minutes daily or twice daily. Baby should move during or after treatment. Success rate 70-80% at optimal timing. Contraindicated if placenta previa low fluid levels previous C-section or other complications. Always under medical supervision.","BL67",None,Third Trimester,Only 34-36 weeks optimal - Contraindicated with placenta previa - Medical supervision required
How to prepare for labor naturally at term (37+ weeks)?,"ONLY AT TERM (37+ weeks) can use labor-preparing points. Gentle preparation: SP6 with stronger technique from 37 weeks. GB41 to open Dai vessel. LR3 for smooth Qi flow. BL31-32 gently for pelvic opening. More active (40+ weeks): LI4 with SP6 is the classic combination. GB21 descends Qi. BL67 with moxa. Always with medical knowledge and approval.","SP6, GB41, LR3, BL31, BL32, LI4, GB21, BL67",Evening primrose oil orally and vaginally,Third Trimester,ONLY AT 37+ WEEKS - Before this these points are FORBIDDEN - Medical supervision
How to support natural labor induction at 40+ weeks?,"Post-dates induction support (40+ weeks only with medical approval): LI4 and SP6 together - the primary induction combination. GB21 (Jianjing) strongly descends Qi. BL31-34 (Baliao) for cervical ripening and pelvic opening. BL67 with strong moxa. Nipple stimulation. Walking. Can treat daily. Monitor for signs of labor.","LI4, SP6, GB21, BL31-34, BL67",Raspberry leaf tea if approved,Third Trimester,40+ weeks ONLY - With medical supervision - Monitor for contractions
How to treat labor pain naturally?,"During labor - points for pain management: LI4 and SP6 for contractions. BL31-34 (Baliao) electroacupuncture for sacral pain. GB30 for hip pain. BL60 (Kunlun) now INDICATED for labor. GB21 for shoulder tension and to promote labor. PC6 for nausea. GV20 for calm. Ear points for ongoing relief. TENS unit on BL23 area.","LI4, SP6, BL31-34, GB30, BL60, GB21, PC6, GV20",None during labor,Third Trimester (Labor),All points now INDICATED - Electroacupuncture effective for pain
How to treat stalled labor?,"For labor that has stalled: LI4 with SP6 strongly to restart contractions. GB21 descends Qi forcefully. BL31-34 with electroacupuncture. BL67 with moxa. Walking if possible. Position changes. CV4 area massage. Relaxation to allow Qi flow. Rest between contractions. Hydration. May need medical augmentation if prolonged.","LI4, SP6, GB21, BL31-34, BL67",None,Third Trimester (Labor),Medical supervision essential - May need augmentation
How to manage retained placenta?,"For placenta that hasn't delivered within expected time: SP6 and LI4 strongly to move blood and promote expulsion. BL67 with moxa. CV3 and CV4 with massage. GB21 descends Qi. If significant bleeding - emergency medical intervention required. Acupuncture is adjunct not primary treatment. Medical supervision essential.","SP6, LI4, BL67, CV3, CV4, GB21",Sheng Hua Tang if approved,Postpartum,Medical supervision ESSENTIAL - Emergency if heavy bleeding - Acupuncture adjunct only
What is the immediate postpartum recovery protocol?,"First week postpartum - Recovery and restoration: ST36 (Zusanli) to restore Qi - essential. SP6 for blood recovery. CV4 and CV6 to restore lower jiao. BL20 (Pishu) for Spleen. BL23 (Shenshu) for Kidney. GV4 if Yang depleted from blood loss. Gentle moxa on lower abdomen to warm uterus. Rest rest rest.","ST36, SP6, CV4, CV6, BL20, BL23, GV4",Sheng Hua Tang first week for lochia; Ba Zhen Tang for Qi/blood,Postpartum,SAFE - Essential recovery period - Rest is critical
How to promote milk production postpartum?,"For insufficient lactation: SI1 (Shaoze) is the empirical point for promoting milk - primary point. CV17 (Shanzhong) regulates chest Qi. ST18 (Rugen) local breast point. ST36 and SP6 tonify Qi and blood for milk production. LI4 promotes flow. Frequent nursing/pumping essential. Hydration. Galactagogue foods: oats fenugreek brewer's yeast.","SI1, CV17, ST18, ST36, SP6, LI4",Tong Ru Dan (Promote Lactation Pill),Postpartum,SAFE - Frequent nursing most important - Hydration essential
How to treat mastitis postpartum?,"Breast infection requires prompt treatment: SI1 (Shaoze) empirical point for breast issues. LI4 and LI11 (Quchi) to clear heat and infection. GB21 and GB41 for Shaoyang channel in breast. ST18 (Rugen) local point. SJ5 for lateral breast. Continue nursing or pumping on affected side. Warm compresses before feeding cold after. May need antibiotics if fever high.","SI1, LI4, LI11, GB21, GB41, ST18, SJ5",Pu Gong Ying (Dandelion) decoction,Postpartum,Continue nursing on affected side - Seek medical care if high fever - May need antibiotics
How to treat postpartum depression with acupuncture?,"Postpartum depression requires multidisciplinary support. Points: GV20 (Baihui) lifts spirit - primary point. HT7 (Shenmen) calms Heart. PC6 for emotional regulation. LR3 moves Liver Qi stagnation. ST36 tonifies overall Qi depleted from birth. Yintang for calming. SP6 for blood nourishment to Heart. Refer for counseling and possibly medication. Partner support essential.","GV20, HT7, PC6, LR3, ST36, Yintang, SP6",Xiao Yao San; Gan Mai Da Zao Tang for anxiety,Postpartum,Multidisciplinary care needed - Refer for counseling - Monitor for safety
How to treat postpartum night sweats?,"Night sweats from Yin deficiency after blood loss. Points: KI3 (Taixi) and KI6 (Zhaohai) nourish Kidney Yin. HT6 (Yinxi) is the Xi-cleft point to stop sweating. SP6 nourishes Yin and blood. LI4 regulates sweating. BL23 for Kidney. ST36 for overall recovery. Usually resolves as hormones stabilize. Check thyroid if persistent.","KI3, KI6, HT6, SP6, LI4, BL23, ST36",Liu Wei Di Huang Wan; Dang Gui Liu Huang Tang if severe,Postpartum,Usually resolves within weeks - Check thyroid if persistent
How to treat postpartum hair loss?,"Hair loss 3-6 months postpartum from blood deficiency and hormonal shift. Points: ST36 and SP6 to build blood. BL17 (Geshu) influential point for blood. BL20 for Spleen making blood. LR3 for Liver blood nourishing hair. KI3 for Kidney essence affecting hair. GV20 local point for scalp. Usually temporary - peaks at 3-4 months then regrows.","ST36, SP6, BL17, BL20, LR3, KI3, GV20",Si Wu Tang; He Shou Wu if severe,Postpartum,Usually temporary - Peaks 3-4 months then improves - Build blood
How to treat postpartum back pain?,"Back pain from pregnancy strain and breastfeeding posture. Points: BL40 (Weizhong) command point for back. BL23 (Shenshu) for Kidney weakness from birth. BL25 (Dachangshu) for lower back. GB30 for hip involvement. GB34 for sinew issues. Ahshi points. Core strengthening when cleared. Ergonomic nursing positions. Support pillows.","BL40, BL23, BL25, GB30, GB34",Du Huo Ji Sheng Tang,Postpartum,SAFE - Address nursing ergonomics - Core strengthening when cleared
How to treat lochia that won't stop (prolonged postpartum bleeding)?,"Prolonged lochia indicates Blood stasis or Qi deficiency not holding blood. If stasis: SP6 SP10 LR3 CV3 to move blood gently. BL32 for pelvic circulation. If Qi deficiency: GV20 with moxa to raise Qi. ST36 SP6 for Spleen holding blood. CV6 to tonify Qi. Refer if heavy bleeding clots fever or foul odor - may indicate infection or retained products.","SP6, SP10, LR3, CV3, BL32, GV20, ST36, CV6",Sheng Hua Tang for stasis; Bu Zhong Yi Qi Tang for Qi deficiency,Postpartum,Refer if heavy bleeding fever or foul odor - May indicate infection
How to treat insufficient lochia (lochia not flowing)?,"Retained lochia causes pain fever and infection risk. Blood stasis pattern. Points: SP6 and SP10 move blood. LR3 moves Liver Qi. CV3 and CV4 for uterus. BL32 for pelvic blood flow. ST29 (Guilai) for lower abdomen. Strong blood-moving appropriate postpartum unlike pregnancy. Refer if fever develops - may need medical evaluation.","SP6, SP10, LR3, CV3, CV4, BL32, ST29",Sheng Hua Tang - essential postpartum formula,Postpartum,Strong blood-moving now appropriate - Refer if fever develops
How to treat postpartum constipation?,"Constipation from hormones pain medications and weakened abdominal muscles. Points: SJ6 (Zhigou) primary point for constipation. ST25 (Tianshu) for Large Intestine. ST36 for digestion. KI6 moistens intestines. SP15 locally. Increase fiber and water. Walking when able. Stool softeners safe if breastfeeding. Address fear of pain from tears.","SJ6, ST25, ST36, KI6, SP15",Huo Ma Ren safe while breastfeeding,Postpartum,SAFE - Increase fiber/water - Walking helps - Address pain fears
How to treat C-section recovery with acupuncture?,"C-section recovery needs Blood stasis clearing and incision healing. Points: SP6 SP10 to move blood stasis from surgery. ST36 for Qi recovery. CV6 above incision for Qi. LI4 promotes healing and regulates bowels. ST25 for bloating. GB34 for mobility. Electroacupuncture around (not on) incision for pain and healing. Scar tissue treatment later.","SP6, SP10, ST36, CV6, LI4, ST25, GB34",Sheng Hua Tang; Add Qi tonics,Postpartum,Avoid needling directly on incision until healed - Electroacupuncture effective for pain
How to treat pregnancy-related carpal tunnel postpartum?,"Carpal tunnel often persists postpartum especially with breastfeeding. Points: PC7 (Daling) and PC6 for local effect. LI10 (Shousanli) instead of LI4 if breastfeeding concerns. SJ5 (Waiguan) for wrist. SI3 for ulnar symptoms. HT7 local point. Now LI4 can be used postpartum if not concerned about milk supply. Wrist splints at night. Ergonomic feeding positions.","PC7, PC6, LI10, SJ5, SI3, HT7, LI4",Topical treatment,Postpartum,SAFE - Wrist splints helpful - Ergonomic positioning
How to treat diastasis recti postpartum?,"Abdominal separation needs gentle core rehabilitation. Points: CV6 (Qihai) and CV4 to strengthen lower jiao. ST25 for abdominal muscles. SP15 lateral abdominal support. ST36 for overall Qi. Moxa on lower abdomen to tone. Refer to pelvic floor physiotherapist. Avoid crunches and planks initially. Diaphragmatic breathing. Gentle core exercises when cleared.","CV6, CV4, ST25, SP15, ST36",Bu Zhong Yi Qi Tang if Qi sinking,Postpartum,Refer to pelvic floor PT - Avoid crunches initially - Gentle progression
How to treat pelvic floor weakness postpartum?,"Pelvic floor weakness after vaginal birth. Points: CV4 (Guanyuan) strengthens lower jiao. CV3 for bladder. GV20 with moxa raises sinking Qi. ST36 tonifies Qi. SP6 for overall pelvic support. BL32 for sacral nerve. Kegel exercises essential. Refer to pelvic floor physiotherapist. May need pessary assessment if prolapse developing.","CV4, CV3, GV20, ST36, SP6, BL32",Bu Zhong Yi Qi Tang to lift Qi,Postpartum,Refer to pelvic floor PT - Kegels essential - Monitor for prolapse
How to support breastfeeding difficulties?,"Various breastfeeding issues: Low supply: SI1 ST36 SP6 CV17. Blocked ducts: LR3 GB41 GB21 local massage. Painful latch: Check positioning refer to lactation consultant. Engorgement: GB21 SI1 cold compresses. Nipple pain: Topical treatment check latch. Frequent nursing is primary treatment. Hydration nutrition rest essential.","SI1, ST36, SP6, CV17, LR3, GB41, GB21",Pattern-based,Postpartum,Refer to lactation consultant - Frequent nursing most important
How to treat postpartum anxiety?,"Anxiety common especially with first baby or difficult birth. Points: HT7 (Shenmen) calms Heart - primary. PC6 for emotional regulation. Yintang for peace. GV20 calms spirit. LR3 for Liver Qi stagnation causing irritability. KI3 addresses fear. SP6 nourishes blood to Heart. Breathing exercises. Sleep when baby sleeps. Support system essential. Refer if severe.","HT7, PC6, Yintang, GV20, LR3, KI3, SP6",Gan Mai Da Zao Tang; Xiao Yao San,Postpartum,Support system essential - Refer if severe or intrusive thoughts - Screen for PPD/PPA
How to treat postpartum joint pain?,"Joint pain from relaxin hormones and blood deficiency. Points: GB34 (Yanglingquan) for joints - primary. LR3 for Liver blood nourishing joints. SP6 and ST36 for blood. BL17 for blood production. Local Ahshi points. KI3 if Kidney weakness. BL23 for lower back and Kidney. Usually improves as hormones normalize. May take 6+ months.","GB34, LR3, SP6, ST36, BL17, KI3, BL23",Du Huo Ji Sheng Tang; Si Wu Tang,Postpartum,Hormonal - Usually improves over months - Build blood
How to treat postpartum fatigue and exhaustion?,"Severe fatigue from blood loss sleep deprivation and Qi depletion. Points: ST36 (Zusanli) is essential - tonifies Qi strongly. CV6 (Qihai) for Qi. SP6 for blood. BL20 BL23 for Spleen and Kidney. GV4 if Yang depleted. GV20 lifts energy. Prioritize rest. Accept help. Nourishing foods. Check thyroid and iron levels if severe.","ST36, CV6, SP6, BL20, BL23, GV4, GV20",Ba Zhen Tang (Eight Treasure); Bu Zhong Yi Qi Tang,Postpartum,Essential recovery - Rest priority - Check thyroid/iron if severe
How long should postpartum recovery treatment continue?,"Traditional Chinese postpartum period is 30-40 days (Zuo Yue Zi). Minimum treatment: Weekly for first 4-6 weeks. Optimal: 2x weekly first 2 weeks then weekly for 4 weeks then as needed. Continue until: Energy restored bleeding stopped breastfeeding established mood stable. Full recovery may take 6-12 months depending on birth trauma blood loss baseline health.","Based on symptoms",Varies by pattern,Postpartum,Traditional 30-40 day recovery period - Full recovery 6-12 months
