Question,Answer,TCM Acupuncture Points,Chinese Pharmacopeia Formula
How does Stomach Yin Deficiency manifest?,"Epigastric discomfort, dry mouth with little desire to drink, constipation, no appetite, red tongue with little coat, rapid thin pulse","ST36 (Zusanli), ST44 (Neiting), CV12 (Zhongwan), SP6 (Sanyinjiao)",Yi Wei Tang (Benefit the Stomach Decoction)
What are the characteristics of Lung Heat?,"Cough with yellow sticky sputum, fever, thirst, sore throat, red tongue with yellow coat, rapid pulse","LU5 (Chize), LU10 (Yuji), LI4 (Hegu), LI11 (Quchi)","Ma Xing Shi Gan Tang (Ephedra, Apricot Kernel, Gypsum and Licorice Decoction)"
How does Stomach Heat present?,"Excessive hunger, burning epigastric pain, acid reflux, bad breath, bleeding gums, red tongue with yellow coat, rapid pulse","ST44 (Neiting), ST45 (Lidui), CV12 (Zhongwan), PC6 (Neiguan)",Qing Wei San (Clear the Stomach Powder)
What characterizes Liver Fire Blazing Upward?,"Headache, red eyes, irritability, bitter taste, tinnitus, constipation, red tongue with yellow coat, wiry rapid pulse","LV2 (Xingjian), GB43 (Xiaxi), LI11 (Quchi), GB20 (Fengchi)",Long Dan Xie Gan Tang (Gentiana Longdancao Decoction to Drain the Liver)
What are signs of Heart Fire?,"Palpitations, insomnia, mouth ulcers, dark scanty urine, irritability, red tongue tip with yellow coat, rapid pulse","HT8 (Shaofu), PC8 (Laogong), HT7 (Shenmen), SI2 (Qiangu)",Dao Chi San (Guide Out the Red Powder)
How does Damp-Heat in Liver and Gallbladder manifest?,"Jaundice, bitter taste, hypochondriac pain, nausea, scanty dark urine, red tongue with yellow greasy coat, wiry rapid pulse","GB34 (Yanglingquan), LV14 (Qimen), LI11 (Quchi), DU14 (Dazhui)",Long Dan Xie Gan Tang (Gentiana Longdancao Decoction to Drain the Liver)
What characterizes Damp-Heat in the Spleen?,"Abdominal fullness, poor appetite, heavy sensation, loose stools with odor, scanty dark urine, yellow greasy tongue coat, slippery rapid pulse","SP9 (Yinlingquan), ST44 (Neiting), CV12 (Zhongwan), LI11 (Quchi)",Huang Lian Jie Du Tang (Coptis Decoction to Resolve Toxicity)
What are symptoms of Bladder Damp-Heat?,"Frequent urgent painful urination, burning sensation, dark cloudy urine, lower abdominal pain, red tongue with yellow greasy coat, slippery rapid pulse","BL28 (Pangguangshu), CV3 (Zhongji), SP9 (Yinlingquan), SP6 (Sanyinjiao)",Ba Zheng San (Eight Herb Powder for Rectification)
How does Large Intestine Heat present?,"Constipation with dry stools, abdominal pain, fever, thirst, red tongue with yellow dry coat, full rapid pulse","ST25 (Tianshu), ST37 (Shangjuxu), LI11 (Quchi), ST44 (Neiting)",Ma Zi Ren Wan (Hemp Seed Pill)
What characterizes Small Intestine Heat?,"Dark scanty urine with burning, mouth ulcers, irritability, thirst, red tongue tip, rapid pulse","SI2 (Qiangu), HT8 (Shaofu), BL27 (Xiaochangshu), CV4 (Guanyuan)",Dao Chi San (Guide Out the Red Powder)
What are signs of Toxic Heat?,"High fever, severe sore throat, swollen lymph nodes, carbuncles, deep red tongue, rapid forceful pulse","LI11 (Quchi), GV14 (Dazhui), LI4 (Hegu), ST44 (Neiting)",Huang Lian Jie Du Tang (Coptis Decoction to Resolve Toxicity)
What are the characteristics of Spleen Cold?,"Cold sensation in abdomen, preference for warmth, loose stools, cold limbs, pale tongue with white coat, slow weak pulse","ST36 (Zusanli), CV12 (Zhongwan), BL20 (Pishu), moxa CV8",Li Zhong Wan (Regulate the Middle Pill)
How does Stomach Cold present?,"Cold pain in epigastrium relieved by warmth, vomiting clear fluid, preference for warm drinks, pale tongue with white coat, slow pulse","CV12 (Zhongwan), ST36 (Zusanli), PC6 (Neiguan), moxa CV13",Wu Zhu Yu Tang (Evodia Decoction)
What characterizes Cold in the Uterus?,"Painful periods with cold sensation, dark blood with clots, cold lower abdomen, infertility, pale tongue, deep slow pulse","CV4 (Guanyuan), SP6 (Sanyinjiao), SP8 (Diji), moxa CV6",Wen Jing Tang (Warm the Menses Decoction)
What are signs of Cold Accumulation in the Liver Channel?,"Cold pain in lower abdomen radiating to genitals, testicular retraction, cold limbs, pale or purple tongue, deep wiry pulse","LV3 (Taichong), LV8 (Ququan), SP6 (Sanyinjiao), moxa CV4",Nuan Gan Jian (Warm the Liver Decoction)
How does Lung Cold manifest?,"Cough with thin white sputum, chills, no thirst, nasal congestion with clear discharge, pale tongue with white coat, tight pulse","LU7 (Lieque), BL13 (Feishu), LI4 (Hegu), GV14 (Dazhui)",Xiao Qing Long Tang (Minor Bluegreen Dragon Decoction)
What are the main symptoms of Phlegm-Damp?,"Chest oppression, nausea, heavy sensation, profuse white sputum, white greasy tongue coat, slippery pulse","CV12 (Zhongwan), ST40 (Fenglong), SP9 (Yinlingquan), PC6 (Neiguan)",Er Chen Tang (Two-Cured Decoction)
How does Phlegm-Heat in the Lungs present?,"Cough with thick yellow sputum, fever, chest pain, thirst, red tongue with yellow greasy coat, slippery rapid pulse","LU5 (Chize), ST40 (Fenglong), LI11 (Quchi), CV17 (Shanzhong)",Qing Qi Hua Tan Tang (Clear the Qi and Transform Phlegm Decoction)
What characterizes Wind-Phlegm?,"Sudden dizziness, vertigo, nausea, vomiting phlegm, numbness, white greasy tongue coat, wiry slippery pulse","ST40 (Fenglong), GB20 (Fengchi), GV20 (Baihui), PC6 (Neiguan)","Ban Xia Bai Zhu Tian Ma Tang (Pinellia, Atractylodes, and Gastrodia Decoction)"
What are signs of Phlegm Misting the Heart?,"Mental confusion, muddled thinking, depression, aphasia, white greasy tongue coat, slippery pulse","HT7 (Shenmen), PC5 (Jianshi), ST40 (Fenglong), GV20 (Baihui)",Di Tan Tang (Scour Phlegm Decoction)
How does Phlegm-Fire Harassing the Heart manifest?,"Mania, insomnia, agitation, shouting, red face, red tongue with yellow greasy coat, slippery rapid pulse","PC5 (Jianshi), HT8 (Shaofu), ST40 (Fenglong), GV26 (Shuigou)",Meng Shi Gun Tan Wan (Lapis and Chlorite Pill to Roll Away Phlegm)
What characterizes Cold-Phlegm in the Lungs?,"Cough with copious thin white sputum, chest oppression, pale tongue with white greasy coat, slippery slow pulse","LU9 (Taiyuan), ST40 (Fenglong), CV17 (Shanzhong), BL13 (Feishu)","Ling Gan Wu Wei Jiang Xin Tang (Poria, Licorice, Schisandra, Ginger and Asarum Decoction)"
What are symptoms of Phlegm Nodules?,"Lumps in neck or body, mobile masses, no pain or redness, white greasy tongue coat, slippery pulse","ST40 (Fenglong), LI4 (Hegu), ST36 (Zusanli), SP6 (Sanyinjiao)",Xiao Luo Wan (Reduce Scrofula Pill)
How does Phlegm Obstructing the Lungs present?,"Difficulty breathing, chest fullness, copious sputum difficult to expectorate, white greasy tongue coat, slippery pulse","CV17 (Shanzhong), LU1 (Zhongfu), ST40 (Fenglong), BL13 (Feishu)",San Zi Yang Qin Tang (Three Seed Nourish One's Parents Decoction)
What characterizes Dry Phlegm?,"Dry cough with scanty sticky sputum difficult to expectorate, dry throat, dry tongue with little coat, thin pulse","LU5 (Chize), LU10 (Yuji), KI6 (Zhaohai), ST40 (Fenglong)",Bei Mu Gua Lou San (Fritillaria and Trichosanthes Fruit Powder)
What are signs of Phlegm and Blood Stasis?,"Fixed masses, stabbing pain, purple lips and tongue, hemoptysis, purple tongue with greasy coat, wiry choppy pulse","SP10 (Xuehai), ST40 (Fenglong), LV3 (Taichong), BL17 (Geshu)",Xue Fu Zhu Yu Tang (Drive Out Stasis from the Mansion of Blood Decoction) modified
What are the main features of Liver Qi Stagnation?,"Hypochondriac distension, mood swings, sighing, irregular menses, breast distension, normal tongue, wiry pulse","LV3 (Taichong), LV14 (Qimen), GB34 (Yanglingquan), PC6 (Neiguan)",Xiao Yao San (Rambling Powder)
How does Qi Stagnation in the Stomach present?,"Epigastric distension and pain, belching, hiccups, poor appetite, symptoms worsen with emotions, normal tongue, wiry pulse","CV12 (Zhongwan), PC6 (Neiguan), ST36 (Zusanli), LV3 (Taichong)",Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver)
What characterizes Qi Stagnation in the Chest?,"Chest oppression, sighing, breathing difficulty, symptoms worsen with stress, normal tongue, wiry pulse","CV17 (Shanzhong), PC6 (Neiguan), GB34 (Yanglingquan), LV3 (Taichong)",Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver)
What are signs of Qi Stagnation with Blood Stasis?,"Fixed stabbing pain, masses, dark complexion, irregular painful menses with clots, purple tongue, wiry choppy pulse","LV3 (Taichong), SP10 (Xuehai), SP6 (Sanyinjiao), BL17 (Geshu)",Xue Fu Zhu Yu Tang (Drive Out Stasis from the Mansion of Blood Decoction)
How does Qi Stagnation Transforming to Heat manifest?,"Irritability, bitter taste, dry mouth, red eyes, constipation, red tongue with yellow coat, wiry rapid pulse","LV2 (Xingjian), LV3 (Taichong), GB43 (Xiaxi), LI11 (Quchi)",Dan Zhi Xiao Yao San (Rambling Powder with Moutan and Gardenia)
What are the primary signs of Heart Blood Stasis?,"Stabbing chest pain, palpitations, purple lips and tongue, cold limbs, purple tongue with dark spots, choppy pulse","PC6 (Neiguan), HT7 (Shenmen), BL17 (Geshu), SP10 (Xuehai)",Xue Fu Zhu Yu Tang (Drive Out Stasis from the Mansion of Blood Decoction)
How does Liver Blood Stasis present?,"Fixed hypochondriac pain, masses in abdomen, irregular painful menses with dark clots, purple tongue, wiry choppy pulse","LV3 (Taichong), LV14 (Qimen), SP10 (Xuehai), BL17 (Geshu)",Ge Xia Zhu Yu Tang (Drive Out Stasis Below the Diaphragm Decoction)
What characterizes Uterine Blood Stasis?,"Severe menstrual cramps with dark clots, stabbing lower abdominal pain, dark purple menses, purple tongue, wiry pulse","SP8 (Diji), SP10 (Xuehai), CV6 (Qihai), LV3 (Taichong)",Shao Fu Zhu Yu Tang (Drive Out Stasis from the Lower Abdomen Decoction)
What are signs of Blood Stasis in the Channels?,"Fixed pain, numbness, varicose veins, spider veins, purple tongue, choppy pulse","BL17 (Geshu), SP10 (Xuehai), LV3 (Taichong), LI4 (Hegu)",Shen Tong Zhu Yu Tang (Drive Out Stasis from a Painful Body Decoction)
How does Traumatic Blood Stasis manifest?,"Localized swelling, bruising, fixed pain at injury site, purple discoloration, wiry pulse","local ashi points, SP10 (Xuehai), LI4 (Hegu), BL17 (Geshu)",Die Da Wan (Trauma Pill)
What are the characteristics of Wind-Cold Invasion?,"Aversion to cold, fever, no sweating, occipital headache, body aches, thin white tongue coat, floating tight pulse","LI4 (Hegu), BL12 (Fengmen), GB20 (Fengchi), LU7 (Lieque)",Gui Zhi Tang (Cinnamon Twig Decoction) or Jing Fang Bai Du San
How does Wind-Heat Invasion present?,"Fever with slight aversion to wind, sore throat, sweating, thirst, red tongue tip with thin yellow coat, floating rapid pulse","LI4 (Hegu), LI11 (Quchi), LU7 (Lieque), GV14 (Dazhui)",Yin Qiao San (Honeysuckle and Forsythia Powder)
What characterizes Liver Wind Internal Stirring?,"Tremors, tics, dizziness, convulsions, numbness, red tongue, wiry rapid pulse","LV3 (Taichong), GB20 (Fengchi), GV20 (Baihui), LI4 (Hegu)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria Decoction)
What are signs of Wind-Dampness Bi Syndrome?,"Wandering joint pain, heaviness, numbness, limited movement, white greasy tongue coat, slippery or wiry pulse","local ashi points, GB34 (Yanglingquan), SP9 (Yinlingquan), LI4 (Hegu)",Juan Bi Tang (Remove Painful Obstruction Decoction)
How does Wind-Stroke (Wind-Phlegm) manifest?,"Sudden loss of consciousness, deviation of mouth and eye, hemiplegia, aphasia, white greasy tongue coat, wiry slippery pulse","GV26 (Shuigou), LI4 (Hegu), ST40 (Fenglong), GB20 (Fengchi)",Xiao Xu Ming Tang (Minor Extend Life Decoction)
What are the main symptoms of Spleen Dampness?,"Heaviness, abdominal distension, poor appetite, loose stools, white greasy tongue coat, slippery pulse","SP9 (Yinlingquan), ST36 (Zusanli), CV12 (Zhongwan), ST40 (Fenglong)",Ping Wei San (Calm the Stomach Powder)
How does Damp-Cold present?,"Heavy sensation, cold limbs, loose stools, no thirst, white greasy tongue coat, slow slippery pulse","SP9 (Yinlingquan), ST36 (Zusanli), CV9 (Shuifen), moxa CV6",Wei Ling Tang (Calm the Stomach and Poria Decoction)
What characterizes Cold-Dampness Bi Syndrome?,"Fixed joint pain worse with cold and damp, heaviness, numbness, white greasy tongue coat, slow slippery pulse","local ashi points, GB34 (Yanglingquan), SP9 (Yinlingquan), moxa affected area",Wu Tou Tang (Aconite Accessory Root Decoction)
What are signs of Dampness Obstructing the Spleen?,"Fullness sensation, no appetite, nausea, heavy limbs, white thick greasy tongue coat, slippery pulse","SP9 (Yinlingquan), CV12 (Zhongwan), ST40 (Fenglong), PC6 (Neiguan)",Huo Xiang Zheng Qi San (Agastache Powder to Rectify the Qi)
How does Lower Burner Damp-Cold manifest?,"Lower abdominal cold pain, leucorrhea (white and watery), scanty urination, pale tongue with white greasy coat, deep slow pulse","CV3 (Zhongji), SP9 (Yinlingquan), SP6 (Sanyinjiao), moxa CV4",Wan Dai Tang (End Discharge Decoction)
What characterizes Damp-Heat in Lower Burner?,"Burning urination, yellow foul-smelling discharge, lower abdominal pain, red tongue with yellow greasy coat, slippery rapid pulse","CV3 (Zhongji), SP9 (Yinlingquan), SP6 (Sanyinjiao), LV5 (Ligou)",Long Dan Xie Gan Tang (Gentiana Longdancao Decoction to Drain the Liver)
What are symptoms of Dampness in the Channels?,"Heaviness and numbness in limbs, difficulty moving joints, swelling, white greasy tongue coat, slippery pulse","GB34 (Yanglingquan), SP9 (Yinlingquan), LI4 (Hegu), ST36 (Zusanli)",Yi Yi Ren Tang (Coix Decoction)
How does Summerheat-Damp present?,"Fever, heaviness, nausea, diarrhea, scanty dark urine, white or yellow greasy tongue coat, slippery rapid pulse","CV12 (Zhongwan), PC6 (Neiguan), SP9 (Yinlingquan), GV14 (Dazhui)",Xin Jia Xiang Ru Yin (Newly Augmented Elsholtzia Decoction)
What characterizes Damp-Phlegm?,"Chest oppression, profuse white sputum, heaviness, nausea, white greasy tongue coat, slippery pulse","ST40 (Fenglong), SP9 (Yinlingquan), CV12 (Zhongwan), PC6 (Neiguan)",Er Chen Tang (Two-Cured Decoction)
What are signs of Dampness with Spleen Qi Deficiency?,"Chronic loose stools, fatigue, heavy limbs, edema, poor appetite, pale tongue with greasy coat, weak slippery pulse","SP9 (Yinlingquan), ST36 (Zusanli), CV12 (Zhongwan), BL20 (Pishu)","Shen Ling Bai Zhu San (Ginseng, Poria, and Atractylodes Macrocephalae Powder)"
What are the main features of Qi and Blood Deficiency?,"Fatigue, pale complexion, dizziness, palpitations, poor appetite, pale tongue, weak thin pulse","ST36 (Zusanli), SP6 (Sanyinjiao), BL17 (Geshu), BL20 (Pishu)",Ba Zhen Tang (Eight-Treasure Decoction)
How does Qi and Yin Deficiency present?,"Fatigue with afternoon fever, dry mouth, night sweats, shortness of breath, red tongue with little coat, weak rapid pulse","ST36 (Zusanli), KI3 (Taixi), SP6 (Sanyinjiao), LU9 (Taiyuan)",Sheng Mai San (Generate the Pulse Powder)
What characterizes Yin and Yang Deficiency?,"Alternating cold and heat, fatigue, lower back soreness, night sweats with cold extremities, pale red tongue, weak pulse","KI3 (Taixi), BL23 (Shenshu), CV4 (Guanyuan), GV4 (Mingmen)",Jin Gui Shen Qi Wan (Kidney Qi Pill) plus Liu Wei Di Huang Wan
What are signs of Heart and Kidney Not Harmonized?,"Palpitations, insomnia, dream-disturbed sleep, night sweats, lower back soreness, red tongue tip, rapid thin pulse","HT6 (Yinxi), KI6 (Zhaohai), HT7 (Shenmen), KI3 (Taixi)",Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill to Tonify the Heart)
How does Kidney and Liver Yin Deficiency manifest?,"Dizziness, tinnitus, dry eyes, night sweats, lower back and knee soreness, red tongue with little coat, wiry thin pulse","KI3 (Taixi), LV8 (Ququan), SP6 (Sanyinjiao), GB37 (Guangming)","Qi Ju Di Huang Wan (Lycium Fruit, Chrysanthemum and Rehmannia Pill)"
What characterizes Heart and Spleen Deficiency?,"Insomnia, poor memory, palpitations, poor appetite, fatigue, pale tongue, weak thin pulse","HT7 (Shenmen), SP6 (Sanyinjiao), ST36 (Zusanli), BL15 (Xinshu), BL20 (Pishu)",Gui Pi Tang (Restore the Spleen Decoction)
What are symptoms of Lung and Kidney Yin Deficiency?,"Chronic dry cough, night sweats, hot flashes, lower back soreness, red tongue with little coat, rapid thin pulse","LU9 (Taiyuan), KI3 (Taixi), KI6 (Zhaohai), LU10 (Yuji)",Bai He Gu Jin Tang (Lily Bulb Decoction to Preserve the Metal)
How does Lung and Spleen Qi Deficiency present?,"Chronic cough with white sputum, fatigue, poor appetite, loose stools, shortness of breath, pale tongue, weak pulse","LU9 (Taiyuan), ST36 (Zusanli), BL13 (Feishu), BL20 (Pishu)",Bu Fei Tang (Tonify the Lungs Decoction) plus Si Jun Zi Tang
What characterizes Liver and Kidney Yin Deficiency with Empty Heat?,"Hot flashes, night sweats, irritability, red cheeks, dizziness, lower back soreness, red tongue with little coat, rapid thin pulse","KI3 (Taixi), LV8 (Ququan), KI6 (Zhaohai), SP6 (Sanyinjiao)","Zhi Bai Di Huang Wan (Anemarrhena, Phellodendron, and Rehmannia Pill)"
What are signs of Lung and Kidney Yang Deficiency?,"Chronic cough with watery sputum, asthma, cold limbs, lower back coldness, frequent urination, pale tongue, deep weak pulse","LU9 (Taiyuan), KI3 (Taixi), BL13 (Feishu), BL23 (Shenshu), moxa CV6",Jin Gui Shen Qi Wan (Kidney Qi Pill) plus Bu Fei Tang
What are the main features of Liver Invading Spleen?,"Hypochondriac pain, irritability, loose stools, abdominal distension, alternating constipation and diarrhea, wiry pulse","LV3 (Taichong), LV14 (Qimen), ST36 (Zusanli), SP6 (Sanyinjiao)",Tong Xie Yao Fang (Important Formula for Painful Diarrhea)
How does Liver Invading Stomach present?,"Epigastric pain with distension, acid reflux, belching, irritability, symptoms worsen with stress, wiry pulse","LV3 (Taichong), LV14 (Qimen), CV12 (Zhongwan), PC6 (Neiguan)",Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver)
What characterizes Heart and Kidney Yang Deficiency?,"Palpitations, edema, cold limbs, shortness of breath, scanty urination, pale purple tongue, deep weak pulse","HT7 (Shenmen), KI7 (Fuliu), CV6 (Qihai), BL15 (Xinshu), BL23 (Shenshu)",Zhen Wu Tang (True Warrior Decoction) plus Bao Yuan Tang
What are signs of Lung and Stomach Yin Deficiency?,"Dry cough, dry mouth and throat, poor appetite, dry stools, red tongue with little coat, rapid thin pulse","LU9 (Taiyuan), ST36 (Zusanli), CV12 (Zhongwan), SP6 (Sanyinjiao)",Sha Shen Mai Men Dong Tang (Glehnia and Ophiopogonis Decoction)
How does Kidney Not Receiving Qi manifest?,"Asthma with difficulty inhaling, shortness of breath, cold limbs, lower back soreness, pale tongue, deep weak pulse","KI3 (Taixi), LU9 (Taiyuan), CV4 (Guanyuan), BL23 (Shenshu)",Qi Wei Du Qi Wan (Seven Ingredient Pill with Rehmannia)
What characterizes Liver Yang Rising?,"Dizziness, headache, irritability, red face and eyes, tinnitus, red tongue, wiry rapid pulse","LV3 (Taichong), GB20 (Fengchi), GV20 (Baihui), LI11 (Quchi)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria Decoction)
What are symptoms of Phlegm-Fire Disturbing the Heart?,"Palpitations, insomnia, vivid dreams, anxiety, bitter taste, red tongue with yellow greasy coat, slippery rapid pulse","HT7 (Shenmen), PC5 (Jianshi), ST40 (Fenglong), GV20 (Baihui)",Huang Lian Wen Dan Tang (Coptis Decoction to Warm the Gallbladder)
How does Gallbladder Qi Deficiency present?,"Timidity, indecisiveness, easily startled, insomnia, pale tongue, weak wiry pulse","GB40 (Qiuxu), GB34 (Yanglingquan), HT7 (Shenmen), GV20 (Baihui)",An Shen Ding Zhi Wan (Calm the Spirit and Settle the Ethereal Soul Pill)
What characterizes Large Intestine Qi Deficiency?,"Chronic loose stools or constipation, prolapse, fatigue after bowel movements, pale tongue, weak pulse","ST25 (Tianshu), ST36 (Zusanli), ST37 (Shangjuxu), CV6 (Qihai)",Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction)
What are signs of Pericardium Phlegm-Heat?,"Delirium, mania, high fever, loss of consciousness, red tongue with yellow greasy coat, rapid slippery pulse","PC5 (Jianshi), PC8 (Laogong), ST40 (Fenglong), GV26 (Shuigou)",An Gong Niu Huang Wan (Calm the Palace Pill with Cattle Gallstone)
What are the main features of Qi Deficiency with Blood Stasis?,"Fatigue, fixed pain, pale purple tongue with dark spots, weak choppy pulse","ST36 (Zusanli), SP10 (Xuehai), BL17 (Geshu), CV6 (Qihai)",Bu Yang Huan Wu Tang (Tonify the Yang to Restore Five Decoction)
How does Yin Deficiency with Internal Heat present?,"Five palm heat, night sweats, afternoon fever, dry mouth and throat, red tongue with little coat, rapid thin pulse","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), HT6 (Yinxi)",Qing Hao Bie Jia Tang (Sweet Wormwood and Soft-shelled Turtle Shell Decoction)
What characterizes Damp-Heat with Yin Deficiency?,"Burning sensations, scanty dark urine, dry mouth, afternoon fever, red tongue with scanty yellow greasy coat, rapid thin pulse","SP9 (Yinlingquan), KI3 (Taixi), SP6 (Sanyinjiao), LI11 (Quchi)","Zhi Bai Di Huang Wan (Anemarrhena, Phellodendron, and Rehmannia Pill) plus Qing Li Xia Jiao (Clear and Regulate the Lower Burner)"
What are signs of Cold-Heat Complex?,"Sensation of heat in upper body with cold in lower body, cold feet with hot head, variable tongue presentation, wiry pulse","KI3 (Taixi), LV3 (Taichong), ST36 (Zusanli), GV20 (Baihui)",Wu Mei Wan (Mume Pill)
How does Excess Above with Deficiency Below manifest?,"Headache, irritability, palpitations with cold lower back and knees, weakness, red tongue tip, wiry weak pulse","GV20 (Baihui), KI3 (Taixi), LV3 (Taichong), BL23 (Shenshu)",Jian Ling Tang (Strengthen the Mound Decoction)
