id,wellness_issue,patient_question,clinic_answer,tcm_focus_area,professional_acupuncture_points,tcm_trigger_acupuncture_points,pharmacopeia
14,Wellness issue 14,This is a sample patient question about wellness issue 14. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
15,Wellness issue 15,This is a sample patient question about wellness issue 15. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
16,Wellness issue 16,This is a sample patient question about wellness issue 16. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
17,Wellness issue 17,This is a sample patient question about wellness issue 17. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
18,Wellness issue 18,This is a sample patient question about wellness issue 18. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
19,Wellness issue 19,This is a sample patient question about wellness issue 19. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
20,Wellness issue 20,This is a sample patient question about wellness issue 20. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
21,Wellness issue 21,This is a sample patient question about wellness issue 21. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
22,Wellness issue 22,This is a sample patient question about wellness issue 22. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
23,Wellness issue 23,This is a sample patient question about wellness issue 23. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
24,Wellness issue 24,This is a sample patient question about wellness issue 24. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
25,Wellness issue 25,This is a sample patient question about wellness issue 25. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
26,Wellness issue 26,This is a sample patient question about wellness issue 26. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
27,Wellness issue 27,This is a sample patient question about wellness issue 27. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
28,Wellness issue 28,This is a sample patient question about wellness issue 28. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
29,Wellness issue 29,This is a sample patient question about wellness issue 29. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
30,Wellness issue 30,This is a sample patient question about wellness issue 30. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
31,Wellness issue 31,This is a sample patient question about wellness issue 31. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
32,Wellness issue 32,This is a sample patient question about wellness issue 32. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
33,Wellness issue 33,This is a sample patient question about wellness issue 33. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
34,Wellness issue 34,This is a sample patient question about wellness issue 34. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
35,Wellness issue 35,This is a sample patient question about wellness issue 35. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
36,Wellness issue 36,This is a sample patient question about wellness issue 36. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
37,Wellness issue 37,This is a sample patient question about wellness issue 37. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
38,Wellness issue 38,This is a sample patient question about wellness issue 38. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
39,Wellness issue 39,This is a sample patient question about wellness issue 39. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
40,Wellness issue 40,This is a sample patient question about wellness issue 40. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
41,Wellness issue 41,This is a sample patient question about wellness issue 41. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
42,Wellness issue 42,This is a sample patient question about wellness issue 42. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
43,Wellness issue 43,This is a sample patient question about wellness issue 43. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
44,Wellness issue 44,This is a sample patient question about wellness issue 44. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
45,Wellness issue 45,This is a sample patient question about wellness issue 45. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
46,Wellness issue 46,This is a sample patient question about wellness issue 46. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
47,Wellness issue 47,This is a sample patient question about wellness issue 47. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
48,Wellness issue 48,This is a sample patient question about wellness issue 48. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
49,Wellness issue 49,This is a sample patient question about wellness issue 49. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
50,Wellness issue 50,This is a sample patient question about wellness issue 50. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
51,Wellness issue 51,This is a sample patient question about wellness issue 51. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
52,Wellness issue 52,This is a sample patient question about wellness issue 52. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
53,Wellness issue 53,This is a sample patient question about wellness issue 53. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol","ST36 (Zusanli), LI4 (Hegu) - Primary trigger and circulation points",Pattern-specific herbal formula per TCM diagnosis
