id,age_group,condition,tcm_pattern,acupuncture_points,pharmacopeia
19,adults_50_70,Hypertension (high blood pressure),Liver Yang Rising with Kidney Yin Deficiency,"LV-3 (Taichong), LI-4 (Hegu), GB-20 (Fengchi), KI-3 (Taixi), ST-36 (Zusanli), LI-11 (Quchi)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria Beverage)
20,adults_50_70,High cholesterol and hyperlipidemia,Phlegm-Dampness with Spleen Deficiency,"ST-40 (Fenglong), SP-6 (Sanyinjiao), REN-12 (Zhongwan), SP-9 (Yinlingquan), ST-36 (Zusanli)",Er Chen Tang (Two-Cured Decoction) plus Wen Dan Tang
21,adults_50_70,Coronary artery disease prevention,Qi and Blood Stagnation with Phlegm Obstruction,"PC-6 (Neiguan), HT-7 (Shenmen), ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-17 (Danzhong)","Gua Lou Xie Bai Ban Xia Tang (Trichosanthes, Chinese Chive, Pinellia Decoction)"
22,adults_50_70,Arrhythmia and irregular heartbeat,Heart Qi and Blood Deficiency with Phlegm,"HT-7 (Shenmen), PC-6 (Neiguan), BL-15 (Xinshu), ST-36 (Zusanli), REN-17 (Danzhong)",Gui Pi Tang (Restore the Spleen Decoction) plus Zhi Gan Cao Tang
23,adults_50_70,Peripheral circulation problems and cold extremities,Qi and Blood Stagnation with Yang Deficiency,"ST-36 (Zusanli), SP-6 (Sanyinjiao), LV-3 (Taichong), BL-17 (Geshu), KI-3 (Taixi)",Bu Yang Huan Wu Tang (Tonify Yang Restore Five Decoction)
24,adults_50_70,Chronic venous insufficiency and varicose veins,Qi Deficiency with Blood Stasis,"ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-10 (Xuehai), LV-3 (Taichong), BL-17 (Geshu)",Bu Yang Huan Wu Tang (Tonify Yang Restore Five) modified
25,adults_50_70,Type 2 diabetes mellitus,Kidney and Spleen Qi Deficiency with Yin Deficiency,"REN-12 (Zhongwan), ST-36 (Zusanli), SP-6 (Sanyinjiao), KI-3 (Taixi), BL-20 (Pishu), BL-23 (Shenshu)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Huang Qi
26,adults_50_70,Pre-diabetes and insulin resistance,Spleen Qi Deficiency with Dampness-Heat,"ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), SP-9 (Yinlingquan), LV-13 (Zhangmen)","Ge Gen Qin Lian Tang (Kudzu, Scutellaria, Coptis Decoction)"
27,adults_50_70,Thyroid dysfunction (hypothyroidism),Kidney Yang Deficiency with Qi Stagnation,"DU-4 (Mingmen), REN-6 (Qihai), KI-3 (Taixi), BL-23 (Shenshu), ST-36 (Zusanli)",Jin Gui Shen Qi Wan (Kidney Qi Pill)
28,adults_50_70,Metabolic syndrome,Spleen Deficiency with Phlegm-Dampness,"ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), REN-12 (Zhongwan), ST-40 (Fenglong)","Shen Ling Bai Zhu San (Ginseng, Poria, Atractylodes) plus Er Chen Tang"
29,adults_50_70,Chronic fatigue syndrome,Spleen and Kidney Yang Deficiency,"ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), KI-3 (Taixi), BL-20 (Pishu), BL-23 (Shenshu)",You Gui Wan (Restore Right Kidney) plus Ren Shen Yang Rong Tang
30,adults_50_70,Osteoarthritis of knees,Liver-Kidney Deficiency with Blood Stasis,"ST-35 (Dubi), ST-36 (Zusanli), SP-9 (Yinlingquan), SP-10 (Xuehai), GB-34 (Yanglingquan), local Xiyan",Du Huo Ji Sheng Tang (Angelica Pubescens and Loranthus Decoction)
31,adults_50_70,Lower back pain (chronic lumbar strain),Kidney Deficiency with Cold-Damp Obstruction,"BL-23 (Shenshu), BL-25 (Dachangshu), DU-4 (Mingmen), BL-40 (Weizhong), GB-30 (Huantiao)",Shen Tong Zhu Yu Tang (Drive Out Blood Stasis from Painful Body Decoction)
32,adults_50_70,Frozen shoulder (adhesive capsulitis),Qi and Blood Stagnation in Channels,"LI-15 (Jianyu), LI-14 (Binao), TE-14 (Jianliao), SI-9 (Jianzhen), local Ashi points",Juan Bi Tang (Remove Painful Obstruction Decoction)
33,adults_50_70,Cervical spondylosis and neck pain,Liver-Kidney Deficiency with Wind-Cold-Damp,"GB-20 (Fengchi), GB-21 (Jianjing), BL-10 (Tianzhu), DU-14 (Dazhui), SI-3 (Houxi)",Ge Gen Tang (Kudzu Decoction) plus Juan Bi Tang
34,adults_50_70,Osteoporosis,Kidney Essence Deficiency,"KI-3 (Taixi), BL-23 (Shenshu), DU-4 (Mingmen), ST-36 (Zusanli), BL-11 (Dazhu), GB-39 (Xuanzhong)",Zuo Gui Wan (Restore Left Kidney) plus Bu Gu Zhi
35,adults_50_70,Rheumatoid arthritis,Liver-Kidney Deficiency with Damp-Heat,"LI-4 (Hegu), LI-11 (Quchi), SP-10 (Xuehai), ST-36 (Zusanli), BL-17 (Geshu), GB-34 (Yanglingquan)",Du Huo Ji Sheng Tang (Angelica Pubescens) plus Gui Zhi Shao Yao Zhi Mu Tang
36,adults_50_70,Plantar fasciitis and heel pain,Liver-Kidney Deficiency with Qi-Blood Stagnation,"KI-3 (Taixi), BL-60 (Kunlun), BL-62 (Shenmai), GB-40 (Qiuxu), local Ashi points",Dang Gui Si Ni Tang (Tangkuei Frigid Extremities) modified
37,adults_50_70,Hip osteoarthritis,Liver-Kidney Deficiency with Cold Obstruction,"GB-29 (Juliao), GB-30 (Huantiao), ST-31 (Biguan), BL-54 (Zhibian), BL-40 (Weizhong)",Du Huo Ji Sheng Tang (Angelica Pubescens) modified
38,adults_50_70,Chronic constipation,Spleen Qi Deficiency with Blood and Fluid Deficiency,"ST-25 (Tianshu), ST-36 (Zusanli), ST-37 (Shangjuxu), SP-6 (Sanyinjiao), REN-6 (Qihai), TE-6 (Zhigou)",Ma Zi Ren Wan (Hemp Seed Pill) plus Zeng Ye Tang
39,adults_50_70,Gastroesophageal reflux disease (GERD),Stomach Yin Deficiency with Liver Qi Stagnation,"REN-12 (Zhongwan), PC-6 (Neiguan), ST-36 (Zusanli), LV-3 (Taichong), LV-14 (Qimen)",Yi Guan Jian (Linking Decoction) plus Xiao Yao San
40,adults_50_70,Irritable bowel syndrome (IBS),Liver Qi Stagnation with Spleen Deficiency,"ST-25 (Tianshu), ST-36 (Zusanli), LV-3 (Taichong), PC-6 (Neiguan), SP-6 (Sanyinjiao)",Tong Xie Yao Fang (Painful Diarrhea Important Formula)
41,adults_50_70,Chronic gastritis,Spleen-Stomach Deficiency with Damp-Heat,"REN-12 (Zhongwan), ST-36 (Zusanli), ST-44 (Neiting), SP-4 (Gongsun), BL-21 (Weishu)","Xiang Sha Liu Jun Zi Tang (Aucklandia, Amomum Six-Gentleman Decoction)"
42,adults_50_70,Age-related memory decline,Kidney Essence Deficiency with Heart-Spleen Deficiency,"DU-20 (Baihui), KI-3 (Taixi), HT-7 (Shenmen), ST-36 (Zusanli), GB-39 (Xuanzhong), Sishencong",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Bu Nao Herbs
43,adults_50_70,Chronic headaches and migraines,Liver Yang Rising or Liver Qi Stagnation,"GB-20 (Fengchi), LV-3 (Taichong), LI-4 (Hegu), Taiyang, ST-8 (Touwei), GB-8 (Shuaigu)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria) or Chuan Xiong Cha Tiao San
44,adults_50_70,Insomnia and sleep disorders,Heart-Kidney Disharmony with Blood Deficiency,"HT-7 (Shenmen), SP-6 (Sanyinjiao), Yintang, Anmian, KI-6 (Zhaohai), ST-36 (Zusanli)",Suan Zao Ren Tang (Sour Jujube Decoction) plus Tian Wang Bu Xin Dan
45,adults_50_70,Tinnitus (ringing in ears),Kidney Essence Deficiency with Liver Yang Rising,"TE-17 (Yifeng), TE-21 (Ermen), GB-2 (Tinghui), SI-19 (Tinggong), KI-3 (Taixi), GB-20 (Fengchi)",Er Long Zuo Ci Wan (Deafness Left Support Pill)
46,adults_50_70,Vertigo and dizziness,Phlegm-Dampness with Liver Yang Rising,"DU-20 (Baihui), GB-20 (Fengchi), PC-6 (Neiguan), LV-3 (Taichong), ST-40 (Fenglong)","Ban Xia Bai Zhu Tian Ma Tang (Pinellia, Atractylodes, Gastrodia Decoction)"
47,adults_50_70,Chronic bronchitis and COPD,Lung-Kidney Qi Deficiency with Phlegm,"LU-9 (Taiyuan), BL-13 (Feishu), REN-17 (Danzhong), ST-36 (Zusanli), KI-3 (Taixi), BL-23 (Shenshu)",Bu Fei Tang (Tonify Lung Decoction) plus Ren Shen Ge Jie San
48,adults_50_70,Seasonal allergies worsening with age,Lung and Spleen Qi Deficiency with Wind,"LI-20 (Yingxiang), LI-4 (Hegu), LU-7 (Lieque), ST-36 (Zusanli), Yintang",Yu Ping Feng San (Jade Windscreen Powder) plus Xiao Qing Long Tang modified
49,adults_50_70,Chronic kidney disease (early stage),Kidney Yin and Yang Deficiency,"KI-3 (Taixi), BL-23 (Shenshu), REN-4 (Guanyuan), ST-36 (Zusanli), SP-6 (Sanyinjiao)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Jin Gui Shen Qi Wan
50,adults_50_70,Nocturia (frequent nighttime urination),Kidney Yang Deficiency with Qi Not Consolidating,"REN-4 (Guanyuan), REN-6 (Qihai), BL-23 (Shenshu), BL-28 (Pangguangshu), SP-6 (Sanyinjiao), KI-3 (Taixi)",Suo Quan Wan (Shut the Sluice Pill) plus Sang Piao Xiao San
