Category,Generic_Name,Purpose,Western_Mechanism,TCM_Perspective,Common_Side_Effects,TCM_Considerations
Cardiovascular - Antiplatelets,Clopidogrel,Prevent blood clots after heart attack or stroke,"P2Y12 inhibitor, prevents platelet activation","Invigorates blood, cooling, may deplete blood","Bleeding, bruising, GI upset","CAUTION with blood-moving herbs, nourish blood if deficient"
Cardiovascular - Heart Failure,Furosemide (Loop Diuretic),"Heart failure, edema, pulmonary edema","Powerful diuretic, reduces fluid overload","Strongly drains dampness, depletes kidney yin and yang, drains qi","Dehydration, electrolyte imbalance, dizziness, kidney stress","Tonify kidney and spleen qi, monitor for severe deficiency"
Cardiovascular - Arrhythmias,Digoxin,"Atrial fibrillation, heart failure","Increases cardiac contractility, slows AV conduction","Regulates heart rhythm, toxic in excess, affects heart qi","Nausea, arrhythmias (toxic), visual changes, narrow therapeutic window","Narrow margin of safety, monitor heart qi"
Diabetes - Oral Hypoglycemics,Metformin,"Type 2 diabetes, PCOS, insulin resistance","Reduces hepatic glucose production, increases insulin sensitivity","Clears heat from middle jiao, transforms phlegm-dampness, may deplete spleen qi","GI upset, diarrhea, B12 deficiency, lactic acidosis (rare)","Can weaken spleen, support with spleen-tonifying foods"
Diabetes - Oral Hypoglycemics,Glipizide (Sulfonylurea),Type 2 diabetes,Stimulates pancreatic insulin release,"Forces pancreas (spleen) to work harder, may deplete spleen-kidney qi","Hypoglycemia, weight gain","May exhaust pancreatic function, tonify spleen-kidney"
Diabetes - Injectable,Insulin (various types),Type 1 and Type 2 diabetes,Replaces or supplements natural insulin,"Replaces spleen's transformation function, manages wasting-thirst syndrome","Hypoglycemia, weight gain, injection site reactions","Support spleen-kidney qi, monitor yin deficiency"
Diabetes - GLP-1 Agonists,Semaglutide,"Type 2 diabetes, weight loss","GLP-1 receptor agonist, increases insulin, decreases appetite","Clears dampness-heat, regulates spleen-stomach, may deplete qi","Nausea, vomiting, diarrhea, pancreatitis risk","Monitor for spleen qi deficiency, support digestion"
Gastrointestinal - Acid Reducers,Omeprazole (Proton Pump Inhibitor),"GERD, peptic ulcers, acid reflux",Blocks stomach acid production,"Reduces stomach fire but weakens spleen yang, impairs transformation","Headache, nutrient malabsorption (B12, calcium), increased infection risk","Long-term use creates spleen-stomach cold-deficiency, dampness accumulation"
Gastrointestinal - Acid Reducers,Ranitidine (H2 Blocker) - Note: Recalled 2020,"GERD, ulcers (historical use)","Blocks histamine H2 receptors, reduces acid","Reduces stomach heat, less damaging to spleen yang than PPIs","Headache, dizziness, constipation",Gentler than PPIs but still affects stomach function
Gastrointestinal - Laxatives,Docusate (Stool Softener),Constipation,Increases water in stool,"Moistens intestines, addresses fluid deficiency","Cramping, diarrhea if excessive","For intestinal dryness, support with yin-nourishing foods"
Gastrointestinal - Laxatives,Senna (Stimulant Laxative),Constipation,Stimulates colon contractions,"Bitter-cold, purges heat, damages spleen-kidney yang with overuse","Cramping, dependence, electrolyte loss","Avoid long-term use, can create cold deficiency"
Gastrointestinal - Anti-diarrheal,Loperamide,Diarrhea,"Slows gut motility, opioid receptor agonist","Binds and constrains intestines, may worsen spleen qi deficiency","Constipation, bloating, dizziness","Treats symptom not root cause, tonify spleen for chronic diarrhea"
Gastrointestinal - Antiemetic,Ondansetron,"Nausea, vomiting (chemotherapy, surgery)",5-HT3 receptor antagonist,"Descends rebellious stomach qi, cooling nature","Headache, constipation, dizziness","Harmonize stomach qi, assess for underlying patterns"
Respiratory - Asthma/COPD,Albuterol (Short-acting Beta Agonist),"Acute asthma, bronchospasm","Relaxes airway smooth muscle, bronchodilation","Opens lung qi, disperses constraint, warming and drying","Tremor, palpitations, anxiety, tachycardia","Can deplete lung yin with overuse, may create heat"
Respiratory - Asthma/COPD,Fluticasone (Inhaled Corticosteroid),"Chronic asthma, COPD maintenance","Anti-inflammatory, reduces airway inflammation","Cold-bitter nature, suppresses lung fire but may weaken lung qi","Oral thrush, hoarseness, throat irritation","Long-term use weakens lung and kidney qi, rinse mouth after use"
Respiratory - Allergy,Loratadine (Antihistamine),"Allergies, hay fever, hives","H1 receptor antagonist, blocks histamine","Disperses wind, clears heat, drying nature may deplete fluids","Dry mouth, headache, fatigue (less sedating)","Drying, may need to nourish yin, doesn't address wei qi deficiency"
Respiratory - Allergy,Diphenhydramine (First-gen Antihistamine),"Allergies, insomnia, motion sickness","H1 antagonist, crosses blood-brain barrier","Disperses wind, sedates spirit, drying and cooling","Drowsiness, dry mouth, urinary retention, confusion in elderly","Sedating, depletes fluids, affects shen and wei qi"
Respiratory - Decongestant,Pseudoephedrine,"Nasal congestion, sinus pressure",Vasoconstriction in nasal passages,"Warm-pungent, disperses wind-cold, opens orifices, depletes yin","Insomnia, anxiety, increased blood pressure, palpitations","Contraindicated in yin deficiency with heat, hypertension"
Pain - NSAIDs,Ibuprofen,"Pain, inflammation, fever","COX-1 and COX-2 inhibitor, reduces prostaglandins","Bitter-cold, clears heat, moves qi and blood, damages spleen-stomach","GI bleeding, kidney damage, cardiovascular risk","Injures stomach qi, avoid long-term use, protect spleen-stomach"
Pain - NSAIDs,Naproxen,"Pain, inflammation, arthritis","COX inhibitor, longer-acting than ibuprofen","Bitter-cold, clears heat and dampness, damages spleen-stomach yang","GI issues, cardiovascular risk, kidney problems","Similar to ibuprofen, protect middle jiao"
Pain - Opioids,Oxycodone,Moderate to severe pain,"Mu-opioid receptor agonist, CNS depression","Warm-sweet, stops pain by constraining, binds intestines, depletes qi","Constipation, drowsiness, respiratory depression, addiction risk","Binding nature causes qi stagnation, weakens spleen, affects shen"
Pain - Opioids,Tramadol,Moderate pain,"Weak opioid agonist, serotonin-norepinephrine reuptake inhibitor","Stops pain, less constraining than stronger opioids, affects liver-kidney","Nausea, dizziness, constipation, seizure risk","Less binding than oxycodone, still depletes qi"
Pain - Acetaminophen,Acetaminophen (Paracetamol),"Pain, fever","COX-3 inhibitor (proposed), central analgesic","Clears heat, stops pain, less damaging to spleen than NSAIDs, harms liver","Liver toxicity at high doses, generally well-tolerated","Gentler on stomach, but hepatotoxic, affects liver blood"
Pain - Neuropathic,Gabapentin,"Neuropathic pain, seizures, neuropathy","Modulates calcium channels, reduces nerve excitability","Calms liver wind, sedates nerve qi, may deplete kidney essence","Dizziness, drowsiness, weight gain, edema","Affects shen and kidney, monitor for qi deficiency"
Pain - Neuropathic,Pregabalin,"Neuropathic pain, fibromyalgia, seizures","Similar to gabapentin, binds alpha-2-delta subunit","Calms wind, sedates nerves, depletes kidney and liver essence","Dizziness, drowsiness, weight gain, dependency potential","Sedating nature affects shen, kidney essence"
Antibiotics - Penicillins,Amoxicillin,"Bacterial infections (respiratory, ear, skin)","Beta-lactam, inhibits bacterial cell wall synthesis","Bitter-cold, clears heat-toxin, may damage spleen-stomach qi","Diarrhea, rash, allergic reactions","Depletes gut flora (spleen-stomach qi), use probiotics after"
Antibiotics - Cephalosporins,Cephalexin,"Bacterial infections (skin, respiratory, UTI)","Beta-lactam, bactericidal","Cold-bitter, clears heat-toxin, less harsh than fluoroquinolones","GI upset, allergic reactions, yeast infections","Damages spleen qi and microbiome, support with fermented foods"
Antibiotics - Macrolides,Azithromycin,"Respiratory infections, STIs, atypical bacteria",Inhibits bacterial protein synthesis,"Bitter-cold, clears lung and throat heat-toxin","GI upset, QT prolongation, hearing changes","Affects heart rhythm (heart qi), protect spleen-stomach"
Antibiotics - Fluoroquinolones,Ciprofloxacin,"UTIs, respiratory, GI, bone infections","DNA gyrase inhibitor, broad-spectrum","Very cold-bitter, clears damp-heat toxin, damages tendons and kidney","Tendon rupture, neuropathy, QT prolongation, CNS effects","CAUTION: damages liver-kidney, avoid in tendon issues, tonify afterwards"
Antibiotics - Tetracyclines,Doxycycline,"Acne, respiratory infections, Lyme disease, malaria prevention","Inhibits protein synthesis, anti-inflammatory","Cold-bitter, clears heat-toxin, damp-heat, photosensitizing (yin deficiency)","GI upset, photosensitivity, esophageal irritation, tooth staining","Damages spleen-stomach, depletes yin, avoid sun exposure"
Mental Health - Antidepressants (SSRIs),Sertraline,"Depression, anxiety, OCD, PTSD",Selective serotonin reuptake inhibitor,"Moves liver qi, calms shen, long-term may deplete kidney essence","Nausea, sexual dysfunction, insomnia, weight changes","Affects liver-heart-kidney, monitor for yin and jing depletion"
Mental Health - Antidepressants (SSRIs),Fluoxetine,"Depression, anxiety, OCD, bulimia","SSRI, long half-life","Moves liver qi stagnation, calms shen, cooling nature","Similar to sertraline, activation/agitation possible","Can be activating (raises yang), affects liver and heart"
Mental Health - Antidepressants (SNRIs),Venlafaxine,"Depression, anxiety, neuropathic pain",Serotonin-norepinephrine reuptake inhibitor,"Moves qi and yang, raises yang qi, may create heat","Hypertension, nausea, sexual dysfunction, withdrawal symptoms","More activating, can raise blood pressure (liver yang rising)"
Mental Health - Anxiolytics,Alprazolam (Benzodiazepine),"Anxiety, panic disorder","GABA-A receptor agonist, CNS depression","Strongly sedates shen, calms liver, depletes kidney essence, addictive","Sedation, memory impairment, dependence, withdrawal","Damages kidney jing, weakens shen, difficult withdrawal (qi collapse)"
Mental Health - Anxiolytics,Lorazepam (Benzodiazepine),"Anxiety, insomnia, seizures","GABA-A agonist, intermediate-acting","Sedates shen, calms liver and heart, depletes essence","Sedation, confusion, dependence, respiratory depression","Similar to alprazolam, damages kidney and shen"
Mental Health - Antipsychotics,Quetiapine,"Schizophrenia, bipolar disorder, depression adjunct",Dopamine and serotonin antagonist,"Heavily sedates shen, calms liver wind, severely depletes qi and essence","Sedation, weight gain, metabolic syndrome, diabetes risk","Creates dampness, depletes spleen-kidney, affects shen profoundly"
Mental Health - Antipsychotics,Risperidone,"Schizophrenia, bipolar mania, autism irritability",Dopamine D2 and serotonin 5-HT2 antagonist,"Suppresses liver yang and wind, sedates shen, depletes kidney","Weight gain, extrapyramidal symptoms, hyperprolactinemia","Damages kidney essence, creates dampness, affects liver and shen"
Mental Health - Mood Stabilizers,Lithium,"Bipolar disorder, mania","Modulates neurotransmitters, exact mechanism unclear","Mineral medicine, calms shen and liver, toxic to kidney with narrow range","Tremor, thirst, polyuria, kidney damage, thyroid issues, narrow therapeutic index","Damages kidney essence and yin, requires close monitoring"
Mental Health - Stimulants,Methylphenidate,"ADHD, narcolepsy","Dopamine and norepinephrine reuptake inhibitor, stimulant","Strongly raises yang and qi, sharpens shen, depletes yin and essence","Insomnia, appetite suppression, growth suppression in children, palpitations","Depletes kidney yin and essence, creates heat, affects heart and liver"
Mental Health - Stimulants,Amphetamine/Dextroamphetamine,ADHD,Increases dopamine and norepinephrine release,"Very warming, raises yang, activates shen, severely depletes yin and jing","Similar to methylphenidate, higher abuse potential","Extreme yin-depleting, kidney essence damage with long-term use"
Hormones - Thyroid,Levothyroxine,"Hypothyroidism, thyroid hormone replacement","Synthetic T4, replaces thyroid hormone","Tonifies kidney yang and qi, warms metabolism, supports transformation","Palpitations, anxiety, weight loss if excessive, bone loss","Necessary replacement, supports kidney yang, monitor for excess (heat signs)"
Hormones - Contraceptives,Ethinyl Estradiol/Levonorgestrel (Birth Control),"Contraception, menstrual regulation","Suppresses ovulation, alters cervical mucus and endometrium","Disrupts natural liver-kidney axis, may create blood stasis and dampness","Mood changes, weight gain, blood clot risk, breakthrough bleeding","Can cause liver qi stagnation and blood stasis, monitor liver function"
Hormones - Corticosteroids,Prednisone,"Inflammation, autoimmune diseases, allergies, asthma","Synthetic glucocorticoid, anti-inflammatory, immunosuppressive","Initially raises yang qi, long-term depletes kidney yang, creates dampness and heat","Weight gain, mood changes, immunosuppression, osteoporosis, diabetes, adrenal suppression","Severely damages kidney yang and essence with long-term use, creates moon face (phlegm-dampness)"
Hormones - Diabetes,Levothyroxine,Hypothyroidism,T4 replacement,Supports kidney yang and spleen transformation,Overtreatment causes hyperthyroid symptoms,Essential for yang deficiency patterns
Supplement - Vitamins,Vitamin D3 (Cholecalciferol),"Bone health, immune function, mood, deficiency prevention","Hormone precursor, calcium absorption, immune modulation","Tonifies kidney yang, strengthens bones, supports wei qi","Hypercalcemia if excessive, kidney stones","Supports kidney and bone (jing), especially important in deficiency"
Supplement - Vitamins,Vitamin B12 (Cobalamin),"Anemia prevention, nerve health, energy, methylation",Cofactor for DNA synthesis and myelin production,"Nourishes blood and essence, supports spleen-stomach transformation","Generally safe, rarely acne or allergic reactions","Essential for blood production, particularly in vegetarians"
Supplement - Vitamins,Vitamin C (Ascorbic Acid),"Immune support, antioxidant, collagen synthesis","Antioxidant, cofactor for collagen and neurotransmitters","Cool-sour, supports wei qi, generates fluids, clears heat","GI upset at high doses, kidney stones possible","Supports defensive qi, cooling nature benefits heat patterns"
Supplement - Vitamins,Folic Acid (Vitamin B9),"Pregnancy, anemia prevention, cardiovascular health","DNA synthesis, red blood cell production, homocysteine metabolism","Nourishes blood, supports spleen-liver, essential for pregnancy","Generally safe, may mask B12 deficiency","Blood-nourishing, especially important for women"
Supplement - Vitamins,Multivitamin,"General nutritional insurance, deficiency prevention",Provides various vitamins and minerals,"Supports general qi and blood, organ functions","Generally safe, possible GI upset",Not a substitute for good diet (food qi more important)
Supplement - Minerals,Calcium Carbonate/Citrate,"Bone health, osteoporosis prevention",Essential mineral for bone density,"Tonifies kidney, strengthens bones and teeth (kidney governs bone)","Constipation, kidney stones, interactions with absorption","Supports kidney jing and bone, take with vitamin D"
Supplement - Minerals,Magnesium (various forms),"Muscle function, nerve health, constipation, sleep","Cofactor for 300+ enzymes, muscle relaxation","Calms liver, relaxes sinews, moistens intestines","Diarrhea at high doses, especially magnesium oxide","Relaxes liver, good for constraint and spasms"
Supplement - Minerals,Iron (Ferrous Sulfate),"Anemia, iron deficiency",Essential for hemoglobin production,"Tonifies blood, supports spleen-liver blood production","Constipation, nausea, black stools, GI upset","Nourishes blood but constipating, take with vitamin C"
Supplement - Minerals,Zinc,"Immune function, wound healing, taste, skin health","Cofactor for enzymes, immune cell function","Supports wei qi, helps transformation, benefits skin (lung)","Nausea, copper depletion with high doses","Strengthens defensive qi, good for immunity"
Supplement - Omega Fatty Acids,Fish Oil (Omega-3 EPA/DHA),"Cardiovascular health, anti-inflammatory, brain function","Anti-inflammatory, reduces triglycerides, supports neuronal membranes","Nourishes yin and blood, moistens dryness, moves blood gently","Fishy burps, bleeding risk at very high doses","Yin-nourishing, good for dryness and inflammation"
Supplement - Probiotics,Lactobacillus/Bifidobacterium (Probiotics),"Gut health, digestion, immune support, post-antibiotic","Restores beneficial gut bacteria, immune modulation","Supports spleen transformation, restores middle jiao harmony","Gas, bloating initially, generally very safe",Restores spleen-stomach qi after antibiotics or illness
Supplement - Herbal,Turmeric/Curcumin,"Anti-inflammatory, antioxidant, joint health","COX-2 inhibitor, NF-kB inhibitor, antioxidant","Warm-bitter-pungent, invigorates blood, moves qi, dispels wind-damp","GI upset, may increase bleeding risk","Blood-moving, good for pain and stasis, warm nature"
Supplement - Herbal,Ginger Root,"Nausea, digestion, anti-inflammatory","Antiemetic, anti-inflammatory, digestive stimulant","Warm-pungent, warms middle, stops nausea, dispels cold",Heartburn at high doses,"Warms spleen-stomach, excellent for cold patterns and nausea"
Supplement - Herbal,Ginkgo Biloba,"Memory, circulation, cognitive function","Improves blood flow, antioxidant, neuroprotective","Neutral-bitter-sweet, invigorates blood to brain, benefits kidney","Bleeding risk, GI upset, headache","Opens blood vessels to head, CAUTION with anticoagulants"
Supplement - Herbal,St. John's Wort,"Mild to moderate depression, anxiety","Serotonin reuptake inhibitor, multiple neurotransmitter effects","Moves liver qi, clears heat, calms shen","Photosensitivity, many drug interactions (CYP450 inducer)","MAJOR drug interactions, avoid with many medications"
Supplement - Herbal,Valerian Root,"Insomnia, anxiety, sleep aid","GABA-A receptor modulation, sedative","Calms shen, anchors ethereal soul, slightly warm","Morning drowsiness, vivid dreams, paradoxical stimulation","Sedates shen, good for restless sleep"
Supplement - Herbal,Melatonin,"Insomnia, jet lag, sleep regulation",Hormone that regulates circadian rhythm,"Harmonizes yin-yang transition, calms shen, supports kidney","Morning grogginess, vivid dreams, hormone effects","Regulates sleep-wake cycle, supports kidney yin"
Supplement - Herbal,Echinacea,"Immune support, cold prevention and treatment","Immune stimulant, anti-inflammatory","Cool-bitter, clears heat-toxin, supports wei qi briefly","Allergic reactions, autoimmune concerns with long-term use","Short-term use for exterior patterns, not for long-term immune support"
Supplement - Amino Acids,L-Theanine,"Anxiety, relaxation, focus (in tea)","Increases GABA, dopamine, and serotonin, promotes alpha waves","Calms shen, clears mind, gentle liver-soothing","Very safe, rare GI upset","Calms without sedating, good for anxiety with mental clarity"
Supplement - Herbal,Ashwagandha,"Stress, anxiety, energy, adaptogen","Adaptogen, cortisol modulation, GABAergic","Warm, tonifies kidney yang and qi, calms shen, adaptogenic","GI upset, thyroid effects, may increase thyroid hormone","Tonifies kidney and adrenals, good for stress and yang deficiency"
Supplement - Protein,Whey Protein Powder,"Muscle building, protein supplementation, meal replacement","Complete protein source, amino acids for muscle synthesis","Neutral-sweet, tonifies qi and blood, supports spleen, creates dampness if excess","GI upset, bloating, dairy sensitivity","Tonifies but can create dampness, use moderately"
Supplement - Herbal,Saw Palmetto,"Benign prostatic hyperplasia (BPH), prostate health","5-alpha-reductase inhibitor, reduces DHT","Clears damp-heat from lower jiao, benefits kidney-bladder","GI upset, headache, may affect PSA levels","For damp-heat in lower jiao, prostate issues"
Supplement - Herbal,Glucosamine/Chondroitin,"Joint health, osteoarthritis","Cartilage building blocks, anti-inflammatory","Tonifies liver-kidney, nourishes sinews and bones","GI upset, blood sugar effects possible","Nourishes joints (liver governs sinews, kidney governs bone)"
Supplement - Herbal,Coenzyme Q10 (CoQ10),"Heart health, energy, antioxidant, statin side effects","Mitochondrial electron transport, antioxidant","Tonifies heart qi and kidney essence, supports vitality","GI upset, insomnia if taken late","Tonifies qi and essence, good for heart and energy"
Supplement - Herbal,Milk Thistle (Silymarin),"Liver health, liver detoxification support","Hepatoprotective, antioxidant, supports liver regeneration","Cool-bitter, clears liver heat, protects liver, resolves toxins","Mild laxative effect, rare allergic reactions","Protects and clears liver, good for liver support during medication use"
