Question,Answer,TCM Acupuncture Points,Pharmacopeia/Herbal Formula
What is the significance of LU-7 (Lieque) in treating grief?,"LU-7 (Lieque - Broken Sequence) is the Luo-connecting point of the Lung meridian and master point of the Conception Vessel. It is crucial for boosting Wei Qi (defensive Qi), addressing fatigue and low energy from grief. It opens the chest, releases exterior conditions, and helps restore the Lung's ability to disperse and descend Qi. It's particularly effective for grief-related immune weakness and respiratory vulnerability.","LU-7 (Lieque), LI-4 (Hegu), BL-13 (Feishu), ST-36 (Zusanli), CV-17 (Shanzhong)","Yu Ping Feng San (Jade Windscreen Powder) - tonifies Lung Qi, consolidates exterior, stabilizes Wei Qi, prevents recurrent infections in grief-weakened immunity"
How does the Spleen become involved in chronic grief patterns?,"Chronic grief often leads to Liver Qi stagnation, which can invade the Spleen (Liver-Spleen disharmony), causing digestive issues, poor appetite, fatigue, worry, and overthinking. The Spleen is also weakened when grief depletes Lung Qi, as the Lung-Spleen relationship is vital for Qi production. This creates a vicious cycle of emotional and physical depletion with symptoms of fatigue, loose stools, and poor concentration.","SP-6 (Sanyinjiao), ST-36 (Zusanli), SP-3 (Taibai), LR-3 (Taichong), CV-12 (Zhongwan)","Xiao Yao San (Free and Easy Wanderer) or Si Ni San (Frigid Extremities Powder) - soothes Liver, strengthens Spleen, harmonizes Liver-Spleen, treats digestive symptoms from emotional stress"
What is PC-7 (Daling) and why is it powerful for broken hearts?,"PC-7 (Daling - Great Mound) is the Shu-stream and Yuan-source point of the Pericardium meridian. It is renowned for healing emotional heartbreak and grief. The Pericardium protects the Heart and houses the Shen. PC-7 calms the spirit, clears Heart fire from emotional pain, treats anxiety, palpitations, insomnia, and emotional trauma. It's especially effective for the heartache aspect of grief and post-traumatic stress.","PC-7 (Daling), PC-6 (Neiguan), HT-7 (Shenmen), CV-17 (Shanzhong), PC-8 (Laogong)","Suan Zao Ren Tang (Sour Jujube Decoction) - nourishes Heart and Liver blood, calms Shen, treats insomnia and anxiety from blood deficiency and emotional distress"
How do Back Shu points support grief treatment?,"Back Shu points directly influence their associated organs and are powerful for treating grief. BL-13 (Feishu - Lung Shu) tonifies Lung Qi, BL-15 (Xinshu - Heart Shu) calms the Shen and nourishes Heart, BL-18 (Ganshu - Liver Shu) soothes Liver Qi stagnation, and BL-20 (Pishu - Spleen Shu) strengthens digestive function. These points treat the root organ imbalances caused by grief.","BL-13 (Feishu), BL-15 (Xinshu), BL-18 (Ganshu), BL-20 (Pishu), BL-23 (Shenshu)","Bu Zhong Yi Qi Tang (Tonify Middle and Augment Qi) - strengthens Spleen and Lung Qi, raises Yang, treats organ deficiencies underlying grief patterns"
What role does CV-17 (Shanzhong) play in emotional release?,"CV-17 (Shanzhong - Chest Center) is the Influential Point of Qi and the Alarm Point of the Pericardium. Located at the heart chakra level, it's crucial for releasing stagnant emotions trapped in the chest. It regulates Qi flow, opens the chest, treats chest oppression, grief, anxiety, and the physical sensation of heartache. It facilitates deep emotional release and is often combined with lung points for grief.","CV-17 (Shanzhong), PC-6 (Neiguan), LU-1 (Zhongfu), CV-15 (Jiuwei), CV-14 (Juque)","Zhi Zi Chi Tang (Gardenia and Fermented Soybean Decoction) - clears constraint and heat from the chest, releases pent-up frustration and irritability from stagnant emotions"
How does acupuncture address the neurobiology of grief based on recent studies?,"Recent research (2022) demonstrates acupuncture modulates the default-mode network (DMN), which is involved in autobiographical memory and pain processing. Acupuncture increases functional connectivity between the DMN and hippocampus, enhancing memory processing and emotional regulation. It reduces glutamate levels, increases NMDA receptor subunits in the frontal cortex and hippocampus, and improves monoamine neurotransmitters (serotonin, norepinephrine, dopamine) in grief and depression.","GV-20 (Baihui), GV-24 (Shenting), PC-6 (Neiguan), ST-36 (Zusanli), KI-3 (Taixi)","Gan Mai Da Zao Tang - modulates glutamate-NMDA receptor systems, increases 5-HT and NE levels in hippocampus, reduces oxidative stress markers (MDA), improves neuroplasticity"
What is the Six Stagnancy pattern and how does it relate to complicated grief?,"The Six Stagnancy pattern includes stagnation of Qi, Blood, Phlegm, Fire, Food, and Dampness. Complicated grief can manifest as this pattern when multiple systems become blocked. Qi stagnation from unexpressed emotions leads to blood stasis, phlegm accumulation, internal heat, digestive stagnation, and dampness. This creates complex symptoms including chest pain, digestive issues, mental fog, irritability, and physical pain.","CV-12 (Zhongwan), ST-40 (Fenglong), SP-6 (Sanyinjiao), LR-3 (Taichong), SP-10 (Xuehai)","Yue Ju Wan (Gardenia and Ligusticum Formula) - specifically treats six stagnancies, regulates Qi, removes food stagnation, resolves phlegm, invigorates blood, clears heat"
How should grief be treated differently in different constitutional types?,"Yin-deficient types with grief need nourishing herbs (Gan Mai Da Zao Tang, Suan Zao Ren Tang) and gentle points (KI-3, SP-6, LU-9). Yang-deficient types need warming tonics (Bu Zhong Yi Qi Tang) with moxa on ST-36, CV-6. Qi-stagnant types need stronger moving herbs (Chai Hu Shu Gan San, Yue Ju Wan) and reducing manipulation at LR-3, GB-34. Phlegm types need transforming herbs (Banxia Houpo Tang) with ST-40, SP-9.","Constitutional assessment determines point selection: Yin deficiency (KI-3, SP-6, LU-9), Yang deficiency (ST-36, CV-6, GV-4), Qi stagnation (LR-3, GB-34, LI-4), Phlegm (ST-40, SP-9, CV-12)","Formula selection by constitution: Yin deficiency - Gan Mai Da Zao Tang, Suan Zao Ren Tang; Yang deficiency - Bu Zhong Yi Qi Tang; Qi stagnation - Chai Hu Shu Gan San, Xiao Yao San; Phlegm - Banxia Houpo Tang"
What is the treatment principle for acute grief in the first weeks of loss?,"Initial treatment focuses on supporting Lung Qi, calming the Shen, and preventing stagnation. Use gentle tonifying methods with points like LU-9, PC-7, HT-7, ST-36 to nourish and stabilize. Herbal formulas should tonify Qi and calm the spirit (Gan Mai Da Zao Tang, Kaixinsan). Avoid strong reducing methods initially. Create space for natural grieving while preventing collapse into pathological patterns. Support sleep and basic energy.","LU-9 (Taiyuan), PC-7 (Daling), HT-7 (Shenmen), ST-36 (Zusanli), Yintang (EX-HN3), KI-3 (Taixi)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube) or Kaixinsan (Open Heart Powder) - gentle formulas that nourish Heart and Lung, calm Shen, support natural grieving without suppressing emotions"
When should stronger moving and breaking techniques be used for stagnant grief?,"After 3-6 months, if grief becomes stuck with significant Qi and blood stagnation, liver constraint, or phlegm binding, stronger techniques are appropriate. Use reducing manipulation at LR-3, LI-4, SP-10 to move stagnation. Employ formulas that strongly move Qi and blood (Chai Hu Shu Gan San, Yue Ju Wan). Treat chest oppression, irritability, fixed pain, purple tongue, wiry pulse. Goal is to break through emotional blockages preventing healing.","LR-3 (Taichong), LI-4 (Hegu), SP-10 (Xuehai), GB-34 (Yanglingquan), LR-14 (Qimen), SP-4 (Gongsun)","Chai Hu Shu Gan San, Yue Ju Wan, or Xue Fu Zhu Yu Tang (Blood Mansion Stasis-Expelling Decoction) - stronger formulas that move Qi, invigorate blood, break stagnation, clear constraint"
How does grief affect the Kidney system in prolonged cases?,"Prolonged grief can deplete Kidney essence and create Kidney-Heart disharmony. The Kidneys store ancestral Qi and essence, which become depleted when grief chronically drains the body. Symptoms include deep fatigue, back pain, knee weakness, tinnitus, memory problems, premature aging, fear, and loss of willpower. The fear response replaces grief, creating a water-fire imbalance between Kidneys (water) and Heart (fire).","KI-3 (Taixi), KI-7 (Fuliu), BL-23 (Shenshu), CV-4 (Guanyuan), GV-4 (Mingmen), KI-1 (Yongquan)",Kaixinsan (Open Heart Powder) treats Heart-Kidney disharmony; Liu Wei Di Huang Wan (Six-Ingredient Rehmannia Pill) nourishes Kidney Yin; Jin Kui Shen Qi Wan tonifies Kidney Yang in prolonged grief depletion
