Condition/Formula Name,Q&A (Questions and Answers),TCM Trigger Acupuncture Points,Pharmacopeia
Pediatric Leukemia Support - Modified Gui Pi Tang,"Q: How does TCM support children with leukemia? A: Tonifies Heart-Spleen, nourishes Blood, supports bone marrow recovery during chemotherapy; reduces infections and bleeding. Q: What is the pediatric dosing? A: Age 3-6: 1/4 adult dose; Age 7-12: 1/3-1/2 adult dose; Age 13+: 2/3-full adult dose based on weight.","ST36, SP6, BL20, BL17, CV12, CV4, HT7, PC6","Chinese Pharmacopoeia 2020, Pediatric Oncology Guidelines"
Pediatric Brain Tumor Support - Tian Ma Gou Teng Yin Modified,"Q: What symptoms does this address in children? A: Headache, dizziness, nausea from increased intracranial pressure; post-surgery and radiation support. Q: Is this safe for young children? A: Yes, used in pediatric oncology hospitals in China; dose calculated by weight (0.1-0.2g/kg/day of herbs).","GV20, GV24, GB20, LR3, PC6, ST36, CV12, EX-HN1","Chinese Pharmacopoeia 2020, Pediatric Neuro-Oncology"
Pediatric Lymphoma Support - Shen Ling Bai Zhu San + Anticancer Herbs,"Q: What does this treat in pediatric lymphoma? A: Spleen deficiency with Dampness causing poor appetite, fatigue, diarrhea during chemotherapy. Q: How does it help treatment tolerance? A: Improves digestion, maintains weight, reduces infection risk, supports immune function in children.","ST36, SP6, SP9, CV12, BL20, BL21, LI11, GV14","Chinese Pharmacopoeia 2020, Pediatric Hematology-Oncology"
Pediatric Neuroblastoma - Huang Qi + Shan Zha + Bai Hua She She Cao,"Q: What is neuroblastoma and TCM approach? A: Common pediatric solid tumor; TCM tonifies Qi, resolves masses, supports chemotherapy tolerance. Q: What outcomes are expected? A: Reduced side effects, better quality of life, possible improved response to treatment; always integrated with standard care.","CV12, CV6, ST36, SP6, BL20, BL23, KI3, GV4","Chinese Pharmacopoeia 2020, Pediatric Solid Tumor Protocols"
Pediatric Wilms Tumor - Liu Wei Di Huang Wan + Ban Zhi Lian,"Q: What does this address? A: Kidney tumor in children with Kidney Yin deficiency; supports before/after surgery and during chemotherapy. Q: How is it administered to young children? A: Can be given as granules mixed with food/juice, or as syrup; typically 3x daily with meals.","BL23, KI3, CV4, CV6, ST36, SP6, BL52, KI7","Chinese Pharmacopoeia 2020, Pediatric Renal Oncology"
Elderly Cancer Frailty - Shi Quan Da Bu Tang,"Q: Why is this important for elderly cancer patients? A: Severe Qi and Blood deficiency common in elderly; improves tolerance to treatment, reduces complications, maintains function. Q: What are special considerations? A: Start with lower doses, monitor digestion, adjust based on treatment response and conventional therapy.","ST36, CV4, CV6, BL20, BL21, BL17, BL23, SP6","Chinese Pharmacopoeia 2020, Geriatric Oncology"
Elderly Prostate Cancer - Jin Gui Shen Qi Wan + Anticancer Herbs,"Q: What does this address in elderly men? A: Kidney Yang deficiency with urinary symptoms, cold limbs, lower back weakness common in elderly prostate cancer. Q: Can this be used long-term? A: Yes, safe for long-term use to support quality of life during hormone therapy or active surveillance.","BL23, CV4, CV3, BL28, GV4, ST36, KI3, KI7","Chinese Pharmacopoeia 2020, Elderly Urological Cancer"
Cancer Pain - Shao Yao Gan Cao Tang + Yan Hu Suo,"Q: What type of cancer pain does this treat? A: Acute spasmodic pain, cramping abdominal pain, liver capsule pain from liver metastases. Q: How fast does it work? A: Can provide relief within 30-60 minutes for acute pain; use regularly for chronic pain management.","LI4, LI11, ST36, SP6, GB34, PC6, LR3, SP4","Chinese Pharmacopoeia 2020, Cancer Pain Management"
Severe Cancer Pain - Modified Wu Tou Formula (Aconitum - Professional Use Only),"Q: When is this used? A: Severe, intractable cancer pain not controlled by standard analgesics; bone pain, visceral pain. Q: What are the warnings? A: Contains Aconitum (toxic herb); MUST be prescribed and prepared by qualified TCM oncology specialist; careful processing required.","LI4, LI11, ST36, GB34, BL40, GV14, SP6, Ashi points","Chinese Pharmacopoeia 2020, Controlled Substances in TCM"
Bone Metastases Pain - Du Huo Ji Sheng Tang + Gui Zhi Fu Ling Wan,"Q: What does this treat? A: Bone pain from metastatic cancer with Kidney deficiency and Blood stasis; lower back, hip, leg pain. Q: How does it work? A: Tonifies Liver-Kidney, strengthens bones, invigorates Blood, alleviates pain; reduces opioid requirements.","BL23, GB34, BL40, KI3, SP6, GV3, ST36, BL11","Chinese Pharmacopoeia 2020, Bone Metastases Management"
Cancer Cachexia - Modified Ren Shen Yang Ying Tang,"Q: What is cancer cachexia? A: Severe weight loss, muscle wasting, weakness in advanced cancer; poor prognosis if untreated. Q: What does this formula do? A: Strongly tonifies Qi and Blood, nourishes Yin, improves appetite, increases lean body mass, extends survival.","ST36, CV12, CV6, BL20, BL21, BL17, SP6, KI3","Chinese Pharmacopoeia 2020, Cancer Cachexia Protocols"
Pediatric Cancer Failure to Thrive - Xiao Jian Zhong Tang + Shan Yao,"Q: What does this address in children? A: Poor growth, weight loss, weakness in children undergoing cancer treatment. Q: How does it help? A: Warms Middle Jiao, tonifies Spleen, improves nutrient absorption; sweet taste makes it palatable for children.","CV12, ST36, BL20, BL21, SP6, CV6, PC6","Chinese Pharmacopoeia 2020, Pediatric Oncology Nutrition"
Cancer Immune Support - Modified Yu Ping Feng San + Ling Zhi,"Q: How does this support immunity? A: Tonifies Protective Qi, strengthens Wei Qi barrier, enhances T-cell and NK cell activity against cancer. Q: When should this be used? A: Throughout treatment to prevent infections, during chemotherapy breaks, post-treatment to prevent recurrence.","LU9, LI4, ST36, BL13, CV17, KI7, GV14, SP6","Chinese Pharmacopoeia 2020, Immuno-Oncology"
Post-Chemotherapy Immune Recovery - Shen Qi Fuzheng Injection,"Q: What is this modern formula? A: Injectable extract of Huang Qi and Dang Shen; used in Chinese hospitals to boost immunity during chemotherapy. Q: What are the benefits? A: Increases white blood cell count, reduces infections, improves chemotherapy tolerance and tumor response rate.","ST36, LI11, BL20, BL13, CV17, GV14, LI4, SP6","Chinese Pharmacopoeia 2020, Hospital-Based Integrative Oncology"
Anti-Metastasis Formula - Modified Juzen-Taiho-To,"Q: What does this do? A: Reduces metastatic potential by activating NK cells, increasing TNF secretion, suppressing tumor cell migration. Q: When is this used? A: Post-surgery to prevent metastasis, during treatment, long-term after treatment to prevent recurrence.","ST36, SP6, LI11, LI4, BL17, BL20, CV4, GB39","Chinese Pharmacopoeia 2020, Anti-Metastasis Research Protocols"
Cancer Recurrence Prevention - Modified Xiao Chai Hu Tang + Anticancer Herbs,"Q: What is the indication? A: Post-treatment surveillance to prevent recurrence by harmonizing immune system, clearing residual pathogenic factors. Q: How long is this used? A: Typically 2-5 years post-treatment; individualized based on cancer type, stage, and recurrence risk.","GB34, SJ6, LR14, ST36, SP6, PC6, BL18, BL20","Chinese Pharmacopoeia 2020, Cancer Survivorship Care"
Cancer-Related Ascites - Wu Ling San + Che Qian Zi + Ze Lan,"Q: What does this treat? A: Fluid accumulation in abdomen from liver/ovarian/peritoneal cancer causing bloating, discomfort. Q: How effective is this? A: Promotes urination, drains Dampness; often reduces ascites burden; may reduce need for paracentesis.","SP9, CV9, BL22, BL28, ST28, KI7, CV6, ST36","Chinese Pharmacopoeia 2020, Oncologic Complications"
Cancer-Related Pleural Effusion - Ting Li Da Zao Xie Fei Tang,"Q: What condition does this address? A: Fluid in chest cavity from lung cancer, breast cancer, or metastases causing shortness of breath. Q: What is the action? A: Drains Lung, promotes urination, expels phlegm-fluids from chest; improves breathing comfort.","LU5, LU7, CV17, BL13, ST40, SP9, CV9, PC6","Chinese Pharmacopoeia 2020, Pulmonary Complications"
Cancer Fever - Qing Hao Bie Jia Tang + Bai Hua She She Cao,"Q: What type of fever does this treat? A: Low-grade afternoon/evening fever from cancer or treatment; night sweats, weight loss, Yin deficiency. Q: Is this for children too? A: Yes, effective for pediatric oncology fever; reduce dose appropriately for children's weight and age.","GV14, LI11, LI4, KI6, SP6, PC5, LU10, HT6","Chinese Pharmacopoeia 2020, Cancer Fever Management"
Cancer Insomnia/Anxiety - An Shen Bu Xin Wan + Suan Zao Ren Tang,"Q: What does this address? A: Severe insomnia, anxiety, fear in cancer patients; Heart-Spleen deficiency with disturbed Spirit. Q: Can children use this? A: Yes, safe for children age 6+; helps with treatment-related anxiety and sleep disturbances; combine with counseling.","HT7, PC6, SP6, ST36, CV12, GV20, EX-HN3, BL15","Chinese Pharmacopoeia 2020, Psycho-Oncology Support"
Cancer Anorexia - Xiang Sha Liu Jun Zi Tang + Shan Zha Mai Ya,"Q: What does this treat? A: Severe loss of appetite in cancer patients preventing adequate nutrition; bloating, nausea with food. Q: How does it help? A: Strengthens Spleen, regulates Qi, promotes digestion; helps patients eat and maintain weight during treatment.","CV12, ST36, PC6, SP4, BL20, LR13, ST21, CV10","Chinese Pharmacopoeia 2020, Cancer Nutrition Support"
Head/Neck Cancer - Qing Yan Li Ge Tang + Radiotherapy Support,"Q: What does this formula do? A: Clears Heat-toxin, nourishes Yin, benefits throat; reduces pain, inflammation, difficulty swallowing. Q: When should this be used? A: During and after radiation to head/neck region; prevents and treats mucositis, dysphagia, dry mouth.","LI4, ST36, KI6, LU7, CV24, ST6, LI18, LU10","Chinese Pharmacopoeia 2020, Head/Neck Oncology"
Oral Mucositis - Xie Huang San + Topical Herbal Rinse,"Q: What is oral mucositis? A: Painful mouth sores from chemotherapy/radiation causing difficulty eating, drinking, speaking. Q: How is this used? A: Internal decoction plus herbal mouth rinse (Jin Yin Hua, Huang Lian, Gan Cao) 4-6 times daily; rapid pain relief.","LI4, ST36, ST44, CV24, EX-HN13, ST6, ST7","Chinese Pharmacopoeia 2020, Oral Complications in Oncology"
Adult Leukemia - Modified Qing Ying Tang + Huang Lian Jie Du Tang,"Q: What pattern does this address? A: Heat-toxin in Blood level in acute leukemia with fever, bleeding, infections. Q: What does it do? A: Clears Heat, cools Blood, resolves toxicity; used alongside chemotherapy to reduce complications and improve response.","LI11, GV14, SP10, BL17, SP6, PC3, LU10, KI2","Chinese Pharmacopoeia 2020, Hematologic Malignancy Protocols"
Multiple Myeloma - Liu Wei Di Huang Wan + Bone-Strengthening Herbs,"Q: What does this treat? A: Kidney Yin deficiency with bone pain, fractures, anemia in multiple myeloma patients. Q: What are key additions? A: Add Gui Ban, Bie Jia (strengthen bones), Huang Qi (boost immunity), Dang Gui (nourish Blood).","BL23, KI3, KI6, GB39, BL11, SP6, ST36, BL17","Chinese Pharmacopoeia 2020, Plasma Cell Disorders"
Non-Hodgkin Lymphoma - Xiao Chai Hu Tang + Anticancer Herbs,"Q: What syndrome is this for? A: Liver-Spleen disharmony with lymphadenopathy, alternating fever/chills, hypochondriac distention. Q: How does it support treatment? A: Harmonizes Shao Yang, regulates immunity, reduces lymph node swelling; use with chemotherapy.","GB34, SJ6, LR14, PC6, ST36, GB21, BL18, SP6","Chinese Pharmacopoeia 2020, Lymphoma Integrative Care"
Cervical Cancer - Long Dan Xie Gan Tang + Anticancer Herbs,"Q: What pattern does this address? A: Damp-Heat in Lower Jiao with abnormal discharge, bleeding, pelvic pain. Q: Can this be used with radiation? A: Yes, helps reduce radiation side effects to bladder/rectum; clears Heat-toxin, drains Dampness.","LR2, LR5, GB34, SP9, CV3, BL28, SP6, LR8","Chinese Pharmacopoeia 2020, Cervical Cancer Protocols"
Endometrial Cancer - Tao Hong Si Wu Tang + Wen Jing Tang,"Q: What does this treat? A: Blood stasis and Cold in uterus with irregular bleeding, lower abdominal pain, masses. Q: When is this indicated? A: Post-surgery support, during hormone therapy, or palliative care for advanced disease.","CV3, CV4, SP10, ST29, SP8, SP6, BL17, KI3","Chinese Pharmacopoeia 2020, Endometrial Cancer Management"
Bladder Cancer - Ba Zheng San + Bai Hua She She Cao,"Q: What does this formula treat? A: Damp-Heat in Bladder with painful urination, blood in urine, frequent urination from bladder cancer. Q: What is the mechanism? A: Clears Heat, promotes urination, resolves toxicity; reduces tumor-related bladder irritation.","CV3, BL28, SP9, SP6, LR8, KI2, BL32, ST28","Chinese Pharmacopoeia 2020, Bladder Cancer Protocols"
Kidney Cancer - Zhi Bai Di Huang Wan + Ji Sheng Shen Qi Wan,"Q: What syndrome is this for? A: Kidney Yin deficiency with Empty Fire or Kidney Yang deficiency depending on presentation. Q: Can both formulas be used? A: Not simultaneously; Zhi Bai for Yin deficiency signs, Ji Sheng for Yang deficiency signs; proper diagnosis essential.","BL23, KI3, KI6, CV4, BL52, ST36, SP6, KI7","Chinese Pharmacopoeia 2020, Renal Cell Carcinoma"
Soft Tissue Sarcoma - Gui Zhi Fu Ling Wan + Xiao Luo Wan,"Q: What does this address? A: Blood stasis and Phlegm masses in muscles/connective tissue; supports pre/post-surgery. Q: What does it do? A: Invigorates Blood, transforms stasis, softens hardness, reduces masses; improves local circulation.","Local Ashi points, SP10, BL17, ST36, SP6, GB39, LI4","Chinese Pharmacopoeia 2020, Sarcoma Protocols"
Osteosarcoma - Du Huo Ji Sheng Tang + Bone-Strengthening Formula,"Q: What is the TCM approach to bone cancer? A: Tonify Kidney (governs bones), strengthen bones, invigorate Blood, alleviate pain. Q: Can this help pediatric patients? A: Yes, osteosarcoma common in adolescents; adjust dose by age/weight; integrate with surgery/chemotherapy.","BL23, GB39, BL11, KI3, ST36, SP6, GV3, local area","Chinese Pharmacopoeia 2020, Bone Tumor Protocols"
Melanoma Support - Wu Wei Xiao Du Yin + Immune-Boosting Herbs,"Q: What does this treat? A: Heat-toxin manifesting as skin lesions; supports melanoma treatment. Q: What is the approach? A: Clear Heat-toxin, boost immunity (Huang Qi, Ling Zhi), invigorate Blood; always use with conventional treatment.","LI4, LI11, SP10, BL17, GV14, ST36, SP6, LR3","Chinese Pharmacopoeia 2020, Skin Cancer Integrative Care"
Thyroid Cancer - Hai Zao Yu Hu Tang + Xia Ku Cao,"Q: What pattern does this address? A: Phlegm nodules in thyroid with neck mass, difficulty swallowing, hoarseness. Q: What does it do? A: Transforms phlegm, softens hardness, reduces nodules; used post-thyroidectomy or with radioactive iodine.","LI18, ST9, ST10, CV22, SI17, LI4, ST36, SP6","Chinese Pharmacopoeia 2020, Thyroid Cancer Protocols"
Palliative Care - Modified Gan Lu Yin,"Q: What is the focus in palliative cancer care? A: Comfort, symptom relief, quality of life, spiritual peace rather than cure. Q: What does this formula do? A: Clears Heat, nourishes Yin, generates fluids; helps with dry mouth, fever, thirst, restlessness in terminal phase.","HT7, PC6, KI6, SP6, CV12, ST36, GV20, LI4","Chinese Pharmacopoeia 2020, Palliative Care Guidelines"
Terminal Dyspnea - Su Zi Jiang Qi Tang + Ren Shen,"Q: What does this treat? A: Severe shortness of breath in end-stage cancer with Qi deficiency and phlegm. Q: How does it provide comfort? A: Descends Lung Qi, transforms phlegm, tonifies Qi; improves breathing comfort and reduces air hunger.","LU5, CV17, ST40, BL13, CV6, ST36, KI3, PC6","Chinese Pharmacopoeia 2020, End-of-Life Symptom Management"
