Question_Assessment,TCM_Pattern_Diagnosis,CM_Dot_Numbers_Acupoints,Pharmacopeia_Formula
"Does the patient have chronic sinusitis affecting clarity?",Lung Heat / Phlegm,LI20 (Yingxiang) + LU7 (Lieque) + Yintang,Cang Er Zi San
"Is the patient experiencing loss of balance (cerebellar)?",Kidney Essence Deficiency,GB20 (Fengchi) + DU16 (Fengfu) + KI3 (Taixi),Zuo Gui Wan
"Does the patient have difficulty hearing in noisy environments?",Kidney Qi Deficiency,SJ21 (Ermen) + SI19 (Tinggong) + KI3 (Taixi),Er Long Zuo Ci Wan
"Is the patient prone to explosive anger?",Liver Yang Rising / Fire,LR2 (Xingjian) + GB20 (Fengchi) + LI4 (Hegu),Long Dan Xie Gan Tang
"Does the patient feel hopeless or full of grief?",Lung Qi Deficiency,LU9 (Taiyuan) + UB13 (Feishu) + DU20 (Baihui),Bu Fei Tang
"Is the elderly patient showing signs of early dementia?",Kidney Essence (Jing) Deficiency,GB39 (Xuanzhong) + KI3 (Taixi) + DU20 (Baihui),Yi Zhi Yi Qi Tang
"Does the elderly patient have sundowning syndrome (confusion at night)?",Yin Deficiency with Empty Heat,HT6 (Yinxi) + KI6 (Zhaohai) + Anmian,Tian Wang Bu Xin Dan
"Is the elderly patient repeating stories frequently?",Heart Blood Deficiency,HT7 (Shenmen) + PC6 (Neiguan) + Sishencong,Gui Pi Tang
"Does the elderly patient have difficulty walking (atrophy)?",Liver/Kidney Deficiency,GB34 (Yanglingquan) + ST31 (Biguan) + KI3 (Taixi),Du Huo Ji Sheng Tang
"Is the patient experiencing post-stroke paralysis?",Qi Deficiency and Blood Stasis,LI15 (Jianyu) + LI11 (Quchi) + ST36 (Zusanli),Bu Yang Huan Wu Tang
"Does the patient have facial paralysis (Bell's Palsy)?",Wind-Cold attacking Channels,ST4 (Dicang) + ST6 (Jiache) + LI4 (Hegu),Qian Zheng San
"Is the patient experiencing loss of taste or smell?",Lung Qi Deficiency,LI20 (Yingxiang) + LU7 (Lieque) + ST36 (Zusanli),Cang Er Zi San
"Does the patient have chronic constipation affecting mood?",Large Intestine Dryness,ST25 (Tianshu) + SJ6 (Zhigou) + KI6 (Zhaohai),Ma Zi Ren Wan
"Is the patient experiencing incontinence?",Kidney Yang Deficiency,CV4 (Guanyuan) + UB23 (Shenshu) + CV6 (Qihai),Suo Quan Wan
"Does the patient have restless leg syndrome at night?",Liver Blood Deficiency,GB31 (Fengshi) + SP10 (Xuehai) + LR3 (Taichong),Shao Yao Gan Cao Tang
"Is the patient experiencing joint pain worse with cold?",Cold-Damp Bi Syndrome,ST35 (Dubi) + GB34 (Yanglingquan) + Moxa,Juan Bi Tang
"Does the patient have hot flashes with anxiety?",Kidney Yin Deficiency,KI2 (Rangu) + HT6 (Yinxi) + SP6 (Sanyinjiao),Zhi Bai Di Huang Wan
"Is the patient experiencing loose stools with anxiety?",Spleen Qi Deficiency / Liver overact,ST25 (Tianshu) + SP3 (Taibai) + LR3 (Taichong),Tong Xie Yao Fang
"Does the patient have low libido affecting mental state?",Kidney Yang/Jing Deficiency,GV4 (Mingmen) + CV4 (Guanyuan) + UB23 (Shenshu),You Gui Wan
"Is the patient experiencing hair loss (Alopecia)?",Blood Deficiency / Stasis,UB17 (Geshu) + SP10 (Xuehai) + Seven Star Needle,Tong Qiao Huo Xue Tang
"Does the patient have weak knees and lower back?",Kidney Qi Deficiency,UB23 (Shenshu) + UB40 (Weizhong) + KI3 (Taixi),Jin Gui Shen Qi Wan
"Is the patient experiencing palpitations after exertion?",Heart Qi Deficiency,HT5 (Tongli) + PC6 (Neiguan) + UB15 (Xinshu),Yang Xin Tang
"Does the patient have a pale, swollen tongue?",Spleen/Kidney Yang Deficiency,SP9 (Yinlingquan) + ST36 (Zusanli) + CV12 (Zhongwan),Fu Zi Li Zhong Wan
"Is the patient experiencing acid reflux with stress?",Liver invading Stomach,LR14 (Qimen) + ST36 (Zusanli) + PC6 (Neiguan),Zuo Jin Wan
"Does the patient have frequent urination with pale urine?",Kidney Yang Deficiency,CV3 (Zhongji) + UB23 (Shenshu) + KI3 (Taixi),Jin Gui Shen Qi Wan
"Is the patient experiencing dry skin and itchiness?",Blood Deficiency generating Wind,SP10 (Xuehai) + LI11 (Quchi) + SP6 (Sanyinjiao),Xiao Feng San
"Does the patient have a red tongue with no coating?",Stomach/Kidney Yin Deficiency,ST44 (Neiting) + KI6 (Zhaohai) + ST36 (Zusanli),Sha Shen Mai Men Dong Tang
"Is the patient experiencing drooling (especially elderly/kids)?",Spleen Qi Deficiency,ST4 (Dicang) + ST6 (Jiache) + SP3 (Taibai),Liu Jun Zi Tang
"Does the patient have a sensation of heat in palms/soles?",Yin Deficiency,PC8 (Laogong) + KI1 (Yongquan) + HT8 (Shaofu),Zhi Bai Di Huang Wan
"Is the patient experiencing chronic fatigue syndrome?",Qi and Yin Deficiency,ST36 (Zusanli) + CV6 (Qihai) + KI3 (Taixi),Sheng Mai San
"Does the patient have a weak immune system (frequent colds)?",Wei Qi Deficiency,LU9 (Taiyuan) + LI4 (Hegu) + ST36 (Zusanli),Yu Ping Feng San
"Is the patient experiencing difficulty swallowing (Plum Pit)?",Qi Stagnation / Phlegm,CV22 (Tiantu) + PC6 (Neiguan) + ST40 (Fenglong),Ban Xia Hou Po Tang
"Does the patient have sharp, stabbing headaches?",Blood Stasis,Ah Shi Points + LI4 (Hegu) + SP10 (Xuehai),Xue Fu Zhu Yu Tang
"Is the patient experiencing floaters in vision?",Liver Blood/Kidney Yin Def,UB18 (Ganshu) + UB23 (Shenshu) + GB37 (Guangming),Ming Mu Di Huang Wan
"Does the patient have excessive phlegm (profuse/white)?",Spleen Dampness,ST40 (Fenglong) + SP9 (Yinlingquan) + CV12 (Zhongwan),Er Chen Tang
"Is the patient experiencing excessive sweating (daytime)?",Lung Qi Deficiency,LU9 (Taiyuan) + KI7 (Fuliu) + LI4 (Hegu),Yu Ping Feng San
"Does the patient have night sweats?",Yin Deficiency,HT6 (Yinxi) + KI7 (Fuliu) + SI3 (Houxi),Dang Gui Liu Huang Tang
"Is the patient experiencing jaw clenching (TMJ)?",Liver Tension / Stomach Fire,ST6 (Jiache) + ST7 (Xiaguan) + LR3 (Taichong),Shao Yao Gan Cao Tang
"Does the patient have cold abdominal pain?",Spleen Yang Deficiency,CV12 (Zhongwan) + ST36 (Zusanli) + Moxa,Li Zhong Wan
"Is the patient experiencing edema in legs?",Kidney/Spleen Yang Deficiency,SP9 (Yinlingquan) + KI7 (Fuliu) + CV9 (Shuifen),Zhen Wu Tang
"Does the patient have a purple hue to lips/nails?",Heart Blood Stasis,PC6 (Neiguan) + HT7 (Shenmen) + UB17 (Geshu),Xue Fu Zhu Yu Tang
"Is the patient experiencing chronic hiccups?",Stomach Qi Rebellious,PC6 (Neiguan) + CV12 (Zhongwan) + ST36 (Zusanli),Ju Pi Zhu Ru Tang
"Does the patient have difficulty staying asleep (waking frequently)?",Heart/Kidney Disharmony,HT7 (Shenmen) + KI3 (Taixi) + SP6 (Sanyinjiao),Jiao Tai Wan
"Is the patient experiencing morning stiffness?",Bi Syndrome (Damp/Cold),GB34 (Yanglingquan) + SP9 (Yinlingquan) + Ah Shi,Du Huo Ji Sheng Tang
"Does the patient have wandering pain?",Wind Bi Syndrome,GB20 (Fengchi) + UB12 (Fengmen) + SP10 (Xuehai),Fang Feng Tang
"Is the patient experiencing heavy menstrual bleeding?",Spleen Qi Not Holding Blood,SP1 (Yinbai) + CV6 (Qihai) + ST36 (Zusanli),Gui Pi Tang
"Does the patient have scanty menstrual flow?",Blood Deficiency / Stasis,CV4 (Guanyuan) + SP6 (Sanyinjiao) + ST29 (Guilai),Si Wu Tang
"Is the patient experiencing nausea during pregnancy?",Stomach Qi Rebellious,PC6 (Neiguan) + ST36 (Zusanli) + KI21 (Youmen),Zi Su Yin
"Does the patient have carpal tunnel syndrome?",Tendon Bi / Stagnation,PC7 (Daling) + PC6 (Neiguan) + TW5 (Waiguan),Huang Qi Gui Zhi Wu Wu Tang
"Is the patient experiencing plantar fasciitis?",Kidney Deficiency / Stasis,KI3 (Taixi) + KI1 (Yongquan) + UB57 (Chengshan),Liu Wei Di Huang Wan (+ topical)
"Does the patient have pain in the hypochondriac region?",Liver Qi Stagnation,LR14 (Qimen) + SJ6 (Zhigou) + GB34 (Yanglingquan),Chai Hu Shu Gan San
"Is the patient experiencing excessive hunger (polyphagia)?",Stomach Fire,ST44 (Neiting) + ST36 (Zusanli) + CV12 (Zhongwan),Bai Hu Tang
"Does the patient have a rigid tongue/slurred speech?",Wind-Phlegm Obstructing Channels,HT5 (Tongli) + DU15 (Yamen) + CV23 (Lianquan),Jie Yu Dan
"Is the patient experiencing apathy and withdrawal?",Phlegm Misting the Mind,ST40 (Fenglong) + PC5 (Jianshi) + DU26 (Renzhong),Di Tan Tang
"Does the patient have shaking hands (Parkinson's signs)?",Internal Wind / Yin Def,LR3 (Taichong) + GB34 (Yanglingquan) + SI3 (Houxi),Da Ding Feng Zhu
