Question,Answer,TCM Acupuncture Points,Herbal Pharmacopeia
What role does Qi Gong play in treating teenage mental illness?,"Qi Gong exercises regulate Qi flow, calm the mind, and strengthen body-spirit connection. Regular practice reduces anxiety, improves mood, and enhances treatment outcomes.","Practice with focus on CV17 (Shanzhong), GV20 (Baihui), LR3 (Taichong) activation",Supportive herbs: Xiao Yao San for mood regulation during practice
What is Liver Qi Stagnation and how does it cause depression?,"Liver Qi Stagnation occurs when stress blocks the smooth flow of Qi, causing emotional frustration, mood swings, chest tightness, and irritability - key features of teenage depression.","LR3 (Taichong), LR14 (Qimen), PC6 (Neiguan), CV17 (Shanzhong), GB34 (Yanglingquan)","Xiao Yao San (Free and Easy Wanderer), Chaihu Shugan San (Bupleurum Liver-Soothing Powder)"
How does Heart Blood Deficiency manifest in depressed teens?,"Heart Blood Deficiency causes palpitations, poor memory, insomnia, pale complexion, anxiety, and feeling emotionally empty - common in teens with chronic stress or poor nutrition.","HT7 (Shenmen), BL15 (Xinshu), SP6 (Sanyinjiao), ST36 (Zusanli), CV14 (Juque)","Gui Pi Tang (Restore the Spleen Decoction), Tianwang Buxin Dan (Emperor of Heaven's Special Pill)"
What is Phlegm-Fire Harassing the Heart?,"This pattern combines mental agitation, racing thoughts, insomnia, restlessness, and sometimes aggressive behavior - seen in manic episodes or severe anxiety with agitation.","PC5 (Jianshi), PC6 (Neiguan), ST40 (Fenglong), GV20 (Baihui), CV12 (Zhongwan)","Wendan Tang (Warm the Gallbladder Decoction), Huanglian Wendan Tang (Coptis and Gallbladder-Warming Decoction)"
How does Kidney Yin Deficiency contribute to anxiety?,"Kidney Yin Deficiency creates Empty Heat rising, causing night sweats, heat in palms/feet, restless anxiety, insomnia, and fear - often seen in chronic stress and adolescent development.","KI3 (Taixi), KI6 (Zhaohai), HT7 (Shenmen), SP6 (Sanyinjiao), CV4 (Guanyuan)","Liu Wei Di Huang Wan (Six-Ingredient Rehmannia Pill), Tianwang Buxin Dan (Emperor of Heaven's Special Pill)"
What is Heart-Kidney Disharmony in teenage mental illness?,"Heart-Kidney Disharmony involves poor communication between Fire (Heart) and Water (Kidney), causing severe insomnia, anxiety, palpitations, and emotional instability.","HT7 (Shenmen), KI3 (Taixi), KI6 (Zhaohai), BL15 (Xinshu), BL23 (Shenshu)","Jiaotai Wan (Interaction Pill), Huanglian E Jiao Tang (Coptis and Ass-Hide Gelatin Decoction)"
What immediate acupuncture treatment helps in suicide crisis?,"In acute crisis, use calming points to ground the patient and restore mental clarity. Treatment should be combined with immediate professional mental health intervention.","GV20 (Baihui), GV26 (Renzhong), HT7 (Shenmen), PC6 (Neiguan), Yintang (Extra point), KI1 (Yongquan)",Immediate crisis: Ganmai Dazao Tang. Follow-up: Chaihu Jia Longgu Muli Tang
How should parents monitor teenagers during TCM treatment?,"Parents should watch for mood changes, sleep patterns, eating habits, social withdrawal, and suicidal statements. Maintain open communication and coordinate with mental health professionals.","Regular treatment with HT7 (Shenmen), PC6 (Neiguan), LR3 (Taichong), ST36 (Zusanli)","Consistent herbal formula compliance, commonly Xiao Yao San or Gan Mai Da Zao Tang"
When should TCM treatment be combined with Western psychiatry?,"Severe depression, active suicidal ideation, psychosis, or bipolar disorder require integrated care. TCM complements but doesn't replace psychiatric medication in acute situations.","Coordinate point selection with medication effects: HT7, PC6, ST36, LR3","Modified herbal formulas avoiding interactions, reduce dosages as appropriate"
What signs indicate TCM treatment is working?,"Positive signs include improved sleep quality, better appetite, increased energy, more stable moods, reduced anxiety, better stress coping, and renewed interest in activities.","Continue established protocol with HT7, PC6, LR3, ST36, SP6","Continue successful herbal formula, may adjust dosage or modify slightly"
How to handle a teenager refusing TCM treatment?,"Build trust through education about TCM, involve them in treatment decisions, start with non-invasive approaches like acupressure or herbal tea, and address needle fears if present.","Start gentle: ear seeds, Yintang, HT7, PC6 with minimal needles","Pleasant-tasting formulas: Xiao Yao Wan pills, Gan Mai Da Zao decoction sweetened with honey"
How does TCM treat teenage eating disorders with depression?,"Eating disorders involve Spleen-Stomach disharmony, Liver Qi stagnation, and Heart-Shen disturbance. Treatment regulates digestion, moves Liver Qi, and calms obsessive thoughts.","HT7 (Shenmen), PC6 (Neiguan), ST36 (Zusanli), SP6 (Sanyinjiao), CV12 (Zhongwan), LR3 (Taichong)","Modified Xiao Yao San, Gui Pi Tang for nourishment, Ban Xia Hou Pu Tang for throat obstruction sensation"
What helps ADHD symptoms combined with depression?,"ADHD with depression often shows Kidney essence deficiency, Heart-Spleen deficiency, and Liver Wind. Treatment nourishes essence, calms Shen, and anchors Yang.","GV20 (Baihui), Sishencong (Extra points), HT7 (Shenmen), KI3 (Taixi), ST36 (Zusanli)","Kong Sheng Zhen Zhong Dan (Confucius Pillow Elixir), modified Gui Pi Tang"
How is teenage trauma-related depression treated?,"Trauma causes Qi and Blood stagnation with Heart-Shen injury. Treatment moves stagnation, calms the spirit, and rebuilds emotional resilience gradually.","HT7 (Shenmen), PC6 (Neiguan), LR3 (Taichong), CV17 (Shanzhong), GV20 (Baihui)","Chaihu Shugan San, Xuefu Zhuyu Tang (Blood Palace Stasis-Removing), Gan Mai Da Zao Tang"
What TCM approach helps teenage OCD with anxiety?,"OCD involves Phlegm-Heat harassing the Heart and Liver Qi stagnation. Treatment clears Phlegm, cools Heat, soothes Liver, and calms obsessive thinking.","HT7 (Shenmen), PC5 (Jianshi), PC6 (Neiguan), ST40 (Fenglong), LR3 (Taichong)","Wendan Tang (Warm the Gallbladder), modified with Huang Lian (Coptis) and Long Gu (Dragon Bone)"
How does TCM address substance abuse in depressed teens?,"Substance abuse indicates severe Kidney essence depletion, Liver-Heart Fire, and Shen disturbance. Treatment detoxifies, nourishes essence, and stabilizes emotions.","HT7 (Shenmen), LR3 (Taichong), LI4 (Hegu), PC6 (Neiguan), CV6 (Qihai), ST36 (Zusanli)","Detox support: Long Dan Xie Gan Tang; Recovery: Gui Pi Tang, Liu Wei Di Huang Wan"
How can TCM prevent depression relapse in teenagers?,"Prevention focuses on maintaining Liver Qi flow, nourishing Heart Blood, tonifying Spleen Qi, and strengthening Kidney essence through regular treatment and lifestyle.","Maintenance points: HT7 (Shenmen), LR3 (Taichong), ST36 (Zusanli), SP6 (Sanyinjiao)","Preventive formulas: Xiao Yao San long-term, seasonal adjustments, stress-adapted modifications"
What lifestyle changes support TCM mental health treatment?,"Regular sleep schedule, balanced diet, moderate exercise, stress management, limited screen time, social connection, and emotional expression all support Qi-Blood harmony.","Regular acupuncture: HT7, PC6, ST36, LR3, GV20","Herbal support: Xiao Yao San for stress, adaptogenic herbs, seasonal tonic formulas"
Can TCM help build emotional resilience in at-risk teens?,"Yes, TCM strengthens constitutional foundations through tonifying Kidney essence, nourishing Heart Blood, and regulating Liver Qi - building capacity to handle stress.","KI3 (Taixi), ST36 (Zusanli), HT7 (Shenmen), LR3 (Taichong), CV6 (Qihai)","Constitutional formulas: Liu Wei Di Huang Wan, Gui Pi Tang, Bu Zhong Yi Qi Tang"
What seasonal adjustments help teenage mental health?,"Spring supports Liver (Wood element), summer nourishes Heart (Fire), fall tonifies Lung (Metal), winter strengthens Kidney (Water). Seasonal treatments prevent imbalances.","Spring: LR3, GB34; Summer: HT7, PC6; Fall: LU7, LI4; Winter: KI3, BL23",Spring: Xiao Yao San; Summer: cooling herbs; Fall: nourishing formulas; Winter: warming tonics
How does meditation complement TCM treatment?,"Meditation calms Shen, regulates breath (Lung Qi), and cultivates inner stillness. Combined with acupuncture, it enhances mind-body healing and emotional stability.","Meditate with awareness of CV17 (Shanzhong), GV20 (Baihui), LR3 (Taichong)","Calming formulas to support practice: Gan Mai Da Zao Tang, Suan Zao Ren Tang"
How can parents support their teen's TCM treatment?,"Parents should maintain consistent appointment schedules, ensure herbal compliance, provide emotional support, avoid criticism, and collaborate with practitioners.","Family acupuncture sessions possible, shared calming points: Yintang, PC6","Parent education about formulas, proper storage, preparation methods of herbs"
Should siblings be treated preventively if one teen is depressed?,"Preventive TCM for siblings can be beneficial, especially if family stress or genetic predisposition exists. Focus on strengthening constitution and stress resilience.","Preventive points: ST36 (Zusanli), LR3 (Taichong), HT7 (Shenmen), GV20 (Baihui)","Mild preventive formulas: Xiao Yao San, adaptogenic herbs, constitutional support"
How to communicate TCM treatment to schools?,"Provide schools with general information about treatment for stress management and wellness. Emphasize improved focus, emotional regulation, and attendance benefits.",Treatment continues with standard protocols for mental wellness,"Continue prescribed herbal formulas, coordinate timing around school schedule"
What role does peer support play with TCM treatment?,Peer support enhances treatment by reducing isolation and providing understanding. TCM addresses the physiological aspects while peers offer emotional connection.,"Continue individual treatment: HT7, PC6, LR3, ST36, GV20","Maintain herbal formula compliance, possibly group education about TCM wellness"
How long should maintenance TCM treatment continue?,"After acute symptoms resolve, continue maintenance treatment for 6-12 months minimum. Gradually reduce frequency while monitoring for relapse signs.",Maintenance frequency: monthly or seasonal tune-ups with core points,Reduced herbal dosages or formulas taken cyclically rather than daily
What is the role of Shen in teenage mental health?,"Shen (Spirit) resides in the Heart and governs consciousness, emotions, and mental clarity. Disturbed Shen causes all mental-emotional disorders in TCM theory.","Primary Shen-calming points: HT7 (Shenmen), GV20 (Baihui), Yintang, PC6 (Neiguan)","Shen-calming formulas: Gan Mai Da Zao Tang, Tian Wang Bu Xin Dan, An Shen Ding Zhi Wan"
How does Blood deficiency cause mental symptoms?,"Blood anchors and nourishes Shen. When deficient, Shen becomes unrooted, causing anxiety, insomnia, poor memory, and emotional instability.","Blood-nourishing points: BL17 (Geshu), BL20 (Pishu), SP6 (Sanyinjiao), ST36 (Zusanli)","Blood-tonifying formulas: Gui Pi Tang, Si Wu Tang, Dang Gui Bu Xue Tang"
What is the Heart-Liver relationship in emotions?,"Heart governs Shen while Liver regulates emotional flow. Their coordination ensures emotional stability; disharmony causes mood swings, anxiety, and depression.","Harmonizing points: HT7 (Shenmen), LR3 (Taichong), PC6 (Neiguan), LR14 (Qimen)","Harmonizing formulas: Xiao Yao San, Chai Hu Shu Gan San, combined modifications"
Why is Spleen important in treating depression?,"Spleen produces Qi and Blood from food, and governs thinking. Spleen deficiency causes fatigue, overthinking, worry, and poor concentration - common in depression.","Spleen-tonifying points: ST36 (Zusanli), SP6 (Sanyinjiao), BL20 (Pishu), CV12 (Zhongwan)","Spleen-strengthening formulas: Gui Pi Tang, Bu Zhong Yi Qi Tang, Si Jun Zi Tang"
How does Kidney deficiency relate to fear and anxiety?,"Kidneys govern willpower and house original Qi. Deficiency causes fear, low confidence, poor motivation, and anxiety - especially chronic or existential anxiety.","Kidney-tonifying points: KI3 (Taixi), BL23 (Shenshu), CV4 (Guanyuan), KI7 (Fuliu)","Kidney-tonifying formulas: Liu Wei Di Huang Wan, You Gui Wan, Zuo Gui Wan"
How to select the right herbal formula for a teenager?,"Formula selection requires pattern diagnosis through pulse, tongue, symptoms, and emotional state assessment. Formulas are often modified to match individual constitutions.","Points selected by pattern; common: HT7, PC6, LR3, ST36","Base formulas modified: Xiao Yao San, Gui Pi Tang, Gan Mai Da Zao Tang, Chai Hu Shu Gan San"
Are there contraindications for teenage acupuncture?,"Generally safe; avoid during acute psychosis without supervision, bleeding disorders, extreme needle phobia, or unwilling patients. Pregnancy-forbidden points in sexually active females.","Safe points for most: HT7, PC6, ST36, LR3, GV20, Yintang",Most formulas safe; avoid strong blood-moving or cold herbs in certain conditions
What needle techniques work best for anxious teenagers?,"Use thin needles (0.16-0.20mm), gentle insertion, minimal stimulation, calming technique (Bu method), and allow patient control over session length initially.","Gentle needling: Yintang, HT7, PC6, ear Shenmen, GV20","Start with pleasant formulas: pills, pleasant-tasting decoctions, avoid bitter tastes initially"
How to measure treatment progress objectively?,"Track sleep hours/quality, mood ratings (1-10 scale), anxiety frequency/intensity, social engagement, school performance, and standardized scales like PHQ-A or GAD-7.",Maintain consistent point protocols to assess response accurately,"Monitor herbal compliance and responses, adjust formulas based on symptom changes"
What if acupuncture alone isn't sufficient?,"Combine acupuncture with herbal medicine for synergistic effects. Add lifestyle counseling, dietary therapy, Qi Gong, and coordinate with mental health professionals as needed.","Intensify treatment: increase frequency, add more points, use stronger techniques","Add or modify herbal formulas, combine multiple formulas, increase dosages appropriately"
